,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.22008501,0.0,0.0,0.5091632,5
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.85555553,0.0,0.19764012,0.9498525,0.0,0.0,0.46589717,0.7838405,0.0,0.17455661,0.0,0.0,0.49342677,8
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.85555553,0.0,0.41297936,0.6715831,0.0,0.0,0.6211962,0.30535153,0.0,0.17827499,0.0,0.0,0.49471197,8
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.8888889,0.0,0.5447394,0.5132743,0.0,0.0,0.5152151,0.16054565,0.0,0.2226621,0.0,0.0,0.510054,8
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.8888889,0.0,0.7649951,0.43657818,0.0,0.0,0.77019936,0.18258132,0.0,0.37667817,0.0,0.0,0.56328815,7
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.9222222,0.0,0.8879056,0.38544738,0.0,0.0,0.85099685,0.4155299,0.0,0.13885057,0.0,0.0,0.4810853,7
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.8888889,0.024582105,0.94788593,0.22713864,0.0147492625,0.104931794,0.85519415,0.33578175,0.014690451,0.12610753,0.036849454,0.0,0.47007656,7
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.85555553,0.19764012,0.9498525,0.026548672,0.11406096,0.46589717,0.7838405,0.15005247,0.044071354,0.13634713,0.2074693,0.0,0.443037,10
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.85555553,0.41297936,0.6715831,0.0,0.24778761,0.6211962,0.30535153,0.0,0.07764953,0.30499366,0.40470025,0.037460666,0.47937462,12
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.82222223,0.5447394,0.5132743,0.0,0.28711897,0.5152151,0.16054565,0.0,0.03672613,0.4911692,0.57315695,0.22476399,0.56711185,12
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.73333335,0.7649951,0.43657818,0.0,0.4287119,0.77019936,0.18258132,0.0,0.09968521,0.5531713,0.7006414,0.41206732,0.56569433,12
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.7,0.8879056,0.38544738,0.0,0.59390366,0.85099685,0.4155299,0.0,0.21930745,0.5756949,0.7704779,0.59937066,0.5609632,12
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.67777777,0.94788593,0.22713864,0.0,0.5791544,0.85519415,0.33578175,0.0,0.15110178,0.42164454,0.7835231,0.78667396,0.50537914,12
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.75555557,0.9498525,0.026548672,0.0,0.5447394,0.7838405,0.15005247,0.0,0.13955928,0.5530805,0.7400043,0.97397727,0.55860823,19
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.75555557,0.6715831,0.0,0.0,0.8918387,0.30535153,0.0,0.0,0.7187828,0.4144189,0.64114743,0.99768025,0.4699007,14
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.64444447,0.5132743,0.0,0.0,0.7758112,0.16054565,0.0,0.0,0.81532,0.030782612,0.50009227,0.99978864,0.3548591,16
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.6333333,0.43657818,0.0,0.0,0.6204523,0.18258132,0.0,0.0,0.73767054,0.15175806,0.32249543,0.9999762,0.42781553,16
17,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.017037086,0.64444447,0.38544738,0.0,0.0,0.4355949,0.4155299,0.0,0.0,0.613851,0.015668646,0.14828296,0.9999929,0.41193905,16
18,0.25,0.0669873,0.8535534,0.8535534,0.5,0.0,0.76666665,0.22713864,0.0,0.0147492625,0.24090461,0.33578175,0.0,0.014690451,0.35362014,0.3027553,0.03794287,0.9999944,0.53093773,8
19,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.017037086,0.64444447,0.026548672,0.0,0.11406096,0.026548672,0.15005247,0.0,0.044071354,0.15424974,0.3161168,0.0030814381,0.8645944,0.5016195,7
20,0.25,0.0669873,0.8535534,0.8535534,0.75,0.0669873,0.56666666,0.0,0.0,0.24778761,0.0,0.0,0.0,0.07764953,0.0,0.25224698,0.0,0.63892776,0.45330653,7
21,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.14644662,0.82222223,0.0,0.0,0.28711897,0.0,0.0,0.0,0.03672613,0.0,0.23666915,0.0,0.41326112,0.4479222,9
22,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.25,0.75555557,0.0,0.0,0.4287119,0.0,0.0,0.0,0.09968521,0.0,0.21794727,0.0,0.3681278,0.4950297,8
23,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.37059048,0.75555557,0.0,0.0,0.59390366,0.0,0.0,0.0,0.21930745,0.0,0.2035279,0.0,0.2327278,0.4632565,8
24,0.25,0.0669873,0.8535534,0.8535534,1.0,0.5,0.76666665,0.0,0.0147492625,0.5791544,0.0,0.0,0.014690451,0.15110178,0.0,0.16593567,0.0,0.097327806,0.4502631,8
25,0.25,0.0669873,0.5,1.0,0.9829629,0.62940955,0.75555557,0.0,0.11406096,0.5447394,0.0,0.0,0.044071354,0.13955928,0.0,0.1696577,0.0,0.0,0.46284863,9
26,0.25,0.0669873,0.5,1.0,0.9330127,0.75,0.82222223,0.0,0.24778761,0.8918387,0.0,0.0,0.07764953,0.7187828,0.0,0.14846185,0.0,0.0,0.48440734,0
27,0.25,0.0669873,0.5,1.0,0.8535534,0.8535534,0.82222223,0.0,0.28711897,0.7758112,0.0,0.0,0.03672613,0.81532,0.0,0.24240498,0.0,0.0,0.5168779,0
28,0.25,0.0669873,0.5,1.0,0.75,0.9330127,0.82222223,0.0,0.4287119,0.6204523,0.0,0.0,0.09968521,0.73767054,0.0,0.20650505,0.0,0.0,0.50446945,8
29,0.25,0.0669873,0.5,1.0,0.62940955,0.9829629,0.85555553,0.0,0.59390366,0.4355949,0.0,0.0,0.21930745,0.613851,0.0,0.18106805,0.0,0.0,0.49567738,8
30,0.25,0.0669873,0.5,1.0,0.5,1.0,0.82222223,0.0147492625,0.5791544,0.24090461,0.026548672,0.014690451,0.15110178,0.35362014,0.15110178,0.13151449,0.039840963,0.0,0.4714093,8
31,0.25,0.0669873,0.5,1.0,0.37059048,0.9829629,0.73333335,0.11406096,0.5447394,0.026548672,0.18879056,0.044071354,0.13955928,0.15424974,0.4144806,0.16378197,0.19879772,0.0,0.45407373,11
32,0.25,0.0669873,0.5,1.0,0.25,0.9330127,0.62222224,0.24778761,0.8918387,0.0,0.3972468,0.07764953,0.7187828,0.0,0.6390346,0.2968501,0.3944288,0.112381995,0.50519,12
33,0.25,0.0669873,0.5,1.0,0.14644662,0.8535534,0.6,0.28711897,0.7758112,0.0,0.6007866,0.03672613,0.81532,0.0,0.7660021,0.4271104,0.5665113,0.29968533,0.54616165,12
34,0.25,0.0669873,0.5,1.0,0.0669873,0.75,0.62222224,0.4287119,0.6204523,0.0,0.7649951,0.09968521,0.73767054,0.0,0.83210915,0.431003,0.6863276,0.48698866,0.52603334,12
35,0.25,0.0669873,0.5,1.0,0.017037086,0.62940955,0.5777778,0.59390366,0.4355949,0.0,0.8820059,0.21930745,0.613851,0.0,0.85099685,0.5914593,0.7562682,0.67429197,0.5689587,12
36,0.25,0.0669873,0.5,1.0,0.0,0.5,0.53333336,0.5791544,0.24090461,0.0,0.94198626,0.15110178,0.35362014,0.0,0.85519415,0.5274545,0.77479,0.8615953,0.5435165,18
37,0.25,0.0669873,0.5,1.0,0.017037086,0.37059048,0.53333336,0.5447394,0.026548672,0.0,0.9439528,0.13955928,0.15424974,0.0,0.8593914,0.22410525,0.72798145,0.98767453,0.42516422,18
38,0.25,0.0669873,0.5,1.0,0.0669873,0.25,0.53333336,0.8918387,0.0,0.0,0.88593906,0.7187828,0.0,0.0,0.8520462,0.33658126,0.6339195,0.9988895,0.43982697,19
39,0.25,0.0669873,0.5,1.0,0.14644662,0.14644662,0.51111114,0.7758112,0.0,0.0,0.7767945,0.81532,0.0,0.0,0.80902416,0.18519138,0.49224907,0.99988705,0.4092375,18
40,0.25,0.0669873,0.5,1.0,0.25,0.0669873,0.6,0.6204523,0.0,0.0,0.6214356,0.73767054,0.0,0.0,0.63378805,0.4218016,0.31933826,0.9999758,0.52168405,18
41,0.25,0.0669873,0.5,1.0,0.37059048,0.017037086,0.6,0.4355949,0.0,0.0,0.35594887,0.613851,0.0,0.0,0.30745015,0.14371267,0.14659789,0.99998367,0.45649514,10
42,0.25,0.0669873,0.5,1.0,0.5,0.0,0.6,0.24090461,0.0,0.026548672,0.12192724,0.35362014,0.0,0.15110178,0.032528855,0.05175758,0.038245805,0.9999844,0.44412822,10
43,0.25,0.0669873,0.5,1.0,0.62940955,0.017037086,0.64444447,0.026548672,0.0,0.18879056,0.012782694,0.15424974,0.0,0.4144806,0.013641133,1.4701693e-08,0.0042505856,0.99998444,0.43233114,8
44,0.25,0.0669873,0.5,1.0,0.75,0.0669873,0.75555557,0.0,0.0,0.3972468,0.0,0.0,0.0,0.6390346,0.0,1.4381023e-08,0.0,0.86458445,0.39290902,8
45,0.25,0.0669873,0.5,1.0,0.8535534,0.14644662,0.75555557,0.0,0.0,0.6007866,0.0,0.0,0.0,0.7660021,0.0,1.3999496e-08,0.0,0.72918445,0.39290902,8
46,0.25,0.0669873,0.5,1.0,0.9330127,0.25,0.7,0.0,0.0,0.7649951,0.0,0.0,0.0,0.83210915,0.0,1.4732122e-08,0.0,0.59378445,0.39290902,8
47,0.25,0.0669873,0.5,1.0,0.9829629,0.37059048,0.73333335,0.0,0.0,0.8820059,0.0,0.0,0.0,0.85099685,0.0,1.4746165e-08,0.0,0.45838445,0.39290902,8
48,0.25,0.0669873,0.5,1.0,1.0,0.5,0.82222223,0.0,0.026548672,0.94198626,0.0,0.0,0.15110178,0.85519415,0.0,1.4722759e-08,0.0,0.32298446,0.39290902,8
49,0.25,0.0669873,0.14644662,0.8535534,0.9829629,0.62940955,0.7888889,0.0,0.18879056,0.9439528,0.0,0.0,0.4144806,0.8593914,0.0,1.4746165e-08,0.0,0.18758446,0.39290902,9
50,0.25,0.0669873,0.14644662,0.8535534,0.9330127,0.75,0.7888889,0.0,0.3972468,0.88593906,0.0,0.0,0.6390346,0.8520462,0.0,1.4746165e-08,0.0,0.14245112,0.41969827,8
51,0.25,0.0669873,0.14644662,0.8535534,0.8535534,0.8535534,0.82222223,0.0,0.6007866,0.7767945,0.0,0.0,0.7660021,0.80902416,0.0,1.4629133e-08,0.0,0.0070511308,0.39290902,8
52,0.25,0.0669873,0.14644662,0.8535534,0.75,0.9330127,0.85555553,0.0,0.7649951,0.6214356,0.0,0.0,0.83210915,0.63378805,0.0,1.4605726e-08,0.0,0.0,0.4310003,8
53,0.25,0.0669873,0.14644662,0.8535534,0.62940955,0.9829629,0.85555553,0.0,0.8820059,0.35594887,0.0,0.0,0.85099685,0.30745015,0.0,1.4605726e-08,0.0,0.0,0.43309292,6
54,0.25,0.0669873,0.14644662,0.8535534,0.5,1.0,0.85555553,0.026548672,0.94198626,0.12192724,0.012782694,0.15110178,0.85519415,0.032528855,0.0073452257,1.4498055e-08,0.045095026,0.0,0.42501092,10
55,0.25,0.0669873,0.14644662,0.8535534,0.37059048,0.9829629,0.7888889,0.18879056,0.9439528,0.012782694,0.07866273,0.4144806,0.8593914,0.013641133,0.00524659,0.021576291,0.21840343,0.037460666,0.41480255,11
56,0.25,0.0669873,0.14644662,0.8535534,0.25,0.9330127,0.73333335,0.3972468,0.88593906,0.0,0.41101277,0.6390346,0.8520462,0.0,0.53725076,0.04677767,0.4081367,0.14984266,0.4162981,12
57,0.25,0.0669873,0.14644662,0.8535534,0.14644662,0.8535534,0.6,0.6007866,0.7767945,0.0,0.60570306,0.7660021,0.80902416,0.0,0.772298,0.055343393,0.5563676,0.33714598,0.4194818,12
58,0.25,0.0669873,0.14644662,0.8535534,0.0669873,0.75,0.5555556,0.7649951,0.6214356,0.0,0.7649951,0.83210915,0.63378805,0.0,0.83210915,0.2488526,0.6634653,0.5244493,0.4671722,12
59,0.25,0.0669873,0.14644662,0.8535534,0.017037086,0.62940955,0.67777777,0.8820059,0.35594887,0.0,0.8820059,0.85099685,0.30745015,0.0,0.77544594,0.116707325,0.7801812,0.7117526,0.40057942,13
60,0.25,0.0669873,0.14644662,0.8535534,0.0,0.5,0.67777777,0.94198626,0.12192724,0.0,0.7079646,0.85519415,0.032528855,0.0,0.28961176,0.2827007,0.7847869,0.9758619,0.4839173,15
61,0.25,0.0669873,0.14644662,0.8535534,0.017037086,0.37059048,0.67777777,0.9439528,0.012782694,0.0,0.4660767,0.8593914,0.013641133,0.0,0.06925499,0.24322964,0.7435496,0.9978296,0.39175755,15
62,0.25,0.0669873,0.14644662,0.8535534,0.0669873,0.25,0.7,0.88593906,0.0,0.0,0.43362832,0.8520462,0.0,0.0,0.031479537,0.36586428,0.6441389,0.99978364,0.44480544,15
63,0.25,0.0669873,0.14644662,0.8535534,0.14644662,0.14644662,0.73333335,0.7767945,0.0,0.0,0.32251722,0.80902416,0.0,0.0,0.018887723,0.16872261,0.49781552,0.99995744,0.40225306,18
64,0.25,0.0669873,0.14644662,0.8535534,0.25,0.0669873,0.7888889,0.6214356,0.0,0.0,0.43854475,0.63378805,0.0,0.0,0.2161595,0.22511156,0.3217807,0.99997294,0.453236,12
65,0.25,0.0669873,0.14644662,0.8535534,0.37059048,0.017037086,0.7888889,0.35594887,0.0,0.0,0.4296952,0.30745015,0.0,0.0,0.5057712,0.21185066,0.14573048,0.9999743,0.4801995,12
66,0.25,0.0669873,0.14644662,0.8535534,0.5,0.0,0.75555557,0.12192724,0.0,0.012782694,0.23500492,0.032528855,0.0,0.0073452257,0.34102833,1.4849155e-08,0.03389345,0.9999744,0.42701852,8
67,0.25,0.0669873,0.14644662,0.8535534,0.62940955,0.017037086,0.7888889,0.012782694,0.0,0.07866273,0.022615535,0.013641133,0.0,0.00524659,0.14165792,1.4736804e-08,0.0023572291,0.86457443,0.39248654,8
68,0.25,0.0669873,0.14644662,0.8535534,0.75,0.0669873,0.76666665,0.0,0.0,0.41101277,0.0,0.0,0.0,0.53725076,0.0,1.3903528e-08,0.0,0.72917444,0.39290902,8
69,0.25,0.0669873,0.14644662,0.8535534,0.8535534,0.14644662,0.82222223,0.0,0.0,0.60570306,0.0,0.0,0.0,0.772298,0.0,1.4502737e-08,0.0,0.59377444,0.39290902,8
70,0.25,0.0669873,0.14644662,0.8535534,0.9330127,0.25,0.82222223,0.0,0.0,0.7649951,0.0,0.0,0.0,0.83210915,0.0,1.4746165e-08,0.0,0.45837444,0.39290902,9
71,0.25,0.0669873,0.14644662,0.8535534,0.9829629,0.37059048,0.85555553,0.0,0.0,0.8820059,0.0,0.0,0.0,0.77544594,0.0,1.4718078e-08,0.0,0.41324112,0.41969827,9
72,0.25,0.0669873,0.14644662,0.8535534,1.0,0.5,0.64444447,0.0,0.012782694,0.7079646,0.0,0.0,0.0073452257,0.28961176,0.0,1.4746165e-08,0.0,0.3681078,0.41969827,9
73,0.25,0.0669873,0.0,0.5,0.9829629,0.62940955,0.82222223,0.0,0.07866273,0.4660767,0.0,0.0,0.00524659,0.06925499,0.0,1.47251e-08,0.0,0.32297447,0.41969827,9
74,0.25,0.0669873,0.0,0.5,0.9330127,0.75,0.75555557,0.0,0.41101277,0.43362832,0.0,0.0,0.53725076,0.031479537,0.0,1.4746165e-08,0.0,0.27784115,0.41969827,8
75,0.25,0.0669873,0.0,0.5,0.8535534,0.8535534,0.7888889,0.0,0.60570306,0.32251722,0.0,0.0,0.772298,0.018887723,0.0,1.4631473e-08,0.0,0.14244115,0.39290902,8
76,0.25,0.0669873,0.0,0.5,0.75,0.9330127,0.7888889,0.0,0.7649951,0.43854475,0.0,0.0,0.83210915,0.2161595,0.0,1.4633814e-08,0.0,0.007041162,0.39290902,6
77,0.25,0.0669873,0.0,0.5,0.62940955,0.9829629,0.7888889,0.0,0.8820059,0.4296952,0.0,0.0,0.77544594,0.5057712,0.0,0.032382853,0.0,0.0,0.44219607,6
78,0.25,0.0669873,0.0,0.5,0.5,1.0,0.76666665,0.012782694,0.7079646,0.23500492,0.017699115,0.0073452257,0.28961176,0.34102833,0.054564532,0.13417992,0.014148107,0.0,0.4769353,7
79,0.25,0.0669873,0.0,0.5,0.37059048,0.9829629,0.73333335,0.07866273,0.4660767,0.022615535,0.109144546,0.00524659,0.06925499,0.14165792,0.049317945,0.14263766,0.20014673,0.0,0.4465236,11
80,0.25,0.0669873,0.0,0.5,0.25,0.9330127,0.75555557,0.41101277,0.43362832,0.0,0.21435595,0.53725076,0.031479537,0.0,0.029380903,0.14205597,0.32922158,0.112381995,0.46337345,13
81,0.25,0.0669873,0.0,0.5,0.14644662,0.8535534,0.7,0.60570306,0.32251722,0.0,0.34906587,0.772298,0.018887723,0.0,0.09233998,0.13229989,0.47324923,0.3764913,0.48776698,13
82,0.25,0.0669873,0.0,0.5,0.0669873,0.75,0.7,0.7649951,0.43854475,0.0,0.3795477,0.83210915,0.2161595,0.0,0.043022037,0.18338251,0.6809363,0.6406006,0.4682012,13
