,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption
0,0.07009369,0.24440427,0.8435534,0.15607244,1.0094713,0.5016352,0.7788889,0.01,0.014582105,0.9578859,-0.01,0.01,0.094931796,0.86519414,-0.01,0.23008502,0.01,-0.01,0.4991632
1,0.25561553,0.077733435,0.8709037,0.85345995,0.9581781,0.63163596,0.82555556,0.03,0.16764012,0.91985255,0.03,0.03,0.49589717,0.81384045,0.03,0.20455661,-0.03,-0.03,0.5234268
2,0.2669487,0.11640123,0.8697373,0.8593317,0.95607775,0.7465206,0.81607246,-0.05,0.36297935,0.6215831,-0.05,0.05,0.6711962,0.2553515,-0.05,0.22827499,-0.05,-0.05,0.54471195
3,0.26584285,0.0969873,0.8312758,0.8760279,0.84054536,0.8493517,0.8588889,-0.03,0.51473945,0.4832743,-0.03,0.03,0.4852151,0.13054565,0.03,0.2526621,-0.03,-0.03,0.54005396
4,0.24235053,0.09270513,0.8272619,0.82909507,0.72976744,0.9387255,0.91888887,0.03,0.7349951,0.4665782,0.03,-0.03,0.7401994,0.15258132,0.03,0.34667817,0.03,0.03,0.5332882
5,0.23539883,0.08211416,0.8543259,0.8428047,0.63517255,1.012707,0.95222217,0.03,0.8579056,0.41544738,0.03,-0.03,0.8209969,0.4455299,-0.03,0.10885057,0.03,0.03,0.4510853
6,0.23768903,0.05826019,0.8574291,0.8386928,0.5249174,0.9859411,0.91888887,-0.0054178946,0.91788596,0.25713864,0.04474926,0.07493179,0.8251942,0.30578175,-0.015309548,0.09610753,0.066849455,-0.03,0.44007656
7,0.2507065,0.0762743,0.86221844,0.8635534,0.38059047,0.97946405,0.84555554,0.18764012,0.93985254,0.016548673,0.12406096,0.45589718,0.7738405,0.16005248,0.054071352,0.12634712,0.1974693,-0.01,0.453037
8,0.3,0.08992022,0.81974083,0.8147984,0.3,0.88826805,0.8055555,0.36297935,0.7215831,-0.05,0.21230707,0.6711962,0.35535154,0.05,0.12764953,0.35499367,0.35470024,-0.05,0.51598
9,0.32,0.1369873,0.80935794,0.8535372,0.19593866,0.79151696,0.8922222,0.47473943,0.5832743,-0.07,0.35711896,0.5852151,0.14939876,0.07,0.106726125,0.5611692,0.50315696,-0.07,0.5701387
10,0.19758578,0.05556985,0.83179206,0.8532945,0.06105576,0.75264454,0.66333336,0.8349951,0.3665782,0.07,0.49871188,0.70019937,0.11258132,0.07,0.16968521,0.48317128,0.7706414,0.07,0.4287212
11,0.26063296,0.05221504,0.8790055,0.8715056,-0.020313833,0.69940954,0.6453169,0.86927485,0.3230484,0.07,0.6191197,0.78099686,0.3455299,0.04034117,0.28469712,0.5056949,0.7679916,0.26939002,0.51775247
12,0.263793,0.0969873,0.85655093,0.8658509,-0.03,0.50853777,0.6477778,0.9778859,0.2083986,0.03,0.60915434,0.8851941,0.30578175,0.03,0.18110178,0.39164454,0.81352305,0.49821863,0.5021684
13,0.24377199,0.06821995,0.8574096,0.85419583,0.01572182,0.36833715,0.7455556,0.9598525,0.016548673,0.01,0.5547394,0.79384047,0.14005247,0.01,0.14955929,0.5630805,0.7500043,0.80232793,0.57539755
14,0.22,0.061429612,0.8564255,0.8651507,0.036987297,0.22,0.78555554,0.7015831,-0.03,-0.03,0.86183876,0.27535152,-0.03,-0.03,0.6887828,0.3844189,0.6711474,0.9515223,0.55907464
15,0.26914832,0.07032951,0.8526379,0.8736552,0.17260507,0.17579901,0.6144445,0.5432743,0.03,0.03,0.80581117,0.19054565,-0.03,0.03,0.84532,0.0007826127,0.53009224,0.9683514,0.3301227
16,0.28631285,0.06427766,0.8430242,0.8790402,0.26066586,0.04693734,0.68333334,0.38657817,-0.05,-0.05,0.5704523,0.13258132,-0.05,-0.05,0.6876705,0.20175806,0.27249542,0.94984835,0.47828373
17,0.2605426,0.096413806,0.8496212,0.85894585,0.34765753,-0.0026769638,0.67444444,0.35544738,-0.03,-0.03,0.4055949,0.3855299,0.03,-0.03,0.58385104,0.045668647,0.11828296,0.89444834,0.4017492
18,0.24923728,0.06977934,0.8526675,0.852709,0.4903261,-0.0065187174,0.75666666,0.21713863,-0.009745395,0.024749262,0.23090461,0.34578174,0.005373869,0.024690451,0.36362013,0.3127553,0.027942872,0.7190484,0.50075334
19,0.2653989,0.033175383,0.8463947,0.8676046,0.67940956,-0.029327951,0.6944445,0.07654867,-0.05,0.16406097,0.07654867,0.100052476,-0.05,-0.005928647,0.104249746,0.2661168,0.053081438,0.55338174,0.42483026
20,0.29470313,0.08536079,0.8833349,0.8211961,0.77216583,0.07879238,0.6166667,-0.05,-0.05,0.2977876,-0.05,-0.05,-0.05,0.027649526,-0.05,0.20224698,0.05,0.31798172,0.4300958
21,0.24192022,0.06704789,0.8526783,0.8517575,0.8602652,0.14405954,0.81222224,0.01,-0.01,0.29711896,0.01,0.01,-0.01,0.026726129,0.01,0.24666916,-0.01,0.3328484,0.5115007
