,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.22008501,0.0,0.0,0.5091632
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.85555553,0.0,0.19764012,0.9498525,0.0,0.0,0.46589717,0.7838405,0.0,0.17455661,0.0,0.0,0.49342677
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.85555553,0.0,0.41297936,0.6715831,0.0,0.0,0.6211962,0.30535153,0.0,0.17827499,0.0,0.0,0.49471197
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.8888889,0.0,0.5447394,0.5132743,0.0,0.0,0.5152151,0.16054565,0.0,0.2226621,0.0,0.0,0.510054
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.8888889,0.0,0.7649951,0.43657818,0.0,0.0,0.77019936,0.18258132,0.0,0.37667817,0.0,0.0,0.56328815
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.9222222,0.0,0.8879056,0.38544738,0.0,0.0,0.85099685,0.4155299,0.0,0.13885057,0.0,0.0,0.4810853
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.8888889,0.024582105,0.94788593,0.22713864,0.0147492625,0.104931794,0.85519415,0.33578175,0.014690451,0.12610753,0.036849454,0.0,0.47007656
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.85555553,0.19764012,0.9498525,0.026548672,0.11406096,0.46589717,0.7838405,0.15005247,0.044071354,0.13634713,0.2074693,0.0,0.443037
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.85555553,0.41297936,0.6715831,0.0,0.24778761,0.6211962,0.30535153,0.0,0.07764953,0.30499366,0.40470025,0.0,0.46598
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.82222223,0.5447394,0.5132743,0.0,0.28711897,0.5152151,0.16054565,0.0,0.03672613,0.4911692,0.57315695,0.0,0.5001387
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.73333335,0.7649951,0.43657818,0.0,0.4287119,0.77019936,0.18258132,0.0,0.09968521,0.5531713,0.7006414,0.0,0.49872118
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.7,0.8879056,0.38544738,0.0,0.59390366,0.85099685,0.4155299,0.0,0.21930745,0.5756949,0.7704779,0.2641093,0.58775246
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.67777777,0.94788593,0.22713864,0.0,0.5791544,0.85519415,0.33578175,0.0,0.15110178,0.42164454,0.7835231,0.5282186,0.5321684
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.75555557,0.9498525,0.026548672,0.0,0.5447394,0.7838405,0.15005247,0.0,0.13955928,0.5530805,0.7400043,0.79232794,0.58539754
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.75555557,0.6715831,0.0,0.0,0.8918387,0.30535153,0.0,0.0,0.7187828,0.4144189,0.64114743,0.98152226,0.52907467
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.64444447,0.5132743,0.0,0.0,0.7758112,0.16054565,0.0,0.0,0.81532,0.030782612,0.50009227,0.9983514,0.3601227
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.6333333,0.43657818,0.0,0.0,0.6204523,0.18258132,0.0,0.0,0.73767054,0.15175806,0.32249543,0.99984837,0.42828372
17,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.017037086,0.64444447,0.38544738,0.0,0.0,0.4355949,0.4155299,0.0,0.0,0.613851,0.015668646,0.14828296,0.86444837,0.3717492
18,0.25,0.0669873,0.8535534,0.8535534,0.5,0.0,0.76666665,0.22713864,0.0,0.0147492625,0.24090461,0.33578175,0.0,0.014690451,0.35362014,0.3027553,0.03794287,0.7290484,0.49075332
19,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.017037086,0.64444447,0.026548672,0.0,0.11406096,0.026548672,0.15005247,0.0,0.044071354,0.15424974,0.3161168,0.0030814381,0.5033817,0.47483027
20,0.25,0.0669873,0.8535534,0.8535534,0.75,0.0669873,0.56666666,0.0,0.0,0.24778761,0.0,0.0,0.0,0.07764953,0.0,0.25224698,0.0,0.36798173,0.4800958
21,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.14644662,0.82222223,0.0,0.0,0.28711897,0.0,0.0,0.0,0.03672613,0.0,0.23666915,0.0,0.3228484,0.5015007
22,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.25,0.75555557,0.0,0.0,0.4287119,0.0,0.0,0.0,0.09968521,0.0,0.21794727,0.0,0.09718176,0.44145116
23,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.37059048,0.75555557,0.0,0.0,0.59390366,0.0,0.0,0.0,0.21930745,0.0,0.2035279,0.0,0.0,0.47459888
24,0.25,0.0669873,0.8535534,0.8535534,1.0,0.5,0.76666665,0.0,0.0147492625,0.5791544,0.0,0.0,0.014690451,0.15110178,0.0,0.16593567,0.0,0.0,0.490447
25,0.25,0.0669873,0.5,1.0,0.9829629,0.62940955,0.75555557,0.0,0.11406096,0.5447394,0.0,0.0,0.044071354,0.13955928,0.0,0.1696577,0.0,0.0,0.4917335
26,0.25,0.0669873,0.5,1.0,0.9330127,0.75,0.82222223,0.0,0.24778761,0.8918387,0.0,0.0,0.07764953,0.7187828,0.0,0.14846185,0.0,0.0,0.48440734
27,0.25,0.0669873,0.5,1.0,0.8535534,0.8535534,0.82222223,0.0,0.28711897,0.7758112,0.0,0.0,0.03672613,0.81532,0.0,0.24240498,0.0,0.0,0.5168779
28,0.25,0.0669873,0.5,1.0,0.75,0.9330127,0.82222223,0.0,0.4287119,0.6204523,0.0,0.0,0.09968521,0.73767054,0.0,0.20650505,0.0,0.0,0.50446945
29,0.25,0.0669873,0.5,1.0,0.62940955,0.9829629,0.85555553,0.0,0.59390366,0.4355949,0.0,0.0,0.21930745,0.613851,0.0,0.18106805,0.0,0.0,0.49567738
30,0.25,0.0669873,0.5,1.0,0.5,1.0,0.82222223,0.0147492625,0.5791544,0.24090461,0.026548672,0.014690451,0.15110178,0.35362014,0.15110178,0.13151449,0.039840963,0.0,0.4714093
31,0.25,0.0669873,0.5,1.0,0.37059048,0.9829629,0.73333335,0.11406096,0.5447394,0.026548672,0.18879056,0.044071354,0.13955928,0.15424974,0.4144806,0.16378197,0.19879772,0.0,0.45407373
32,0.25,0.0669873,0.5,1.0,0.25,0.9330127,0.62222224,0.24778761,0.8918387,0.0,0.3972468,0.07764953,0.7187828,0.0,0.6390346,0.2968501,0.3944288,0.0,0.4650061
33,0.25,0.0669873,0.5,1.0,0.14644662,0.8535534,0.6,0.28711897,0.7758112,0.0,0.6007866,0.03672613,0.81532,0.0,0.7660021,0.4271104,0.5665113,0.0,0.47918844
34,0.25,0.0669873,0.5,1.0,0.0669873,0.75,0.62222224,0.4287119,0.6204523,0.0,0.7649951,0.09968521,0.73767054,0.0,0.83210915,0.431003,0.6863276,0.34326366,0.5796119
35,0.25,0.0669873,0.5,1.0,0.017037086,0.62940955,0.5777778,0.59390366,0.4355949,0.0,0.8820059,0.21930745,0.613851,0.0,0.85099685,0.5914593,0.7562682,0.6865273,0.62253726
36,0.25,0.0669873,0.5,1.0,0.0,0.5,0.53333336,0.5791544,0.24090461,0.0,0.94198626,0.15110178,0.35362014,0.0,0.85519415,0.5274545,0.77479,0.9751335,0.57865494
37,0.25,0.0669873,0.5,1.0,0.017037086,0.37059048,0.53333336,0.5447394,0.026548672,0.0,0.9439528,0.13955928,0.15424974,0.0,0.8593914,0.22410525,0.72798145,0.99777406,0.38817814
38,0.25,0.0669873,0.5,1.0,0.0669873,0.25,0.53333336,0.8918387,0.0,0.0,0.88593906,0.7187828,0.0,0.0,0.8520462,0.33658126,0.6339195,0.9997879,0.436537
39,0.25,0.0669873,0.5,1.0,0.14644662,0.14644662,0.51111114,0.7758112,0.0,0.0,0.7767945,0.81532,0.0,0.0,0.80902416,0.18519138,0.49224907,0.9999671,0.40894488
40,0.25,0.0669873,0.5,1.0,0.25,0.0669873,0.6,0.6204523,0.0,0.0,0.6214356,0.73767054,0.0,0.0,0.63378805,0.4218016,0.31933826,0.999983,0.521658
41,0.25,0.0669873,0.5,1.0,0.37059048,0.017037086,0.6,0.4355949,0.0,0.0,0.35594887,0.613851,0.0,0.0,0.30745015,0.14371267,0.14659789,0.99998444,0.4564928
42,0.25,0.0669873,0.5,1.0,0.5,0.0,0.6,0.24090461,0.0,0.026548672,0.12192724,0.35362014,0.0,0.15110178,0.032528855,0.05175758,0.038245805,0.99998456,0.444128
43,0.25,0.0669873,0.5,1.0,0.62940955,0.017037086,0.64444447,0.026548672,0.0,0.18879056,0.012782694,0.15424974,0.0,0.4144806,0.013641133,1.4701693e-08,0.0042505856,0.86458457,0.3921472
44,0.25,0.0669873,0.5,1.0,0.75,0.0669873,0.75555557,0.0,0.0,0.3972468,0.0,0.0,0.0,0.6390346,0.0,1.4381023e-08,0.0,0.90204525,0.44648755
45,0.25,0.0669873,0.5,1.0,0.8535534,0.14644662,0.75555557,0.0,0.0,0.6007866,0.0,0.0,0.0,0.7660021,0.0,1.3999496e-08,0.0,0.76664525,0.39290902
46,0.25,0.0669873,0.5,1.0,0.9330127,0.25,0.7,0.0,0.0,0.7649951,0.0,0.0,0.0,0.83210915,0.0,1.4732122e-08,0.0,0.45296642,0.3393305
47,0.25,0.0669873,0.5,1.0,0.9829629,0.37059048,0.73333335,0.0,0.0,0.8820059,0.0,0.0,0.0,0.85099685,0.0,1.4746165e-08,0.0,0.13928759,0.3393305
48,0.25,0.0669873,0.5,1.0,1.0,0.5,0.82222223,0.0,0.026548672,0.94198626,0.0,0.0,0.15110178,0.85519415,0.0,1.4722759e-08,0.0,0.0,0.39175525
49,0.25,0.0669873,0.14644662,0.8535534,0.9829629,0.62940955,0.7888889,0.0,0.18879056,0.9439528,0.0,0.0,0.4144806,0.8593914,0.0,1.4746165e-08,0.0,0.0,0.43309292
50,0.25,0.0669873,0.14644662,0.8535534,0.9330127,0.75,0.7888889,0.0,0.3972468,0.88593906,0.0,0.0,0.6390346,0.8520462,0.0,1.4746165e-08,0.0,0.0,0.43309292
51,0.25,0.0669873,0.14644662,0.8535534,0.8535534,0.8535534,0.82222223,0.0,0.6007866,0.7767945,0.0,0.0,0.7660021,0.80902416,0.0,1.4629133e-08,0.0,0.0,0.43309292
52,0.25,0.0669873,0.14644662,0.8535534,0.75,0.9330127,0.85555553,0.0,0.7649951,0.6214356,0.0,0.0,0.83210915,0.63378805,0.0,1.4605726e-08,0.0,0.0,0.43309292
53,0.25,0.0669873,0.14644662,0.8535534,0.62940955,0.9829629,0.85555553,0.0,0.8820059,0.35594887,0.0,0.0,0.85099685,0.30745015,0.0,1.4605726e-08,0.0,0.0,0.43309292
54,0.25,0.0669873,0.14644662,0.8535534,0.5,1.0,0.85555553,0.026548672,0.94198626,0.12192724,0.012782694,0.15110178,0.85519415,0.032528855,0.0073452257,1.4498055e-08,0.045095026,0.0,0.42501092
55,0.25,0.0669873,0.14644662,0.8535534,0.37059048,0.9829629,0.7888889,0.18879056,0.9439528,0.012782694,0.07866273,0.4144806,0.8593914,0.013641133,0.00524659,0.021576291,0.21840343,0.0,0.4014079
56,0.25,0.0669873,0.14644662,0.8535534,0.25,0.9330127,0.73333335,0.3972468,0.88593906,0.0,0.41101277,0.6390346,0.8520462,0.0,0.53725076,0.04677767,0.4081367,0.037460666,0.3895088
57,0.25,0.0669873,0.14644662,0.8535534,0.14644662,0.8535534,0.6,0.6007866,0.7767945,0.0,0.60570306,0.7660021,0.80902416,0.0,0.772298,0.055343393,0.5563676,0.22476399,0.4194818
58,0.25,0.0669873,0.14644662,0.8535534,0.0669873,0.75,0.5555556,0.7649951,0.6214356,0.0,0.7649951,0.83210915,0.63378805,0.0,0.83210915,0.2488526,0.6634653,0.41206732,0.4671722
59,0.25,0.0669873,0.14644662,0.8535534,0.017037086,0.62940955,0.67777777,0.8820059,0.35594887,0.0,0.8820059,0.85099685,0.30745015,0.0,0.77544594,0.116707325,0.7801812,0.67617667,0.42736867
60,0.25,0.0669873,0.14644662,0.8535534,0.0,0.5,0.67777777,0.94198626,0.12192724,0.0,0.7079646,0.85519415,0.032528855,0.0,0.28961176,0.2827007,0.7847869,0.9747103,0.49563488
