,dynamic_untargeted_acg
0,0.01
1,0.03
2,0.05
3,0.03
4,0.03
5,0.03
6,0.03
7,0.01
8,0.05
9,0.07
10,0.07
11,0.07
12,0.03
13,0.01
14,0.03
15,0.03
16,0.05
17,0.03
18,0.01
19,0.05
20,0.05
21,0.01
22,0.01
23,0.03
24,0.05
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.03
31,0.01
32,0.05
33,0.03
34,0.03
35,0.03
36,0.03
37,0.01
38,0.01
39,0.03
40,0.01
41,0.01
42,0.03
43,0.07
44,
45,0.07
46,0.05
47,0.01
48,0.01
49,0.03
50,0.01
51,0.03
52,0.03
53,0.01
54,0.03
55,0.01
56,0.03
57,
58,0.05
59,0.03
60,0.03
61,0.03
62,0.03
63,0.03
64,0.03
65,0.01
66,0.03
67,0.01
68,0.07
69,0.01
70,0.05
71,0.07
72,0.03
73,0.07
74,0.01
75,0.05
76,0.03
77,0.01
78,0.01
79,0.05
80,0.01
81,0.07
82,0.05
83,0.01
84,0.03
85,0.03
86,0.05
87,0.03
88,0.01
89,0.07
90,0.03
91,0.03
92,0.01
93,0.01
94,0.01
95,
96,0.07
97,0.03
98,0.03
99,0.05
100,0.07
101,0.03
102,0.01
103,0.05
104,0.03
105,0.05
106,0.05
107,0.01
108,0.01
109,0.03
110,0.07
111,0.07
112,0.01
113,0.03
114,0.01
115,0.01
116,0.07
117,
118,0.05
119,0.01
120,0.03
121,0.03
122,0.03
123,0.05
124,0.01
125,0.01
126,0.03
127,0.01
128,0.03
129,0.01
130,0.01
131,0.03
132,0.03
133,0.03
134,0.05
135,0.01
136,0.01
137,0.01
138,0.03
139,0.05
140,0.05
141,0.03
142,0.01
143,0.03
144,0.03
145,0.03
146,0.05
147,0.01
148,0.03
149,0.01
150,0.03
151,0.01
152,0.05
153,0.03
154,0.03
155,0.05
156,0.05
157,0.03
158,0.01
159,0.01
160,0.01
161,0.03
162,0.05
163,0.01
164,0.03
165,0.03
166,0.01
167,0.01
168,0.01
169,0.03
170,0.03
171,0.03
172,0.01
173,0.03
174,0.03
175,0.01
176,0.03
177,0.01
178,0.05
179,0.05
180,0.03
181,0.01
182,0.01
183,0.01
184,0.05
185,0.03
186,0.03
187,0.01
188,0.03
189,0.01
190,0.01
191,0.01
192,0.01
193,0.03
194,0.03
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.03
201,0.07
202,0.05
203,0.03
204,0.03
205,0.03
206,0.03
207,0.05
208,0.01
209,0.01
210,0.05
211,0.07
212,0.05
213,0.03
214,0.05
215,0.01
216,0.03
217,0.05
218,0.05
219,0.05
220,0.01
221,0.03
222,0.01
223,0.03
224,0.01
225,0.03
226,0.03
227,0.03
228,0.01
229,0.03
230,0.03
231,0.03
232,0.01
233,0.03
234,0.01
235,0.05
236,0.03
237,0.05
238,0.05
239,0.07
240,0.05
241,0.05
242,0.03
243,0.03
244,0.05
245,0.03
246,0.01
247,0.05
248,0.01
249,0.03
250,0.03
251,0.05
252,0.01
253,0.01
254,0.03
255,0.03
256,0.01
257,0.05
258,0.01
259,0.03
260,0.03
261,0.05
262,0.07
263,0.05
264,0.05
265,0.03
266,0.03
267,0.05
268,0.01
269,0.03
270,0.01
271,0.01
272,0.01
273,0.03
274,0.01
275,0.03
276,0.01
277,0.05
278,0.07
279,0.03
280,0.05
281,0.05
282,0.01
283,0.03
284,0.05
285,0.05
286,0.03
287,0.01
288,0.01
289,0.01
290,0.01
291,0.01
292,0.03
293,0.01
294,0.03
295,0.03
296,0.05
297,0.07
298,0.05
299,0.01
300,0.03
301,0.05
302,0.03
303,0.01
304,0.01
305,0.01
306,0.01
307,0.03
308,0.03
309,0.01
310,0.03
311,0.05
312,0.03
313,0.01
314,0.03
315,0.01
316,0.01
317,0.03
318,0.05
319,0.03
320,0.05
321,0.03
322,0.03
323,0.01
324,0.05
325,0.01
326,0.01
327,0.01
328,0.01
329,0.03
330,0.05
331,0.01
332,0.01
333,0.01
334,0.03
335,0.03
336,0.01
337,0.01
338,0.03
339,0.03
340,0.01
341,0.03
342,0.03
343,0.01
344,0.03
345,0.01
346,0.05
347,0.03
348,0.01
349,0.01
350,0.03
351,0.01
352,0.01
353,0.01
354,0.01
355,0.01
356,0.01
357,0.01
358,0.01
359,0.01
360,0.03
361,0.03
362,0.01
363,0.03
364,0.01
365,0.03
366,0.01
367,0.03
368,0.05
369,0.07
370,0.05
371,0.01
372,0.03
373,0.03
374,0.03
375,0.05
376,0.03
377,0.05
378,0.03
379,0.01
380,0.05
381,0.03
382,0.03
383,0.01
384,0.01
385,0.03
386,0.03
387,0.03
388,0.01
389,0.01
390,0.01
391,0.03
392,0.03
393,0.03
394,0.05
395,0.01
396,0.03
397,0.01
398,0.01
399,0.03
400,0.01
401,0.03
402,0.03
403,0.03
404,0.03
405,0.03
406,0.07
407,
408,
409,0.05
410,0.07
411,0.05
412,0.05
413,0.03
414,0.03
415,0.05
416,0.03
417,0.01
418,0.03
419,0.03
420,0.01
421,0.07
422,0.03
423,0.03
424,0.03
425,0.05
426,0.01
427,0.03
428,0.03
429,0.07
430,0.07
431,0.05
432,0.05
433,0.01
434,0.03
435,0.05
436,0.03
437,0.01
438,0.03
439,0.03
440,0.01
441,0.05
442,0.05
443,0.03
444,0.01
445,0.03
446,0.01
447,0.01
448,0.03
449,0.01
450,0.03
451,0.05
452,0.05
453,0.07
454,
455,
456,0.05
457,0.01
458,0.03
459,0.03
460,0.03
461,0.01
462,0.01
463,0.01
464,0.05
465,0.01
466,0.01
467,0.03
468,0.03
469,0.01
470,0.03
471,0.03
472,0.03
473,0.03
474,0.05
475,0.01
476,0.05
477,0.05
478,0.01
479,0.01
480,0.01
481,0.03
482,0.03
483,0.01
484,0.03
485,0.01
486,0.03
487,0.01
488,0.01
489,0.03
490,0.01
491,0.01
492,0.03
493,0.01
494,0.03
495,0.05
496,0.03
497,0.01
498,0.03
499,0.03
500,0.03
501,0.05
502,0.01
503,0.01
504,0.01
505,0.01
506,0.03
507,0.03
508,0.03
509,0.03
510,0.01
511,0.01
512,0.01
513,0.01
514,0.01
515,0.03
516,0.01
517,0.03
518,0.03
519,0.01
520,0.05
521,0.03
522,0.05
523,0.03
524,0.03
525,0.01
526,0.01
527,0.03
528,0.03
529,0.01
530,0.01
531,0.03
532,0.01
533,0.01
534,0.01
535,0.01
536,0.05
537,0.03
538,0.07
539,0.01
540,0.01
541,0.03
542,0.03
543,0.05
544,0.01
545,0.01
546,0.01
547,0.07
548,0.03
549,0.03
550,0.03
551,0.01
552,0.01
553,0.07
554,0.07
555,0.03
556,0.01
557,0.03
558,0.03
559,0.01
560,0.01
561,0.05
562,0.03
563,0.01
564,0.01
565,0.01
566,0.05
567,0.03
568,0.01
569,0.03
570,0.03
571,0.05
572,0.03
573,0.03
574,0.05
575,0.07
576,0.07
577,0.07
578,0.07
579,0.07
580,0.03
581,0.03
582,0.05
583,0.07
584,0.03
585,0.03
586,0.03
587,0.01
588,0.03
589,0.07
590,0.03
591,0.05
592,0.01
593,0.03
594,0.03
595,0.03
596,0.03
597,0.01
598,0.05
599,
600,
601,0.01
602,0.03
603,0.03
604,0.03
605,0.05
606,0.03
607,0.01
608,0.03
609,0.01
610,0.01
611,0.03
612,0.01
613,0.01
614,0.01
615,0.01
616,0.03
617,0.03
618,0.03
619,0.03
620,0.07
621,
622,0.05
623,0.01
624,0.01
625,0.03
626,0.03
627,0.01
628,0.03
629,0.01
630,0.01
631,0.03
632,0.03
633,0.05
634,0.03
635,0.05
636,0.03
637,0.01
638,0.01
639,0.01
640,0.03
641,0.01
642,0.01
643,0.01
644,0.01
645,0.01
646,0.01
647,0.03
648,0.03
649,0.03
650,0.01
651,0.01
652,0.01
653,0.03
654,0.01
655,0.01
656,0.01
657,0.01
658,0.03
659,0.05
660,0.01
661,0.03
662,0.01
663,0.01
664,0.03
665,0.03
666,0.03
667,0.01
668,0.01
669,0.03
670,0.01
671,0.01
