,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5413534,0.4774436,0.6466165,0.5413534,0.82222223,0.7888889,0.64444447,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.47462255,0.22008502,0.0,0.0,0.98977435,0.030303031,0.030303031,0.030303031,0.030303031,0.33926362
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.62468195,0.44489196,0.5746395,0.45373198,0.59522533,0.7108898,0.5326084,0.675176,0.0,0.12652263,0.787786,0.1550004,0.0,0.67532766,0.7497447,0.21900022,0.3517405,0.0005919955,0.0,0.0,0.98792416,0.28807548,0.28877127,0.0,0.29036325,0.2752497
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.6073045,0.5459011,0.6841626,0.5518375,0.60384715,0.55232096,0.56408,0.67498285,0.0,0.25579765,0.5263778,0.059905145,0.0,0.8438414,0.083200894,0.0,0.32751712,0.33180422,0.0,0.0,0.9879382,0.17979744,0.29051968,0.0,0.09209665,0.21718234
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5741964,0.56413096,0.7224358,0.55355835,0.5908886,0.5885827,0.502746,0.7094591,0.0,0.38828027,0.3504861,0.12234909,0.0,0.7368565,0.0,0.0,0.30791062,0.4004823,0.0,0.0,0.98831666,0.081143156,0.28861034,0.0,0.22000284,0.24236977
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.551263,0.5263628,0.61412346,0.5379847,0.57562244,0.704872,0.49759144,0.80266345,0.0,0.92205083,0.28849187,0.0,0.0,0.9891663,0.322235,0.0,0.4597743,0.29960304,0.0,0.033283863,0.9895924,0.20995282,0.28344333,1.0,0.2329791,0.11926001
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.44579113,0.54522055,0.51535386,0.43957773,0.60997254,0.6069693,0.57021004,1.0,0.0,1.0,0.2642616,0.0,0.0,1.0,0.5654399,0.0,0.4925617,0.30909613,0.0,0.0,0.9879874,0.28881434,0.28731462,0.84756374,0.15480293,0.15234286
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.40472686,0.5703503,0.502578,0.49253356,0.61532074,0.5983065,0.5835955,1.0,0.0,1.0,0.21196428,0.0,0.0,1.0,0.49928004,0.11907091,0.5103763,0.29096234,0.0,0.09598137,0.987492,0.28491932,0.28601167,0.9332954,0.0,0.2043283
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.43925446,0.5756411,0.493894,0.5530204,0.6014293,0.5895744,0.8212832,0.9651271,0.120479174,1.0,0.0,0.0,0.32442924,1.0,0.3110353,0.057066936,0.51438594,0.30497336,0.00019584215,0.12351383,0.98674035,0.14199759,0.28741163,0.89334744,0.0,0.4505254
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5128274,0.5445657,0.47853693,0.5075023,0.8301852,0.6940022,0.89718723,0.7611822,0.5698239,0.51177293,0.039317377,0.3314327,0.72351104,0.5280554,0.17128704,0.0,0.6168299,0.32056594,0.0009326772,0.0,0.9872448,0.0,0.20307902,1.0,0.0,0.44493678
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.54741913,0.6662048,0.6396773,0.4789738,0.6574949,0.53754854,0.8474361,0.6409613,0.535291,0.3795614,0.1414191,0.3678635,0.63832647,0.38117555,0.0,0.074744284,0.6566878,0.3090748,0.0016313805,0.1500359,0.9879461,0.0,0.28681824,0.28757608,0.045135267,0.41082937
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.5665129,0.6035866,0.6435008,0.5967884,0.552324,0.58165276,0.8217956,0.7007384,0.9206345,0.27472875,0.09721975,0.39825118,0.9000681,0.37980667,0.17263772,0.30954716,0.62085867,0.37983134,0.0031286888,0.0,0.98796576,0.0,1.0,0.2867676,0.0,0.5158568
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.585401,0.5552793,0.59842294,0.57339555,0.49936393,0.5980507,0.9625723,0.8463597,1.0,0.22384661,0.0,0.7183098,1.0,0.6329923,0.16442572,0.43719843,0.6535438,0.5523722,0.0034354366,0.0,0.9879952,0.0,1.0,0.29016367,0.0,0.47895494
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.6389607,0.5706813,0.6210683,0.6427953,0.46417248,0.5925225,0.9470877,0.79760474,1.0,0.066224724,0.0,0.71466094,1.0,0.55406046,0.13746707,0.3520623,0.6945864,0.36904883,0.0035641047,0.0,0.986481,0.1123198,1.0,0.27966875,0.0,0.5875445
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.6688752,0.579068,0.5984612,0.6545171,0.6464698,0.5738054,0.9026292,0.8587559,1.0,0.0,0.046527684,0.63973516,0.967087,0.35006186,0.07079556,0.3609259,0.73459274,0.38017002,0.0027361747,0.043784935,0.988745,0.0,1.0,0.2702876,0.0,0.2822355
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.59749335,0.46703714,0.5914491,0.647435,0.5787204,0.90924656,0.6753747,0.9306729,0.81993455,0.05172058,0.0,0.7711919,0.4577637,0.22129278,0.13892235,0.696489,0.73084825,0.27883708,0.002485121,0.0,0.98917484,0.28111708,0.7697906,0.0,0.0,0.44876206
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.58632606,0.6290598,0.5850173,0.69373804,0.77733916,0.7898248,0.7154169,0.8164711,0.35762745,0.08154642,0.0,0.62404776,0.38431,0.12567228,0.11447547,0.79391056,0.7946681,0.20035487,0.0020688742,0.15394448,0.98790467,0.23964402,0.0,0.0,0.14466879,0.46725148
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.6930606,0.5929091,0.52574074,0.60874474,0.85854447,0.5804339,1.0,0.64278424,0.59897995,0.16273704,0.13970934,0.7081751,0.0,0.0,0.13524331,0.9600027,0.74613535,0.0,0.0017545256,0.13555339,0.9895919,1.0,0.0,0.27870288,0.75815976,0.21958074
17,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.017037086,0.6342112,0.5737324,0.526061,0.5762485,0.9142585,0.6157169,1.0,0.7782601,0.54816085,0.16138116,0.16204222,0.4274971,0.19673981,0.0,0.21504675,0.83770466,0.74952155,0.0,0.0011070007,0.13131341,0.98915106,1.0,0.0,0.11292984,0.7757694,0.38961285
18,0.25,0.0669873,0.8535534,0.8535534,0.5,0.0,0.63472474,0.4941574,0.4789973,0.6352267,0.93353176,0.6968655,1.0,0.89094764,0.37985122,0.15284467,0.046300337,0.21982192,0.120585196,0.0,0.0,0.5612481,0.7421851,0.1315065,0.0,0.020706853,0.9903231,0.7414818,0.21262616,0.27180225,0.8022093,0.2647417
19,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.017037086,0.64192307,0.4867584,0.49942684,0.5939655,0.8775141,0.86560977,1.0,0.79334867,0.1862556,0.13153934,0.0,0.0,0.0,0.0,0.1611011,0.37569267,0.75129926,0.15035014,0.0,0.0,0.9918799,0.74035424,0.1803206,0.14106192,0.92475486,0.27776125
20,0.25,0.0669873,0.8535534,0.8535534,0.75,0.0669873,0.6194809,0.51153123,0.5153137,0.6089151,0.90672326,0.8187251,1.0,0.73377675,0.15453805,0.12683022,0.085508116,0.0,0.0,0.0,0.1763376,0.2237059,0.78919137,0.14235415,8.6206506e-05,0.0,0.9914584,0.7401118,0.2376353,0.0,1.0,0.33030325
21,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.14644662,0.5732533,0.45830563,0.46295694,0.4987396,0.48572597,0.8539803,0.82009774,0.8124401,0.0,0.0,0.13430278,0.0,0.0,0.22217557,0.0,0.0,0.8021867,0.41365537,0.00063674373,0.0,0.9887314,0.19447327,0.2462218,0.0,0.25454155,0.29859203
22,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.25,0.56664157,0.43267858,0.5273395,0.4915777,0.5188826,0.84323454,0.7993678,0.6587604,0.0,0.0,0.27638993,0.040348116,0.0,0.22007799,0.0,0.0,0.78209406,0.37335137,0.0004408522,0.0,0.9886719,0.19317524,0.14421597,0.0,0.2643493,0.17756653
23,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.37059048,0.5365371,0.40202248,0.52721334,0.48609066,0.6095501,0.9510749,0.629209,0.58929193,0.0,0.0,0.4365504,0.15653206,0.0,0.19507568,0.0,0.0,0.73963577,0.27129424,0.0,0.035171777,0.9888841,0.14956363,0.0,0.0,0.25669113,0.20049638
24,0.25,0.0669873,0.8535534,0.8535534,1.0,0.5,0.5094113,0.42235842,0.5936137,0.44603986,0.60939765,1.0,0.5389191,0.60685164,0.0,0.0,0.42086682,0.16170001,0.0,0.22835085,0.0,0.0,0.6256546,0.27583706,9.843197e-05,0.13790932,0.98816526,0.0,0.0038479187,0.0,0.28370073,0.15829301
25,0.25,0.0669873,0.5,1.0,0.9829629,0.62940955,0.52234465,0.46316174,0.65032107,0.51689374,0.6918506,1.0,0.5803906,0.5788941,0.0,0.0,0.38790622,0.15193868,0.0,0.22007532,0.0,0.0,0.41122067,0.3381733,0.0,0.13384192,0.98845464,0.038891733,0.23183684,0.17077875,0.26778606,0.24761802
26,0.25,0.0669873,0.5,1.0,0.9330127,0.75,0.50174576,0.46679765,0.51919883,0.4716514,0.6760402,1.0,0.723831,0.6418321,0.0,0.088217095,0.7619157,0.15497772,0.0,0.2829196,0.5651387,0.0,0.38629925,0.037391532,0.0,0.06170716,0.9879185,0.2800518,0.24983251,0.0,0.2877102,0.064472556
27,0.25,0.0669873,0.5,1.0,0.8535534,0.8535534,0.5156226,0.4772622,0.67076856,0.47074318,0.7144234,1.0,0.50666004,0.6418455,0.0,0.13655576,0.66996324,0.15451337,0.0,0.20362121,0.7197933,0.0,0.36475566,0.23442668,0.0,0.08491448,0.98918545,0.27438748,0.19212523,0.16505022,0.28386945,0.30032748
28,0.25,0.0669873,0.5,1.0,0.75,0.9330127,0.45834425,0.5301459,0.5671611,0.52852917,0.8696728,0.8896438,0.46539652,0.6423353,0.0,0.28961158,0.48357788,0.086080775,0.0,0.32292005,0.6150119,0.0,0.36570838,0.028341852,0.0,0.10051501,0.98872447,0.2824109,0.28698736,0.741499,0.11925873,0.0773063
29,0.25,0.0669873,0.5,1.0,0.62940955,0.9829629,0.40568078,0.5310929,0.54613477,0.4688521,0.77160627,0.85104406,0.4882668,0.6751508,0.0,0.48794377,0.29431567,0.0,0.0,0.44031605,0.42886838,0.0,0.4349971,0.013574257,0.0,0.102379344,0.9890198,0.19415036,0.28311473,0.77092755,0.0,0.088434935
30,0.25,0.0669873,0.5,1.0,0.5,1.0,0.42128652,0.5474642,0.6285459,0.5184776,0.7982305,0.84672767,0.65245765,0.6418227,0.0,0.4192272,0.124490224,0.0,0.0,0.37425426,0.19485043,0.0,0.4957368,0.0,0.0,0.14173548,0.9876537,0.27264175,0.28200135,0.74880177,0.0,0.21798062
31,0.25,0.0669873,0.5,1.0,0.37059048,0.9829629,0.4669565,0.49951586,0.7079311,0.53594685,0.84831816,0.8960518,0.6402195,0.5636628,0.23583362,0.38297868,0.105254896,0.07298372,0.0,0.3545588,0.20847847,0.26726988,0.5922072,0.10946825,0.0010140663,0.15139948,0.9871453,0.2836191,0.19587992,0.90146875,0.0,0.43565807
32,0.25,0.0669873,0.5,1.0,0.25,0.9330127,0.46493673,0.5023647,0.5880552,0.67382056,0.6756053,0.8999762,0.73230356,0.7582904,0.12834828,0.95644903,0.15019208,0.2466421,0.0,0.9340772,0.2039805,0.6600533,0.6275946,0.46994802,0.001797204,0.15063474,0.98827386,0.2903254,0.1346338,0.7518522,0.0,0.5117046
33,0.25,0.0669873,0.5,1.0,0.14644662,0.8535534,0.46245724,0.58687145,0.51827806,0.77947855,0.6452315,0.6924374,0.9984734,0.7224729,0.19701877,0.72212845,0.13266662,0.43831673,0.0,0.95240545,0.21116108,0.664446,0.6013309,0.5888756,0.0025724529,0.1104047,0.99079174,0.288541,0.18050566,0.0,0.098743774,0.2800401
34,0.25,0.0669873,0.5,1.0,0.0669873,0.75,0.52714044,0.6645743,0.6126879,0.6216074,0.55197334,0.80728453,0.5749415,0.7429069,0.2849927,0.6410556,0.0,0.91940534,0.0,0.96110684,0.0,0.9969224,0.6694389,0.38635656,0.002404481,0.15401371,0.9896905,0.2905706,1.0,0.26492444,0.060625654,0.4412699
35,0.25,0.0669873,0.5,1.0,0.017037086,0.62940955,0.52611846,0.63903433,0.6434863,0.65788555,0.5188983,0.81809384,0.59096164,0.7583661,0.7376557,0.38024867,0.0,0.8022485,0.0,0.83614737,0.064316876,0.9357378,0.8421857,0.770506,0.0023439864,0.10636537,0.98883736,0.287339,1.0,0.25695008,0.10551663,0.44152007
36,0.25,0.0669873,0.5,1.0,0.0,0.5,0.54596317,0.673088,0.5985258,0.6781291,0.49647328,0.94673496,0.5900002,0.71357477,0.72606736,0.25023222,0.03990559,0.78347105,0.0,0.5767672,0.14171812,0.9388796,0.88503695,0.70297146,0.0025694345,0.13431828,0.99038124,0.29070523,1.0,0.0,0.24131653,0.44914627
37,0.25,0.0669873,0.5,1.0,0.017037086,0.37059048,0.5087371,0.7227345,0.6194326,0.7385408,0.576272,0.823898,0.5744215,0.67470175,0.70519835,0.15603553,0.117801465,0.81116605,0.0,0.33806086,0.22114652,1.0,0.791261,0.14661936,0.0035475707,0.0,0.98845667,0.2890514,1.0,0.0,0.13772573,0.48274606
