,0,1,2,3,4
0,0.01,0.01,0.01,0.01,0.01
1,0.03,0.03,0.03,0.03,0.03
2,0.05,0.03,0.03,0.01,0.01
3,0.03,0.03,0.03,0.03,0.03
4,0.01,0.01,0.01,0.03,0.05
5,0.03,0.03,0.03,0.03,0.03
6,0.03,0.03,0.03,0.01,0.01
7,0.05,0.05,0.05,0.01,0.03
8,0.03,0.01,0.01,0.03,0.03
9,0.05,0.05,0.03,0.05,0.05
10,0.05,0.03,0.01,0.01,0.03
11,0.05,0.05,0.05,0.03,0.05
12,0.01,0.01,0.01,0.01,0.03
13,0.03,0.03,0.03,0.05,0.05
14,0.05,0.05,0.05,0.01,0.01
15,0.01,0.01,0.01,0.03,0.03
16,0.01,0.01,0.01,0.05,0.05
17,0.03,0.03,0.03,0.01,0.01
18,0.01,0.01,0.01,0.01,0.01
19,0.03,0.03,0.03,0.03,0.03
20,0.05,0.05,0.05,0.01,0.01
21,0.03,0.01,0.03,0.03,0.03
22,0.01,0.01,0.01,0.05,0.05
23,0.01,0.01,0.01,0.01,0.01
24,0.03,0.03,0.03,0.01,0.01
25,0.03,0.01,0.01,0.01,0.01
26,0.01,0.01,0.01,0.03,0.03
27,0.01,0.01,0.01,0.03,0.03
28,0.03,0.03,0.03,0.01,0.01
29,0.03,0.01,0.03,0.01,0.01
30,0.03,0.03,0.03,0.03,0.03
31,0.01,0.01,0.01,0.01,0.03
32,0.01,0.01,0.01,0.03,0.03
33,0.01,0.01,0.01,0.01,0.01
34,0.05,0.05,0.05,0.01,0.01
35,0.05,0.05,0.05,0.01,0.01
36,0.07,0.05,0.05,0.05,0.05
37,0.03,0.03,0.03,0.05,0.05
38,0.05,0.03,0.05,0.05,0.07
39,0.01,0.01,0.01,0.03,0.03
40,0.01,0.03,0.03,0.05,0.03
41,0.01,0.01,0.01,0.01,0.03
42,0.05,0.05,0.03,0.03,0.01
43,0.05,0.03,0.05,0.01,0.01
44,0.05,0.05,0.05,0.03,0.03
45,0.03,0.03,0.03,0.05,0.05
46,0.01,0.01,0.01,0.05,0.05
47,0.03,0.03,0.03,0.03,0.03
48,0.05,0.01,0.05,0.01,0.01
49,0.03,0.03,0.03,0.03,0.03
50,0.03,0.03,0.03,0.01,0.03
51,0.03,0.03,0.03,0.05,0.03
52,0.05,0.03,0.05,0.03,0.05
53,0.05,0.05,0.05,0.05,0.03
54,0.03,0.05,0.03,0.03,0.03
55,0.03,0.01,0.03,0.05,0.03
56,0.01,0.03,0.01,0.05,0.05
57,0.03,0.01,0.01,0.03,0.05
58,0.01,0.01,0.01,0.03,0.01
59,0.01,0.01,0.01,0.01,0.03
