,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.24188887,0.07064743,0.8449772,0.8499329,0.07388481,0.24046543,0.61406016,0.5313534,0.508797,0.5689474,0.69,0.72333336,0.84555554,0.7455556,0.6615831,-0.01,-0.01,0.9018387,0.29535154,-0.01,0.01,0.7287828,0.8228928,0.4044189,0.012564589,1.0010159,0.97944856,0.020303031,0.99,0.04030303,0.020303031
1,0.24471046,0.057919394,0.87932515,0.87339056,0.27790162,0.04444513,0.5940602,0.5339098,0.47,0.61661655,0.70777774,0.72999996,0.91888887,0.6633333,0.4665782,-0.03,-0.03,0.65045226,0.15258132,-0.03,-0.017715175,0.70767057,0.7971323,0.12175806,0.03128998,0.97358567,0.9579947,0.97,0.00030303188,0.00030303188,1.0166435
2,0.25071043,0.06785921,0.85662895,0.8512944,0.50294447,-0.009104632,0.57390976,0.5513534,0.51,0.67541355,0.7455556,0.79888886,0.8788889,0.75666666,0.23713864,0.01,0.024749262,0.25090462,0.32578176,0.01,0.024690451,0.34362015,0.8053531,0.29275528,0.010151771,1.0099939,0.98025185,1.01,0.020303031,0.020303031,1.01
3,0.22,0.0969873,0.854142,0.8597308,0.9333197,0.28,0.5339098,0.47,0.5752632,0.5339098,0.72999996,0.8588889,0.7033334,0.78555554,-0.03,-0.03,0.4587119,-0.03,0.012015642,-0.03,0.1274528,0.03,0.78154904,0.24794728,-0.03,0.428394,1.0188769,0.060303032,0.060303032,0.060303032,0.060303032
4,0.29461735,0.045121156,0.509532,1.0190132,0.84284717,0.8915242,0.568797,0.5913534,0.61039484,0.568797,0.9388889,0.87222224,0.6944445,0.87222224,0.05,0.23711897,0.7258112,0.05,-0.0230162,-0.013273872,0.76532,-0.05,0.49058557,0.29240498,0.05,0.050007723,1.039943,-0.01969697,-0.01969697,0.08030303,-0.01969697
5,0.2671198,0.061417464,0.47,0.99249095,0.7266508,0.9440956,0.53,0.63526314,0.6380679,0.54879695,0.91888887,0.7633333,0.6633333,0.8522222,0.03,0.4587119,0.5904523,-0.03,0.03,0.12968521,0.70767057,-0.03,0.4058682,0.17650504,0.03,0.030000687,1.0196713,0.060303032,0.00030303188,1.03,0.060303032
6,0.2434501,0.059422098,0.5056728,1.0068822,0.6327758,0.97612685,0.4874436,0.61526316,0.63406014,0.51,0.9122222,0.71,0.65444446,0.8655555,-0.01,0.5839037,0.44559488,-0.01,0.01,0.22930746,0.603851,-0.01,0.4487027,0.19106804,-0.01,-0.009999938,0.9994786,0.024889316,0.04030303,1.01,0.04030303
7,0.2761976,0.06476489,0.48225528,0.9790836,0.5296287,0.9900318,0.47,0.6540601,0.69541353,0.48879698,0.91888887,0.70777774,0.7966666,0.8522222,-0.015250737,0.60915434,0.2709046,-0.0034513269,0.044690453,0.12110178,0.32362014,0.12110178,0.44479796,0.16151449,-0.029840635,-0.029999994,1.0189464,0.00030303188,0.018869912,0.97,0.00030303188
8,0.22,0.07658726,0.51583064,0.97,0.34609672,0.9852595,0.51135343,0.5489474,0.61661655,0.5527068,0.8855555,0.7255556,0.67444444,0.7633333,0.08406096,0.51473945,0.05654867,0.15879056,0.074071355,0.10955928,0.12424974,0.3844806,0.50689435,0.19378197,-0.029204808,-0.03,1.0185663,0.060303032,0.00030303188,0.97,0.001925474
9,0.20903909,0.08033733,0.5130727,0.969312,0.28724864,0.95323145,0.4977066,0.52894735,0.5966165,0.5966165,0.90555555,0.8055556,0.6166667,0.67222226,0.19778761,0.8418387,-0.05,0.3472468,0.027649526,0.6687828,-0.05,0.5890346,0.65271527,0.3468501,0.0015698774,0.062159,1.0390997,0.08030303,0.08030303,0.95,0.08030303
10,0.2416644,0.04103724,0.47993046,0.9777081,0.14259928,0.8274662,0.51135343,0.61661655,0.5713534,0.67676693,0.8522222,0.67444444,0.8522222,0.57000005,0.31711897,0.80581117,0.03,0.57078665,0.066726126,0.78532004,-0.03,0.73600215,0.634319,0.39711037,-0.027733954,0.19476399,0.9605857,0.046477675,0.00030303188,0.00030303188,0.05244167
11,0.29178333,0.0756381,0.49123108,0.9813023,0.018490504,0.7631807,0.55526316,0.5966165,0.6139098,0.6379699,0.78333336,0.68333334,0.70555556,0.57222223,0.4787119,0.6704523,0.05,0.8149951,0.087853424,0.78767055,-0.0085200565,0.78210914,0.6736694,0.381003,0.052745312,0.4388733,0.9407317,-0.01969697,1.05,-0.01969697,-0.010072179
12,0.2277602,0.08045245,0.49094343,0.9974484,-0.005471317,0.6419271,0.63526314,0.6540601,0.59390974,0.7593233,0.67,0.6144445,0.75456583,0.60070735,0.62390363,0.4055949,0.03,0.87039363,0.24930745,0.58385104,-0.03,0.8209969,0.769031,0.6214593,-0.026974926,0.72298265,1.0216731,0.00030303188,1.03,0.060303032,0.060303032
13,0.21965183,0.09382717,0.54101086,0.9545726,0.035990007,0.4937863,0.67406017,0.7154136,0.568797,0.77932334,0.62777776,0.81666666,0.81666666,0.5833334,0.6291544,0.2909046,-0.05,0.89198625,0.20110178,0.38551226,-0.05,0.80519414,0.7748594,0.5774545,-0.046900842,0.96180946,1.0408235,0.077444986,1.05,0.08030303,0.08030303
14,0.24863753,0.07398668,0.50740635,1.0075966,0.017907139,0.37636063,0.5689474,0.6366165,0.5313534,0.71932334,0.76555556,0.65444446,0.76555556,0.54333335,0.53473943,0.016548673,-0.01,0.9339528,0.12955928,0.14424974,-0.01,0.8493914,0.8291761,0.23410527,-0.007088074,0.98806417,0.9970979,0.04030303,0.99,0.04030303,0.04030303
15,0.24530548,0.07259831,0.47901595,1.0183411,0.08480806,0.2554248,0.60894734,0.6766165,0.54879695,0.7367669,0.77647054,0.59666663,0.8522222,0.56333333,0.9179031,-0.014324797,0.03,0.8559391,0.74878275,-0.03,-0.03,0.8220462,0.78791416,0.36658126,-0.02746432,1.0298136,1.0110365,0.060303032,0.9737242,0.060303032,0.060303032
16,0.2538391,0.10123539,0.48488644,0.9584774,0.10488698,0.15386154,0.69661653,0.5913534,0.568797,0.77932334,0.59444445,0.7770497,0.7722222,0.46111113,0.8258112,-0.05,0.05,0.8267945,0.86532,0.05,0.05,0.85902417,0.7956316,0.23519136,0.039506946,0.9858952,0.9375764,-0.01969697,0.08030303,-0.01969697,-0.01969697
