,0,1,2,3,4
0,0.05,0.03,0.03,0.05,0.03
1,0.03,0.01,0.05,0.01,0.05
2,0.03,0.03,0.03,0.03,0.03
3,0.01,0.03,0.01,0.03,0.03
4,0.03,0.03,0.01,0.03,0.01
5,0.03,0.01,0.03,0.03,0.01
6,0.01,0.03,0.03,0.03,0.03
7,0.03,0.05,0.05,0.03,0.01
8,0.03,0.03,0.01,0.01,0.01
9,0.01,0.01,0.05,0.01,0.05
10,0.01,0.03,0.03,0.03,0.01
11,0.01,0.01,0.01,0.01,0.01
12,0.03,0.01,0.01,0.03,0.03
13,0.01,0.03,0.01,0.03,0.01
14,0.03,0.01,0.01,0.05,0.03
15,0.03,0.03,0.03,0.03,0.03
16,0.01,0.03,0.03,0.01,0.03
17,0.03,0.01,0.03,0.01,0.01
18,0.01,0.03,0.03,0.03,0.03
19,0.03,0.05,0.05,0.05,0.05
20,0.05,0.01,0.05,0.01,0.01
21,0.01,0.03,0.03,0.03,0.05
22,0.03,0.01,0.05,0.05,0.01
23,0.01,0.01,0.05,0.03,0.01
24,0.03,0.01,0.01,0.01,0.03
25,0.01,0.05,0.01,0.01,0.01
26,0.01,0.03,0.01,0.05,0.05
27,0.01,0.01,0.01,0.03,0.03
28,0.03,0.03,0.01,0.03,0.03
29,0.03,0.03,0.05,0.01,0.01
30,0.03,0.05,0.01,0.03,0.05
31,0.03,0.03,0.03,0.01,0.03
32,0.03,0.01,0.01,0.01,0.01
33,0.03,0.01,0.05,0.01,0.03
34,0.03,0.01,0.03,0.03,0.03
35,0.03,0.01,0.01,0.05,0.01
36,0.01,0.03,0.01,0.03,0.03
37,0.05,0.01,0.03,0.03,0.01
38,0.03,0.03,0.01,0.01,0.03
39,0.03,0.03,0.01,0.01,0.03
40,0.01,0.03,0.01,0.01,0.03
41,0.03,0.01,0.03,0.01,0.03
42,0.01,0.03,0.01,0.03,0.03
43,0.01,0.03,0.03,0.03,0.01
44,0.01,0.03,0.01,0.05,0.05
45,0.01,0.03,0.03,0.01,0.03
46,0.01,0.01,0.03,0.01,0.03
47,0.01,0.01,0.01,0.03,0.03
48,0.01,0.01,0.03,0.01,0.01
49,0.03,0.01,0.03,0.03,0.01
50,0.01,0.01,0.03,0.01,0.03
51,0.01,0.03,0.01,0.03,0.03
52,0.01,0.01,0.03,0.01,0.03
53,0.03,0.03,0.01,0.03,0.03
54,0.03,0.03,0.01,0.05,0.03
55,0.03,0.01,0.03,0.01,0.03
56,0.03,0.01,0.01,0.01,0.03
57,0.01,0.01,0.01,0.03,0.01
58,0.01,0.03,0.03,0.01,0.01
59,0.01,0.01,0.01,0.03,0.05
60,0.03,0.03,0.03,0.01,0.01
61,0.03,0.03,0.01,0.01,0.05
62,0.01,0.01,0.01,0.05,0.03
63,0.01,0.03,0.01,0.01,0.01
64,0.01,0.01,0.01,0.01,0.01
65,0.01,0.01,0.03,0.05,0.03
66,0.03,0.05,0.03,0.01,0.01
67,0.01,0.01,0.01,0.05,0.01
68,0.05,0.01,0.01,0.05,0.03
69,0.05,0.05,0.01,0.01,0.05
70,0.01,0.05,0.03,0.01,0.03
71,0.03,0.03,0.01,0.03,0.01
72,0.03,0.01,0.05,0.01,0.01
73,0.01,0.05,0.01,0.03,0.01
74,0.05,0.05,0.03,0.03,0.03
