,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.08760646,0.26235384,0.8835534,0.17644662,1.03,0.49273384,0.5576289,0.5008741,0.6607649,0.5569822,0.81693107,0.7902591,0.67444444,0.8170239,-0.0012608257,0.021578852,0.91788596,-0.03,-0.002754244,0.07493179,0.8251942,-0.03,0.4633923,0.25008503,-0.023976598,0.03,1.0188389,0.02413435,0.005354535,0.060303032,0.011794131
1,0.2840907,0.016987298,0.88922364,0.9035534,1.0100176,0.64706737,0.51261353,0.46879697,0.5966165,0.46879697,0.7669523,0.766693,0.62777776,0.8055555,0.008537904,0.14764012,0.9797425,0.037790865,0.017472807,0.41589716,0.73384047,0.05,0.38965425,0.22455661,-0.05,-0.05,0.9955661,-0.010795489,0.06256611,-0.015781961,-0.01969697
2,0.2477084,0.055853345,0.85841155,0.86734676,0.9276687,0.75775313,0.56007516,0.6127067,0.64353436,0.54879695,0.78555554,0.72999996,0.72999996,0.8855555,0.03,0.44297937,0.64158314,-0.023978233,0.03,0.6511962,0.27535152,-0.03,0.36789203,0.14827497,0.03,0.03,1.0194575,0.00030303188,0.060303032,0.060303032,0.026913255
3,0.2526756,0.07458992,0.86130846,0.86270666,0.63676363,0.9730057,0.46744362,0.61406016,0.57270676,0.46744362,0.7788889,0.6677778,0.72333336,0.9322222,-0.01,0.8779056,0.39544737,-0.01,-0.01,0.84099686,0.4255299,0.01,0.42485246,0.12885056,-0.01,0.01,0.9791586,0.04030303,0.04030303,1.01,0.020303031
4,0.24816975,0.06396136,0.85882634,0.8454924,0.3676148,0.9897077,0.508797,0.6366165,0.5539098,0.5313534,0.77666664,0.68777776,0.71,0.8655555,0.18764012,0.93985254,0.036548674,0.10406096,0.47589716,0.7738405,0.14005247,0.034071356,0.43445206,0.14634714,-0.009170122,-0.01,0.9983242,0.04030303,0.020303031,0.99,0.020303031
5,0.2444933,0.05341785,0.8314328,0.8727033,0.2797687,0.9227853,0.5527068,0.5940602,0.5713534,0.51135343,0.67,0.67,0.7033334,0.8855555,0.38297936,0.7015831,0.03,0.21778761,0.6511962,0.33535153,0.03,0.086605184,0.5405188,0.33499363,-0.028381199,0.007460667,1.019121,0.060303032,0.060303032,1.03,0.060303032
6,0.25836346,0.08935969,0.8481232,0.8337246,0.08238345,0.7699494,0.62180865,0.6540601,0.59390974,0.63526314,0.67,0.70777774,0.67,0.7033334,0.7349951,0.4665782,0.03,0.3987119,0.79401416,0.21258132,0.03,0.069685206,0.6439822,0.5231713,-0.027197434,0.23222464,1.021014,0.060303032,1.03,0.060303032,0.00030303188
7,0.26327103,0.052240085,0.81123453,0.87885916,0.039689705,0.6706698,0.6628839,0.62577176,0.5615066,0.6454661,0.6346615,0.68333334,0.74238944,0.6540164,0.93091714,0.34337032,0.044327617,0.6398943,0.88639504,0.37266967,0.047547117,0.26701418,0.6965899,0.61686003,0.051793225,0.41845763,1.0389794,-0.012714155,1.0486062,0.07732719,-0.015969932
8,0.24430822,0.06773991,0.8602172,0.85002434,0.062036686,0.2455787,0.61406016,0.5313534,0.508797,0.5689474,0.69,0.72333336,0.84555554,0.7455556,0.6615831,-0.01,-0.01,0.9018387,0.29535154,-0.01,0.01,0.7287828,0.8228928,0.4044189,0.012564589,1.0096761,0.9787531,0.020303031,0.99,0.04030303,0.020303031
9,0.3,0.016987298,0.87861985,0.9035534,0.19644661,0.18955633,0.5966165,0.51390976,0.46879697,0.5966165,0.62777776,0.6166667,0.8388889,0.6290053,0.4632743,-0.05,-0.02291837,0.7814303,0.11054565,0.05,0.05,0.86532,0.86497897,-0.019217389,0.046724968,1.0415624,0.9363763,0.08030303,0.08030303,-0.01969697,0.08030303
10,0.2564249,0.05259829,0.8671842,0.8699718,0.27523017,0.07208355,0.5940602,0.5339098,0.47,0.61661655,0.70777774,0.72999996,0.91888887,0.6199474,0.4665782,-0.03,-0.03,0.65045226,0.15258132,-0.02363241,-0.03,0.70767057,0.81271595,0.12175806,0.03128998,1.0278257,0.9579892,0.97,0.00030303188,0.00030303188,0.97
11,0.25113866,0.057914663,0.8618406,0.84552693,0.36617595,0.009222835,0.59270674,0.528797,0.4874436,0.63406014,0.74333334,0.79888886,0.9322222,0.65444446,0.39544737,0.01,-0.01,0.4255949,0.4255299,-0.01,-0.01,0.603851,0.82137644,0.025668645,-0.009406868,0.9899944,0.99764216,0.99,0.04030303,0.04030303,0.99
12,0.24317499,0.06733813,0.8514691,0.85314053,0.49394193,1.6540846e-05,0.57390976,0.5513534,0.51,0.67541355,0.7455556,0.7788889,0.8788889,0.75666666,0.23713864,0.01,0.024749262,0.25090462,0.34578174,0.01,0.024690451,0.36362013,0.8053531,0.29275528,0.010151771,0.8545944,0.9993706,0.99,0.020303031,0.04030303,1.01
13,0.25115433,0.066408455,0.85738665,0.8608261,0.63560635,0.024724036,0.5719366,0.5277977,0.5510971,0.6431191,0.69,0.86080587,0.85666275,0.6502036,0.016548673,0.01,0.11219637,0.016548673,0.14005247,0.01,0.054071352,0.14424974,0.8038313,0.30611682,0.00010491969,0.7391944,0.9803681,0.993126,0.020303031,0.04030303,0.99
14,0.25761753,0.060006395,0.8451871,0.8494453,0.942745,0.24043147,0.5539098,0.49,0.5952632,0.5539098,0.71,0.8988889,0.728902,0.7568507,-0.008329642,-0.01,0.43871188,0.01,-0.01,-0.01,0.109685205,0.01,0.76154906,0.20794727,0.0029523894,0.2427278,0.97887695,0.020303031,0.020303031,0.020303031,0.020303031
15,0.26235077,0.05997657,0.8427705,0.88305384,0.98838687,0.38323364,0.48879698,0.5074436,0.63526314,0.5339098,0.7588889,0.8922222,0.67,0.78555554,-0.03,0.03,0.5639037,-0.03,-0.03,0.03,0.18930745,-0.03,0.6554433,0.2335279,-0.00782983,0.067327805,1.0187676,0.060303032,0.060303032,0.060303032,0.060303032
16,0.2727379,0.07934023,0.8760762,0.8319147,0.9939388,0.48698908,0.5713534,0.53,0.6540601,0.54879695,0.7588889,0.8588889,0.6477778,0.7366667,0.03,0.04474926,0.60915434,0.03,0.03,0.044690453,0.18110178,0.03,0.5432656,0.13593568,0.03,0.038657956,0.96265596,0.00030303188,0.00030303188,0.00030303188,0.00030303188
17,0.24685039,0.07887361,0.47,1.0083504,0.91808295,0.78,0.48879698,0.51135343,0.5489474,0.48879698,0.82555556,0.82555556,0.7255556,0.8522222,-0.03,0.21778761,0.9218387,-0.03,-0.03,0.047649525,0.74878275,0.03,0.4861416,0.17846185,-0.03,0.030068513,0.9592269,0.00030303188,0.060303032,0.060303032,0.00030303188
18,0.26968706,0.09626067,0.4833853,1.0232966,0.37286124,0.98845047,0.5713534,0.60894734,0.61661655,0.6127067,0.82555556,0.7255556,0.6247017,0.7033334,0.14406095,0.51473945,-0.0034513269,0.21879056,0.074071355,0.10955928,0.12424974,0.4444806,0.5075939,0.19378197,0.03079519,0.03,1.0185663,0.00030303188,0.00030303188,1.03,0.00030303188
19,0.2474303,0.028356861,0.51378405,1.0339892,0.2700981,0.8830127,0.5340441,0.52894735,0.5966165,0.5966165,0.90555555,0.8055556,0.6166667,0.67222226,0.19778761,0.8418387,-0.05,0.3472468,0.027649526,0.6687828,-0.05,0.5890346,0.6522908,0.3468501,-0.048422284,0.13730332,1.0402746,0.08030303,0.08030303,1.05,0.028632063
20,0.29032362,0.111380786,0.4880206,1.0225704,0.05804185,0.712366,0.59641296,0.5966165,0.51390976,0.68510324,0.68333334,0.68333334,0.70555556,0.57222223,0.3808262,0.5704523,0.05,0.8149951,0.049685206,0.6876705,0.05,0.88210917,0.6736694,0.381003,0.052745312,0.51190996,0.94014424,-0.01969697,1.05,-0.01969697,-0.01969697
21,0.25849086,0.055499796,0.47219634,0.9771478,0.017332459,0.63094115,0.63526314,0.6540601,0.59390974,0.7593233,0.67,0.6144445,0.7255556,0.5932887,0.62390363,0.4055949,0.03,0.8520059,0.24930745,0.58385104,-0.03,0.8809968,0.769031,0.6214593,-0.026974926,0.7960193,1.0216731,0.020795602,1.03,0.060303032,0.045895677
22,0.21277888,0.0978561,0.55,1.0238127,-0.05,0.46851814,0.57406014,0.61541355,0.46879697,0.6793233,0.69361424,0.76954484,0.71666664,0.48502928,0.52915436,0.2909046,0.05,0.9919863,0.101101786,0.40362015,0.05,0.90519416,0.87485945,0.47745448,0.05309916,1.0110942,0.9403017,-0.01969697,1.05,-0.01969697,-0.01969697
23,0.23401472,0.046160366,0.5418995,0.9797229,0.19347279,0.1797102,0.69661653,0.5913534,0.568797,0.77932334,0.59444445,0.7722222,0.7722222,0.46111113,0.7260944,0.05,0.05,0.8267945,0.86532,0.05,0.05,0.85902417,0.7956316,0.13519137,0.051968995,1.0499737,0.93757606,-0.01969697,0.002054045,0.08030303,0.08030303
24,0.25740033,0.0647738,0.49356124,1.0015311,0.75668937,0.059414376,0.6566165,0.5169555,0.6366165,0.59270674,0.57666665,0.81222224,0.63222224,0.7455556,0.01,-0.01,0.38724682,0.01,0.0035088873,-0.01,0.62903464,0.01,0.7260248,0.010000014,0.01,0.378117,0.9766375,0.99,0.020303031,0.04030303,0.9993576
25,0.2579194,0.05896325,0.50959903,0.9921978,0.93624914,0.2532099,0.57390976,0.528797,0.6979699,0.57390976,0.7455556,0.81222224,0.61222225,0.69,0.01,0.01,0.7749951,0.01,0.01,0.01,0.84210914,0.01,0.6530616,0.010000015,-0.01,0.0026719058,0.9972615,0.020303031,0.024950957,0.020303031,0.04030303
26,0.24097738,0.07105709,0.5010502,0.9986849,0.994031,0.5024869,0.508797,0.508797,0.71932334,0.49,0.77666664,0.81222224,0.54333335,0.8322222,-0.01,0.016548673,0.9319863,-0.01,-0.01,0.14110178,0.84519416,-0.01,0.5258741,0.010000015,-0.01,-0.009899723,0.99809945,0.04030303,0.04030303,0.04030303,0.04030303
27,0.24516879,0.06287116,0.15405378,0.8511605,0.50112724,0.9924085,0.508797,0.71932334,0.6366165,0.49,0.81222224,0.5233334,0.59000003,0.8655555,0.016548673,0.95198625,0.13192724,0.002782694,0.14110178,0.86519414,0.042528853,0.017345225,0.47127458,0.010000015,-0.009819619,0.01,0.9979289,0.04030303,0.04030303,1.01,0.022546545
28,0.24845694,0.06846647,0.15476775,0.8488837,0.36202303,0.9769982,0.57270676,0.71932334,0.61406016,0.5313534,0.72333336,0.5233334,0.6344445,0.7788889,0.17879055,0.9339528,0.022782695,0.08866273,0.4044806,0.8493914,0.023641132,0.01524659,0.52245516,0.011576291,0.010873614,0.01,0.9774113,0.04030303,0.04030303,0.99,0.04030303
