,0
0,0.03
1,0.05
2,0.03
3,0.03
4,0.01
5,0.01
6,0.01
7,0.01
8,0.03
9,0.03
10,0.01
11,0.05
12,0.01
13,0.01
14,0.01
15,0.05
16,0.03
17,0.01
18,0.01
19,0.01
20,0.01
21,0.03
22,0.01
23,0.01
24,0.03
25,0.01
26,0.03
27,0.05
28,0.03
29,0.01
30,0.01
31,0.03
32,0.05
33,0.03
34,0.05
35,0.03
36,0.05
37,0.01
38,0.03
39,0.05
40,0.01
41,0.01
42,0.03
43,0.01
44,0.03
45,0.05
46,0.01
47,0.01
48,0.01
49,0.03
50,0.01
51,0.01
52,0.01
53,0.03
54,0.01
55,0.01
56,0.03
57,0.03
58,0.03
59,0.05
60,0.01
61,0.01
62,0.03
63,0.01
64,0.03
65,0.05
66,0.03
67,0.01
68,0.03
69,0.03
70,0.03
71,0.01
72,0.01
73,0.01
74,0.03
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.03
81,0.03
82,0.01
83,0.03
84,0.03
85,0.03
86,0.03
87,0.01
88,0.05
89,0.01
90,0.03
91,0.03
92,0.03
93,0.03
94,0.01
95,0.01
96,0.03
97,0.01
98,0.01
99,0.01
100,0.01
101,0.01
102,0.03
103,0.01
104,0.03
105,0.05
106,0.03
107,0.01
108,0.01
109,0.03
110,0.03
111,0.01
112,0.01
113,0.03
114,0.01
115,0.03
116,0.03
117,0.01
118,0.01
119,0.01
120,0.03
121,0.01
122,0.03
123,0.01
124,0.01
125,0.01
126,0.05
127,0.01
128,0.01
129,0.03
130,0.01
131,0.05
132,0.01
133,0.01
134,0.01
135,0.05
136,0.01
137,0.03
138,0.03
139,0.05
140,0.01
141,0.03
142,0.01
143,0.01
144,0.01
145,0.03
146,0.05
147,0.03
148,0.03
149,0.01
150,0.05
151,0.01
152,0.03
153,0.03
154,0.01
155,0.01
156,0.03
157,0.01
158,0.01
159,0.01
160,0.01
161,0.01
162,0.05
163,0.03
164,0.03
165,0.03
166,0.03
167,0.03
168,0.03
169,0.05
170,0.05
171,0.05
172,0.03
173,0.01
174,0.01
175,0.01
176,0.05
177,0.03
178,0.03
179,0.01
180,0.01
181,0.01
182,0.01
183,0.05
184,0.01
185,0.01
186,0.01
187,0.03
188,0.03
189,0.01
190,0.01
191,0.03
192,0.03
193,0.01
194,0.01
195,0.03
196,0.01
197,0.01
198,0.01
199,0.03
200,0.03
201,0.03
202,0.03
203,0.05
204,0.03
205,0.01
206,0.01
207,0.03
208,0.01
209,0.01
210,0.01
211,0.01
212,0.03
213,0.01
214,0.05
215,0.01
216,0.01
217,0.03
218,0.03
219,0.03
220,0.01
221,0.01
222,0.03
223,0.03
224,0.01
225,0.07
226,0.01
227,0.03
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.05
234,0.05
235,0.05
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
241,0.03
242,0.01
243,0.01
244,0.03
245,0.01
246,0.01
247,0.01
248,0.03
249,0.01
250,0.01
251,0.03
252,0.01
253,0.03
254,0.01
255,0.03
256,0.01
257,0.01
258,0.03
259,0.03
260,0.03
261,0.03
262,0.03
263,0.03
264,0.03
265,0.01
266,0.03
267,0.01
268,0.03
269,0.03
270,0.03
271,0.01
272,0.01
273,0.05
274,0.01
275,0.03
276,0.01
277,0.01
278,0.03
279,0.03
280,0.01
281,0.01
282,0.01
283,0.05
284,0.07
285,0.01
286,0.03
287,0.01
288,0.01
289,0.01
290,0.03
291,0.03
292,0.03
293,0.03
294,0.03
295,0.01
296,0.03
297,0.05
298,0.03
299,0.05
300,0.03
301,0.01
302,0.03
303,0.03
304,0.03
305,0.03
306,0.05
307,0.05
308,0.03
309,0.05
310,0.01
311,0.01
312,0.03
313,0.01
314,0.01
315,0.01
316,0.03
317,0.01
318,0.03
319,0.03
320,0.03
321,0.03
322,0.03
323,0.01
324,0.01
325,0.01
326,0.03
327,0.01
328,0.01
329,0.03
330,0.03
331,0.01
332,0.03
333,0.01
334,0.01
335,0.03
336,0.01
337,0.03
