,MMD,p_value
binary_uACG_CW10_fillna,0.0011196136474609,0.0
binary_uACG_CW5_fillna,0.0002115964889526,0.6011999845504761
binary_uACG_CW5,0.0064731836318969,0.0
untargeted_binary_myPGD_03_mask_time_scale_solar_and_consumption_eps,0.0001758337020874,0.9840999841690063
bifurcated_uACG_DLloss_03_mask_time_solar_and_consumption,0.0065381526947021,0.0
bifurcated_uACG_DLloss_03_mask_time_solar_and_consumption_fillna,0.0001494884490966,1.0
dynamic_uACG,0.00015,1.0
MMD_baseline_random_daily_samples_0,0.0003787279129028,0.8829999566078186
MMD_baseline_random_daily_samples_1,0.0004104375839233,0.686199963092804
MMD_baseline_random_daily_samples_2,0.0003432035446166,0.9943999648094176
MMD_baseline_random_daily_samples_3,0.0003885030746459,0.8359000086784363
MMD_baseline_random_daily_samples_4,0.0006320476531982,0.0344999991357326
MMD_baseline_random_daily_samples_5,0.0003796815872192,0.8773999810218811
MMD_baseline_random_daily_samples_6,0.0004612207412719,0.3805999755859375
MMD_baseline_random_daily_samples_7,0.0003579854965209,0.9680999517440796
MMD_baseline_random_daily_samples_8,0.0004000663757324,0.751800000667572
MMD_baseline_random_daily_samples_9,0.0004569292068481,0.3938999772071838
MMD_baseline_random_daily_samples_10,0.0004026889801025,0.7313999533653259
MMD_baseline_random_daily_samples_11,0.0003600120544433,0.9587999582290648
MMD_baseline_random_daily_samples_12,0.000389814376831,0.8210999965667725
MMD_baseline_random_daily_samples_13,0.0007499456405639,0.0087999999523162
MMD_baseline_random_daily_samples_14,0.0004503726959228,0.4351999759674072
MMD_baseline_random_daily_samples_15,0.0004010200500488,0.7436999678611755
MMD_baseline_random_daily_samples_16,0.0004440546035766,0.4760999977588653
MMD_baseline_random_daily_samples_17,0.0005638599395751,0.0973999947309494
MMD_baseline_random_daily_samples_18,0.000374436378479,0.9031999707221984
MMD_baseline_random_daily_samples_19,0.0004663467407226,0.3410999774932861
MMD_baseline_random_daily_samples_0,0.000354528427124,0.9763999581336976
MMD_baseline_random_daily_samples_1,0.0004287958145141,0.5674999952316284
MMD_baseline_random_daily_samples_2,0.0004055500030517,0.7155999541282654
MMD_baseline_random_daily_samples_3,0.0004646778106689,0.3743000030517578
MMD_baseline_random_daily_samples_4,0.0004206895828247,0.6139999628067017
MMD_baseline_random_daily_samples_5,0.0004160404205322,0.6437000036239624
MMD_baseline_random_daily_samples_6,0.0008162260055541,0.003000000026077
MMD_baseline_random_daily_samples_7,0.000354528427124,0.977799952030182
MMD_baseline_random_daily_samples_8,0.000432014465332,0.5417999625205994
MMD_baseline_random_daily_samples_9,0.000380516052246,0.8788999915122986
MMD_baseline_random_daily_samples_10,0.0003935098648071,0.7964999675750732
MMD_baseline_random_daily_samples_11,0.0003820657730102,0.8686999678611755
MMD_baseline_random_daily_samples_12,0.0004289150238037,0.5572999715805054
MMD_baseline_random_daily_samples_13,0.0003865957260131,0.8410999774932861
MMD_baseline_random_daily_samples_14,0.0004785060882568,0.3080999851226806
MMD_baseline_random_daily_samples_15,0.0003888607025146,0.8258999586105347
MMD_baseline_random_daily_samples_16,0.0003659725189208,0.9434999823570251
MMD_baseline_random_daily_samples_17,0.0006282329559326,0.0397999994456768
MMD_baseline_random_daily_samples_18,0.0003737211227416,0.9092999696731568
MMD_baseline_random_daily_samples_19,0.0004358291625976,0.5202999711036682
MMD_baseline_random_daily_samples_20,0.0003442764282226,0.9941999912261964
MMD_baseline_random_daily_samples_21,0.0003515481948852,0.9819999933242798
MMD_baseline_random_daily_samples_22,0.0003896951675415,0.8136999607086182
MMD_baseline_random_daily_samples_23,0.0003582239151,0.9688999652862548
MMD_baseline_random_daily_samples_24,0.0004233121871948,0.5981000065803528
MMD_baseline_random_daily_samples_25,0.0004845857620239,0.2836999893188476
MMD_baseline_random_daily_samples_26,0.0004231929779052,0.5936999917030334
MMD_baseline_random_daily_samples_27,0.0004774332046508,0.3098999857902527
MMD_baseline_random_daily_samples_28,0.0004390478134155,0.5029999613761902
MMD_baseline_random_daily_samples_29,0.0005015134811401,0.2220999896526336
MMD_baseline_random_daily_samples_30,0.0004096031188964,0.6905999779701233
MMD_baseline_random_daily_samples_31,0.0003389120101928,0.997099995613098
MMD_baseline_random_daily_samples_32,0.0003410577774047,0.9946999549865724
MMD_baseline_random_daily_samples_33,0.0003402233123779,0.996899962425232
MMD_baseline_random_daily_samples_34,0.0003530979156494,0.979599952697754
MMD_baseline_random_daily_samples_35,0.0005161762237548,0.1806999891996383
MMD_baseline_random_daily_samples_36,0.0003679990768432,0.9372999668121338
MMD_baseline_random_daily_samples_37,0.0004243850708007,0.5931000113487244
MMD_baseline_random_daily_samples_38,0.0004369020462036,0.5230000019073486
MMD_baseline_random_daily_samples_39,0.0004535913467407,0.4172999858856201
MMD_baseline_random_daily_samples_40,0.0005981922149658,0.0582999996840953
MMD_baseline_random_daily_samples_41,0.0003492832183837,0.9858999848365784
MMD_baseline_random_daily_samples_42,0.0004229545593261,0.5914999842643738
MMD_baseline_random_daily_samples_43,0.0003309249877929,0.9997999668121338
MMD_baseline_random_daily_samples_44,0.0004686117172241,0.3540999889373779
MMD_baseline_random_daily_samples_45,0.0003762245178222,0.8942999839782715
MMD_baseline_random_daily_samples_46,0.0003688335418701,0.9294999837875366
MMD_baseline_random_daily_samples_47,0.0003819465637207,0.8633999824523926
MMD_baseline_random_daily_samples_48,0.0003648996353149,0.945099949836731
MMD_baseline_random_daily_samples_49,0.0003809928894042,0.8678999543190002
MMD_baseline_random_daily_samples_50,0.0004278421401977,0.5651000142097473
MMD_baseline_random_daily_samples_51,0.0003507137298583,0.9829999804496764
MMD_baseline_random_daily_samples_52,0.0004924535751342,0.245399996638298
MMD_baseline_random_daily_samples_53,0.0004132986068725,0.661899983882904
MMD_baseline_random_daily_samples_54,0.0003551244735717,0.9771999716758728
MMD_baseline_random_daily_samples_55,0.0003489255905151,0.9878000020980836
MMD_baseline_random_daily_samples_56,0.0004850625991821,0.2705000042915344
MMD_baseline_random_daily_samples_57,0.000412106513977,0.6800000071525574
MMD_baseline_random_daily_samples_58,0.0003963708877563,0.7789999842643738
MMD_baseline_random_daily_samples_59,0.0003615617752075,0.9601999521255492
MMD_baseline_random_daily_samples_60,0.000389814376831,0.8179999589920044
MMD_baseline_random_daily_samples_61,0.0003663301467895,0.9406999945640564
MMD_baseline_random_daily_samples_62,0.0003554821014404,0.9752999544143676
MMD_baseline_random_daily_samples_63,0.0003973245620727,0.777899980545044
MMD_baseline_random_daily_samples_64,0.0003367662429809,0.9988999962806702
MMD_baseline_random_daily_samples_65,0.0004125833511352,0.6704999804496765
MMD_baseline_random_daily_samples_66,0.0004067420959472,0.7159000039100647
MMD_baseline_random_daily_samples_67,0.0003495216369628,0.9871999621391296
MMD_baseline_random_daily_samples_68,0.0003727674484252,0.9133999943733216
MMD_baseline_random_daily_samples_69,0.0003472566604614,0.9896000027656556
MMD_baseline_random_daily_samples_70,0.0003861188888549,0.8447999954223633
MMD_baseline_random_daily_samples_71,0.0004316568374633,0.5450999736785889
MMD_baseline_random_daily_samples_72,0.0004281997680664,0.5734999775886536
MMD_baseline_random_daily_samples_73,0.0003755092620849,0.8949999809265137
MMD_baseline_random_daily_samples_74,0.0006200075149536,0.0417999997735023
MMD_baseline_random_daily_samples_75,0.0004637241363525,0.3705999851226806
MMD_baseline_random_daily_samples_76,0.0003802776336669,0.8773999810218811
MMD_baseline_random_daily_samples_77,0.0003415346145629,0.9939000010490416
MMD_baseline_random_daily_samples_78,0.0003560781478881,0.9717999696731568
MMD_baseline_random_daily_samples_79,0.0004290342330932,0.5636000037193298
uACG_CWloss_05_eps_notna,0.0009143352508544,0.0229000002145767
bifurcated_uACG_DLloss_03_mask_time_solar_and_consumption_notna,0.0007834434509277344,0.9836999773979187
