,confidence,action
0,0.9963063,8
1,0.8610103,2
2,0.5649812,9
3,0.8246423,3
4,0.97570646,8
5,0.29261792,10
6,0.98437446,11
7,0.8647367,11
8,0.9395822,12
9,0.66213834,12
10,0.76819134,12
11,0.8985765,12
12,0.69687754,12
13,0.49625623,17
14,0.99979836,12
15,0.4565044,12
16,0.514574,14
17,0.88846785,6
18,0.67617047,7
19,0.533486,3
20,0.99998486,8
21,0.45469195,7
22,0.9999764,8
23,0.8629669,3
24,0.9999418,8
25,0.9828104,2
26,0.9998584,8
27,0.7670443,6
28,0.99947685,8
29,0.90656936,9
30,0.5898779,8
31,0.99956447,11
32,0.9990169,12
33,0.69763094,13
34,0.9694378,12
35,0.59890115,12
36,0.7169599,12
37,0.40985128,12
38,0.9734485,12
39,0.7360444,2
40,0.54894644,7
41,0.40436444,3
42,0.7124081,8
43,0.55235827,8
44,0.9938308,8
45,0.93566936,8
46,0.9734892,8
47,0.9157419,9
48,0.99793965,8
49,0.7603924,9
50,0.99999547,8
51,0.61484015,8
52,0.90803134,8
53,0.6450125,10
54,0.8098265,11
55,0.88599706,12
56,0.99972695,12
57,0.61756164,12
58,0.9956007,12
59,0.5819473,17
60,0.5640815,17
61,0.66094637,12
62,0.63576674,12
63,0.424364,7
64,0.98164177,8
65,0.8491044,8
66,0.5920537,7
67,0.96121305,8
68,0.95983064,8
69,0.50446576,2
70,0.9997625,8
71,0.43209404,8
72,0.9976253,8
73,0.77694446,5
74,0.99286216,8
75,0.5847642,9
76,0.8262001,8
77,0.58845145,6
78,0.9789412,8
79,0.7311924,11
80,0.9417001,12
81,0.601988,12
82,0.35015976,12
83,0.8994246,12
84,0.5690847,12
85,0.53106517,13
86,0.96614856,12
87,0.8213153,6
88,0.5959314,7
89,0.6684352,6
90,0.98736537,7
91,0.8169124,6
92,0.7656333,7
93,0.4449231,3
94,0.999979,8
95,0.8810015,1
96,0.9876472,8
97,0.60050666,9
98,0.73204356,9
99,0.43960604,8
100,0.998431,8
101,0.7575203,3
102,0.6694617,12
103,0.99031866,12
104,0.98960936,12
105,0.9856359,12
106,0.37723368,13
107,0.9532799,12
108,0.8115364,12
109,0.7012905,12
110,0.48492023,17
111,0.88995093,7
112,0.85202944,7
113,0.5405708,8
114,0.91533744,8
115,0.9055908,7
116,0.9996921,8
117,0.65869176,1
118,0.9994673,8
119,0.7334482,1
120,0.9747161,8
121,0.5290118,7
122,0.9971431,8
123,0.31809065,6
124,0.5843563,3
125,0.98670757,3
126,0.79787433,12
127,0.67671996,12
128,0.9528447,12
129,0.8706924,12
130,0.96624637,12
131,0.8885671,12
132,0.49501014,17
133,0.5809484,13
134,0.76469547,17
135,0.90924865,10
136,0.969835,7
137,0.6014079,8
138,0.99817944,8
139,0.82118076,7
140,0.99806577,8
141,0.76075166,7
142,0.9999026,8
143,0.59516984,7
144,0.98269504,8
145,0.9754215,1
146,0.7267576,1
147,0.9564795,1
148,0.657309,8
149,0.9511052,3
150,0.5621023,11
151,0.9366919,13
152,0.6517108,12
153,0.98043203,12
154,0.7033892,12
155,0.79930246,12
156,0.3754375,17
157,0.5082305,11
158,0.785765,12
159,0.8333252,10
160,0.51057434,8
161,0.6568199,7
162,0.9975681,8
163,0.81040335,7
164,0.99842405,8
165,0.92577314,7
166,0.99203765,8
167,0.8886924,1
168,0.99947196,8
169,0.96955353,2
170,0.99965596,8
171,0.8390907,2
172,0.9978023,8
173,0.5264197,10
174,0.99857867,11
175,0.9946449,11
176,0.803275,12
177,0.65071565,13
178,0.41810435,13
179,0.82197076,12
180,0.7204436,12
181,0.8779278,17
182,0.9973381,12
183,0.4646062,10
184,0.54734385,8
185,0.47210684,6
186,0.93407416,7
187,0.6183585,8
188,0.96590316,8
189,0.8609091,6
190,0.9964708,8
191,0.93462616,2
192,0.97433984,8
193,0.5895779,2
194,0.99993515,8
195,0.80648905,8
196,0.99438983,8
197,0.48946947,9
198,0.9570183,11
199,0.9578465,11
200,0.9465154,12
201,0.90954775,12
202,0.8454893,12
203,0.69038546,12
204,0.94034594,12
205,0.7869111,12
206,0.94436634,12
207,0.49977735,2
208,0.53409433,8
209,0.94096226,6
210,0.6008995,7
211,0.9009273,3
212,0.61402065,7
213,0.9320542,6
214,0.9996923,8
215,0.572865,6
216,0.99342114,8
217,0.874507,6
218,0.9987049,8
219,0.7579392,8
220,0.8647162,8
221,0.6575594,9
222,0.54198134,11
223,0.571403,12
224,0.95548314,12
225,0.89691746,12
226,0.9155991,12
227,0.7853378,13
228,0.30736652,11
229,0.83481795,17
230,0.3593323,12
231,0.5225744,2
232,0.93168616,8
233,0.4049972,6
234,0.99181175,8
235,0.35793778,8
236,0.90783364,8
237,0.43590418,1
238,0.99499327,8
239,0.34761226,2
240,0.5258723,9
241,0.4573758,8
242,0.9808625,8
243,0.71653545,6
244,0.9171468,8
245,0.78125095,6
246,0.4529624,8
247,0.95140886,12
248,0.97809654,12
249,0.62355316,13
250,0.98031795,12
251,0.8717839,13
252,0.9072722,13
253,0.5528017,13
254,0.4853258,15
255,0.45277268,2
256,0.8591009,7
257,0.588458,8
258,0.9984989,8
259,0.9982072,8
260,0.98994714,8
261,0.50400245,1
262,0.99884915,8
263,0.60258305,1
264,0.8298423,9
265,0.94977343,9
266,0.99154234,8
267,0.42736658,9
268,0.9705654,8
269,0.82568544,3
270,0.6941245,12
271,0.54384327,11
272,0.99981505,12
273,0.73393965,12
274,0.79190737,12
275,0.9804489,12
276,0.85439414,13
277,0.6968633,12
278,0.75609785,17
279,0.3087996,7
280,0.53184295,8
281,0.65032786,7
282,0.9991579,8
283,0.9978223,8
284,0.9999727,8
285,0.9275882,1
286,0.9997733,8
287,0.4060123,1
288,0.9546292,8
289,0.8282755,1
290,0.41085362,8
291,0.9569171,3
292,0.534694,3
293,0.9826918,3
294,0.8561391,11
295,0.84031,11
296,0.5317474,12
297,0.98786944,12
298,0.9821247,12
299,0.5330062,11
300,0.3572038,17
301,0.47949386,11
302,0.6050228,17
303,0.83577895,10
304,0.7908078,8
305,0.90270257,7
306,0.9796832,8
307,0.9808654,7
308,0.9970638,8
309,0.9553302,7
310,0.99463177,8
311,0.6283262,7
312,0.98535943,8
313,0.6256348,1
314,0.99737966,8
315,0.8819134,3
316,0.35778913,7
317,0.73429644,1
318,0.9457143,11
319,0.9836459,11
320,0.644855,11
321,0.89222,13
322,0.67200917,12
323,0.36998972,12
324,0.30758378,17
325,0.6491494,17
326,0.42091247,10
327,0.7645463,10
328,0.99699724,8
329,0.7920299,7
330,0.68401307,7
331,0.9195151,7
332,0.6575408,8
333,0.27391344,8
334,0.9965912,8
335,0.6843467,7
336,0.99728763,8
337,0.81195897,2
338,0.99997187,8
339,0.52242774,6
340,0.99771607,8
341,0.31367964,3
342,0.73184675,11
343,0.99580294,11
344,0.9673199,12
345,0.9270646,13
346,0.97893196,12
347,0.91487056,12
348,0.5743205,12
349,0.8349875,17
350,0.9033551,12
351,0.3618695,2
352,0.82871664,7
353,0.88487023,6
354,0.9669366,7
355,0.5993141,7
356,0.9958722,8
357,0.6387403,3
358,0.99696285,8
359,0.8352081,2
360,0.99976856,8
361,0.5060561,2
362,0.99999154,8
363,0.6249667,8
364,0.99744153,8
365,0.36450508,9
366,0.937091,11
367,0.99585575,11
368,0.94726986,12
369,0.862384,13
370,0.66272235,17
371,0.602289,12
372,0.865137,12
373,0.6098526,17
374,0.9758779,12
375,0.35291496,2
376,0.66461,7
377,0.9564763,6
378,0.98521936,8
379,0.9740113,7
380,0.8332905,8
381,0.65964234,6
382,0.9996314,8
383,0.8039374,6
384,0.9989303,8
385,0.4678788,1
386,0.99929774,8
387,0.6776078,8
388,0.99821305,8
389,0.54395455,9
390,0.49166313,11
391,0.7928264,11
392,0.99747354,12
393,0.5075835,13
394,0.8427996,13
395,0.59036833,13
396,0.42388192,12
397,0.9563615,17
398,0.3515393,10
399,0.8406039,2
400,0.8261408,8
401,0.5487871,6
402,0.5649888,7
403,0.9643181,8
404,0.5410387,8
405,0.80713546,6
406,0.9954982,8
407,0.38562748,7
408,0.62261504,9
409,0.5563649,5
410,0.9994729,8
411,0.5738686,6
412,0.92362946,8
413,0.7412239,6
414,0.5975241,12
415,0.892378,11
416,0.9952533,12
417,0.9391004,13
418,0.8762987,12
419,0.9312647,12
420,0.64897466,17
421,0.8091322,13
422,0.574666,17
423,0.7440235,2
424,0.80651486,7
425,0.42455977,7
426,0.5157409,8
427,0.71857566,8
428,0.99478686,8
429,0.8144305,1
430,0.99926144,8
431,0.871683,1
432,0.9247344,8
433,0.5406759,9
434,0.99550724,8
435,0.65880984,9
436,0.9872119,8
437,0.5110171,3
438,0.66975796,8
439,0.83330566,11
440,0.94320863,11
441,0.96186274,12
442,0.7355769,12
443,0.7847065,12
444,0.6404744,17
445,0.8269239,12
446,0.40841258,17
447,0.9875909,7
448,0.91078377,7
449,0.9072021,7
450,0.99613535,7
451,0.7598641,7
452,0.9651598,8
453,0.50688106,3
454,0.99911875,8
455,0.6723957,1
456,0.9567359,8
457,0.8961368,7
458,0.99353516,8
459,0.28443405,9
460,0.613128,8
461,0.4203008,6
462,0.94160813,11
463,0.9872935,11
464,0.78580964,12
465,0.960726,12
466,0.9477114,12
467,0.95442736,12
468,0.87164205,17
469,0.47495148,13
470,0.71079993,8
471,0.99279034,7
472,0.84533036,8
473,0.9444097,7
474,0.9941048,8
475,0.99728656,7
476,0.98785186,8
477,0.8481135,7
478,0.9903476,8
479,0.6372084,7
480,0.99939513,8
481,0.4394125,7
482,0.71282184,8
483,0.36207822,3
484,0.9785154,9
485,0.35691005,3
486,0.34644848,7
487,0.9724611,11
488,0.69926155,11
489,0.9118481,12
490,0.5225741,11
491,0.5230188,12
492,0.9257775,12
493,0.7548875,11
494,0.9374436,12
495,0.36511835,10
496,0.59080255,8
497,0.99108875,7
498,0.82400894,7
499,0.9418609,7
500,0.7617555,8
501,0.71981883,8
502,0.97509366,8
503,0.57275736,7
504,0.9936055,8
505,0.6944216,2
506,0.9999498,8
507,0.79034877,2
508,0.9990608,8
509,0.45554292,3
510,0.98390156,11
511,0.84313184,11
512,0.90966344,12
513,0.5566687,12
514,0.51204515,11
515,0.741497,12
516,0.96956486,12
517,0.62642086,17
518,0.9961046,12
519,0.3379408,10
520,0.7840058,8
521,0.5644024,3
522,0.823761,7
523,0.51592976,6
524,0.9960448,8
525,0.38232136,3
526,0.99973756,8
527,0.98356146,2
528,0.9987257,8
529,0.9292526,2
530,0.9986964,8
531,0.6039072,6
532,0.9998684,8
533,0.5874813,9
534,0.5891232,11
535,0.6807639,11
536,0.93026716,12
537,0.95895046,12
538,0.95098174,12
539,0.43256024,17
540,0.48201168,12
541,0.51277107,14
542,0.96024764,12
543,0.43385032,2
544,0.6276389,7
545,0.9410188,6
546,0.83062744,8
547,0.807735,3
548,0.99341124,8
549,0.51563555,6
550,0.99984896,8
551,0.5416587,6
552,0.99736965,8
553,0.8335193,6
554,0.99987626,8
555,0.904877,8
556,0.9702563,8
557,0.7880829,9
558,0.6505873,8
559,0.96219957,11
560,0.99689794,12
561,0.6479197,13
562,0.9934856,12
563,0.69306296,13
564,0.31547794,15
565,0.7180383,17
566,0.26924378,15
567,0.61640954,6
568,0.97816557,8
569,0.47397262,6
570,0.73164445,8
571,0.36834756,6
572,0.44841248,7
573,0.51732695,6
574,0.9977375,8
575,0.568032,1
576,0.93900746,9
577,0.455242,5
578,0.99979395,8
579,0.47982517,9
580,0.9672172,8
581,0.49131745,6
582,0.5312629,12
583,0.91191286,11
584,0.44842675,15
585,0.5589685,12
586,0.7580962,12
587,0.9869709,12
588,0.98260975,13
589,0.92777854,12
590,0.5852714,15
591,0.8683491,7
592,0.95406663,7
593,0.7308516,3
594,0.5103007,7
595,0.4726448,6
596,0.9345335,7
597,0.5080013,6
598,0.99962366,8
599,0.9706187,6
600,0.7258866,9
601,0.67202157,3
602,0.94774634,8
603,0.8300881,3
604,0.7230589,8
605,0.9723804,6
606,0.41922694,10
607,0.98030776,11
608,0.99251044,12
609,0.68266386,13
610,0.8999062,12
611,0.6141833,12
612,0.98839873,13
613,0.66181135,13
614,0.86066306,17
615,0.95908004,7
616,0.9511559,7
617,0.8942526,7
618,0.5984446,8
619,0.6186224,7
620,0.9996866,8
621,0.4757692,1
622,0.9998652,8
623,0.608064,1
624,0.9562385,8
625,0.8816364,7
626,0.39935052,8
627,0.8856277,3
628,0.57584006,8
629,0.9916339,3
630,0.8180739,11
631,0.92438143,11
632,0.77316153,11
633,0.9392278,12
634,0.60569125,11
635,0.7748198,12
636,0.54947525,12
637,0.9375964,11
638,0.45325026,13
639,0.89413095,10
640,0.93777,7
641,0.8360348,7
642,0.9961683,8
643,0.9430991,7
644,0.99810094,8
645,0.98522377,7
646,0.99900216,8
647,0.76017255,7
648,0.7777033,7
649,0.35501644,7
650,0.99887604,8
651,0.64697915,3
652,0.5558707,9
653,0.6937211,3
654,0.8560119,11
655,0.98128384,11
656,0.59536064,12
657,0.98913914,13
658,0.9581848,12
659,0.9711122,12
660,0.9955448,12
661,0.51481336,12
