,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.066943,0.22,0.8673426,0.17644662,0.9969592,0.50640863,0.5713534,0.5074436,0.6516973,0.56937593,0.8522222,0.81888884,0.67444444,0.81888884,-0.021033779,0.048640933,0.91788596,-0.03,0.006365717,0.07493179,0.8251942,-0.03,0.44462255,0.24826653,-0.03,0.03,1.0197743,0.060303032,0.00030303188,0.060303032,0.00030303188
1,0.2533194,0.1169873,0.8762845,0.82149917,1.0250877,0.67940956,0.49511278,0.46879697,0.5966165,0.46879697,0.81666666,0.81666666,0.7277778,0.8055555,-0.05,0.14764012,0.8998525,0.05,-0.05,0.41589716,0.73384047,0.05,0.46121427,0.22455661,-0.05,-0.05,1.0394292,-0.01969697,-0.01969697,0.08030303,-0.01969697
2,0.27224013,0.08454299,0.8611932,0.8685694,0.91213566,0.7474994,0.56007516,0.6127067,0.6540601,0.54879695,0.78555554,0.72999996,0.72999996,0.8855555,0.03,0.44297937,0.64158314,-0.012447023,-0.03,0.6338524,0.27535152,-0.03,0.36789203,0.14827497,0.03,0.03,1.0194575,0.00030303188,0.060303032,0.060303032,0.00030303188
3,0.22,0.07738006,0.8835534,0.8835534,0.868672,0.8531083,0.54503757,0.6540601,0.6449099,0.54103404,0.7255556,0.6477778,0.6477778,0.9025327,0.03,0.5747394,0.4832743,0.023515236,-0.03,0.5452151,0.19054565,-0.03,0.35106397,0.19266209,0.03,0.03,0.95979387,0.060303032,0.060303032,0.00030303188,0.060303032
4,0.24071044,0.0769873,0.8489198,0.8612944,0.74525744,0.92627734,0.49,0.5952632,0.61406016,0.49,0.76555556,0.71,0.6736715,0.8988889,-0.01,0.7549951,0.44657817,0.01,-0.01,0.768164,0.19258133,0.01,0.3952027,0.38667816,-0.01,0.01,0.98096126,0.04030303,0.04030303,0.99,0.04030303
5,0.240656,0.06539401,0.86145544,0.86320645,0.63215053,0.97619563,0.48693696,0.6145295,0.57577753,0.48670328,0.79888886,0.68777776,0.74333334,0.9322222,0.008010093,0.88851804,0.38574445,0.01,-0.01,0.86099684,0.4255299,0.01,0.4190528,0.12885056,-0.00010139588,0.01,0.98112804,0.034374595,0.02291181,0.99,0.039513532
6,0.2526355,0.06212967,0.8625265,0.84694856,0.50931305,0.99029714,0.4874436,0.6566165,0.57390976,0.51,0.7788889,0.65444446,0.7644339,0.8788889,0.034582105,0.9578859,0.21713863,0.024749262,0.11493179,0.86519414,0.32578176,0.024690451,0.42306864,0.11610753,0.010147397,0.01,0.9911451,0.020303031,0.020303031,0.99141484,0.04030303
7,0.2588604,0.072888754,0.8471784,0.85779357,0.36828965,0.9810088,0.508797,0.6366165,0.5539098,0.5313534,0.77666664,0.68777776,0.71,0.8655555,0.18764012,0.93985254,0.016548673,0.10406096,0.47589716,0.7738405,0.14005247,0.054071352,0.43445206,0.14634714,-0.009170122,0.027460666,0.99861795,0.04030303,0.020303031,0.99,0.024103055
8,0.24534675,0.06087253,0.82514024,0.8436868,0.2785612,0.95542604,0.5527068,0.6128608,0.5713534,0.532802,0.67,0.67,0.7033334,0.8855555,0.38297936,0.70116127,0.03,0.21778761,0.6511962,0.33535153,0.03,0.07540307,0.58697605,0.33499363,-0.028381199,0.04492133,0.995153,0.060303032,0.054262668,1.03,0.060303032
9,0.23775558,0.080010176,0.82860965,0.8722651,0.15958104,0.86732984,0.6540601,0.6766165,0.59390974,0.5713534,0.6477778,0.6477778,0.6366667,0.79222226,0.5747394,0.5432743,0.03,0.31711897,0.5452151,0.19054565,0.03,0.050548963,0.59681,0.4611692,0.032292627,0.142382,1.0028037,0.00030303188,0.00030303188,0.01402713,0.014557
