,confidence,action
0,0.9316179,1
1,0.98421335,2
2,0.86062443,2
3,0.8138113,3
4,0.8648437,3
5,0.42695844,3
6,0.64514667,3
7,0.63751966,11
8,0.8558617,11
9,0.9727811,12
10,0.9063528,12
11,0.9321994,12
12,0.40884182,11
13,0.4346334,11
14,0.84191626,12
15,0.99915826,12
16,0.6936475,15
17,0.49757707,15
18,0.6173284,7
19,0.59329015,7
20,0.82078105,7
21,0.93983454,8
22,0.34464124,8
23,0.7760977,6
24,0.9058695,3
25,0.83319724,3
26,0.99114907,2
27,0.980924,2
28,0.9503937,6
29,0.42801052,6
30,0.67474824,9
31,0.96873546,11
32,0.99959797,11
33,0.85138166,12
34,0.9951492,12
35,0.7631492,12
36,0.97696817,12
37,0.5271416,11
38,0.7919468,12
39,0.98200154,12
40,0.7135569,8
41,0.58413684,8
42,0.992078,8
43,0.80045015,7
44,0.80492204,8
45,0.99972683,8
46,0.97601175,8
47,0.41142744,9
48,0.75003624,9
49,0.93223315,9
50,0.8333362,9
51,0.46203348,9
52,0.5401713,8
53,0.7955725,9
54,0.61849934,10
55,0.37920085,11
56,0.83702785,12
57,0.7976577,12
58,0.9935023,12
59,0.9968477,12
60,0.6674634,17
61,0.61049694,17
62,0.90555197,17
63,0.35925412,12
64,0.917947,8
65,0.98769903,8
66,0.9771548,7
67,0.8638209,8
68,0.63920355,8
69,0.99098927,8
70,0.5000701,8
71,0.41589448,2
72,0.64539254,6
73,0.7221802,5
74,0.8762925,5
75,0.540887,9
76,0.60302836,9
77,0.5959923,3
78,0.62365407,6
79,0.29311863,8
80,0.840393,11
81,0.84471303,12
82,0.9325596,13
83,0.91177803,13
84,0.9871185,12
85,0.4695156,12
86,0.69624454,17
87,0.587884,12
88,0.99919695,8
89,0.56078047,8
90,0.8853786,8
91,0.9841478,7
92,0.7847368,7
93,0.75106,7
94,0.81132334,3
95,0.6084433,3
96,0.9650756,1
97,0.39982232,6
98,0.35645887,9
99,0.39827174,7
100,0.4376421,6
101,0.6616325,6
102,0.80729556,3
103,0.50374275,10
104,0.9861876,12
105,0.9381777,12
106,0.9388183,12
107,0.8369651,13
108,0.94461274,12
109,0.62705415,15
110,0.45122528,17
111,0.47397438,17
112,0.6749255,8
113,0.83773106,7
114,0.7697339,7
115,0.93367755,8
116,0.94287044,7
117,0.4914706,1
118,0.8440732,1
119,0.4248579,6
120,0.8824776,1
121,0.74596846,7
122,0.83588314,7
123,0.58884203,7
124,0.43854377,5
125,0.80904555,3
126,0.9869658,3
127,0.53101724,10
128,0.6161605,12
129,0.9001274,13
130,0.88688004,12
131,0.96187997,12
132,0.75435,12
133,0.32513568,11
134,0.43454328,17
135,0.7108593,17
136,0.5998493,7
137,0.96360296,7
138,0.9896771,8
139,0.9946108,8
140,0.8553687,8
141,0.9635057,7
142,0.70260006,7
143,0.60180295,7
144,0.5331622,7
145,0.93799263,1
146,0.97641045,1
147,0.9988133,1
148,0.9662032,1
149,0.6293676,3
150,0.9562514,3
151,0.38354656,10
152,0.9360917,13
153,0.7992921,13
154,0.52905524,13
155,0.7591804,12
156,0.8920519,12
157,0.4403913,17
158,0.5385316,17
159,0.7045368,12
160,0.55848837,7
161,0.5561012,8
162,0.9969344,8
163,0.89033395,7
164,0.92105097,7
165,0.8817294,8
166,0.9309439,7
167,0.8148906,7
168,0.90601146,1
169,0.9785089,2
170,0.97662205,2
171,0.94483083,2
172,0.76335144,2
173,0.47275782,8
174,0.46498075,3
175,0.7325414,11
176,0.9958801,11
177,0.9145307,12
178,0.93073094,12
179,0.47017446,13
180,0.5801795,12
181,0.5197107,12
182,0.50415057,17
183,0.9946872,12
184,0.6500255,8
185,0.65383506,8
186,0.8237596,7
187,0.9825522,7
188,0.9963999,8
189,0.9686665,6
190,0.93174154,6
191,0.94709873,2
192,0.90652704,2
193,0.49053267,6
194,0.7596324,2
195,0.9076487,2
196,0.6023087,6
197,0.34066275,9
198,0.63397866,9
199,0.7402141,10
200,0.9488653,11
201,0.9618697,12
202,0.9715783,12
203,0.9923813,12
204,0.90862274,12
205,0.8158008,12
206,0.3588055,15
207,0.76864684,12
208,0.6906227,8
209,0.5969439,8
210,0.73330545,7
211,0.5540776,8
212,0.5341211,8
213,0.7605706,7
214,0.9343148,6
215,0.6559751,6
216,0.68101525,7
217,0.69196934,6
218,0.8759196,6
219,0.6321178,1
220,0.5618015,8
221,0.47755724,9
222,0.84767526,9
223,0.9668258,10
224,0.54247355,12
225,0.9987165,12
226,0.8699387,12
227,0.9805839,12
228,0.6170436,17
229,0.39464468,11
230,0.4131711,15
231,0.38989803,10
232,0.6699198,8
233,0.94731975,8
234,0.78532016,8
235,0.9955615,8
236,0.944597,8
237,0.5586396,6
238,0.507205,1
239,0.3829617,2
240,0.36691537,1
241,0.8095661,1
242,0.4956806,6
243,0.52876335,1
244,0.71139634,6
245,0.6699922,6
246,0.7046087,6
247,0.9499198,12
248,0.99292654,12
249,0.9057246,12
250,0.6450441,13
251,0.9864574,12
252,0.37366506,13
253,0.87662685,13
254,0.61726326,11
255,0.7088699,15
256,0.51632464,7
257,0.8234514,7
258,0.51997,7
259,0.82297724,8
260,0.99931157,8
261,0.9330063,1
262,0.9347626,1
263,0.940419,1
264,0.8966266,1
265,0.70378727,9
266,0.8986737,9
267,0.6777674,9
268,0.5255978,9
269,0.6671939,3
270,0.88425577,3
271,0.39418492,10
272,0.56381804,11
273,0.9656461,12
274,0.5578749,13
275,0.68323606,12
276,0.96985817,12
277,0.46246356,15
278,0.60391384,17
279,0.6526668,17
280,0.5702512,8
281,0.58880454,7
282,0.5725486,8
283,0.9999442,8
284,0.9999645,8
285,0.90267265,8
286,0.8804727,1
287,0.5879498,1
288,0.6692843,1
289,0.66822106,1
290,0.84151125,1
291,0.8582351,1
292,0.9612436,3
293,0.7789418,3
294,0.9850182,3
295,0.8480926,10
296,0.83005494,11
297,0.92503643,12
298,0.97414434,12
299,0.99221706,12
300,0.73353815,13
301,0.49239618,17
302,0.6085591,17
303,0.55312103,17
304,0.93039274,7
305,0.82735616,8
306,0.99276966,8
307,0.9996402,8
308,0.9566375,8
309,0.99311537,7
310,0.94470996,7
311,0.44674027,1
312,0.743404,7
313,0.539051,1
314,0.5224258,1
315,0.4089596,3
316,0.9376618,3
317,0.48811355,3
318,0.7169897,1
319,0.94544804,11
320,0.9834082,11
321,0.5761769,12
322,0.93451464,13
323,0.55773556,11
324,0.43633452,12
325,0.37841105,17
326,0.8667472,13
327,0.4321647,17
328,0.5997755,7
329,0.9953774,8
330,0.9702351,8
331,0.56755954,8
332,0.8454327,8
333,0.8419504,7
334,0.28755158,7
335,0.8212004,7
336,0.49202183,7
337,0.79077613,2
338,0.63681775,2
339,0.9422512,2
340,0.6957487,6
341,0.40048218,2
342,0.62738335,3
343,0.80402595,11
344,0.9956589,11
345,0.5296821,13
346,0.9257304,12
347,0.9854322,12
348,0.37905067,12
349,0.6741729,12
350,0.57440686,12
351,0.7765034,12
352,0.7035425,8
353,0.81433856,7
354,0.64335275,7
355,0.9663158,7
356,0.85774475,7
357,0.7480404,6
358,0.8321506,3
359,0.7446507,3
360,0.7610004,2
361,0.70086116,2
362,0.60595244,2
363,0.62270266,2
364,0.48620248,8
365,0.54566,2
366,0.52741855,9
367,0.84010893,11
368,0.99417555,11
369,0.8465812,13
370,0.94535494,12
371,0.5276835,17
372,0.8871193,12
373,0.8834069,12
374,0.56478965,17
375,0.9839027,12
376,0.70548934,7
377,0.72360027,7
378,0.50214165,8
379,0.8213142,8
380,0.9206416,7
381,0.53289646,6
382,0.7394908,6
383,0.98261964,6
384,0.69355774,6
385,0.94351184,6
386,0.6856002,1
387,0.94150424,1
388,0.5918769,6
389,0.58701116,9
390,0.6223177,9
391,0.7560309,10
392,0.8627581,11
393,0.9898733,12
394,0.6265899,13
395,0.78351337,13
396,0.5411365,17
397,0.57218486,12
398,0.52670395,15
399,0.5477237,15
400,0.82249665,8
401,0.7872241,8
402,0.5762237,7
403,0.8796591,8
404,0.9793367,8
405,0.5148145,6
406,0.79902697,6
407,0.49430332,2
408,0.4524206,7
409,0.41911924,1
410,0.6160725,5
411,0.4952473,9
412,0.642283,6
413,0.61436296,9
414,0.7820793,6
415,0.9914191,12
416,0.9174126,11
417,0.50255597,13
418,0.5518741,13
419,0.8271787,12
420,0.3971639,13
421,0.5148912,17
422,0.44177,13
423,0.64053255,17
424,0.72252566,7
425,0.8090331,7
426,0.6224719,7
427,0.84023315,7
428,0.9498498,8
429,0.7630308,1
430,0.9498714,1
431,0.96390045,1
432,0.96455914,1
433,0.5971214,1
434,0.64900166,1
435,0.8981427,9
436,0.7543774,9
437,0.55460024,9
438,0.6315852,3
439,0.81896174,10
440,0.8879857,11
441,0.98893833,12
442,0.9718658,12
443,0.80441725,12
444,0.96340805,12
445,0.5122652,17
446,0.5241883,17
447,0.33495358,15
448,0.5552863,7
449,0.91678745,7
450,0.9476306,8
451,0.93395495,7
452,0.61406285,7
453,0.64351416,3
454,0.77111816,3
455,0.5697389,3
456,0.52621776,1
457,0.7842515,7
458,0.9453199,7
459,0.48873508,7
460,0.4612426,3
461,0.7272564,6
462,0.65030456,3
463,0.9592079,11
464,0.98711467,11
465,0.9608965,12
466,0.6411308,12
467,0.9712468,12
468,0.924175,12
469,0.7816503,17
470,0.4027472,12
471,0.6764642,8
472,0.9453168,8
473,0.8968629,8
474,0.9736326,8
475,0.99636805,8
476,0.70777375,7
477,0.95245224,7
478,0.5232411,7
479,0.40905282,7
480,0.43295568,7
481,0.69117874,7
482,0.3761076,7
483,0.8501774,7
484,0.6777559,3
485,0.79054403,3
486,0.66966677,3
487,0.67048883,10
488,0.962318,11
489,0.81429166,11
490,0.68827057,12
491,0.7888083,11
492,0.9891266,12
493,0.93583065,12
494,0.906879,12
495,0.8303443,12
496,0.9793488,8
497,0.590545,8
498,0.7870221,7
499,0.51918733,7
500,0.9057538,7
501,0.948848,0
502,0.35880595,8
503,0.86661476,7
504,0.4785162,1
505,0.8206828,2
506,0.59943485,2
507,0.96789056,2
508,0.75565326,2
509,0.83421034,2
510,0.6578343,3
511,0.76104796,12
512,0.9604678,11
513,0.58878624,12
514,0.7844269,12
515,0.37197068,13
516,0.84890443,12
517,0.8589075,12
518,0.68518287,12
519,0.9967591,12
520,0.5227449,8
521,0.8363094,8
522,0.68121445,8
523,0.9918813,7
524,0.933581,7
525,0.5259191,6
526,0.43034384,3
527,0.7107559,2
