,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5713534,0.5074436,0.6678665,0.5713534,0.8522222,0.81888884,0.67444444,0.81888884,0.03,0.0,0.91788596,0.0,0.0,0.07493179,0.8251942,0.0,0.44462255,0.24258503,0.00012,0.03,0.99025434,0.060303032,0.060303032,0.00030303188,0.060303032,1
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.57511276,0.54879695,0.6766165,0.54879695,0.7366667,0.7966666,0.6477778,0.82555556,0.03,0.18514012,0.9798525,0.03,0.03,0.49589717,0.7538405,0.0,0.38121426,0.16330661,0.00012,0.0,0.98990923,0.017803032,0.060303032,0.00030303188,0.060303032,2
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.6127067,0.6540601,0.54879695,0.78555554,0.72999996,0.68874997,0.8543055,0.03,0.44172937,0.6528331,0.03,0.028749999,0.6399462,0.2866015,0.0,0.36789203,0.14952497,0.00012,0.028749999,0.98897743,0.00030303188,0.00030303188,0.00030303188,0.00030303188,2
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.6228101,0.6766165,0.54879695,0.78555554,0.70777774,0.70777774,0.91888887,0.03,0.51473945,0.4895243,0.03,0.03,0.5452151,0.19054565,0.03,0.41106397,0.19266209,0.00012,0.03,0.98931384,0.00030303188,0.00030303188,0.00030303188,0.00030303188,3
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6540601,0.53,0.7255556,0.72999996,0.6477778,0.8588889,0.03,0.79499507,0.4665782,0.03,0.03,0.80019933,0.21258132,0.03,0.3552027,0.34667817,0.00012,0.03,0.99048126,0.060303032,0.00030303188,0.97,0.060303032,3
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.6328102,0.5914568,0.5074436,0.8176389,0.70652777,0.72208333,0.8922222,0.03,0.91790557,0.35544738,0.03,0.00875,0.8622469,0.4267799,0.0112499995,0.42610246,0.12760057,0.00012,0.028749999,0.9886786,0.01905303,0.00030303188,0.98875,0.01905303,8
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.6766165,0.59390974,0.53,0.7588889,0.64319444,0.7768056,0.8588889,0.054582104,0.9778859,0.19713864,0.04474926,0.13493179,0.8539441,0.30578175,0.013440452,0.40306863,0.12735753,0.00026739782,0.0,0.9884372,0.00030303188,0.00030303188,0.97375,0.060303032,10
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.61661655,0.5339098,0.51135343,0.7966666,0.6477778,0.67,0.8855555,0.16764012,0.9798525,0.0040486716,0.08406096,0.43589717,0.7538405,0.12005247,0.014071355,0.47445205,0.16634713,0.0007098772,0.007460667,0.98909795,0.060303032,0.060303032,1.0,0.00030303374,10
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5814567,0.6540601,0.5713534,0.5713534,0.67,0.70875,0.7033334,0.8855555,0.38297936,0.7015831,0.03,0.21778761,0.6511962,0.27535152,0.03,0.10764953,0.5405188,0.33499363,0.001498801,0.04492133,0.9896011,0.060303032,0.060303032,1.0,0.060303032,10
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.5339098,0.51135343,0.6477778,0.6477778,0.6366667,0.80972224,0.51473945,0.5432743,0.03,0.25711897,0.4989651,0.19054565,0.03,0.04047613,0.59681,0.5211692,0.0021726277,0.08238199,0.9903501,0.060303032,0.060303032,0.060303032,0.060303032,12
