,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2800000011920929,0.0969872996211052,0.8835533857345581,0.8835533857345581,0.5994095802307129,1.0,0.5074436068534851,0.6540601253509521,0.552706778049469,0.4474436044692993,0.7588889002799988,0.647777795791626,0.7033333778381348,0.8922222256660461,0.029999999329447746,0.8579056262969971,0.4154473841190338,0.029999999329447746,0.0,0.880996823310852,0.44552990794181824,0.029999999329447746,0.38485246896743774,0.10885056853294373,0.029999999329447746,0.029999999329447746,0.9591585993766785,0.00030303187668323517,0.00030303187668323517,0.9700000286102295,0.00030303187668323517
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2199999988079071,0.0369872972369194,0.8235534429550171,0.8835533857345581,0.2800000011920929,0.9630126953125,0.552706778049469,0.5940601825714111,0.5713533759117126,0.5113534331321716,0.6700000166893005,0.6700000166893005,0.7033333778381348,0.8255555629730225,0.3829793632030487,0.7015830874443054,0.029999999329447746,0.21778760850429535,0.6511961817741394,0.27535152435302734,0.029999999329447746,0.10764952749013901,0.5405188202857971,0.3349936306476593,0.0,0.08238199353218079,1.0,0.06030303239822388,0.06030303239822388,0.9700000286102295,0.06030303239822388
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
