,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.016987298,0.2,0.8973034,0.17269662,0.95,0.45,0.5913534,0.5261936,0.69661653,0.5913534,0.87222224,0.8388889,0.6944445,0.8388889,0.05,-0.025417896,0.89913595,0.0112499995,-0.026249995,0.054931793,0.80644417,-0.04875,0.44087255,0.19383502,0.05,0.05,1.0235243,0.08030303,0.08030303,-0.01969697,0.08030303,7
1,0.275,0.116987295,0.8635534,0.9035534,1.0329629,0.5994096,0.5201128,0.49379697,0.62161654,0.49379697,0.7916666,0.71666664,0.70277774,0.8905555,-0.049999997,0.17264012,0.92485255,-0.05,-0.024999999,0.44589716,0.8338405,0.010000001,0.43121427,0.19955662,-0.049999997,-0.05,0.99442923,0.060303032,0.05030303,-0.01969697,-0.009696957,2
2,0.3,0.0769873,0.8035534,0.8035534,0.91301274,0.8,0.5800752,0.63270676,0.67406017,0.568797,0.70555556,0.650625,0.65,0.8055555,0.029999997,0.46297938,0.65158314,0.049999997,0.049999993,0.6711962,0.2853515,-0.02,0.34789205,0.12827498,0.029999997,0.05,0.9394574,-0.01969697,-0.01969697,0.08030303,-0.01969697,3
3,0.3,0.1169873,0.8035534,0.85480344,0.9035534,0.8035534,0.46503758,0.57406014,0.5966165,0.46879697,0.8055556,0.7277778,0.7277778,0.9388889,-0.05,0.4947394,0.5357743,-0.05,-0.05,0.5652151,0.11054565,-0.05,0.40731397,0.2726621,-0.05,-0.05,0.99729383,0.08030303,0.08030303,0.08030303,0.08030303,3
4,0.2975,0.016987298,0.8035534,0.8035534,0.7,0.98301274,0.55,0.6552632,0.67406017,0.55,0.70555556,0.75,0.7277778,0.8388889,0.05,0.7149951,0.38657817,0.05,0.05,0.72019935,0.13258132,-0.034999996,0.3352027,0.32667816,0.05,0.05,1.0409613,-0.01969697,-0.01969697,1.05,0.08030303,3
5,0.27375,0.0907373,0.8035534,0.8373034,0.67940956,0.9329629,0.4286936,0.58031017,0.53895676,0.43369362,0.8388889,0.7277778,0.78333336,0.9722222,-0.05,0.8641556,0.4016974,-0.05,-0.04374999,0.83724684,0.3655299,-0.05,0.36485246,0.17510056,-0.05,-0.05,1.0254086,0.08030303,0.08030303,1.04375,0.04655303,3
6,0.25125,0.028237302,0.8823034,0.8148034,0.45,1.04875,0.52681863,0.6953665,0.61265975,0.54875,0.7476389,0.59444445,0.7743056,0.8388889,0.07458211,0.9966359,0.17713864,0.06474926,0.15368178,0.84644413,0.31703174,0.0059404513,0.38431865,0.13485754,0.041397393,-0.00875,0.97766715,-0.010946963,-0.01969697,0.9975,0.069053024,10
7,0.2,0.016987298,0.8898034,0.9035534,0.4205905,0.9329629,0.46879697,0.5966165,0.51390976,0.4913534,0.81666666,0.62777776,0.67375,0.90555555,0.14764012,0.99985254,0.07654867,0.064060956,0.41589716,0.7475905,0.16630247,-0.005928647,0.49445206,0.18634713,-0.049170125,-0.012539335,0.93861794,0.08030303,0.08030303,0.95,0.08030303,3
8,0.3,0.1169873,0.8823034,0.8248034,0.2,0.98301274,0.63145673,0.67281014,0.4913534,0.5801034,0.65,0.70125,0.7345834,0.80680555,0.46172935,0.6215831,-0.05,0.2965376,0.5711962,0.30410153,-0.031249994,0.046399534,0.5592688,0.25499362,0.051618803,0.053332377,0.9398553,-0.018446963,0.01155303,1.05,-0.018446963,11
9,0.2,0.016987298,0.9035534,0.8485534,0.19644661,0.8035534,0.57406014,0.5966165,0.51390976,0.4913534,0.62777776,0.62777776,0.6166667,0.87222224,0.4947394,0.5632743,0.05,0.23711897,0.4652151,0.11054565,0.05,0.08672613,0.67680997,0.5411692,-0.04770737,0.065714374,1.0404576,0.08030303,0.08030303,0.08030303,0.08030303,3
10,0.3,0.1169873,0.9035534,0.8035534,0.016987298,0.7,0.6552632,0.66781014,0.6139098,0.6552632,0.75,0.7277778,0.65,0.68333334,0.8149951,0.38657817,-0.05,0.4787119,0.76894933,0.13258132,0.05,0.1496852,0.72398216,0.50317127,0.052802566,0.060293563,0.9388592,-0.01969697,0.95,-0.01969697,-0.01969697,12
11,0.22875,0.0757373,0.8248034,0.8823034,0.06703709,0.57940954,0.57406014,0.53270674,0.51004696,0.55526316,0.6290278,0.68333334,0.8388889,0.75,0.8379056,0.4354474,0.048750002,0.54390365,0.8522469,0.4142799,0.021249998,0.18055746,0.78470784,0.625695,-0.04691809,0.21134688,1.0409102,0.08030303,1.04875,0.08030303,0.08030303,11
12,0.2,0.017612297,0.9035534,0.8473034,0.046249997,0.46625,0.69661653,0.5701598,0.5676034,0.63156015,0.6944445,0.8055556,0.7426389,0.6702778,0.94913596,0.18213864,0.046249997,0.6029044,0.84144413,0.28578174,0.036249995,0.17485178,0.7705459,0.4478945,0.05313409,0.2637289,1.0353539,-0.01844697,0.97625,-0.01969697,-0.00094697624,12
