,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5713534,0.5074436,0.66536653,0.5713534,0.8522222,0.81888884,0.67444444,0.81888884,0.03,-0.0054178946,0.91788596,-0.03,-0.03,0.07493179,0.8251942,-0.03,0.44462255,0.24133502,0.03,0.03,1.0197743,0.060303032,0.060303032,0.00030303188,0.060303032,1
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.57511276,0.54879695,0.6766165,0.54879695,0.7366667,0.7966666,0.6477778,0.82555556,0.03,0.18264012,0.9798525,0.03,0.03,0.49589717,0.7538405,-0.03,0.38121426,0.16205661,0.03,-0.03,1.0194292,0.02030303,0.060303032,0.00030303188,0.060303032,2
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.6127067,0.6540601,0.54879695,0.78555554,0.72999996,0.6875,0.85305554,0.03,0.44047937,0.65408313,0.03,0.029999997,0.6386962,0.2878515,-0.017500002,0.36789203,0.15077497,0.03,0.0275,1.0194575,0.00030303188,0.00030303188,0.00030303188,0.00030303188,2
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.62406015,0.6766165,0.54879695,0.78555554,0.70777774,0.70777774,0.91888887,0.03,0.51473945,0.49827433,0.03,0.03,0.5452151,0.19054565,0.03,0.41106397,0.19266209,0.03,0.03,0.95979387,0.00030303188,0.00030303188,0.00030303188,0.00030303188,3
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6540601,0.53,0.7255556,0.72999996,0.6477778,0.8588889,0.03,0.79499507,0.4665782,0.03,0.03,0.80019933,0.21258132,0.03,0.3552027,0.34667817,0.03,0.03,0.9609613,0.060303032,0.00030303188,0.97125,0.060303032,3
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.6353102,0.59395677,0.5074436,0.8151389,0.70652777,0.7245833,0.8922222,0.03,0.91790557,0.35544738,0.03,0.0112499995,0.8597469,0.4242799,0.00875,0.42360246,0.13010056,0.03,0.028749999,0.98040855,0.01155303,0.00030303188,0.99125,0.01155303,3
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.6766165,0.59390974,0.53,0.7588889,0.64069444,0.7793056,0.8588889,0.054582104,0.9778859,0.19713864,0.04474926,0.13493179,0.8514441,0.30578175,0.010940451,0.40306863,0.12985753,0.030147398,-0.0037499997,0.9926672,0.00030303188,0.00030303188,0.97125,0.060303032,10
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.61661655,0.5339098,0.51135343,0.7966666,0.6477778,0.67,0.8855555,0.16764012,0.9798525,0.00029867515,0.08406096,0.43589717,0.7538405,0.12005247,0.014071355,0.47445205,0.16634713,-0.029170122,0.007460667,1.018618,0.060303032,0.060303032,1.03,0.009053033,10
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.61145675,0.65281016,0.5713534,0.5701034,0.67,0.72875,0.71708333,0.8855555,0.38297936,0.7015831,0.03,0.21778761,0.6511962,0.27660152,0.01625,0.08389953,0.5405188,0.33499363,-0.028381199,0.04492133,1.019121,0.060303032,0.060303032,1.03,0.060303032,10
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.5339098,0.51135343,0.6477778,0.6477778,0.6366667,0.79222226,0.51473945,0.5432743,0.03,0.25711897,0.4927151,0.19054565,0.03,0.041726127,0.59681,0.5211692,-0.027707372,0.08238199,1.0198702,0.060303032,0.060303032,0.060303032,0.060303032,12
