,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.016987298,0.2,0.8973034,0.17269662,0.95,0.45,0.5913534,0.5261936,0.69661653,0.5913534,0.87222224,0.8388889,0.6944445,0.8388889,0.05,-0.025417896,0.89913595,0.0112499995,-0.026249995,0.054931793,0.80644417,-0.04875,0.44087255,0.19383502,0.05,0.05,1.0235243,0.08030303,0.08030303,-0.01969697,0.08030303,7
1,0.3,0.049487293,0.8873034,0.8035534,0.9329629,0.6719096,0.5951128,0.568797,0.69661653,0.568797,0.71666664,0.81666666,0.7277778,0.90555555,0.05,0.14764012,0.99985254,0.05,0.05,0.47714716,0.73384047,-0.05,0.36121425,0.124556616,0.05,-0.05,0.9394292,-0.01969697,0.08030303,-0.01969697,-0.01969697,2
2,0.3,0.0769873,0.8035534,0.8035534,0.91301274,0.8,0.5800752,0.63270676,0.67406017,0.568797,0.70555556,0.650625,0.65,0.8055555,0.029999997,0.46297938,0.65158314,0.049999997,0.049999993,0.6711962,0.2853515,-0.02,0.34789205,0.12827498,0.029999997,0.05,0.9394574,-0.01969697,-0.01969697,0.08030303,-0.01969697,3
3,0.2375,0.0544873,0.8610534,0.89105344,0.8035534,0.9035534,0.54253757,0.6615602,0.62911654,0.54129696,0.7280556,0.68027776,0.6702778,0.8613889,0.05,0.59473944,0.4632743,0.05,0.037499998,0.5627151,0.12304565,0.027499996,0.36606398,0.1726621,0.05,0.017499996,0.9422938,0.03780303,-0.017196968,0.04655303,0.052803032,8
4,0.2975,0.016987298,0.8035534,0.8035534,0.7,0.98301274,0.55,0.6552632,0.67406017,0.55,0.70555556,0.75,0.7277778,0.8388889,0.05,0.7149951,0.38657817,0.05,0.05,0.72019935,0.13258132,-0.034999996,0.3352027,0.32667816,0.05,0.05,1.0409613,-0.01969697,-0.01969697,1.05,0.08030303,3
5,0.2575,0.0744873,0.9035534,0.8410534,0.5919095,1.0204629,0.4899436,0.63656014,0.59520674,0.4899436,0.81138885,0.7277778,0.72583336,0.8847222,0.05,0.9379056,0.36294737,0.0275,0.0125,0.85849684,0.4230299,0.0075,0.42235246,0.13135058,0.0275,0.0275,0.9816586,0.02280303,-0.012196962,0.9925,0.02280303,3
6,0.25125,0.028237302,0.8823034,0.8148034,0.45,1.04875,0.52681863,0.6953665,0.61265975,0.54875,0.7476389,0.59444445,0.7743056,0.8388889,0.07458211,0.9966359,0.17713864,0.06474926,0.15368178,0.84644413,0.31703174,0.0059404513,0.38431865,0.13485754,0.041397393,-0.00875,0.97766715,-0.010946963,-0.01969697,0.9975,0.069053024,10
7,0.2,0.016987298,0.8898034,0.9035534,0.4205905,0.9329629,0.46879697,0.5966165,0.51390976,0.4913534,0.81666666,0.62777776,0.67375,0.90555555,0.14764012,0.99985254,0.07654867,0.064060956,0.41589716,0.7475905,0.16630247,-0.005928647,0.49445206,0.18634713,-0.049170125,-0.012539335,0.93861794,0.08030303,0.08030303,0.95,0.08030303,3
8,0.2925,0.069487296,0.8041784,0.8035534,0.2925,0.92051274,0.58020675,0.61781013,0.5907284,0.5388534,0.73749995,0.75,0.71958333,0.8780555,0.41047937,0.7215831,0.05,0.24528761,0.6711962,0.35472652,0.049375,0.12702453,0.5205188,0.35499364,-0.044631183,-0.046667624,1.0111053,0.032803033,0.08030303,0.9925,0.08030303,10
9,0.2,0.016987298,0.9035534,0.8298034,0.19644661,0.8035534,0.57406014,0.5966165,0.51390976,0.4913534,0.62777776,0.62777776,0.6166667,0.87222224,0.4947394,0.5632743,0.05,0.23711897,0.4652151,0.11054565,0.05,0.08672613,0.67680997,0.5411692,-0.04770737,-0.009206962,1.0398701,0.08030303,0.08030303,0.08030303,0.08030303,3
10,0.3,0.1169873,0.9035534,0.8485534,0.1169873,0.8,0.55526316,0.57406014,0.5314098,0.55526316,0.6825,0.62777776,0.65,0.78333336,0.7149951,0.4865782,0.05,0.37871188,0.7864494,0.23258132,0.05,0.049685206,0.62398213,0.5931713,-0.047197435,-0.046371188,1.0393034,0.08030303,1.05,-0.01969697,0.08030303,3
11,0.2,0.1169873,0.8035534,0.89355344,0.06703709,0.57940954,0.57406014,0.53270674,0.46879697,0.55526316,0.63277775,0.68333334,0.74888885,0.75,0.8379056,0.3454474,0.05,0.54390365,0.85099685,0.3655299,0.02,0.23930745,0.78470784,0.625695,-0.04691809,-0.049677193,1.03942,0.08030303,1.045,0.08030303,0.07530303,12
