,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.1169873,0.3,0.8035534,0.09644662,1.05,0.45,0.4913534,0.4274436,0.5966165,0.4913534,0.7722222,0.73888886,0.59444445,0.8388889,-0.05,0.0595821,0.8978859,-0.05,-0.05,0.1549318,0.90519416,0.05,0.52462256,0.17008503,-0.05,0.05,0.93977433,0.08030303,-0.01969697,0.08030303,0.08030303,1
1,0.3,0.1169873,0.8473034,0.8248034,1.0329629,0.57940954,0.49511278,0.46879697,0.5966165,0.46879697,0.71666664,0.71666664,0.6727778,0.90555555,-0.05,0.24764012,0.8998525,-0.05,-0.05,0.45714718,0.8338405,-0.05,0.36121425,0.18455662,-0.05,0.0049999994,1.0394292,0.08030303,0.08030303,0.08030303,-0.01969697,2
2,0.3,0.1169873,0.8035534,0.9035534,0.98301274,0.8,0.48007518,0.53270674,0.57406014,0.46879697,0.70555556,0.65,0.65,0.90555555,-0.05,0.3904794,0.6215831,-0.05,-0.05,0.6711962,0.35535154,-0.013749999,0.44789204,0.12827498,-0.05,-0.05,0.9394574,0.08030303,0.08030303,0.08030303,-0.01969697,2
3,0.3,0.1169873,0.80480343,0.9035534,0.9035534,0.8035534,0.46503758,0.57406014,0.5966165,0.46879697,0.8055556,0.62777776,0.62777776,0.9388889,-0.05,0.4947394,0.47202432,-0.05,-0.05,0.4652151,0.21054564,0.05,0.43106398,0.2726621,-0.05,0.05,0.9397938,0.08030303,-0.01969697,0.08030303,-0.01969697,3
4,0.3,0.1169873,0.8035534,0.9035534,0.8,0.98301274,0.45,0.55526316,0.57406014,0.45,0.70555556,0.65,0.62777776,0.8388889,-0.05,0.7912451,0.4865782,-0.05,-0.05,0.8201994,0.23258132,0.04499999,0.3352027,0.32667816,-0.05,0.037500013,0.94096124,-0.01969697,0.05655303,1.05,-0.01969697,3
5,0.3,0.1169873,0.8035534,0.9035534,0.67940956,0.9329629,0.4274436,0.57406014,0.53270674,0.4274436,0.8388889,0.7277778,0.68333334,0.9722222,-0.05,0.8379056,0.4354474,-0.05,-0.05,0.80099684,0.46552992,0.05,0.46485248,0.14260057,-0.05,-0.05,0.97040856,0.08030303,0.08030303,1.05,-0.01969697,2
6,0.3,0.1169873,0.8035534,0.86730343,0.55,1.05,0.4274436,0.5966165,0.51390976,0.45,0.73888886,0.59444445,0.70555556,0.8388889,-0.025417896,0.8978859,0.27713865,-0.03525074,0.1549318,0.80519414,0.38203174,0.04094045,0.38306862,0.17610753,-0.049852602,-0.05,1.0389172,-0.01969697,-0.01969697,1.05,-0.01969697,3
7,0.3,0.1169873,0.82105345,0.9035534,0.4205905,0.9329629,0.46879697,0.5966165,0.51390976,0.4913534,0.81666666,0.7277778,0.75,0.90555555,0.14764012,0.8998525,-0.023451328,0.064060956,0.41589716,0.73384047,0.100052476,-0.005928647,0.39445204,0.116347134,-0.049170125,0.05,1.0383242,0.08030303,-0.01969697,1.05,-0.01969697,10
8,0.3,0.1169873,0.9035534,0.89605343,0.3,0.8830127,0.62145674,0.57406014,0.4913534,0.4913534,0.75,0.75,0.78333336,0.90555555,0.36297935,0.6215831,-0.033749994,0.19778761,0.58869624,0.2553515,-0.05,0.027649526,0.5205188,0.32124364,-0.0483812,0.08746067,1.039121,-0.01969697,-0.01969697,1.05,-0.01969697,11
9,0.2,0.016987298,0.9035534,0.80480343,0.19644661,0.8035534,0.57406014,0.5966165,0.5314098,0.4913534,0.7277778,0.62777776,0.6166667,0.7722222,0.4947394,0.5020243,0.05,0.23711897,0.4914651,0.20554563,0.05,0.08672613,0.65431,0.5411692,-0.04770737,0.09984267,0.9617076,0.08030303,-0.01969697,-0.01969697,0.077803016,12
10,0.28375,0.1169873,0.9035534,0.9035534,0.1169873,0.8,0.55526316,0.57406014,0.51390976,0.55526316,0.73749995,0.62777776,0.65,0.68333334,0.7149951,0.4865782,0.05,0.37871188,0.80394936,0.14133132,0.05,0.1496852,0.72398216,0.59442127,-0.047197435,0.28714597,0.941014,0.08030303,0.95,0.08030303,0.08030303,12
11,0.2,0.1169873,0.8248034,0.8035534,-0.032962915,0.57940954,0.67406017,0.57770675,0.46879697,0.6552632,0.7277778,0.78333336,0.8388889,0.75,0.9379056,0.33544737,-0.05,0.6439037,0.8209969,0.3655299,-0.05,0.23555745,0.78470784,0.625695,0.05308191,0.55194926,1.0409102,-0.01969697,0.95,0.0015530344,-0.01969697,12
12,0.3,0.1169873,0.83355343,0.8035534,0.05,0.55,0.69661653,0.6139098,0.5913534,0.67406017,0.59444445,0.70555556,0.73888886,0.62777776,0.99788594,0.17713864,0.05,0.6291544,0.90519416,0.28578174,0.05,0.20110178,0.7317959,0.37914452,-0.025615897,0.76175267,1.0396913,-0.01969697,0.95,0.08030303,-0.01969697,12
13,0.3,0.1169873,0.8635534,0.8035534,-0.032962915,0.4205905,0.69661653,0.6139098,0.46879697,0.6289474,0.62777776,0.65,0.8055555,0.70555556,0.99985254,-0.023451328,-0.05,0.59473944,0.73384047,0.20005247,0.05,0.18955928,0.86583227,0.5030804,0.052960016,0.94905597,0.9408586,-0.01969697,0.95,0.08030303,-0.01969697,12
