,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.51135343,0.4799436,0.61661655,0.5388534,0.8522222,0.81888884,0.6144445,0.7588889,0.0,0.0520821,0.91788596,0.0,0.0,0.13493179,0.8851941,0.03,0.44649756,0.25008503,0.00012,0.0125,0.99025434,0.060303032,0.060303032,0.00030303188,0.060303032,0.05286800116300583
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5151128,0.54879695,0.6766165,0.48879698,0.7366667,0.7366667,0.70777774,0.82555556,0.03,0.22764012,0.91985255,0.03,0.03,0.49589717,0.7538405,0.0,0.44121426,0.14455661,0.0,0.03,0.98990923,0.024053032,0.060303032,0.060303032,0.00030303746,0.12609994411468506
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.5000752,0.5527068,0.5940602,0.48879698,0.7455556,0.67,0.67,0.82555556,0.0,0.44297937,0.64158314,0.0,0.03,0.6511962,0.29785153,0.0,0.42789203,0.20827498,0.0,0.0,0.9899374,0.00030303188,0.00030303188,0.060303032,0.060303032,0.0014737173914909363
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.5940602,0.6766165,0.49504697,0.78555554,0.70777774,0.6477778,0.8588889,0.03,0.51473945,0.5432743,0.03,0.0,0.4852151,0.19054565,0.0,0.35106397,0.2526621,0.00012,0.0,0.98931384,0.00030303188,0.060303032,0.060303032,0.00030303188,0.04035212844610214
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.5940602,0.53,0.7255556,0.67,0.70777774,0.8588889,0.03,0.7349951,0.40657818,0.03,0.03,0.80019933,0.15258132,0.03,0.4152027,0.39167815,0.00012,0.03,0.99144125,0.060303032,0.00030303188,0.97,0.060303032,0.2803942561149597
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.6540601,0.5527068,0.5074436,0.7588889,0.6477778,0.7033334,0.95222217,0.03,0.91790557,0.35544738,0.03,0.03,0.8209969,0.3855299,0.03,0.44485247,0.16885057,0.00012,0.03,0.98963857,0.060303032,0.060303032,1.0,0.060303032,0.19875109195709229
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.4474436,0.61661655,0.59390974,0.47,0.7588889,0.67444444,0.7255556,0.8588889,0.0,0.91788596,0.25713864,0.0,0.07493179,0.8851941,0.36578175,0.0,0.40306863,0.15610753,2.7397822e-05,0.0,0.9884372,0.00030303188,0.060303032,0.97,0.00030303188,0.1474965512752533
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.61661655,0.5389098,0.51135343,0.7366667,0.70777774,0.72999996,0.82555556,0.16764012,0.9798525,0.05654867,0.14406095,0.43589717,0.7538405,0.18005247,0.014071355,0.41445205,0.16634713,0.0007098772,0.0,0.9888042,0.060303032,0.060303032,0.97,0.00030303188,0.3858681321144104
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.6540601,0.5713534,0.51135343,0.67,0.72999996,0.7633333,0.8855555,0.38297936,0.64158314,0.03,0.21778761,0.6074462,0.33535153,0.03,0.047649525,0.60051876,0.28499362,0.001498801,0.03,0.98930734,0.060303032,0.060303032,1.0,0.060303032,0.36655038595199585
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.61906016,0.6766165,0.59390974,0.51135343,0.69277775,0.6477778,0.69666666,0.8522222,0.51473945,0.4832743,0.03,0.25711897,0.4852151,0.13054565,0.0,0.04047613,0.6568099,0.4611692,0.0021726277,0.03,0.9900564,0.060303032,0.060303032,0.060303032,0.060303032,0.46979761123657227
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.63526314,0.5940602,0.5339098,0.5752632,0.67,0.70777774,0.67,0.7633333,0.7349951,0.4665782,0.03,0.4349619,0.7401994,0.21258132,0.0,0.069685206,0.7039821,0.5231713,0.0026825655,0.0,0.99002534,0.060303032,1.0,0.04155303,0.060303032,0.4069947600364685
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.6540601,0.5527068,0.48879698,0.5752632,0.70777774,0.7633333,0.7588889,0.67,0.9154056,0.41544738,0.03,0.62390363,0.8209969,0.3855299,0.0,0.18930745,0.7647078,0.553195,0.0029619113,0.0,0.98992157,0.060303032,1.0,0.060303032,0.060303032,0.43989211320877075
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.6353665,0.5339098,0.51135343,0.5940602,0.6144445,0.78555554,0.7588889,0.6477778,0.91788596,0.25713864,0.03,0.60915434,0.8251942,0.30578175,0.03,0.12110178,0.8067959,0.3916445,0.0030140923,0.0,0.98870265,0.060303032,1.0,0.060303032,0.00030303188,0.4228513836860657
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.61661655,0.59390974,0.48879698,0.60894734,0.70777774,0.72999996,0.82555556,0.7255556,0.91985255,0.0,0.03,0.5747394,0.81384045,0.18005247,0.0,0.16955929,0.8458322,0.52308047,0.002840017,0.0,0.98986995,0.060303032,1.0,0.00030303188,0.03780303,0.4249522089958191
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.6540601,0.51135343,0.48879698,0.5489474,0.67,0.7633333,0.82555556,0.7255556,0.7015831,0.0,0.03,0.9218387,0.27535152,0.0,0.0,0.7112828,0.84289277,0.38441887,0.0026845895,0.0,0.98824745,0.00030303188,0.9825,0.060303032,0.060303032,0.2894883155822754
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.61661655,0.5339098,0.54879695,0.61661655,0.70777774,0.6366667,0.8588889,0.67444444,0.5432743,0.0,0.0,0.7533112,0.19054565,0.0,0.0,0.78532004,0.784979,0.06078261,0.002120369,0.0,0.985894,0.00030303188,0.060303032,0.060303032,0.060303032,0.28806406259536743
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.5940602,0.59390974,0.53,0.61661655,0.6477778,0.69374996,0.8588889,0.60333335,0.4665782,0.03,0.0,0.65045226,0.15258132,0.0,0.0,0.7676705,0.85713226,0.18175806,0.0011699818,0.03,0.98846895,0.97,0.060303032,0.060303032,1.0,0.3619358241558075
