Wall time,Step,Value
1694720057.3096118,12288,-20628.30859375
1694720081.3145912,16384,-20628.30859375
1694720114.8918467,20480,-18356.349609375
1694720133.0314271,22528,-18356.349609375
1694720169.241424,26624,-16674.369140625
1694720205.6068375,30720,-16674.369140625
1694720223.8466408,32768,-16674.369140625
1694720240.902878,34816,-16674.369140625
1694720257.8185372,36864,-15389.5283203125
1694720274.749627,38912,-15389.5283203125
1694720291.8970675,40960,-15389.5283203125
1694720310.0225687,43008,-15389.5283203125
1694720328.1220877,45056,-14423.9013671875
1694720346.1923041,47104,-14423.9013671875
1694720364.3060548,49152,-14423.9013671875
1694720382.7334235,51200,-14423.9013671875
1694720401.127173,53248,-13685.9267578125
1694720419.6669064,55296,-13685.9267578125
1694720439.229145,57344,-13685.9267578125
1694720458.9067993,59392,-13685.9267578125
1694720478.6343248,61440,-13135.1220703125
1694720517.6118472,65536,-13135.1220703125
1694720575.7790508,71680,-12712.388671875
1694720595.1311815,73728,-12712.388671875
1694720614.9992049,75776,-12712.388671875
1694720634.7601461,77824,-12712.388671875
1694720654.5003424,79872,-12355.896484375
1694720687.4754794,83968,-12355.896484375
1694720858.4990318,90112,-12065.177734375
1694720876.9684842,92160,-12065.177734375
1694720916.213942,96256,-12065.177734375
1694720935.8599925,98304,-11812.765625
1694720955.597188,100352,-11812.765625
1694720975.0914278,102400,-11812.765625
1694720994.5309372,104448,-11812.765625
1694721012.9890175,106496,-11594.09765625
1694721049.4201267,110592,-11594.09765625
1694721067.8765972,112640,-11594.09765625
1694721122.5428162,118784,-11402.8505859375
1694721139.497315,120832,-11402.8505859375
1694721156.4099355,122880,-11235.533203125
1694721173.2503276,124928,-11235.533203125
1694721188.242271,126976,-11235.533203125
1694721248.1749506,133120,-11091.5703125
1694721266.6079586,135168,-11091.5703125
1694721284.8775723,137216,-11091.5703125
1694721303.2984731,139264,-11091.5703125
1694721321.847903,141312,-10964.1552734375
1694721341.5445783,143360,-10964.1552734375
1694721361.210359,145408,-10964.1552734375
1694721380.7162068,147456,-10964.1552734375
1694721400.263425,149504,-10844.0107421875
1694721420.2321403,151552,-10844.0107421875
1694721459.879624,155648,-10844.0107421875
1694721479.5482101,157696,-10733.6591796875
1694721499.2618885,159744,-10733.6591796875
1694721519.0613124,161792,-10733.6591796875
1694721558.7787137,165888,-10733.6591796875
1694721578.7530603,167936,-10637.330078125
1694721598.5488544,169984,-10637.330078125
1694721618.1629443,172032,-10637.330078125
1694721817.8674915,176128,-10541.3798828125
1694721829.7255957,178176,-10541.3798828125
1694721853.6377275,182272,-10541.3798828125
1694721865.643472,184320,-10457.7548828125
1694721877.4548233,186368,-10457.7548828125
1694721889.3670642,188416,-10457.7548828125
1694721901.142739,190464,-10457.7548828125
1694721912.6669831,192512,-10457.7548828125
1694721938.9739182,196608,-10383.65625
1694721957.0139527,198656,-10383.65625
1694721975.2011244,200704,-10383.65625
1694721993.494403,202752,-10313.3173828125
1694722028.8397043,206848,-10313.3173828125
1694722045.906624,208896,-10313.3173828125
1694722080.2423186,212992,-10246.2421875
1694722098.668194,215040,-10246.2421875
1694722117.0951936,217088,-10246.2421875
1694722135.4301276,219136,-10184.9736328125
1694722153.5936484,221184,-10184.9736328125
1694722172.019368,223232,-10184.9736328125
1694722190.3282409,225280,-10184.9736328125
1694722208.7172573,227328,-10184.9736328125
1694722268.1075304,233472,-10126.5458984375
1694722287.8872237,235520,-10126.5458984375
1694722347.8843951,241664,-10071.3623046875
1694722387.3548625,245760,-10017.93359375
1694722407.0322156,247808,-10017.93359375
1694722426.702714,249856,-10017.93359375
1694722446.8227172,251904,-10017.93359375
1694722466.7294953,253952,-10017.93359375
1694722486.5960977,256000,-9972.3115234375
1694722506.4208055,258048,-9972.3115234375
1694722546.06387,262144,-9972.3115234375
1694722766.452127,264192,-9927.9921875
1694722786.136266,266240,-9927.9921875
1694722806.1775668,268288,-9927.9921875
1694722825.7652671,270336,-9927.9921875
1694722865.1227415,274432,-9886.1025390625
1694722884.3645258,276480,-9886.1025390625
1694722939.4437804,282624,-9848.4765625
1694722957.7228508,284672,-9848.4765625
1694722994.4918666,288768,-9848.4765625
1694723012.94403,290816,-9809.6591796875
1694723047.1172843,294912,-9809.6591796875
1694723082.0497172,299008,-9773.34375
1694723100.2025704,301056,-9773.34375
1694723118.356479,303104,-9773.34375
1694723136.6545658,305152,-9773.34375
1694723154.9178197,307200,-9740.544921875
1694723173.3613446,309248,-9740.544921875
1694723210.3137028,313344,-9740.544921875
1694723230.0125802,315392,-9710.451171875
1694723249.5275898,317440,-9710.451171875
1694723269.161911,319488,-9710.451171875
1694723308.3776486,323584,-9710.451171875
1694723328.120469,325632,-9682.607421875
1694723347.703171,327680,-9682.607421875
1694723387.038555,331776,-9682.607421875
1694723406.6651428,333824,-9653.2158203125
1694723426.11149,335872,-9653.2158203125
1694723465.2246609,339968,-9653.2158203125
1694723484.5864775,342016,-9626.0771484375
1694723523.4702547,346112,-9626.0771484375
1694723543.0519283,348160,-9626.0771484375
1694723782.2880805,352256,-9597.708984375
1694723801.818646,354304,-9597.708984375
1694723818.6003356,356352,-9597.708984375
1694723842.886675,360448,-9569.4765625
1694723854.7835262,362496,-9569.4765625
1694723866.2831416,364544,-9569.4765625
1694723897.8688135,368640,-9543.27734375
1694723916.2233098,370688,-9543.27734375
1694723934.416011,372736,-9543.27734375
1694723952.6808536,374784,-9543.27734375
1694723988.5733778,378880,-9518.0927734375
1694724005.4683483,380928,-9518.0927734375
1694724022.436234,382976,-9518.0927734375
1694724039.3599539,385024,-9518.0927734375
1694724057.3245704,387072,-9495.0634765625
1694724075.691214,389120,-9495.0634765625
1694724094.1543365,391168,-9495.0634765625
1694724112.5314474,393216,-9495.0634765625
1694724130.967286,395264,-9473.8193359375
1694724167.688708,399360,-9473.8193359375
