Wall time,Step,Value
1694719160.785638,12288,-5738.66162109375
1694719180.4264352,16384,-5738.66162109375
1694719200.634586,20480,-4981.431640625
1694719210.5651336,22528,-4981.431640625
1694719230.597029,26624,-4471.8388671875
1694719250.92597,30720,-4471.8388671875
1694719261.0983202,32768,-4471.8388671875
1694719271.0638502,34816,-4471.8388671875
1694719280.9875963,36864,-4143.90771484375
1694719290.8335934,38912,-4143.90771484375
1694719300.6205263,40960,-4143.90771484375
1694719310.3747342,43008,-4143.90771484375
1694719320.4074452,45056,-3901.81689453125
1694719330.5461264,47104,-3901.81689453125
1694719340.6792052,49152,-3901.81689453125
1694719350.8444836,51200,-3901.81689453125
1694719361.0357301,53248,-3728.593994140625
1694719371.0911348,55296,-3728.593994140625
1694719380.9210403,57344,-3728.593994140625
1694719390.7496367,59392,-3728.593994140625
1694719400.5963423,61440,-3596.897705078125
1694719420.3276205,65536,-3596.897705078125
1694719449.714176,71680,-3493.399658203125
1694719459.5181162,73728,-3493.399658203125
1694719469.3362029,75776,-3493.399658203125
1694719479.1519418,77824,-3493.399658203125
1694719489.2701244,79872,-3404.146728515625
1694719509.4253008,83968,-3404.146728515625
1694719657.7066095,90112,-3332.769775390625
1694719666.9520416,92160,-3332.769775390625
1694719685.5040553,96256,-3332.769775390625
1694719694.790949,98304,-3270.77978515625
1694719704.15755,100352,-3270.77978515625
1694719713.719135,102400,-3270.77978515625
1694719723.6164248,104448,-3270.77978515625
1694719733.9340641,106496,-3218.207763671875
1694719754.4721358,110592,-3218.207763671875
1694719764.6541588,112640,-3218.207763671875
1694719794.483087,118784,-3171.056884765625
1694719804.6760871,120832,-3171.056884765625
1694719814.946272,122880,-3130.63916015625
1694719825.189768,124928,-3130.63916015625
1694719835.4053917,126976,-3130.63916015625
1694719865.8768032,133120,-3094.5078125
1694719876.0540764,135168,-3094.5078125
1694719886.2385035,137216,-3094.5078125
1694719896.7456274,139264,-3094.5078125
1694719907.0794747,141312,-3061.367431640625
1694719917.4071722,143360,-3061.367431640625
1694719927.5978286,145408,-3061.367431640625
1694719937.7166758,147456,-3061.367431640625
1694719947.8785996,149504,-3031.0732421875
1694719957.9887884,151552,-3031.0732421875
1694719978.4496043,155648,-3031.0732421875
1694719989.033781,157696,-3002.814208984375
1694720001.0427856,159744,-3002.814208984375
1694720012.8989334,161792,-3002.814208984375
1694720036.7913938,165888,-3002.814208984375
1694720048.635252,167936,-2976.257080078125
1694720060.5321991,169984,-2976.257080078125
1694720072.5194263,172032,-2976.257080078125
1694720294.8239136,176128,-2951.19775390625
