Wall time,Step,Value
1694796515.2061684,12288,-1699.3956298828125
1694796534.6641164,16384,-1699.3956298828125
1694796554.2716854,20480,-1612.65234375
1694796563.9717152,22528,-1612.65234375
1694796583.463456,26624,-1536.415771484375
1694796603.0238335,30720,-1536.415771484375
1694796612.733429,32768,-1536.415771484375
1694796622.463732,34816,-1536.415771484375
1694796632.2173228,36864,-1480.6256103515625
1694796641.899993,38912,-1480.6256103515625
1694796651.6831694,40960,-1480.6256103515625
1694796661.392391,43008,-1480.6256103515625
1694796671.1431458,45056,-1434.58349609375
1694796680.9461064,47104,-1434.58349609375
1694796690.7412262,49152,-1434.58349609375
1694796700.5496259,51200,-1434.58349609375
1694796710.3703847,53248,-1392.5103759765625
1694796720.2008383,55296,-1392.5103759765625
1694796730.0260134,57344,-1392.5103759765625
1694796739.7364926,59392,-1392.5103759765625
1694796749.5599134,61440,-1358.384765625
1694796769.0621924,65536,-1358.384765625
1694796798.474886,71680,-1328.098876953125
1694796808.280594,73728,-1328.098876953125
1694796818.086473,75776,-1328.098876953125
1694796827.8720338,77824,-1328.098876953125
1694796837.679124,79872,-1302.6229248046875
1694796857.168872,83968,-1302.6229248046875
1694797017.8063395,90112,-1284.828369140625
1694797027.5589824,92160,-1284.828369140625
1694797047.111326,96256,-1284.828369140625
1694797056.906505,98304,-1266.115234375
1694797066.6117156,100352,-1266.115234375
1694797076.415088,102400,-1266.115234375
1694797086.187399,104448,-1266.115234375
1694797095.9256291,106496,-1247.902587890625
1694797114.5919783,110592,-1247.902587890625
1694797123.8493319,112640,-1247.902587890625
1694797152.979635,118784,-1232.5103759765625
1694797162.6244986,120832,-1232.5103759765625
1694797172.5573003,122880,-1218.06591796875
1694797182.5129406,124928,-1218.06591796875
1694797192.4405663,126976,-1218.06591796875
1694797220.5150783,133120,-1204.520751953125
1694797229.8293629,135168,-1204.520751953125
1694797239.11456,137216,-1204.520751953125
1694797248.4439015,139264,-1204.520751953125
1694797257.736635,141312,-1194.22314453125
1694797267.0347228,143360,-1194.22314453125
1694797276.4031007,145408,-1194.22314453125
1694797285.7179112,147456,-1194.22314453125
1694797295.0178034,149504,-1184.8607177734375
1694797304.373852,151552,-1184.8607177734375
1694797323.0681443,155648,-1184.8607177734375
1694797332.396814,157696,-1175.802734375
1694797341.7233052,159744,-1175.802734375
1694797351.0381045,161792,-1175.802734375
1694797369.7158446,165888,-1175.802734375
1694797379.0416892,167936,-1167.6534423828125
1694797388.361982,169984,-1167.6534423828125
1694797397.6869237,172032,-1167.6534423828125
1694797540.4763892,176128,-1160.0526123046875
1694797549.7533057,178176,-1160.0526123046875
1694797568.3485513,182272,-1160.0526123046875
1694797577.6233766,184320,-1153.362060546875
1694797586.934067,186368,-1153.362060546875
1694797596.2600114,188416,-1153.362060546875
1694797605.5725522,190464,-1153.362060546875
1694797614.9168727,192512,-1153.362060546875
1694797633.5997877,196608,-1148.343017578125
1694797642.9116023,198656,-1148.343017578125
1694797652.3071811,200704,-1148.343017578125
1694797661.5762677,202752,-1143.747314453125
1694797680.3013685,206848,-1143.747314453125
1694797689.6311707,208896,-1143.747314453125
1694797708.307129,212992,-1139.562744140625
1694797717.6421614,215040,-1139.562744140625
1694797726.9495108,217088,-1139.562744140625
1694797736.3258924,219136,-1134.9244384765625
1694797745.6684186,221184,-1134.9244384765625
1694797755.0061855,223232,-1134.9244384765625
1694797764.3755445,225280,-1134.9244384765625
1694797773.6698003,227328,-1134.9244384765625
1694797801.7006226,233472,-1130.2747802734375
1694797811.0578372,235520,-1130.2747802734375
1694797839.080791,241664,-1125.8446044921875
1694797857.7057767,245760,-1121.5262451171875
1694797867.0344205,247808,-1121.5262451171875
1694797876.341464,249856,-1121.5262451171875
1694797885.671494,251904,-1121.5262451171875
1694797895.0260777,253952,-1121.5262451171875
1694797904.361257,256000,-1118.1845703125
1694797913.6897235,258048,-1118.1845703125
1694797932.3655643,262144,-1118.1845703125
1694798065.9320617,264192,-1114.3031005859375
1694798075.200178,266240,-1114.3031005859375
1694798084.5366032,268288,-1114.3031005859375
1694798093.866723,270336,-1114.3031005859375
1694798112.5491652,274432,-1110.9276123046875
1694798121.8490298,276480,-1110.9276123046875
1694798149.8550122,282624,-1107.298828125
1694798159.1352727,284672,-1107.298828125
1694798177.8946557,288768,-1107.298828125
1694798187.225457,290816,-1104.2100830078125
1694798205.8980753,294912,-1104.2100830078125
