Wall time,Step,Value
1696348860.941375,20480,-10062.251953125
1696348873.4373035,22528,-10062.251953125
1696348923.9779978,30720,-9614.7421875
1696348936.7184808,32768,-9614.7421875
1696348962.335438,36864,-9234.0263671875
1696348975.1956623,38912,-9234.0263671875
1696348987.9449127,40960,-9234.0263671875
1696349026.3328075,47104,-8960.3466796875
1696349039.009472,49152,-8960.3466796875
1696349052.040558,51200,-8960.3466796875
1696349103.1347063,59392,-8767.1982421875
1696349216.8982878,77824,-8478.4306640625
1696349229.6541204,79872,-8359.1845703125
1696349255.259326,83968,-8359.1845703125
1696349522.615869,92160,-8258.8564453125
1696349547.9612498,96256,-8258.8564453125
1696349573.2389364,100352,-8174.3330078125
1696349585.929588,102400,-8174.3330078125
1696349611.2110505,106496,-8104.85009765625
1696349636.457707,110592,-8104.85009765625
1696349649.0846791,112640,-8104.85009765625
1696349687.0773323,118784,-8043.521484375
1696349699.6784565,120832,-8043.521484375
1696349712.283112,122880,-7992.068359375
1696349724.9044688,124928,-7992.068359375
1696349737.4723806,126976,-7992.068359375
1696349787.9094326,135168,-7947.50830078125
1696349813.0540829,139264,-7947.50830078125
1696349838.1749456,143360,-7908.68017578125
1696349850.6818745,145408,-7908.68017578125
1696349863.1676831,147456,-7908.68017578125
1696349875.7091455,149504,-7874.0751953125
1696349913.2283595,155648,-7874.0751953125
1696349925.8685079,157696,-7844.72216796875
1696349938.4594185,159744,-7844.72216796875
1696349950.9595182,161792,-7844.72216796875
1696350014.6153088,172032,-7816.9326171875
1696350293.7825384,182272,-7791.2607421875
1696350306.4828627,184320,-7768.0908203125
1696350318.959754,186368,-7768.0908203125
1696350331.6009727,188416,-7768.0908203125
1696350344.2731955,190464,-7768.0908203125
1696350356.7413337,192512,-7768.0908203125
1696350419.7729592,202752,-7727.25732421875
1696350519.968595,219136,-7690.87646484375
1696350557.4728656,225280,-7690.87646484375
1696350569.8377182,227328,-7690.87646484375
1696350657.7763855,241664,-7663.56396484375
1696350695.5227897,247808,-7648.23046875
1696350720.7409005,251904,-7648.23046875
1696350733.525606,253952,-7648.23046875
1696350746.294824,256000,-7634.80712890625
1696351013.8982446,264192,-7622.49560546875
1696351026.2733524,266240,-7622.49560546875
1696351038.8031073,268288,-7622.49560546875
1696351076.3976417,274432,-7610.681640625
1696351089.0253892,276480,-7610.681640625
1696351176.4288838,290816,-7587.89697265625
1696351201.2190442,294912,-7587.89697265625
1696351226.319225,299008,-7577.25439453125
1696351238.853018,301056,-7577.25439453125
1696351251.422488,303104,-7577.25439453125
1696351264.048938,305152,-7577.25439453125
1696351314.160946,313344,-7567.2490234375
1696351339.1092756,317440,-7557.822265625
1696351376.6661038,323584,-7557.822265625
1696351401.7281628,327680,-7548.419921875
1696351426.633264,331776,-7548.419921875
1696351439.290729,333824,-7539.53564453125
1696351451.8219433,335872,-7539.53564453125
1696351489.8527305,342016,-7531.12060546875
1696351515.477925,346112,-7531.12060546875
1696351527.88974,348160,-7531.12060546875
1696351769.4787965,352256,-7523.20068359375
1696351782.0210292,354304,-7523.20068359375
1696351819.492128,360448,-7515.640625
1696351882.0386891,370688,-7507.8447265625
1696351894.3338485,372736,-7507.8447265625
1696351906.8233192,374784,-7507.8447265625
1696351931.460753,378880,-7500.44140625
1696351968.7574065,385024,-7500.44140625
1696351992.8174586,389120,-7493.30419921875
1696352004.7818103,391168,-7493.30419921875
1696352028.7795787,395264,-7487.0107421875
1696352053.552947,399360,-7487.0107421875
1696352065.6209288,401408,-7487.0107421875
1696352152.2430553,415744,-7473.46435546875
1696352251.4370844,432128,-7459.20166015625
1696352264.2117512,434176,-7459.20166015625
1696352277.010648,436224,-7459.20166015625
1696352540.506151,444416,-7453.28662109375
1696352576.946065,450560,-7448.23828125
1696352612.9806666,456704,-7442.1396484375
1696352625.206806,458752,-7442.1396484375
1696352661.3878174,464896,-7435.359375
1696352673.5905163,466944,-7435.359375
1696352697.8872395,471040,-7435.359375
1696352709.8694878,473088,-7430.099609375
1696352721.7962399,475136,-7430.099609375
1696352746.5106938,479232,-7430.099609375
1696352783.7617202,485376,-7424.51318359375
1696352796.1039574,487424,-7424.51318359375
1696352808.3633413,489472,-7424.51318359375
1696352844.9947348,495616,-7417.51318359375
1696352881.8809044,501760,-7410.482421875
1696352942.809674,512000,-7404.59814453125
1696352967.8102264,516096,-7404.59814453125
1696352993.1011822,520192,-7398.24072265625
1696353005.7603223,522240,-7398.24072265625
1696353283.808547,532480,-7391.650390625
1696353320.1089926,538624,-7384.85205078125
1696353331.9844432,540672,-7384.85205078125
1696353344.231821,542720,-7384.85205078125
1696353356.5217848,544768,-7378.46142578125
1696353380.6046786,548864,-7378.46142578125
1696353429.128628,557056,-7371.6943359375
1696353453.0334647,561152,-7364.6494140625
1696353477.7900934,565248,-7364.6494140625
1696353502.648511,569344,-7357.751953125
1696353563.0223758,579584,-7350.8916015625
1696353587.4345343,583680,-7350.8916015625
1696353636.1980038,591872,-7344.49951171875
1696353697.1206558,602112,-7338.72119140625
1696353722.3471203,606208,-7332.44287109375
1696353734.9493778,608256,-7332.44287109375
1696354009.02674,618496,-7325.95556640625
1696354021.1937864,620544,-7325.95556640625
1696354033.5820603,622592,-7319.61865234375
1696354057.8746674,626688,-7319.61865234375
1696354070.0257182,628736,-7319.61865234375
1696354082.164517,630784,-7313.2275390625
1696354129.929506,638976,-7313.2275390625
1696354141.9804163,641024,-7306.85009765625
1696354165.6137683,645120,-7306.85009765625
1696354201.0339205,651264,-7300.43115234375
1696354249.0119045,659456,-7294.46240234375
1696354260.8384604,661504,-7294.46240234375
1696354272.610977,663552,-7294.46240234375
1696354284.4971416,665600,-7294.46240234375
1696354308.7499557,669696,-7288.23974609375
1696354344.6691015,675840,-7282.4794921875
1696354356.5902576,677888,-7282.4794921875
1696354368.5212767,679936,-7282.4794921875
1696354404.466523,686080,-7277.11083984375
1696354416.859669,688128,-7277.11083984375
1696354441.2045562,692224,-7271.52734375
1696354729.9898665,704512,-7266.63134765625
1696354754.5554447,708608,-7266.63134765625
1696354791.3134313,714752,-7261.48388671875
1696354803.7418861,716800,-7261.48388671875
1696354827.873756,720896,-7256.00146484375
1696354840.006727,722944,-7256.00146484375
1696354900.564683,733184,-7250.537109375
1696354912.3912354,735232,-7250.537109375
1696354936.3878627,739328,-7244.9296875
1696354960.9896455,743424,-7244.9296875
1696354973.3499632,745472,-7239.85205078125
1696354985.314222,747520,-7239.85205078125
1696355021.8910632,753664,-7235.27783203125
1696355070.496829,761856,-7235.27783203125
1696355082.720348,763904,-7230.37109375
1696355107.3416708,768000,-7230.37109375
