,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.54135334,0.47744358,0.6466165,0.54135334,0.82222223,0.7888889,0.64444447,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.47462252,0.22008501,0.0,0.0,0.5091632,0.030303044,0.030303044,0.030303044,0.030303044,10
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5451128,0.518797,0.6466165,0.518797,0.76666665,0.76666665,0.67777777,0.85555553,0.0,0.19764012,0.9498525,0.0,0.0,0.46589717,0.7838405,0.0,0.41121426,0.17455661,0.0,0.037460666,0.5068214,0.030303044,0.030303044,0.030303044,0.030303044,9
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.5300752,0.58270675,0.62406015,0.518797,0.75555557,0.7,0.7,0.85555553,0.0,0.41297936,0.6715831,0.0,0.0,0.6211962,0.30535153,0.0,0.39789203,0.17827499,0.0,0.0,0.48359442,0.030303044,0.030303044,0.030303044,0.030303044,1
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.51503754,0.62406015,0.6466165,0.518797,0.75555557,0.67777777,0.67777777,0.8888889,0.0,0.5447394,0.5132743,0.0,0.0,0.5152151,0.16054565,0.0,0.38106394,0.2226621,0.0,0.0,0.510054,0.030303044,0.030303044,0.030303044,0.030303044,2
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.49999997,0.6052632,0.62406015,0.49999997,0.75555557,0.7,0.67777777,0.8888889,0.0,0.7649951,0.43657818,0.0,0.0,0.77019936,0.18258132,0.0,0.38520274,0.37667817,0.0,0.0,0.56328815,0.030303044,0.030303044,1.0,0.030303044,2
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.47744358,0.62406015,0.58270675,0.47744358,0.7888889,0.67777777,0.73333335,0.9222222,0.0,0.8879056,0.38544738,0.0,0.0,0.85099685,0.4155299,0.0,0.41485247,0.13885057,0.0,0.0,0.4810853,0.030303044,0.030303044,1.0,0.030303044,2
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.47744358,0.6466165,0.56390977,0.49999997,0.7888889,0.64444447,0.75555557,0.8888889,0.024582105,0.94788593,0.22713864,0.0147492625,0.104931794,0.85519415,0.33578175,0.014690451,0.43306866,0.12610753,0.036849454,0.0,0.47007656,0.030303044,0.030303044,1.0,0.030303044,2
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.518797,0.6466165,0.56390977,0.54135334,0.76666665,0.67777777,0.7,0.85555553,0.19764012,0.9498525,0.026548672,0.11406096,0.46589717,0.7838405,0.15005247,0.044071354,0.44445205,0.13634713,0.2074693,0.0,0.443037,0.030303044,0.030303044,1.0,0.030303044,5
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.58270675,0.62406015,0.54135334,0.54135334,0.7,0.7,0.73333335,0.85555553,0.41297936,0.6715831,0.0,0.24778761,0.6211962,0.30535153,0.0,0.07764953,0.5705188,0.30499366,0.40470025,0.0,0.46598,0.030303044,0.030303044,1.0,0.030303044,11
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.62406015,0.6466165,0.56390977,0.54135334,0.67777777,0.67777777,0.6666667,0.82222223,0.5447394,0.5132743,0.0,0.28711897,0.5152151,0.16054565,0.0,0.03672613,0.62680995,0.4911692,0.57315695,0.112381995,0.5403226,0.030303044,0.030303044,0.030303044,0.030303044,13
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.6052632,0.62406015,0.56390977,0.6052632,0.7,0.67777777,0.7,0.73333335,0.7649951,0.43657818,0.0,0.4287119,0.77019936,0.18258132,0.0,0.09968521,0.67398214,0.5531713,0.7006414,0.3764913,0.59248364,0.030303044,1.0,0.030303044,0.030303044,13
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.62406015,0.58270675,0.518797,0.6052632,0.67777777,0.73333335,0.7888889,0.7,0.8879056,0.38544738,0.0,0.59390366,0.85099685,0.4155299,0.0,0.21930745,0.73470783,0.5756949,0.7704779,0.6406006,0.58775246,0.030303044,1.0,0.030303044,0.030303044,14
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.6466165,0.56390977,0.54135334,0.62406015,0.64444447,0.75555557,0.7888889,0.67777777,0.94788593,0.22713864,0.0,0.5791544,0.85519415,0.33578175,0.0,0.15110178,0.7767959,0.42164454,0.7835231,0.9735034,0.55548173,0.030303044,1.0,0.030303044,0.030303044,15
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.6466165,0.56390977,0.518797,0.57894737,0.67777777,0.7,0.85555553,0.75555557,0.9498525,0.026548672,0.0,0.5447394,0.7838405,0.15005247,0.0,0.13955928,0.8158323,0.5530805,0.7400043,0.9976378,0.5002647,0.030303044,1.0,0.030303044,0.030303044,15
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.62406015,0.54135334,0.518797,0.57894737,0.7,0.73333335,0.85555553,0.75555557,0.6715831,0.0,0.0,0.8918387,0.30535153,0.0,0.0,0.7187828,0.8128928,0.4144189,0.64114743,0.9997846,0.46219292,0.030303044,1.0,0.030303044,0.030303044,11
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.6466165,0.56390977,0.518797,0.6466165,0.67777777,0.6666667,0.8888889,0.64444447,0.5132743,0.0,0.0,0.7758112,0.16054565,0.0,0.0,0.81532,0.81497896,0.030782612,0.50009227,0.99997556,0.35417348,0.030303044,0.030303044,0.030303044,0.030303044,11
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.62406015,0.56390977,0.49999997,0.6466165,0.67777777,0.7,0.8888889,0.6333333,0.43657818,0.0,0.0,0.6204523,0.18258132,0.0,0.0,0.73767054,0.8271323,0.15175806,0.32249543,0.99999255,0.42775452,1.0,0.030303044,0.030303044,1.0,9
17,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.017037086,0.58270675,0.518797,0.47744358,0.62406015,0.73333335,0.7888889,0.9222222,0.64444447,0.38544738,0.0,0.0,0.4355949,0.4155299,0.0,0.0,0.613851,0.83137643,0.015668646,0.14828296,0.9548592,0.39853847,1.0,0.030303044,0.030303044,1.0,9
18,0.25,0.0669873,0.8535534,0.8535534,0.5,0.0,0.56390977,0.54135334,0.49999997,0.6654135,0.75555557,0.7888889,0.8888889,0.76666665,0.22713864,0.0,0.0147492625,0.24090461,0.33578175,0.0,0.014690451,0.35362014,0.8153531,0.3027553,0.03794287,0.90972584,0.5175426,1.0,0.030303044,0.030303044,1.0,9
19,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.017037086,0.56390977,0.518797,0.54135334,0.6466165,0.7,0.85555553,0.85555553,0.64444447,0.026548672,0.0,0.11406096,0.026548672,0.15005247,0.0,0.044071354,0.15424974,0.80944085,0.3161168,0.0030814381,0.8645925,0.5284088,1.0,0.030303044,0.030303044,1.0,10
20,0.25,0.0669873,0.8535534,0.8535534,0.75,0.0669873,0.54135334,0.518797,0.54135334,0.6466165,0.73333335,0.85555553,0.85555553,0.56666666,0.0,0.0,0.24778761,0.0,0.0,0.0,0.07764953,0.0,0.8192776,0.25224698,0.0,0.9020532,0.5336743,1.0,0.030303044,0.030303044,1.0,10
21,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.14644662,0.56390977,0.518797,0.54135334,0.54135334,0.6666667,0.8888889,0.82222223,0.82222223,0.0,0.0,0.28711897,0.0,0.0,0.0,0.03672613,0.0,0.8057974,0.23666915,0.0,0.93951386,0.52829,0.030303044,0.030303044,0.030303044,0.030303044,4
22,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.25,0.56390977,0.49999997,0.6052632,0.56390977,0.7,0.8888889,0.73333335,0.75555557,0.0,0.0,0.4287119,0.0,0.0,0.0,0.09968521,0.0,0.7515491,0.21794727,0.0,0.5660786,0.39595032,0.030303044,0.030303044,0.030303044,0.030303044,4
23,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.37059048,0.518797,0.47744358,0.6052632,0.56390977,0.7888889,0.9222222,0.7,0.75555557,0.0,0.0,0.59390366,0.0,0.0,0.0,0.21930745,0.0,0.6854433,0.2035279,0.0,0.08359763,0.35609943,0.030303044,0.030303044,0.030303044,0.030303044,2
24,0.25,0.0669873,0.8535534,0.8535534,1.0,0.5,0.54135334,0.49999997,0.62406015,0.518797,0.7888889,0.8888889,0.67777777,0.76666665,0.0,0.0147492625,0.5791544,0.0,0.0,0.014690451,0.15110178,0.0,0.57326555,0.16593567,0.0,0.0,0.46563697,0.030303044,0.030303044,0.030303044,0.030303044,2
25,0.25,0.0669873,0.5,1.0,0.9829629,0.62940955,0.518797,0.54135334,0.57894737,0.54135334,0.85555553,0.85555553,0.75555557,0.75555557,0.0,0.11406096,0.5447394,0.0,0.0,0.044071354,0.13955928,0.0,0.4840316,0.1696577,0.0,0.0,0.4917335,0.030303044,0.030303044,0.030303044,0.030303044,2
