,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.0,0.5090731,0.8345324,0.10923141,0.7338438,0.766156,0.8075096,0.7435998,0.4219244,0.8075096,0.55606604,0.5227327,0.39882284,0.5227327,0.2661562,0.18027122,0.68172973,0.2661562,0.2661562,0.3469329,0.84870046,0.2661562,0.34453398,5.7365223e-06,0.2661562,0.2661562,0.72361815,0.29645923,0.29645923,0.0,0.29645923
1,0.42724884,0.24423604,0.67630464,0.71727973,0.99999994,0.45216092,0.40211934,0.34154853,0.46936822,0.34154874,0.5894184,0.735284,0.5005312,1.0,0.17724822,0.020391319,0.99999994,0.13480958,0.17724884,0.28864837,0.743827,0.17724866,0.23396559,0.35180542,4.7155075e-09,0.5430281,1.0,0.20754912,0.20755151,0.1023626,0.13740213
2,0.44542786,0.42948112,0.516597,0.78459305,0.5679786,0.55506665,0.8951093,0.92104095,0.3154618,0.5156064,0.39052147,0.33496588,0.33496588,0.49052143,0.3650341,0.04794526,0.306549,0.3650341,0.3650341,0.2561621,0.6703856,0.3650341,0.75273484,0.21004479,0.3650341,0.43995827,0.6200498,0.39533713,0.39533713,0.21960378,0.39487612
3,0.65051365,0.46750095,0.4615444,0.9063479,0.79815763,0.45303977,0.27518746,0.2235465,0.441939,0.3195719,0.35504192,0.2810039,0.48244536,0.70264614,0.27604204,0.14422578,0.77395374,0.40051365,0.08197879,0.14324939,0.5610593,0.40051365,0.11570276,0.4654398,0.2626483,0.6658729,0.59486115,0.106905624,0.356443,0.0,0.0
4,0.16972911,0.4018972,0.7011056,0.88079274,0.41508967,0.5981024,0.83490986,0.27035347,0.28915042,0.35931188,0.42064574,0.36508977,0.37297302,0.55397886,0.33490995,0.43008482,0.77148235,0.33491033,0.33491018,0.43528908,0.5114245,0.3349103,0.72011286,0.71158844,0.33490977,0.4110888,0.65122324,0.3652132,0.36521283,0.66509026,0.07637327
5,0.5184603,0.33544758,0.58509314,0.70366037,0.8978698,0.71450263,0.20898333,0.35559988,0.31424648,0.20898333,0.9833728,0.64345384,0.46487308,1.0,0.09133921,0.6194453,0.65390766,0.26845786,0.033548713,0.5825366,0.6839902,0.26846027,0.17115334,0.40731084,0.1771075,0.52799577,0.74841326,0.0,0.29215014,0.7315397,0.0
6,0.6046457,0.42163303,0.8844036,0.4989077,0.14556693,0.6453543,0.31538028,0.2919708,0.20926404,0.6323795,0.4348494,0.82885224,0.47573075,0.534577,0.3786821,0.5932402,0.58178437,0.369395,0.15491572,0.5005484,0.6904275,0.3693362,0.78771436,0.47100362,0.3546684,0.43080595,0.7991954,0.38389128,0.38494876,0.6453543,0.0
7,0.60673124,0.5350554,0.38740107,0.7999417,0.5166828,0.5148948,0.05436864,0.1785484,0.18899818,0.11147088,0.94378185,0.6497122,0.23193187,0.3876246,0.66570824,0.4817844,0.4946168,0.58212906,0.45242238,0.6518063,0.6181206,0.5121395,0.19729416,0.42996648,0.468898,0.32836902,0.52583706,0.40265247,0.49837115,0.5319319,0.25638875
8,0.5550215,0.37302616,0.54751456,0.73319167,0.42733115,0.62697387,0.57305825,0.3180213,0.23531455,0.59970784,0.43665582,0.39396113,0.4272945,0.5495167,0.5325203,0.36554426,0.30603886,0.55382645,0.6742756,0.30987808,0.30603886,0.3836884,0.87655765,0.6026668,0.30765766,0.38219935,0.67795247,0.3363419,0.3363419,0.69396114,0.07578931
9,0.6032009,0.42018822,0.5003525,0.5159059,0.49964753,0.5003525,0.27085924,0.2934156,0.21070886,0.18815249,0.93509,0.81517303,0.31346577,1.0,0.19153851,0.1600734,0.34584737,0.039443873,0.23525113,0.017730208,0.3532009,0.38992703,0.27360904,0.1379683,0.08661302,0.44323653,0.64195645,0.15110368,0.37027928,0.09062164,0.38350394
10,0.25065193,0.30242705,0.72992855,0.5942017,0.32381848,0.49064827,0.39649236,0.36470842,0.30455804,0.4340508,0.44064826,0.7000113,0.44064826,0.47398162,0.50564337,0.17722645,0.25935173,0.6880636,0.80803853,0.23759668,0.25935173,0.35903692,0.8527233,0.34904,0.26215428,0.33551222,0.7253576,0.28965476,1.0,0.0,0.28965476
11,0.66043663,0.47742394,0.44311678,0.4432507,0.42747372,0.21897292,0.21362352,0.1901396,0.32182845,0.19482654,0.46137154,0.5513708,0.3784961,0.64074147,0.47746897,0.0,0.41043663,0.18346703,0.5197344,0.65173733,0.41043663,0.57045597,0.3242712,0.18986996,0.30747372,0.38600075,0.5901166,0.18213308,0.58956337,0.2983269,0.38705885
12,0.008469582,3.8986727e-06,0.65696555,0.7770293,0.18034598,0.25846958,0.4050861,0.32237935,0.299823,0.38252974,0.6682461,0.8958066,0.54735845,0.43624735,0.7063555,0.0,0.24153042,0.8206848,0.61366373,0.5772971,0.24153042,0.3926322,1.0,0.58363247,0.07257569,0.3176909,0.7418562,0.27183345,0.7584696,0.27183345,0.27182707
13,0.54649746,0.38734367,0.766111,0.99358034,0.33739346,0.30158973,0.32626015,0.2435534,0.25304914,0.258591,0.3574214,0.37964362,0.53519917,0.56264466,0.62949616,0.34690505,0.32035637,0.22438306,0.46886885,0.47040886,0.32035637,0.030071422,0.57922447,0.23272407,0.00033356843,0.476081,0.6746145,0.0,0.67964363,0.3506594,0.10378587
14,0.08340601,0.121013716,0.6869513,0.6869513,0.23358944,0.083397865,0.7906623,0.6633729,0.6853991,0.7455495,0.53339785,0.5667312,0.6889534,0.58895344,0.504981,0.040410582,0.16660213,1.0,0.1681847,0.16660213,0.16660213,0.8853849,0.9794949,0.24781674,0.16916673,0.24276263,0.8172893,0.19690517,1.0,0.05995795,0.19690517
15,0.48301506,0.30000237,0.9678292,0.76124626,0.37946168,0.37946168,0.41360146,0.6574945,0.4211192,0.41360146,0.6460293,0.8205241,0.65587384,0.8774595,0.4139227,0.23301506,0.032883927,0.54279613,0.34977797,0.23301506,0.0049106004,0.58230495,0.5819639,0.0,0.0,0.5634223,0.7589399,0.10615659,0.2535319,0.2633181,0.2633181
