,0,1,2,3,4
0,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01
3,0.03,0.03,0.03,0.05,0.05
4,0.01,0.01,0.01,0.01,0.01
5,0.01,0.03,0.01,0.01,0.01
6,0.01,0.01,0.01,0.01,0.01
7,0.03,0.03,0.03,0.03,0.03
8,0.01,0.01,0.01,0.01,0.01
9,0.05,0.07,0.05,0.05,0.05
10,0.05,0.05,0.05,0.05,0.05
11,0.03,0.03,0.03,0.03,0.03
12,0.03,0.05,0.05,0.03,0.05
13,0.01,0.01,0.01,0.01,0.01
14,0.01,0.01,0.01,0.01,0.01
15,0.01,0.01,0.01,0.01,0.01
16,0.03,0.03,0.03,0.03,0.03
17,0.03,0.03,0.01,0.03,0.03
18,0.01,0.01,0.01,0.01,0.01
19,0.01,0.01,0.01,0.01,0.01
20,0.03,0.03,0.03,0.03,0.03
21,0.01,0.01,0.01,0.01,0.01
22,0.01,0.01,0.03,0.01,0.01
23,0.01,0.01,0.01,0.01,0.01
24,0.03,0.03,0.03,0.03,0.03
25,0.01,0.01,0.01,0.01,0.01
26,0.01,0.01,0.01,0.01,0.01
27,0.01,0.01,0.01,0.01,0.01
28,0.03,0.03,0.03,0.03,0.03
29,0.01,0.01,0.01,0.01,0.01
30,0.03,0.03,0.03,0.03,0.03
31,0.01,0.01,0.01,0.01,0.01
32,0.05,0.05,0.07,0.05,0.05
33,0.03,0.05,0.03,0.03,0.03
34,0.01,0.01,0.01,0.03,0.03
35,0.01,0.01,0.01,0.01,0.01
36,0.01,0.01,0.01,0.01,0.01
37,0.03,0.03,0.01,0.03,0.03
38,0.03,0.03,0.03,0.03,0.03
39,0.01,0.01,0.01,0.01,0.01
40,0.03,0.03,0.03,0.03,0.03
41,0.03,0.03,0.03,0.03,0.03
42,0.01,0.01,0.01,0.01,0.01
43,0.03,0.03,0.03,0.03,0.03
44,0.03,0.05,0.05,0.05,0.05
45,0.03,0.03,0.03,0.03,0.03
46,0.03,0.03,0.03,0.03,0.03
47,0.03,0.03,0.03,0.03,0.03
48,0.01,0.01,0.01,0.01,0.01
49,0.01,0.01,0.01,0.01,0.01
50,0.03,0.03,0.03,0.03,0.03
51,0.03,0.01,0.03,0.03,0.03
52,0.05,0.05,0.05,0.07,0.05
53,0.03,0.05,0.05,0.05,0.05
54,0.01,0.01,0.01,0.01,0.01
55,0.01,0.01,0.03,0.01,0.01
56,0.01,0.01,0.01,0.01,0.01
57,0.03,0.03,0.03,0.03,0.03
58,0.05,0.05,0.05,0.05,0.07
59,0.03,0.03,0.03,0.03,0.03
60,0.01,0.03,0.01,0.01,0.01
61,0.01,0.01,0.01,0.01,0.01
62,0.01,0.01,0.01,0.01,0.01
63,0.03,0.03,0.03,0.03,0.03
64,0.01,0.01,0.01,0.01,0.01
65,0.03,0.01,0.01,0.01,0.01
66,0.01,0.01,0.01,0.01,0.01
67,0.01,0.01,0.01,0.01,0.01
68,0.05,0.03,0.03,0.03,0.03
69,0.01,0.01,0.01,0.01,0.01
70,0.03,0.03,0.03,0.03,0.03
71,0.03,0.03,0.03,0.03,0.03
72,0.01,0.01,0.01,0.01,0.01
73,0.01,0.01,0.01,0.01,0.01
74,0.03,0.03,0.03,0.03,0.03
75,0.01,0.01,0.01,0.01,0.01
76,0.03,0.03,0.01,0.03,0.03
77,0.05,0.05,0.03,0.05,0.05
78,0.01,0.01,0.01,0.01,0.01
79,0.01,0.01,0.01,0.01,0.01
80,0.01,0.01,0.01,0.01,0.01
81,0.03,0.01,0.01,0.03,0.03
82,0.01,0.01,0.01,0.01,0.01
83,0.01,0.01,0.01,0.01,0.01
84,0.01,0.01,0.01,0.01,0.01
85,0.01,0.01,0.01,0.01,0.01
86,0.03,0.03,0.03,0.03,0.03
87,0.01,0.01,0.01,0.01,0.01
88,0.01,0.01,0.01,0.01,0.01
89,0.03,0.03,0.03,0.03,0.03
90,0.01,0.01,0.01,0.01,0.01
91,0.01,0.01,0.01,0.01,0.01
92,0.01,0.01,0.01,0.01,0.01
93,0.01,0.01,0.01,0.01,0.01
94,0.01,0.01,0.01,0.01,0.03
95,0.01,0.01,0.01,0.01,0.01
96,0.03,0.03,0.03,0.03,0.03
97,0.01,0.01,0.01,0.01,0.01
98,0.01,0.01,0.01,0.01,0.01
99,0.01,0.01,0.01,0.01,0.01
100,0.01,0.01,0.01,0.01,0.01
101,0.01,0.01,0.01,0.01,0.01
102,0.03,0.03,0.03,0.03,0.03
103,0.01,0.01,0.01,0.01,0.01
104,0.01,0.01,0.01,0.01,0.01
105,0.01,0.01,0.01,0.01,0.01
106,0.01,0.01,0.01,0.01,0.01
107,0.01,0.01,0.01,0.01,0.01
108,0.01,0.01,0.01,0.01,0.01
109,0.01,0.01,0.01,0.01,0.01
110,0.03,0.03,0.03,0.03,0.03
111,0.03,0.03,0.01,0.01,0.03
112,0.01,0.01,0.01,0.01,0.01
113,0.03,0.03,0.03,0.03,0.03
114,0.03,0.03,0.03,0.03,0.03
115,0.03,0.01,0.03,0.01,0.03
116,0.03,0.03,0.01,0.03,0.03
117,0.01,0.01,0.01,0.01,0.01
118,0.03,0.03,0.01,0.03,0.03
119,0.01,0.01,0.01,0.01,0.01
120,0.01,0.01,0.01,0.01,0.01
121,0.03,0.03,0.03,0.03,0.03
122,0.01,0.01,0.01,0.01,0.01
123,0.01,0.01,0.01,0.01,0.01
124,0.03,0.03,0.03,0.03,0.03
125,0.01,0.01,0.01,0.01,0.01
126,0.01,0.01,0.01,0.01,0.01
127,0.01,0.01,0.01,0.01,0.01
128,0.01,0.01,0.01,0.01,0.01
129,0.01,0.01,0.01,0.01,0.01
130,0.03,0.03,0.03,0.03,0.03
131,0.01,0.01,0.01,0.01,0.01
132,0.01,0.01,0.01,0.01,0.01
133,0.03,0.03,0.03,0.03,0.03
134,0.03,0.03,0.03,0.03,0.03
135,0.03,0.03,0.03,0.03,0.03
136,0.01,0.01,0.01,0.01,0.01
137,0.01,0.01,0.01,0.01,0.01
138,0.03,0.03,0.03,0.03,0.03
139,0.01,0.01,0.01,0.01,0.01
140,0.01,0.01,0.01,0.01,0.01
141,0.03,0.03,0.03,0.03,0.03
142,0.01,0.01,0.01,0.01,0.01
143,0.01,0.01,0.01,0.01,0.01
144,0.01,0.01,0.01,0.01,0.01
145,0.01,0.01,0.01,0.01,0.01
146,0.01,0.01,0.01,0.01,0.01
147,0.01,0.01,0.01,0.01,0.01
148,0.01,0.01,0.01,0.01,0.01
149,0.01,0.01,0.01,0.01,0.01
150,0.03,0.03,0.03,0.03,0.01
151,0.01,0.01,0.03,0.03,0.03
152,0.01,0.01,0.01,0.01,0.01
153,0.03,0.03,0.03,0.03,0.03
154,0.01,0.01,0.01,0.01,0.03
155,0.01,0.01,0.03,0.03,0.03
156,0.01,0.01,0.03,0.01,0.03
157,0.01,0.01,0.01,0.01,0.01
158,0.01,0.01,0.03,0.03,0.03
159,0.05,0.03,0.03,0.03,0.03
160,0.01,0.01,0.01,0.01,0.01
161,0.03,0.03,0.01,0.01,0.01
162,0.01,0.01,0.01,0.01,0.01
163,0.01,0.01,0.01,0.01,0.01
164,0.03,0.03,0.03,0.03,0.03
165,0.03,0.03,0.03,0.03,0.03
166,0.01,0.01,0.01,0.01,0.01
167,0.03,0.01,0.01,0.03,0.03
168,0.01,0.01,0.01,0.01,0.01
169,0.01,0.01,0.01,0.01,0.01
170,0.01,0.03,0.01,0.03,0.03
171,0.01,0.01,0.01,0.01,0.01
172,0.03,0.03,0.03,0.03,0.03
173,0.03,0.03,0.03,0.03,0.03
174,0.01,0.01,0.01,0.01,0.01
175,0.01,0.01,0.01,0.01,0.01
176,0.03,0.03,0.03,0.03,0.03
177,0.01,0.01,0.01,0.01,0.01
