,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.07351645,0.246401,0.8614639,0.14423065,0.99021673,0.50810766,0.5313534,0.46744362,0.6366165,0.5313534,0.81222224,0.7788889,0.6344445,0.7788889,-0.01,0.014582105,0.9578859,-0.01,0.0077680517,0.11493179,0.86519414,0.01,0.46462256,0.21008502,-0.01,-0.01,0.97977436,0.020303031,0.04030303,0.020303031,0.020303031
1,0.25868735,0.07549867,0.8525702,0.84581816,0.99265975,0.6361875,0.5351128,0.508797,0.6366165,0.508797,0.77666664,0.77666664,0.68777776,0.8655555,-0.01,0.20168296,0.93985254,-0.01,-0.01,0.47589716,0.7738405,0.004025016,0.41576102,0.18327744,-0.01,-0.01,0.97942924,0.04030303,0.035912957,0.020303031,0.04030303
2,0.25992668,0.07648316,0.85655993,0.84754425,0.9366173,0.741444,0.5200752,0.57270676,0.61406016,0.508797,0.76555556,0.71,0.69,0.8655555,-0.01,0.40297937,0.6815831,0.01,-0.01,0.6311962,0.31535152,0.01,0.40789202,0.16827497,-0.01,0.01,0.97945744,0.04030303,0.04030303,0.020303031,0.04030303
3,0.2,0.10457613,0.8565898,0.8994981,0.841173,0.9035534,0.5650376,0.66611093,0.69661653,0.568797,0.7753582,0.63229823,0.62777776,0.9388889,0.05,0.5671634,0.50710255,-0.05,0.05,0.5652151,0.11393957,-0.05,0.33106396,0.2725181,0.05,-0.05,1.0397938,0.08030303,0.08030303,0.08030303,0.08030303
4,0.25717396,0.07413192,0.8588464,0.84648734,0.7538065,0.9419132,0.51,0.61526316,0.63406014,0.51,0.76555556,0.69,0.6677778,0.8788889,0.01,0.7749951,0.44657817,0.01,0.01,0.78019935,0.17258132,0.01,0.3952027,0.38667816,0.01,-0.01,1.0009613,0.020303031,0.04030303,0.99,0.020303031
5,0.25343674,0.0569873,0.8635534,0.8554601,0.6305443,0.978363,0.46744362,0.61406016,0.57270676,0.46744362,0.79888886,0.68777776,0.74333334,0.9322222,-0.0053430907,0.8779056,0.3754474,0.01,-0.01,0.84099686,0.40552992,0.01,0.42485246,0.12885056,-0.01,0.01,0.9791586,0.020303031,0.020303031,1.01,0.04030303
6,0.25173202,0.066095196,0.8539137,0.8437027,0.49845374,1.0043614,0.46744362,0.6366165,0.5539098,0.49,0.79888886,0.6344445,0.76555556,0.8788889,0.034582105,0.93788594,0.23713864,0.024749262,0.094931796,0.86519414,0.34578174,0.024690451,0.44306862,0.11610753,0.010147397,0.01,0.9789172,0.020303031,0.04030303,0.99,0.020303031
7,0.23938872,0.06963382,0.85665613,0.8449469,0.36742863,1.010894,0.48879698,0.6766165,0.5339098,0.51135343,0.7966666,0.6477778,0.67,0.8855555,0.16764012,0.9798525,-0.0034513269,0.1168001,0.43589717,0.81384045,0.18005247,0.014071355,0.47445205,0.16634713,0.030829877,-0.013992007,0.95832425,0.060303032,0.060303032,0.97,0.060303032
8,0.2408376,0.06704866,0.8552379,0.8619574,0.24098317,0.9344827,0.57270676,0.61406016,0.5313534,0.5313534,0.71,0.71,0.74333334,0.8655555,0.40297937,0.6815831,-0.01,0.25778762,0.6111962,0.31535152,-0.01,0.06764953,0.5805188,0.31499362,0.0116188,0.01,0.97882736,0.04030303,0.04030303,0.99,0.04030303
9,0.25653562,0.1169873,0.81505036,0.8570914,0.19644661,0.8035534,0.67406017,0.69661653,0.6139098,0.5913534,0.62777776,0.7277778,0.6166667,0.87222224,0.4947394,0.5632743,0.0045298394,0.23711897,0.5652151,0.11054565,0.05,-0.013273872,0.67680997,0.5391976,-0.04770737,0.23730332,1.0410451,0.08030303,-0.01969697,0.08030303,0.08030303
10,0.2,0.016987298,0.82771015,0.86473316,0.115893275,0.716786,0.59931654,0.6313616,0.6013873,0.62346536,0.7290368,0.6777133,0.684633,0.73109806,0.715184,0.45512107,0.05,0.39395493,0.7315919,0.23258132,0.05,0.1496852,0.72398216,0.56584746,-0.04383719,0.2600496,0.98314035,0.06526322,0.97995937,-0.01969697,-0.0023490526
11,0.23113482,0.05014699,0.83902526,0.8574776,0.017275034,0.61159915,0.5940602,0.5527068,0.54879695,0.5752632,0.70777774,0.7633333,0.7867409,0.72999996,0.8579056,0.35544738,0.03,0.5639037,0.8209969,0.42859906,0.03,0.24271661,0.7647078,0.60569495,-0.026918087,0.3908627,1.0055486,0.060303032,1.03,0.00030303188,0.030705322
12,0.23062244,0.0969873,0.8835534,0.8627601,0.016282141,0.48595715,0.61661655,0.5339098,0.51135343,0.5940602,0.6144445,0.7255556,0.81888884,0.70777774,0.9778859,0.19713864,-0.03,0.6091513,0.8251942,0.30578175,-0.03,0.12110178,0.74679595,0.3916445,0.03313409,0.4944493,1.0191039,0.00030303188,1.03,0.0063368566,0.00030303188
13,0.252708,0.07126975,0.8521365,0.85810596,0.009911912,0.3638422,0.6366165,0.5539098,0.508797,0.5689474,0.68777776,0.69674116,0.85121095,0.7455556,0.93985254,0.016548673,0.01,0.5547394,0.7738405,0.14005247,0.01,0.14955929,0.82583225,0.56308043,-0.007039983,0.7785586,0.9814461,0.020303031,0.99,0.020303031,0.020303031
14,0.25156614,0.07599979,0.84651625,0.8634247,0.06987276,0.2513499,0.63406014,0.5484811,0.508797,0.58894736,0.69,0.72333336,0.8655555,0.7455556,0.6815831,-0.01,0.01,0.9018387,0.31535152,-0.01,0.01,0.7287828,0.8028928,0.42441887,-0.0063161114,0.965862,1.0001961,0.020303031,1.01,0.020303031,0.020303031
15,0.24523643,0.069741525,0.86264336,0.8572683,0.1549796,0.15212926,0.6366165,0.57390976,0.528797,0.6366165,0.68777776,0.6766667,0.8988889,0.65444446,0.5032743,0.01,-0.01,0.7658112,0.15054564,0.01,-0.01,0.80532,0.80497897,0.020782612,0.012000369,0.9878479,0.9765464,0.04030303,0.04030303,0.020303031,0.04030303
16,0.24461894,0.041498132,0.8685548,0.87081665,0.254456,0.04236959,0.5940602,0.5339098,0.47,0.61661655,0.70777774,0.72999996,0.91888887,0.6633333,0.4665782,-0.03,-0.03,0.65045226,0.21258132,-0.03,-0.03,0.70767057,0.7971323,0.12175806,0.03128998,0.96980363,1.0180043,0.97,0.060303032,0.00030303188,0.97
17,0.24974516,0.07485991,0.8434285,0.8567751,0.35604462,0.0055192625,0.5527068,0.48879698,0.4474436,0.5940602,0.7633333,0.81888884,0.95222217,0.6144445,0.41544738,-0.03,0.03,0.4655949,0.3855299,-0.03,0.03,0.643851,0.8613764,-0.014331354,0.03059313,0.9846702,0.95734847,0.97,0.00030303188,0.00030303188,0.97
18,0.25101227,0.06052971,0.84651804,0.8550331,0.49733028,0.0011609648,0.5539098,0.5313534,0.49,0.65541357,0.76555556,0.79888886,0.8988889,0.77666664,0.23713864,0.01,0.0047492627,0.23090461,0.32578176,0.01,0.0046904515,0.34362015,0.8053531,0.29275528,-0.009848229,0.7190036,0.97878313,1.01,0.020303031,0.04030303,1.01
19,0.25631198,0.07694611,0.8517973,0.84393936,0.62410414,0.018792463,0.57390976,0.528797,0.5513534,0.6566165,0.69,0.850533,0.84555554,0.6344445,0.016548673,0.01,0.12406096,0.027021926,0.16005248,0.01,0.054071352,0.16281593,0.79944086,0.30611682,-0.009987674,0.69387025,0.9902445,1.01,0.035944983,0.020303031,1.01
20,0.22,0.062497903,0.85400915,0.8572497,0.74724257,0.06978522,0.5713534,0.54879695,0.5713534,0.6766165,0.7033334,0.82555556,0.82555556,0.5366667,0.03,-0.03,0.2777876,-0.03,0.03,-0.03,0.10320965,-0.02086266,0.7892776,0.28224698,-0.03,0.40019143,1.017962,1.03,0.060303032,0.009464487,0.97
21,0.24041377,0.06132731,0.8591538,0.847436,0.8575186,0.15355723,0.57390976,0.508797,0.5513534,0.5513534,0.6648832,0.8872778,0.81222224,0.81222224,-0.01,-0.01,0.29711896,-0.01,0.01,0.01,0.04672613,0.01,0.8157974,0.24034716,-0.01,0.22479144,0.9790188,0.020303031,0.020303031,0.020303031,0.020303031
22,0.24837452,0.06478585,0.84594506,0.8591423,0.93823487,0.24492596,0.5539098,0.49,0.5952632,0.5539098,0.71,0.8788889,0.72333336,0.7455556,-0.01,-0.01,0.43871188,0.01,-0.01,-0.01,0.109685205,0.01,0.76154906,0.20794727,0.01,0.0108862575,0.978366,0.04030303,0.04030303,0.04030303,0.04030303
23,0.24637063,0.07557594,0.85840356,0.8462304,0.982483,0.36695495,0.528797,0.4874436,0.61526316,0.57390976,0.7788889,0.9122222,0.69,0.7455556,0.01,0.01,0.60390365,-0.01,0.01,0.01,0.22930746,-0.01,0.6754433,0.2135279,-0.01,-0.008142028,0.99952495,0.020303031,0.04030303,0.020303031,0.04030303
