,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.4793637,0.6623764,0.441177,0.29434332,0.5876236,0.9116886,0.7972966,0.0650672,0.7600021,0.5162696,0.40984583,0.7713456,0.423426,0.47453007,0.40310165,0.0,0.5355095,0.27441284,0.41097298,0.30865663,0.96576977,0.4123764,0.88699895,0.42749915,0.4123764,0.4123764,0.75181884,0.44267944,0.44267944,0.44267944,0.3457411
1,0.3259027,0.14289002,0.7776509,0.9294559,0.9999998,0.55350685,0.46921003,0.44289434,0.5707137,0.44289416,0.81161505,0.8425695,0.7536807,0.8812728,1.7656337e-08,0.121737555,0.99610263,1.667616e-05,0.043678254,0.3899945,0.85974324,0.07590267,0.46838784,0.15564582,0.03825368,0.64437395,0.92009103,0.106205955,0.10620592,7.069756e-08,4.1860652e-08
2,0.06791639,0.3987846,0.69570595,0.83932203,0.5772722,0.55829704,0.8604461,0.2269662,0.26831976,0.22778971,0.39981502,0.34425944,0.6566526,0.499815,0.35574055,0.057238817,0.31584257,0.35574055,0.35574034,0.26545566,0.39329946,0.35574055,0.75363255,0.42703322,0.35574055,0.43066472,0.62934333,0.35985997,0.3840051,0.38604358,0.0
3,0.0,0.4596388,0.4546715,0.94123703,0.9088314,0.4578935,0.41035387,0.41576254,0.6186663,0.8993067,0.3603508,1.0,0.60437316,0.49662998,0.39697772,0.25036594,0.8857927,0.19512333,0.19549811,0.80672294,0.5577383,0.3988819,0.3729571,0.3290047,0.39508644,0.39631915,0.6023655,0.32312074,0.42918494,0.0,0.0008271254
4,0.042742796,0.44325167,0.47728908,0.47728893,0.37373608,0.5567484,0.26981384,0.2289988,0.29982033,0.8762645,0.3792911,0.99999994,0.30151325,0.5126245,0.37626436,0.38873112,0.060313776,0.37626436,0.37626413,0.39393538,0.39294353,0.37626407,0.76146704,0.27276805,0.37626442,0.4524431,0.609869,1.374276e-07,0.40656587,0.71255195,0.32470885
5,0.29074794,0.3410428,0.57949793,0.9918219,0.5776179,0.72266525,0.27846143,0.35000467,0.7612496,0.426063,0.5148334,0.9379597,0.45927787,0.6481667,0.0,0.6138501,0.65950286,0.092950135,0.20072995,0.63504386,0.6895854,0.27405548,0.3464813,0.41290605,0.27405548,0.52240056,0.8340319,0.17858265,0.3043585,0.7259445,0.0
6,0.0,0.42583588,0.58261424,0.5887048,0.14115143,0.6411514,0.118595034,0.28776795,0.2050612,0.36909774,0.4300403,1.0,0.9107422,0.5300403,0.32651874,0.58903736,0.32095608,0.37359783,0.080524355,0.49634558,0.6946303,0.37353903,0.7919172,0.4849561,0.35899597,0.4350088,0.62523246,0.0,0.34246686,0.73125297,0.0
7,0.5877003,0.45583943,0.4647013,0.4647013,0.75944257,0.5941108,0.12994486,0.2577644,0.5735962,0.15250129,0.9010594,1.0,0.40456173,0.58144045,0.006735715,0.5610004,0.4154008,0.034047745,0.07704505,0.7988691,0.5389046,0.43292347,0.055599928,0.0,1.1524495e-07,0.40758502,0.60505307,0.41915515,0.41915515,0.6111479,0.29924753
8,0.20074667,0.27446583,0.6460749,0.85361344,0.27962092,0.7255342,0.76488775,0.41658163,0.6771719,0.7300174,0.49252146,0.9074785,0.72581244,0.648077,0.6204579,0.4641046,0.20747852,0.45526612,0.82867473,0.097873,0.20747852,0.28512806,0.7779973,0.124520145,0.1186034,0.26358277,0.7765128,0.23778155,0.23778155,0.8257681,0.23777974
9,0.5442419,0.35620478,0.5593115,0.969267,0.44068852,0.5593115,0.32981825,0.3523746,0.69938344,0.38975316,0.38376856,0.9720197,0.37242478,0.5279803,0.25049752,0.2190324,0.2942419,0.5608328,0.80828875,0.04265465,0.2942419,0.33096802,0.33256805,0.7384398,0.041901242,0.50219554,0.70114183,0.0,0.32335186,0.0,0.107602715
