,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.10698729753494263,0.21000000834465027,0.8135533928871155,0.10644661635160446,0.9599999785423279,0.5400000214576721,0.5813534259796143,0.5174435973167419,0.6866165399551392,0.5813534259796143,0.8622222542762756,0.7488888502120972,0.6044444441795349,0.8288888931274414,0.03999999910593033,0.06458210200071335,0.9878859519958496,0.03999999910593033,0.0,0.14493179321289062,0.8951941728591919,0.0,0.43462255597114563,0.18008503317832947,0.03999999910593033,0.03999999910593033,0.9497743248939514,0.07030303031206131,0.07030303031206131,0.0,0.07030303031206131
1,0.28999999165534973,0.10698729753494263,0.8935534358024597,0.8935534358024597,1.0,0.5894095301628113,0.5051127672195435,0.47879698872566223,0.6066164970397949,0.47879698872566223,0.7266666293144226,0.7266666293144226,0.7177777886390686,0.8155555129051208,0.0,0.15764012932777405,0.9898525476455688,0.03999999910593033,0.0,0.42589718103408813,0.8238404989242554,0.03999999910593033,0.4512142539024353,0.21455660462379456,0.0,0.03999999910593033,0.9494292140007019,0.0,0.0,0.07030303031206131,0.0
2,0.21000000834465027,0.10698729753494263,0.8935534358024597,0.8935534358024597,0.8930127024650574,0.7900000214576721,0.4900752007961273,0.5427067279815674,0.5840601325035095,0.47879698872566223,0.795555591583252,0.7400000095367432,0.6599999666213989,0.8155555129051208,0.03999999910593033,0.45297935605049133,0.6315830945968628,0.03999999910593033,0.0,0.661196231842041,0.34535151720046997,0.03999999910593033,0.43789201974868774,0.21827498078346252,0.03999999910593033,0.0,0.9494574069976807,0.0,0.07030303031206131,0.0,0.0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.21000000834465027,0.02698729932308197,0.8935534358024597,0.8935534358024597,0.5894095301628113,1.0,0.4374436140060425,0.5840601325035095,0.5427067279815674,0.4374436140060425,0.8288888931274414,0.7177777886390686,0.7733333706855774,0.9622222185134888,0.03999999910593033,0.9279056191444397,0.3454473912715912,0.0,0.03999999910593033,0.8109968304634094,0.3755299150943756,0.0,0.45485246181488037,0.17885056138038635,0.03999999910593033,0.0,0.9491585493087769,0.0,0.0,0.9599999785423279,0.0
6,0.28999999165534973,0.10698729753494263,0.8935534358024597,0.8135533928871155,0.5400000214576721,1.0,0.5174435973167419,0.6866165399551392,0.6039097905158997,0.5400000214576721,0.7488888502120972,0.6044444441795349,0.7155555486679077,0.8488888740539551,0.06458210200071335,0.9078859090805054,0.26713863015174866,0.0547492615878582,0.14493179321289062,0.8951941728591919,0.37578174471855164,0.05469045042991638,0.3930686414241791,0.0861075296998024,0.04014739766716957,0.03999999910593033,1.0,0.07030303031206131,0.07030303031206131,1.0,0.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
