,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.006987299770116806,0.3100000023841858,0.9135534167289734,0.20644661784172058,1.0,0.4399999976158142,0.48135340213775635,0.4174436032772064,0.5866165161132812,0.48135340213775635,0.7622222304344177,0.8488888740539551,0.7044444680213928,0.7288888692855835,0.0,0.0,0.8878859281539917,0.0,0.05999999865889549,0.044931795448064804,0.795194149017334,0.05999999865889549,0.5346225500106812,0.280085027217865,0.0,0.0,1.0,0.0,0.0,0.09030303359031677,0.0
1,0.3100000023841858,0.006987299770116806,0.9135534167289734,0.7935534119606018,0.9229629039764404,0.5694095492362976,0.4851127862930298,0.45879697799682617,0.5866165161132812,0.45879697799682617,0.7066666483879089,0.7066666483879089,0.6177777647972107,0.7955555319786072,0.05999999865889549,0.137640118598938,0.8898525238037109,0.05999999865889549,0.05999999865889549,0.5258971452713013,0.843840479850769,0.0,0.47121426463127136,0.11455661058425903,0.0,0.0,1.0,0.0,0.0,0.09030303359031677,0.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.1899999976158142,0.006987299770116806,0.9135534167289734,0.7935534119606018,0.5694095492362976,0.9229629039764404,0.4174436032772064,0.6840601563453674,0.5227067470550537,0.5374435782432556,0.8488888740539551,0.6177777647972107,0.7933333516120911,0.9822221994400024,0.05999999865889549,0.8279055953025818,0.3254473805427551,0.0,0.05999999865889549,0.7909968495368958,0.35552990436553955,0.0,0.47485247254371643,0.1988505721092224,0.05999999865889549,0.0,1.0,0.0,0.0,1.0,0.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.3100000023841858,0.1269872933626175,0.7935534119606018,0.9135534167289734,0.1269872933626175,0.6899999976158142,0.5452631711959839,0.5640601515769958,0.6239097714424133,0.5452631711959839,0.7599999904632568,0.7377777695655823,0.6399999856948853,0.7933333516120911,0.7049950957298279,0.496578186750412,0.05999999865889549,0.3687118887901306,0.8301993608474731,0.12258131802082062,0.0,0.15968520939350128,0.6139821410179138,0.6131712794303894,0.0,0.05238199606537819,0.9298390746116638,0.0,1.0,0.09030303359031677,0.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.3100000023841858,0.006987299770116806,0.7935534119606018,0.7935534119606018,0.9229629039764404,0.4305904805660248,0.5787969827651978,0.5374435782432556,0.6652631759643555,0.6239097714424133,0.7288888692855835,0.8622221946716309,0.6399999856948853,0.8155555725097656,0.0,0.05999999865889549,0.5339036583900452,0.05999999865889549,0.0,0.05999999865889549,0.15930745005607605,0.0,0.6254432797431946,0.14352789521217346,0.05999999865889549,0.06027500703930855,1.0,0.09030303359031677,0.0,0.0,0.09030303359031677
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.1899999976158142,0.006987299770116806,0.4399999976158142,0.9399999976158142,0.7935534119606018,0.7935534119606018,0.5787969827651978,0.6013534069061279,0.7066165208816528,0.5787969827651978,0.8288888931274414,0.8822222352027893,0.5844444632530212,0.7622222304344177,0.05999999865889549,0.34711897373199463,0.835811197757721,0.0,0.05999999865889549,0.09672612696886063,0.8753200173377991,0.0,0.5005855560302734,0.3024049699306488,0.05999999865889549,0.0,1.0,0.0,0.09030303359031677,0.0,0.0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.3100000023841858,0.006987299770116806,0.4399999976158142,0.9399999976158142,0.5694095492362976,1.0,0.5374435782432556,0.6652631759643555,0.6840601563453674,0.5600000023841858,0.8622221946716309,0.6399999856948853,0.5844444632530212,0.9155555367469788,0.05999999865889549,0.5339036583900452,0.49559488892555237,0.0,0.05999999865889549,0.15930745005607605,0.5538510084152222,0.0,0.3987026810646057,0.241068035364151,0.05999999865889549,0.05999999865889549,1.0,0.0,0.09030303359031677,1.0,0.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.3100000023841858,0.006987299770116806,0.5600000023841858,0.9399999976158142,0.3105904757976532,1.0,0.6013534069061279,0.6389473676681519,0.5866165161132812,0.6427067518234253,0.7955555319786072,0.695555567741394,0.7044444680213928,0.6733333468437195,0.17406095564365387,0.48473942279815674,0.08654867112636566,0.24879056215286255,0.10407134890556335,0.07955928146839142,0.09424974024295807,0.47448059916496277,0.5968943238258362,0.10378196835517883,0.06079518795013428,0.05999999865889549,1.0,0.0,0.0,0.9399999976158142,0.0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.3100000023841858,0.1269872933626175,0.4399999976158142,0.9399999976158142,0.086446613073349,0.9135534167289734,0.48135340213775635,0.5866165161132812,0.48135340213775635,0.7667669057846069,0.7622222304344177,0.5844444632530212,0.8822222352027893,0.6600000262260437,0.34711897373199463,0.7158111929893494,0.0,0.540786623954773,0.09672612696886063,0.8753200173377991,0.0,0.7060021162033081,0.7243189811706543,0.36711037158966064,0.062266044318675995,0.05999999865889549,1.0,0.0,0.0,0.09030303359031677,0.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.3100000023841858,0.1269872933626175,0.5600000023841858,0.9399999976158142,0.0,0.4305904805660248,0.6389473676681519,0.7066165208816528,0.48135340213775635,0.7893233299255371,0.8155555725097656,0.7044444680213928,0.8155555725097656,0.59333336353302,0.6047394275665283,0.08654867112636566,0.0,0.883952796459198,0.199559286236763,0.09424974024295807,0.0,0.7993913888931274,0.7591761350631714,0.16410526633262634,0.06291192770004272,0.6892132759094238,1.0,0.0,0.9399999976158142,0.09030303359031677,0.0
38,0.1899999976158142,0.006987299770116806,0.5600000023841858,1.0,0.1269872933626175,0.3100000023841858,0.6389473676681519,0.7066165208816528,0.5787969827651978,0.7667669057846069,0.695555567741394,0.5066666603088379,0.7622222304344177,0.47333335876464844,0.8318387269973755,0.05999999865889549,0.0,0.8259390592575073,0.6587827801704407,0.05999999865889549,0.05999999865889549,0.9120461940765381,0.757914125919342,0.2765812575817108,0.0,0.9965165853500366,0.9296345710754395,0.09030303359031677,0.9399999976158142,0.09030303359031677,0.09030303359031677
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.1899999976158142,0.006987299770116806,0.5600000023841858,0.9399999976158142,0.8730127215385437,0.3100000023841858,0.6239097714424133,0.5787969827651978,0.747969925403595,0.6239097714424133,0.8155555725097656,0.7622222304344177,0.5622222423553467,0.6399999856948853,0.05999999865889549,0.05999999865889549,0.8249951004981995,0.05999999865889549,0.0,0.05999999865889549,0.8921091556549072,0.05999999865889549,0.5830616354942322,0.0,0.05999999865889549,0.0,0.9279798269271851,0.09030303359031677,0.09030303359031677,0.0,0.09030303359031677
47,0.3100000023841858,0.1269872933626175,0.4399999976158142,1.0,1.0,0.4305904805660248,0.5039097666740417,0.4399999976158142,0.6693233251571655,0.48135340213775635,0.695555567741394,0.9155555367469788,0.6377778053283691,0.6733333468437195,0.0,0.0,0.9420058727264404,0.05999999865889549,0.05999999865889549,0.0,0.7909968495368958,0.05999999865889549,0.5182462334632874,0.060000013560056686,0.05999999865889549,0.0,1.0,0.0,0.09030303359031677,0.0,0.0
48,0.1899999976158142,0.006987299770116806,0.5600000023841858,0.9399999976158142,1.0,0.4399999976158142,0.5787969827651978,0.5787969827651978,0.6693233251571655,0.5600000023841858,0.8266666531562805,0.7622222304344177,0.59333336353302,0.8822222352027893,0.05999999865889549,0.08654867112636566,0.8819862604141235,0.0,0.0,0.09110178053379059,0.9151941537857056,0.0,0.5758740901947021,0.060000013560056686,0.0,0.0600149966776371,0.9281051754951477,0.09030303359031677,0.0,0.09030303359031677,0.09030303359031677
49,0.1899999976158142,0.1269872933626175,0.086446613073349,0.9135534167289734,0.9229629039764404,0.5694095492362976,0.6013534069061279,0.5227067470550537,0.7893233299255371,0.5787969827651978,0.8155555725097656,0.7933333516120911,0.47333335876464844,0.8488888740539551,0.05999999865889549,0.12879055738449097,0.883952796459198,0.0,0.0,0.47448059916496277,0.7993913888931274,0.0,0.5073525905609131,0.060000013560056686,0.05999999865889549,0.06000133231282234,1.0,0.0,0.09030303359031677,0.0,0.0
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.3100000023841858,0.1269872933626175,0.086446613073349,0.9135534167289734,0.7935534119606018,0.9135534167289734,0.45879697799682617,0.7667669057846069,0.7893233299255371,0.5787969827651978,0.7622222304344177,0.5400000214576721,0.4511111378669739,0.7622222304344177,0.0,0.540786623954773,0.716794490814209,0.05999999865889549,0.0,0.8260021209716797,0.8690241575241089,0.05999999865889549,0.3592994511127472,0.060000013560056686,0.05999999865889549,0.06000000983476639,0.9281061291694641,0.09030303359031677,0.09030303359031677,0.0,0.09030303359031677
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.3100000023841858,0.1269872933626175,0.086446613073349,0.7935534119606018,0.5694095492362976,1.0,0.5600000023841858,0.7893233299255371,0.7254135608673096,0.5600000023841858,0.9155555367469788,0.6377778053283691,0.6600000262260437,0.9155555367469788,0.05999999865889549,0.9420058727264404,0.29594886302948,0.05999999865889549,0.05999999865889549,0.7909968495368958,0.24745014309883118,0.0,0.3515191972255707,0.0,0.05999999865889549,0.05999999865889549,1.0,0.0,0.0,0.9399999976158142,0.0
54,0.3100000023841858,0.1269872933626175,0.20644661784172058,0.9135534167289734,0.5600000023841858,0.9399999976158142,0.45879697799682617,0.6693233251571655,0.5866165161132812,0.4399999976158142,0.8822222352027893,0.59333336353302,0.5400000214576721,0.7955555319786072,0.0,1.0,0.18192723393440247,0.0,0.09110178053379059,0.9151941537857056,0.09252884984016418,0.06734522432088852,0.40127459168434143,0.060000013560056686,0.0,0.09746066480875015,0.92822265625,0.09030303359031677,0.09030303359031677,1.0,0.09030303359031677
55,0.1899999976158142,0.1269872933626175,0.086446613073349,0.9135534167289734,0.3105904757976532,1.0,0.5227067470550537,0.6693233251571655,0.5640601515769958,0.48135340213775635,0.7933333516120911,0.47333335876464844,0.7044444680213928,0.8488888740539551,0.12879055738449097,1.0,0.0,0.13866272568702698,0.3544805943965912,0.7993913888931274,0.07364112883806229,0.0652465894818306,0.5724551677703857,0.08157628774642944,0.0,0.0,0.9271892309188843,0.09030303359031677,0.09030303359031677,0.9399999976158142,0.09030303359031677
56,0.3100000023841858,0.006987299770116806,0.20644661784172058,0.9135534167289734,0.3100000023841858,0.8730127215385437,0.7066165208816528,0.6467669010162354,0.6427067518234253,0.5227067470550537,0.5622222423553467,0.59333336353302,0.8155555725097656,0.7933333516120911,0.3372468054294586,0.8259390592575073,0.0,0.3510127663612366,0.5790346264839172,0.7920461893081665,0.0,0.47725075483322144,0.6878333687782288,0.0,0.0,0.175714373588562,0.927737832069397,0.0,0.0,1.0,0.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
