,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5551034,0.4911936,0.66036654,0.5351034,0.82847226,0.76013887,0.6506945,0.77513885,0.0,0.038332105,0.96413594,0.03,0.0,0.118681796,0.82644415,0.0,0.50337255,0.19008502,0.00012,0.00125,0.98929435,0.04405303,0.00030303188,0.00030303188,0.04405303,7
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5488628,0.522547,0.65036654,0.522547,0.7366667,0.7366667,0.6477778,0.8293055,0.0037500001,0.20139012,0.9361025,0.026249997,0.0037500001,0.49464718,0.8100905,0.0062499996,0.43746427,0.16830662,0.00012,0.03,0.98894924,0.024053032,0.0015530325,0.04405303,0.03405303,8
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.5525752,0.59520674,0.6065602,0.501297,0.7255556,0.67,0.7025,0.83805555,0.03,0.39547938,0.6990831,0.017499998,0.03,0.59119624,0.31285152,0.017499998,0.37039202,0.16952497,0.0,0.0,0.9899374,0.012803033,0.00030303188,0.060303032,0.012803033,7
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.4862876,0.59531015,0.6178665,0.49004698,0.7255556,0.6477778,0.6477778,0.9001389,0.00125,0.5159894,0.5432743,0.0,0.03,0.4864651,0.14929564,0.028749999,0.35106397,0.21141209,0.0,0.027499996,0.99027383,0.05655303,0.0015530325,0.04155303,0.057803027,7
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6303102,0.53,0.74930555,0.67,0.70777774,0.8826389,0.03,0.7712451,0.40657818,0.0062499996,0.03,0.75644934,0.15258132,0.0,0.3989527,0.38292816,0.00012,0.03,0.99144125,0.05905302,0.02030303,1.0,0.060303032,9
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.4911936,0.6540601,0.56645674,0.4911936,0.8051389,0.66152775,0.7633333,0.95222217,0.0,0.8579056,0.36919737,0.0,0.03,0.8209969,0.3855299,0.0,0.41110247,0.15510057,0.0,0.03,0.98963857,0.060303032,0.03405303,1.0,0.060303032,9
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.6766165,0.59390974,0.53,0.81888884,0.62069446,0.78555554,0.91888887,0.054582104,0.9778859,0.19713864,0.0,0.13493179,0.83144414,0.30578175,0.0,0.45681864,0.15485753,0.00026739782,0.028749999,0.98939717,0.060303032,0.060303032,1.0,0.060303032,10
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.54879695,0.6766165,0.59390974,0.5713534,0.7366667,0.68527776,0.67,0.82555556,0.22764012,0.92485255,0.05654867,0.14406095,0.49589717,0.7538405,0.12005247,0.052821353,0.41445205,0.12509713,0.00094987714,0.022460667,0.98909795,0.00030303188,0.00030303188,1.0,0.00030303188,10
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.60031015,0.51135343,0.51135343,0.72999996,0.67,0.7033334,0.82555556,0.38297936,0.7015831,0.03,0.21778761,0.59119624,0.33535153,0.03,0.10764953,0.5917688,0.33499363,0.001498801,0.04492133,0.9896011,0.00030303188,0.00030303188,0.97,0.00030303188,10
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.59390974,0.5713534,0.6477778,0.70777774,0.6954167,0.79222226,0.5184894,0.4832743,0.03,0.31711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0021726277,0.142382,0.9903501,0.060303032,0.060303032,0.060303032,0.060303032,10
