,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.07356205,0.24713507,0.8491721,0.14730054,0.9928185,0.5060439,0.5313534,0.46744362,0.6366165,0.5313534,0.81222224,0.79888886,0.65444446,0.7788889,-0.01,0.014582105,0.93788594,-0.01,-0.01,0.094931796,0.86519414,-0.01,0.48462254,0.21008502,-0.01,0.01,0.99977434,0.020303031,0.020303031,0.020303031,0.020303031
1,0.2336761,0.06261376,0.8726343,0.87519723,0.95338005,0.6300544,0.5151128,0.48879698,0.6766165,0.48879698,0.7966666,0.7966666,0.70777774,0.8855555,-0.03,0.22764012,0.91985255,-0.03,-0.03,0.43589717,0.7538405,-0.03,0.38121426,0.20455661,-0.03,-0.03,1.0194292,0.00030303188,0.00030303188,0.060303032,0.00030303188
2,0.24698707,0.04866465,0.84561896,0.8484012,0.952665,0.76401687,0.56007516,0.6127067,0.60633975,0.5005145,0.7368906,0.7221008,0.67,0.8683004,0.03,0.44297937,0.64158314,-0.03,-0.03,0.6511962,0.27535152,-0.03,0.36789203,0.20827498,0.03,-0.015910715,0.95945746,0.060303032,0.060303032,0.060303032,0.060303032
3,0.25397897,0.06435424,0.8522003,0.8441764,0.8487449,0.84422696,0.5250376,0.63406014,0.6566165,0.528797,0.7455556,0.6677778,0.6677778,0.8788889,0.01,0.5547394,0.5032743,0.01,0.01,0.5252151,0.15054564,-0.01,0.37106398,0.21266209,0.01,0.01,0.9997938,0.020303031,0.04030303,0.04030303,0.04030303
4,0.25219396,0.07098009,0.8603165,0.8596096,0.7592184,0.93373144,0.49,0.5952632,0.61406016,0.49,0.76555556,0.69,0.68777776,0.8788889,-0.01,0.7749951,0.4265782,0.01,-0.01,0.78019935,0.17258132,-0.01,0.3952027,0.36667818,0.01,-0.01,0.98096126,0.020303031,0.04030303,0.99,0.020303031
5,0.2,0.08238678,0.84540135,0.9035534,0.6435319,0.9624336,0.4274436,0.57406014,0.53270674,0.4274436,0.8388889,0.7277778,0.78333336,0.9722222,-0.05,0.8379056,0.4354474,-0.05,-0.05,0.80099684,0.46552992,0.05,0.46485248,0.18885057,-0.05,-0.05,0.93915856,0.08030303,0.058722235,1.0198736,-0.01969697
6,0.26169822,0.06789732,0.8829705,0.8602339,0.49225843,1.0163292,0.5074436,0.6766165,0.5339098,0.47,0.79959154,0.638592,0.78555554,0.8588889,0.054582104,0.9778859,0.19713864,0.04474926,0.13493179,0.8251942,0.30578175,-0.015309548,0.40306863,0.13659695,0.030147398,0.03,1.0189172,0.032734524,0.00030303188,1.03,0.060303032
7,0.22165532,0.060692407,0.8835534,0.8835534,0.34059048,1.0129629,0.5412964,0.6766165,0.59390974,0.5713534,0.7966666,0.7071076,0.67,0.82555556,0.22764012,0.91985255,0.05654867,0.14406095,0.43589717,0.81384045,0.18005247,0.074071355,0.47445205,0.16634713,-0.029170122,-0.03,0.95832425,0.00030303188,0.00030303188,0.97,0.00030303188
8,0.2547151,0.041492917,0.88015485,0.84545845,0.27475506,0.949844,0.60988456,0.6510763,0.5692031,0.5713534,0.72999996,0.72999996,0.7633333,0.8855555,0.38297936,0.6557178,0.03,0.21778761,0.6511962,0.27535152,0.023071336,0.08638424,0.5999999,0.33499363,-0.028381199,0.02979259,1.0188273,0.060303032,0.00030303188,1.0239428,0.060303032
9,0.22,0.05103191,0.871194,0.85920876,0.16731848,0.8569384,0.6540601,0.6766165,0.59390974,0.5713534,0.6477778,0.6477778,0.6366667,0.79222226,0.5685758,0.5432743,0.03,0.31711897,0.5452151,0.19054565,0.03,0.006726129,0.59681,0.5211692,0.032292627,0.03,1.0195764,0.060303032,0.060303032,0.060303032,0.060303032
10,0.22828166,0.07739079,0.8593217,0.8412213,0.03780689,0.72465885,0.5752632,0.5940602,0.5339098,0.5752632,0.67,0.6477778,0.67,0.7033334,0.7349951,0.4665782,0.03,0.4587119,0.7401994,0.21258132,0.03,0.12968521,0.7039821,0.5231713,0.032802563,0.2941093,0.9616015,0.00030303188,0.97,0.060303032,0.00030303188
