,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5413534,0.4774436,0.6466165,0.5413534,0.82222223,0.7888889,0.64444447,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.47462255,0.22008502,0.0,0.0,0.98977435,0.030303031,0.030303031,0.030303031,0.030303031,8
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5896421,0.439353,0.7195098,0.5848874,0.797882,0.653405,0.52274215,0.753775,0.16255279,0.04986239,0.7926623,0.15205732,0.22317398,0.47334564,0.5830274,0.2156228,0.49255055,0.0,0.0,0.14634612,0.9882991,0.0,0.0,0.0,0.0,8
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.48694327,0.53364193,0.6687278,0.51961046,0.75561774,0.53656304,0.68958414,0.75975376,0.15577123,0.4312823,0.5646361,0.0,0.2229785,0.5239907,0.2428704,0.0,0.479137,0.3307696,0.0,0.0028603303,0.98904395,0.12954982,0.0,0.0,0.19031352,8
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5659136,0.5897682,0.6368646,0.5432342,0.5890767,0.52113396,0.8254338,0.79644465,0.037978817,0.62209445,0.3596054,0.0,0.2048267,0.49722067,0.31539208,0.0,0.46410653,0.38846093,0.00046776017,0.0,0.99032575,0.0,0.0,0.0,0.16873962,8
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.44617403,0.63957334,0.66543597,0.43438396,0.9329437,0.8075469,0.78705585,1.0,0.11518139,0.67770886,0.3551177,0.16272293,0.20478109,0.9937744,0.18447208,0.0,0.31335855,0.33454168,0.0,0.14786483,0.98936874,0.21423936,0.26707175,0.740029,0.09097014,9
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.3980255,0.60555065,0.6576416,0.40612248,0.9133087,0.5116106,0.9004267,1.0,0.115382366,0.9239793,0.22505784,0.15630914,0.2177141,1.0,0.54157364,0.17925282,0.49123174,0.0,0.0,0.04148749,0.9897247,0.0,0.0,0.76658255,0.047719125,9
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.40976635,0.6537896,0.63936317,0.44233385,0.90480775,0.4693937,0.9356701,1.0,0.16434322,1.0,0.06482353,0.16316429,0.29699743,0.88127804,0.24858627,0.18836284,0.50745624,0.0,0.0,0.068531424,0.9891275,0.0,0.0,0.7419626,0.0,7
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.44199187,0.6655496,0.6424892,0.4777324,0.8146491,0.4989081,0.88139117,1.0,0.07673112,0.83050287,0.0,0.2620092,0.43494952,1.0,0.28998163,0.0,0.47410583,0.30342394,0.0012514185,0.15159106,0.98716754,0.0,0.25808963,0.7408843,0.0,10
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.64797527,0.6520457,0.5767139,0.59447235,0.81724334,0.82450205,0.8373979,0.8973546,0.25429076,0.50972754,0.04640152,0.3979435,0.74203444,0.51214844,0.22053623,0.0,0.5368278,0.47879654,0.0023426192,0.18346637,0.98771995,0.15159501,0.29055798,0.74272186,0.0,13
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5574576,0.6663182,0.5347611,0.5911025,0.78485686,0.5360663,0.84413606,1.0,0.3848875,0.3845316,0.0,0.14930533,0.3946449,0.24416862,0.22332847,0.0,0.5722106,0.6598402,0.002861649,0.25534186,0.990235,0.28725404,0.27830818,0.0,0.0,13
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.5590564,0.5460254,0.5776067,0.6143925,0.7557288,0.8327278,0.88112044,0.9123963,0.6022638,0.2746047,0.11103274,0.41034096,0.5612158,0.34665835,0.16937423,0.0,0.6463655,0.73586094,0.0035658586,0.43922362,0.99001044,0.28525293,1.0,0.0,0.2670197,13
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.55842996,0.5230281,0.5780759,0.64461046,0.6447897,0.9131644,0.96813715,0.88036144,0.73076427,0.22266129,0.14870991,0.46679923,0.62790406,0.28341964,0.0,0.0064783986,0.65885335,0.75599694,0.0038450726,0.6725258,0.9899457,0.27612555,1.0,0.20391917,0.28693846,13
12,0.25,0.0669873,0.8535534,0.8535534,0.0,0.5,0.6063562,0.4883991,0.6055396,0.61054873,0.59735525,0.9356219,0.96941614,0.8583175,0.7960938,0.06491554,0.15117773,0.4309931,0.63541126,0.48318955,0.12726937,0.0,0.73939914,0.60442674,0.0038947514,0.84413505,0.98790604,0.28713796,1.0,0.005359891,0.27757508,13
13,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.37059048,0.6171168,0.49034908,0.533101,0.55284315,0.58921814,0.8789171,1.0,0.934476,0.7953171,0.0,0.12798223,0.41209313,0.5759992,0.36807823,0.21092522,0.0,0.8899986,0.73503584,0.0037218,0.8722147,0.9880025,0.23623739,1.0,0.039787803,0.28542498,13
14,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.25,0.56022286,0.59604734,0.49575964,0.5122994,0.8805987,0.91309524,1.0,0.7470244,0.5143991,0.0,0.0,0.8682414,0.40009034,0.21046978,0.0,0.49578416,0.82839656,0.59324616,0.0033198076,1.0,0.9871162,0.27726924,1.0,0.0,0.26735967,12
15,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.14644662,0.7172978,0.5341729,0.5487313,0.5796945,0.85949975,0.8324673,1.0,0.8139332,0.36313868,0.12915106,0.14210331,0.61607236,0.17353624,0.0,0.21251476,1.0,0.8238416,0.0,0.0012487947,0.843877,0.9854771,0.29077128,0.0,0.0,0.0,13
16,0.25,0.0669873,0.8535534,0.8535534,0.25,0.0669873,0.5890622,0.5644909,0.57167155,0.5783753,0.85931873,0.8668289,0.71908456,0.48603386,0.53435564,0.0,0.0,0.7692635,0.38338846,0.20339951,0.19121724,0.51749605,0.7435141,0.15756617,0.0016889042,1.0,0.9863744,1.0,0.2859819,0.11377771,1.0,8
17,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.017037086,0.51772225,0.4553296,0.4521547,0.5468429,0.9112781,0.7663156,0.9626247,0.47624713,0.27183273,0.11255485,0.0,0.59614664,0.52661514,0.21923792,0.0,0.39237434,0.7502205,0.0,0.0,1.0,0.9857214,1.0,0.28877673,0.0,1.0,8
18,0.25,0.0669873,0.8535534,0.8535534,0.5,0.0,0.5542184,0.51221836,0.57673013,0.5921684,0.7358533,0.8070992,1.0,0.78546715,0.35077485,0.0,0.0,0.39884463,0.19319798,0.2205982,0.2297332,0.27938116,0.8693409,0.14722662,2.9299512e-05,0.7968583,0.9902686,1.0,0.25916216,0.0,1.0,7
19,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.017037086,0.6335449,0.44703662,0.5046517,0.5778721,0.79861575,0.9485049,1.0,0.74713695,0.18843186,0.0,0.2528448,0.0,0.0,0.18987285,0.24514689,0.119754665,0.8116151,0.21987222,0.0,0.57674456,0.9876604,1.0,0.29029474,0.0,0.8834025,8
20,0.25,0.0669873,0.8535534,0.8535534,0.75,0.0669873,0.59781253,0.46602964,0.6065788,0.5738175,0.8912174,0.85599285,1.0,0.65317065,0.16274425,0.0,0.39823273,0.0,0.0,0.17581691,0.29159132,0.0,0.77336323,0.18523759,0.0,0.3463429,0.9879966,1.0,0.2890132,0.0,0.7799079,8
21,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.14644662,0.56888485,0.49120703,0.46785858,0.46198505,0.84206134,1.0,0.7094056,0.99804246,0.14845645,0.0,0.13163975,0.14992236,0.0,0.1860732,0.0,0.0,0.88820314,0.3710588,0.0,0.092871144,0.9874433,0.0,0.27689296,0.0,0.18176837,8
22,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.25,0.5069538,0.52359027,0.53073126,0.49393478,0.85734296,0.7979962,0.5764596,0.93538874,0.13708521,0.0,0.26773217,0.15273091,0.0,0.0,0.0,0.056673594,0.83463186,0.3704854,0.0,0.0,0.9877526,0.0,0.28808257,0.0,0.0,7
23,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.37059048,0.44519386,0.52342135,0.59265727,0.5110249,0.91197133,0.9819203,0.71503425,0.92464375,0.14673316,0.0,0.4628414,0.048867732,0.0,0.0,0.1419817,0.12831007,0.76416755,0.38393474,0.0,0.0,0.9902429,0.0,0.2900965,0.0,0.0,8
24,0.25,0.0669873,0.8535534,0.8535534,1.0,0.5,0.46283594,0.50724316,0.57204753,0.58572966,0.92935866,0.7601307,0.50327027,0.9351855,0.15654649,0.0,0.4243246,0.1318143,0.0,0.0,0.08680905,0.22273783,0.6513258,0.3452689,0.0,0.0,0.99069345,0.0,0.28991917,0.0,0.0,7
25,0.25,0.0669873,0.5,1.0,0.9829629,0.62940955,0.45000204,0.5901476,0.6581095,0.61962086,0.791876,0.78131604,0.58085257,0.9030483,0.13430826,0.0,0.42234653,0.0,0.0,0.21038309,0.30271,0.04843598,0.46342802,0.35160995,0.0,0.0,0.9891138,0.0,0.19797078,0.23642316,0.15467124,9
26,0.25,0.0669873,0.5,1.0,0.9330127,0.75,0.58640677,0.55979556,0.6288787,0.46397632,0.76873755,0.8774777,0.6137658,0.7618011,0.0,0.16303577,0.7957436,0.071892135,0.21984723,0.0,0.4989706,0.0,0.50332373,0.08764263,0.0,0.14012635,0.98935723,0.21029475,0.2522806,0.2628439,0.0,9
