,dynamic_untargeted_acg
0,0.01
1,0.03
2,0.03
3,0.01
4,0.01
5,0.01
6,0.03
7,0.03
8,0.01
9,0.03
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.03
16,0.01
17,0.03
18,0.03
19,0.05
20,0.05
21,0.01
22,0.01
23,0.03
24,0.03
25,0.03
26,0.03
27,0.03
28,0.01
29,0.03
30,0.03
31,0.03
32,0.05
33,0.03
34,0.01
35,0.03
36,0.01
37,0.03
38,0.03
39,0.01
40,0.03
41,0.01
42,0.03
43,0.01
44,0.01
45,0.01
46,0.03
47,0.03
48,0.03
49,0.03
50,0.03
51,0.03
52,0.01
53,0.01
54,0.01
55,0.01
56,0.05
57,0.01
58,0.01
59,0.03
60,0.03
61,0.01
62,0.03
63,0.03
64,0.05
65,0.03
66,0.01
67,0.01
68,0.05
69,0.01
70,0.01
71,0.01
72,0.03
73,0.01
74,0.03
75,0.03
76,0.01
77,0.01
78,0.03
79,0.03
80,0.01
81,0.01
82,0.01
83,0.03
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.01
93,0.01
94,0.03
95,0.01
96,0.03
97,0.03
98,0.03
99,0.01
100,0.01
101,0.03
102,0.01
103,0.01
104,0.03
105,0.01
106,0.01
107,0.03
108,0.01
109,0.01
110,0.01
111,0.01
112,0.03
113,0.03
114,0.03
115,0.01
116,0.01
117,0.01
118,0.03
119,0.01
120,0.01
121,0.01
122,0.01
123,0.05
124,0.05
125,0.01
126,0.01
127,0.03
128,0.03
129,0.01
130,0.01
131,0.01
132,0.03
133,0.03
134,0.03
135,0.01
136,0.03
137,0.05
138,0.01
139,0.03
140,0.03
141,0.01
142,0.03
143,0.01
144,0.03
145,0.01
146,0.03
147,0.05
148,0.03
149,0.05
150,0.01
151,0.03
152,0.05
153,0.05
154,0.03
155,0.03
156,0.03
157,0.03
158,0.03
159,0.01
160,0.07
161,0.03
162,0.03
163,0.03
164,0.05
165,0.01
166,0.03
167,0.03
168,0.01
169,0.03
170,0.01
171,0.03
172,0.03
173,0.01
174,0.01
175,0.07
176,0.01
177,0.01
178,0.01
179,0.01
180,0.01
181,0.01
182,0.01
183,0.03
184,0.03
185,0.01
186,0.01
187,0.03
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.03
194,0.03
195,0.03
196,0.01
197,0.01
198,0.01
199,0.03
200,0.01
201,0.03
202,0.03
203,0.03
204,0.01
205,0.01
206,0.01
207,0.03
208,0.01
209,0.03
210,0.01
211,0.03
212,0.03
213,0.03
214,0.01
215,0.05
216,0.01
217,0.03
218,0.03
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.03
228,0.03
229,0.03
230,0.03
231,0.03
232,0.05
233,0.01
234,0.01
235,0.01
236,0.01
237,0.05
238,0.01
239,0.01
240,0.03
241,0.03
242,0.01
243,0.01
244,0.01
245,0.01
246,0.01
247,0.01
248,0.07
249,0.03
250,0.01
251,0.01
252,0.01
253,0.01
254,0.01
255,0.03
256,0.01
257,0.01
258,0.01
259,0.01
260,0.01
261,0.01
262,0.03
263,0.01
264,0.05
265,0.01
266,0.01
267,0.03
268,0.01
269,0.03
270,0.03
271,0.01
272,0.01
273,0.05
274,0.01
275,0.03
276,0.01
277,0.03
278,0.03
279,0.01
280,0.01
281,0.03
282,0.03
283,0.03
284,0.05
285,0.01
286,0.03
287,0.03
288,0.05
289,0.01
290,0.03
291,0.01
292,0.03
293,0.01
294,0.03
295,0.01
296,0.01
297,0.01
298,0.03
299,0.01
300,0.01
301,0.03
302,0.03
303,0.01
304,0.01
305,0.05
306,0.03
307,0.01
308,0.01
309,0.03
310,0.01
311,0.03
312,0.01
313,0.01
314,0.01
315,0.01
316,0.01
317,0.01
318,0.01
319,0.01
320,0.03
321,0.01
322,0.03
323,0.01
324,0.01
325,0.01
326,0.01
327,0.03
328,0.05
329,0.01
330,0.01
331,0.03
332,0.03
333,0.03
334,0.01
335,0.01
336,0.01
337,0.01
338,0.05
339,0.01
340,0.01
341,0.01
342,0.03
343,0.01
344,0.03
345,0.01
346,0.03
347,0.01
348,0.01
349,0.01
350,0.01
351,0.01
352,0.03
353,0.01
354,0.03
355,0.03
356,0.01
357,0.03
358,0.01
359,0.01
360,0.01
361,0.01
362,0.03
363,0.01
364,0.01
365,0.01
366,0.01
367,0.03
368,0.01
369,0.03
370,0.03
371,0.03
372,0.01
373,0.01
374,0.01
375,0.03
376,0.03
377,0.01
378,0.03
379,0.05
380,0.05
381,0.03
382,0.01
383,0.03
384,0.03
385,0.03
386,0.03
387,0.01
388,0.01
389,0.01
390,0.01
391,0.01
392,0.05
393,0.01
394,0.01
395,0.03
396,0.03
397,0.01
398,0.03
399,0.03
400,0.07
401,0.03
402,0.03
403,0.03
404,0.05
405,0.03
406,0.01
407,0.01
408,0.01
409,0.01
410,0.01
411,0.01
412,0.01
413,0.01
414,0.01
415,0.03
416,0.03
417,0.01
418,0.01
419,0.01
420,0.01
421,0.05
422,0.01
423,0.03
424,0.01
425,0.01
426,0.03
427,0.05
428,0.03
429,0.01
430,0.03
431,0.03
432,0.01
433,0.01
434,0.01
435,0.03
436,0.01
437,0.01
438,0.01
439,0.03
440,0.05
441,0.03
442,0.03
443,0.03
444,0.01
445,0.01
446,0.01
447,0.01
448,0.03
449,0.01
450,0.01
451,0.01
452,0.01
453,0.01
454,0.01
455,0.01
456,0.01
457,0.03
458,0.01
459,0.03
460,0.05
461,0.05
462,0.05
463,0.01
464,0.01
465,0.01
466,0.01
467,0.01
468,0.03
469,0.01
470,0.03
471,0.01
472,0.01
473,0.03
474,0.03
475,0.01
476,0.01
477,0.03
478,0.01
479,0.01
480,0.01
481,0.01
482,0.01
483,0.01
484,0.03
485,0.03
486,0.01
487,0.01
488,0.01
489,0.03
490,0.01
491,0.03
492,0.03
493,0.01
494,0.01
495,0.01
496,0.01
497,0.01
498,0.01
499,0.03
500,0.03
501,0.01
502,0.01
503,0.03
504,0.01
505,0.01
506,0.03
507,0.01
508,0.01
509,0.01
510,0.03
511,0.03
512,0.01
513,0.01
514,0.03
515,0.01
516,0.01
517,0.01
518,0.03
519,0.01
520,0.01
521,0.01
522,0.01
523,0.03
524,0.03
525,0.01
526,0.03
527,0.03
528,0.01
529,0.01
530,0.03
531,0.01
532,0.01
533,0.03
534,0.03
535,0.01
536,0.01
537,0.03
538,0.03
539,0.03
540,0.01
541,0.01
542,0.01
543,0.03
544,0.01
545,0.03
546,0.07
547,0.03
548,0.01
549,0.01
550,0.01
551,0.05
552,0.03
553,0.03
554,0.03
555,0.03
556,0.03
557,0.03
558,0.01
559,0.01
560,0.07
561,0.01
562,0.01
563,0.03
564,0.05
565,0.01
566,0.03
567,0.01
568,0.05
569,0.01
570,0.05
571,0.01
572,0.01
573,0.03
574,0.01
575,0.01
576,0.03
577,0.01
578,0.03
579,0.01
580,0.03
581,0.01
582,0.01
583,0.03
584,0.03
585,0.01
586,0.03
587,0.01
588,0.03
589,0.01
590,0.03
591,0.01
592,0.01
593,0.01
594,0.01
595,0.01
596,0.01
597,0.01
598,0.01
599,0.01
600,0.01
601,0.01
602,0.03
603,0.01
604,0.01
605,0.01
606,0.03
607,0.01
608,0.01
609,0.01
610,0.01
611,0.01
612,0.03
613,0.03
614,0.01
615,0.01
616,0.03
617,0.03
618,0.01
619,0.05
620,0.05
621,0.03
622,0.01
623,0.01
624,0.01
625,0.03
626,0.01
627,0.03
628,0.03
629,0.01
630,0.03
631,0.01
632,0.01
633,0.01
634,0.03
635,0.01
636,0.01
637,0.03
638,0.01
639,0.03
640,0.03
641,0.05
642,0.01
643,0.01
644,0.03
645,0.03
646,0.03
647,0.01
648,0.01
649,0.01
650,0.01
651,0.01
652,0.03
653,0.01
654,0.03
655,0.03
656,0.03
657,0.05
658,0.01
659,0.01
660,0.01
661,0.03
662,0.01
663,0.01
664,0.03
665,0.01
