,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.13018376,0.26422566,0.89823985,0.20023552,0.96193117,0.45968628,0.47135335,0.40744358,0.5766165,0.47135335,0.8922222,0.7188889,0.58480704,0.7188889,0.07,-0.045417897,1.0178859,0.07,0.07,0.1749318,0.92519414,-0.01830347,0.40462252,0.150085,0.0014498644,0.009953486,0.550421,0.10030305,-0.039696954,0.10030305,-0.039696954
1,0.25197747,0.056447323,0.8435335,0.8637226,1.0126113,0.6391199,0.57511276,0.54879695,0.6766165,0.54879695,0.7966666,0.7966666,0.7041908,0.8855555,0.03,0.22764012,0.91985255,-0.03,-0.03,0.47230047,0.7538405,-0.03,0.44121426,0.20455661,-0.023109598,0.03,0.50066435,0.00030304492,0.060303044,0.00030304492,0.005508557
2,0.24971597,0.0769873,0.86221397,0.8635534,0.92301273,0.74,0.5200752,0.57270676,0.61406016,0.508797,0.7455556,0.71,0.71,0.8655555,-0.01,0.40297937,0.6815831,0.01,-0.01,0.6311962,0.31535152,0.01,0.40789202,0.16827498,0.01,0.01,0.48471197,0.040303044,0.020303044,0.040303044,0.040303044
3,0.2581835,0.06326486,0.85737455,0.8489861,0.8473656,0.84724605,0.50503755,0.63406014,0.6566165,0.528797,0.7455556,0.6677778,0.6677778,0.8788889,-0.01,0.53473943,0.5232743,0.01,0.01,0.5052151,0.17054565,-0.01,0.37106395,0.2126621,-0.01,-0.01,0.520054,0.020303044,0.020303044,0.040303044,0.040303044
4,0.2,0.09056918,0.9035534,0.8097723,0.8,0.91832554,0.44999996,0.55526316,0.57406014,0.44999996,0.70555556,0.73737526,0.7277778,0.8526343,-0.05,0.7149951,0.4865782,-0.05,-0.05,0.72019935,0.23258132,-0.04957504,0.33520272,0.33924612,-0.040891886,0.05,0.61328816,0.08030304,0.08030304,1.05,0.08030304
5,0.24200073,0.060442343,0.8821408,0.8808334,0.6474178,0.9674624,0.44744357,0.5940602,0.5527068,0.44744357,0.81888884,0.6477778,0.7633333,0.8922222,-0.03,0.8579056,0.41544738,0.03,-0.03,0.8209969,0.4455299,0.03,0.38485247,0.10885057,-0.03,0.03,0.5110853,0.060303044,0.00030304492,1.03,0.060303044
6,0.25719604,0.058704562,0.8635534,0.8525073,0.5074195,0.99195784,0.4674436,0.6566165,0.57390976,0.48999998,0.7788889,0.65444446,0.7455556,0.8788889,0.014582105,0.93788594,0.23713864,0.024749262,0.094931796,0.84519416,0.34578174,0.0046904515,0.42306867,0.11610753,0.026849454,-0.01,0.48007655,0.040303044,0.020303044,1.01,0.040303044
7,0.2457762,0.05997266,0.84837335,0.8622759,0.37099367,0.98025924,0.508797,0.6366165,0.5539098,0.53135335,0.75666666,0.68777776,0.69,0.8655555,0.20764013,0.93985254,0.016548673,0.10406096,0.47589716,0.7738405,0.14005247,0.034071356,0.43445206,0.12634712,0.2174693,-0.01,0.453037,0.040303044,0.040303044,1.01,0.040303044
8,0.24844891,0.06494904,0.84408236,0.85026455,0.2595204,0.9404838,0.59270674,0.61406016,0.55135334,0.53135335,0.69,0.71,0.72333336,0.84555554,0.40297937,0.6615831,0.01,0.25778762,0.6111962,0.29535154,0.01,0.06764953,0.5805188,0.29499367,0.39470026,0.2741093,0.54974246,0.040303044,0.040303044,1.01,0.020303044
9,0.20785853,0.07449667,0.8785506,0.8750855,0.1794149,0.85055375,0.57406014,0.69661653,0.6139098,0.57891464,0.6592237,0.62777776,0.6166667,0.7722222,0.59473944,0.4632743,0.05,0.33711898,0.5652151,0.21054564,-0.05,-0.013273872,0.67680997,0.5411692,0.52315694,0.3264913,0.5603518,-0.019696957,-0.019696957,0.017011672,0.08030304
10,0.22607523,0.016987298,0.8343105,0.8557184,0.08818497,0.73917365,0.55526316,0.57406014,0.6139098,0.55526316,0.75,0.62777776,0.65,0.68333334,0.8149951,0.38657817,0.05,0.4787119,0.8201994,0.13258132,0.05,0.1496852,0.72398216,0.6031713,0.6691603,0.36395195,0.46211576,-0.019696957,0.95,0.08030304,-0.019696957
11,0.2472312,0.0726854,0.88198984,0.8432062,0.042425722,0.61557096,0.6540601,0.5527068,0.54879695,0.5752632,0.70777774,0.7033334,0.81888884,0.67,0.8579056,0.35544738,0.03,0.62390363,0.8809968,0.3855299,0.03,0.24930745,0.7647078,0.6056949,0.80047786,0.86796385,0.61133105,0.00030304492,0.97,0.00030304492,0.00030304492
12,0.26734444,0.080427825,0.8347112,0.87812495,0.019672222,0.47981852,0.6766165,0.5339098,0.5113534,0.5940602,0.6144445,0.78555554,0.81888884,0.70777774,0.91788596,0.25713864,-0.03,0.5491544,0.8251942,0.30578175,0.03,0.18110178,0.74679595,0.45164454,0.81352305,1.0155817,0.521189,0.060303044,1.03,0.00030304492,0.060303044
13,0.27002856,0.060689732,0.8574065,0.8372146,0.024368946,0.34131873,0.61661655,0.5339098,0.5471683,0.5489474,0.6477778,0.67,0.8855555,0.7255556,0.91985255,0.05654867,0.013113329,0.51473945,0.7538405,0.18005247,0.03,0.16955929,0.78583235,0.5830805,0.7700043,1.0287125,0.5263302,0.060303044,1.03,0.00030304492,0.060303044
14,0.2577993,0.07632972,0.84496224,0.8529793,0.06795394,0.24185823,0.63406014,0.53135335,0.508797,0.5689474,0.71,0.72333336,0.8655555,0.76555556,0.6815831,-0.01,0.01,0.9018387,0.31535152,-0.01,-0.01,0.7287828,0.8228928,0.40441892,0.6511474,0.98988056,0.47184294,0.040303044,0.99,0.040303044,0.020303044
15,0.2543652,0.042466957,0.83578104,0.8254199,0.14724423,0.121518575,0.61661655,0.5339098,0.48879698,0.61661655,0.70777774,0.6366667,0.8588889,0.6144445,0.5432743,-0.03,0.03,0.80581117,0.19054565,0.03,-0.03,0.78532004,0.8449789,0.0007826127,0.47009227,0.9699845,0.38414237,0.060303044,0.00030304492,0.060303044,0.00030304492
16,0.24,0.0769873,0.8635534,0.8465244,0.26,0.061315343,0.61406016,0.5539098,0.48999998,0.6366165,0.68777776,0.69,0.8988889,0.6433333,0.4265782,-0.01,0.01,0.6304523,0.19258133,-0.01,-0.01,0.72767055,0.8171323,0.14175805,0.31249544,1.0099937,0.43775174,1.01,0.020303044,0.040303044,0.99
17,0.2669973,0.04716508,0.836899,0.86931944,0.3951445,-0.012962913,0.6127067,0.54879695,0.50744355,0.6540601,0.7033334,0.81888884,0.8922222,0.67444444,0.41544738,0.03,-0.03,0.4655949,0.3855299,-0.03,-0.03,0.58385104,0.8613764,-0.014331354,0.11828296,0.96999454,0.4419334,0.97,0.060303044,0.060303044,1.03
18,0.27564767,0.08198935,0.8500713,0.832612,0.51838106,-0.0023576685,0.5339098,0.55434054,0.46999997,0.6354135,0.7255556,0.81888884,0.91888887,0.7367135,0.19713864,0.03,-0.015250737,0.21090461,0.30578175,-0.03,-0.015309548,0.32362014,0.7853531,0.2727553,0.06455176,0.8029029,0.510032,1.03,0.00030304492,0.060303044,1.03
19,0.21413243,0.091912895,0.8035534,0.9035534,0.62409776,0.04923648,0.6139098,0.568797,0.59135336,0.69661653,0.75,0.90555555,0.8889738,0.6944445,0.07654867,0.05,0.064060956,0.07654867,0.20005247,0.05,-0.0022512898,0.20424974,0.85944086,0.36611682,0.053081438,0.5528024,0.42483026,0.95,0.08030304,-0.019696957,0.95
20,0.20584981,0.03467451,0.8035534,0.9035534,0.8,0.016987298,0.59135336,0.568797,0.59135336,0.69661653,0.78333336,0.8055555,0.83259296,0.51666665,0.05,0.05,0.2977876,0.05,0.05,0.05,0.12764953,0.05,0.8692776,0.302247,0.028233737,0.23912357,0.37651724,0.95,0.08030304,-0.019696957,0.95
21,0.25031653,0.076298796,0.84788215,0.8535441,0.85604316,0.1392069,0.5539098,0.528797,0.55135334,0.55135334,0.6566667,0.8988889,0.81222224,0.81222224,-0.01,0.01,0.29711896,0.01,-0.01,0.01,0.04672613,-0.01,0.7957974,0.22666915,-0.01,-0.01,0.41873223,0.040303044,0.040303044,0.040303044,0.040303044
22,0.26662806,0.060719363,0.87222916,0.85435754,0.90536964,0.27677235,0.576093,0.46999997,0.5752632,0.5339098,0.72999996,0.91888887,0.7633333,0.78555554,0.03,0.014570408,0.4587119,0.03,0.03,-0.03,0.069685206,0.03,0.72154915,0.24794728,-0.03,0.03,0.5384243,0.00030304492,0.00030304492,0.00030304492,0.00030304492
23,0.2559769,0.07200754,0.8589825,0.8535382,0.98004055,0.3792592,0.528797,0.48744357,0.61526316,0.57390976,0.7788889,0.9122222,0.69,0.7455556,-0.01,-0.01,0.60390365,0.01,-0.01,0.01,0.22930746,0.01,0.6754433,0.2135279,-0.01,0.01,0.5134404,0.020303044,0.020303044,0.040303044,0.020303044
24,0.25155976,0.06766027,0.8477187,0.8463776,1.0051793,0.49645174,0.55135334,0.51,0.63406014,0.528797,0.7788889,0.8788889,0.6677778,0.75666666,0.01,0.0047492627,0.58915436,0.01,0.01,0.024690451,0.16110179,0.01,0.56326556,0.16845617,-0.01,-0.01,0.49467045,0.020303044,0.020303044,0.040303044,0.020303044
25,0.24896707,0.06720001,0.50925934,0.99332565,0.9802767,0.63487077,0.508797,0.55135334,0.58894736,0.55135334,0.84555554,0.84555554,0.7455556,0.7455556,-0.01,0.10406096,0.5547394,-0.01,-0.01,0.054071352,0.14955929,-0.01,0.4740316,0.17965771,0.01,-0.01,0.4817335,0.040303044,0.040303044,0.040303044,0.040303044
26,0.231032,0.05812409,0.477553,1.0024624,0.920567,0.76133615,0.54879695,0.5713533,0.60894734,0.54879695,0.82555556,0.8855555,0.7255556,0.79222226,0.03,0.2777876,0.87627244,0.03,0.010411618,0.10764953,0.6887828,-0.03,0.4261416,0.11846185,-0.03,-0.03,0.45440733,0.00030304492,0.060303044,0.00030304492,0.00030304492
27,0.27974686,0.046364337,0.5132376,1.0135045,0.86453307,0.83719987,0.54879695,0.5713533,0.6766165,0.54879695,0.8588889,0.8522222,0.6144445,0.79222226,0.03,0.31711897,0.7458112,0.03,-0.03,0.006726129,0.78532004,-0.03,0.4105856,0.27240497,-0.03,-0.03,0.54687786,0.00030304492,0.060303044,0.060303044,0.00030304492
28,0.2556566,0.07454555,0.5050457,0.9972928,0.7515686,0.92301273,0.51,0.61526316,0.6566165,0.528797,0.8788889,0.74333334,0.62333333,0.8322222,0.01,0.43871188,0.6104523,-0.01,-0.01,0.08968521,0.73232555,-0.01,0.4258682,0.19735943,-0.01,-0.01,0.51446944,0.020303044,0.040303044,1.01,0.020303044
29,0.24904448,0.061935805,0.49303493,0.9991675,0.63711447,0.9767308,0.48744357,0.61526316,0.63406014,0.51,0.9322222,0.71,0.65444446,0.8655555,0.01,0.60390365,0.4255949,0.01,0.01,0.20930745,0.603851,0.01,0.4487027,0.17106804,-0.01,-0.01,0.5056774,0.020303044,0.020303044,1.01,0.020303044
30,0.25854763,0.07343331,0.5050692,1.0015427,0.4808864,0.9868363,0.46999997,0.5940602,0.6354135,0.48879698,0.91888887,0.7050183,0.7966666,0.8522222,0.04474926,0.5491544,0.2709046,0.05654867,0.044690453,0.12110178,0.32362014,0.12110178,0.44479796,0.10151449,0.009840963,0.03,0.5014093,0.060303044,0.00030304492,1.03,0.060303044
31,0.25637117,0.06778012,0.50158,1.0038346,0.36787453,0.9929629,0.53135335,0.5689474,0.6366165,0.57270676,0.84555554,0.76555556,0.65444446,0.74333334,0.10406096,0.53473943,0.016548673,0.17879055,0.034071356,0.12955928,0.14424974,0.4244806,0.5268944,0.15378197,0.20879772,-0.01,0.46240845,0.040303044,0.040303044,1.01,0.040303044
32,0.25730437,0.06278452,0.50350136,1.004356,0.24862967,0.9402876,0.53135335,0.5689474,0.6366165,0.6366165,0.8655555,0.7455556,0.5566667,0.61222225,0.2377876,0.88183874,0.01,0.4072468,0.06764953,0.7287828,0.01,0.6490346,0.6127153,0.30685008,0.3844288,0.2741093,0.56876856,0.040303044,0.020303044,0.99,0.040303044
33,0.2742815,0.07355086,0.4723342,1.0067356,0.12182673,0.86617404,0.5113534,0.6766165,0.5713533,0.7098361,0.8522222,0.6144445,0.79222226,0.57000005,0.25711897,0.7458112,0.03,0.6307866,0.006726129,0.84532,0.03,0.7590442,0.69431895,0.4571104,0.5365113,0.24897598,0.43579382,0.00030304492,0.00030304492,0.060303044,0.053369377
34,0.27386662,0.016987298,0.48163885,0.956717,0.021158673,0.8,0.6552632,0.5966165,0.6139098,0.63796985,0.68333334,0.68333334,0.70555556,0.57222223,0.37871188,0.5704523,0.05,0.8149951,0.049685206,0.78767055,0.05,0.88210917,0.6736694,0.381003,0.7363276,0.12384264,0.39566556,0.08030304,1.05,0.08030304,0.08030304
35,0.26597148,0.064816765,0.54615694,1.010719,0.02785981,0.67881507,0.55526316,0.57406014,0.6139098,0.67932326,0.65,0.59444445,0.70555556,0.5277778,0.6439037,0.38559487,0.05,0.9320059,0.16930746,0.663851,0.05,0.80099684,0.7490309,0.54145926,0.8062682,0.33324832,0.49417874,0.08030304,1.05,0.08030304,0.08030304
36,0.230376,0.08379464,0.5253818,1.027819,-0.02944047,0.52748924,0.6540601,0.6354135,0.48879698,0.6993233,0.6477778,0.7366667,0.7966666,0.56333333,0.5491544,0.21090461,-0.03,0.97198623,0.18110178,0.32362014,0.03,0.8251942,0.8548594,0.55745447,0.80478996,0.42860663,0.48672727,0.060303044,1.03,0.060303044,0.060303044
37,0.2539121,0.06507828,0.5046296,0.99326664,0.009478245,0.37737957,0.58894736,0.6366165,0.53135335,0.7193233,0.7455556,0.6344445,0.76555556,0.5233334,0.53473943,0.036548674,-0.01,0.9339528,0.12955928,0.16424975,0.01,0.8693914,0.8091761,0.23410526,0.73798144,0.59590995,0.4570558,0.040303044,1.01,0.020303044,0.040303044
