,dynamic_untargeted_acg
0,0.07
1,0.03
2,0.01
3,0.01
4,0.05
5,0.03
6,0.01
7,0.01
8,0.01
9,0.05
10,0.05
11,0.03
12,0.03
13,0.03
14,0.01
15,0.03
16,0.01
17,0.03
18,0.03
19,0.05
20,0.05
21,0.01
22,0.03
23,0.01
24,0.01
25,0.01
26,0.03
27,0.03
28,0.01
29,0.01
30,0.03
31,0.01
32,0.01
33,0.03
34,0.05
35,0.05
36,0.03
37,0.01
38,0.05
39,0.03
40,0.01
41,0.03
42,0.05
43,0.01
44,0.03
45,0.01
46,0.03
47,0.03
48,0.03
49,0.01
50,0.03
51,0.03
52,0.01
53,0.01
54,0.05
55,0.01
56,0.01
57,
58,
59,0.03
60,0.01
61,0.01
62,0.03
63,0.03
64,0.01
65,0.01
66,0.05
67,0.01
68,0.01
69,0.03
70,0.03
71,0.01
72,0.01
73,0.03
74,0.05
75,
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.03
82,0.05
83,0.05
84,0.03
85,0.03
86,0.03
87,0.05
88,0.03
89,0.03
90,0.01
91,0.03
92,0.03
93,0.07
94,0.07
95,0.03
96,0.03
97,0.05
98,0.05
99,0.05
100,0.05
101,0.03
102,0.03
103,0.01
104,0.01
105,0.03
106,0.01
107,0.03
108,0.01
109,0.03
110,0.01
111,0.03
112,0.01
113,0.03
114,0.01
115,0.03
116,0.05
117,0.01
118,0.03
119,0.03
120,0.03
121,0.07
122,0.07
123,0.07
124,0.07
125,0.05
126,0.01
127,0.03
128,0.01
129,0.07
130,
131,0.05
132,0.05
133,0.01
134,0.01
135,0.03
136,0.03
137,0.03
138,0.01
139,0.01
140,0.03
141,0.01
142,0.05
143,0.07
144,0.05
145,0.07
146,0.05
147,0.05
148,0.05
149,0.07
150,0.01
151,0.03
152,0.01
153,0.07
154,0.05
155,0.03
156,0.01
157,0.03
158,0.03
159,0.03
160,0.03
161,0.03
162,0.03
163,0.05
164,0.03
165,0.07
166,0.07
167,0.07
168,0.05
169,0.03
170,0.03
171,0.03
172,0.05
173,0.01
174,0.01
175,0.03
176,0.03
177,0.05
178,0.05
179,0.03
180,0.03
181,0.01
182,0.01
183,0.03
184,0.01
185,0.03
186,0.03
187,0.03
188,0.03
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.05
195,0.03
196,0.03
197,0.01
198,0.05
199,0.03
200,0.01
201,0.07
202,0.05
203,0.03
204,0.01
205,0.03
206,0.03
207,0.01
208,0.01
209,0.03
210,0.01
211,0.01
212,0.05
213,
214,0.01
215,0.03
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.03
223,0.03
224,0.01
225,0.03
226,0.07
227,0.05
228,0.03
229,0.01
230,0.01
231,0.03
232,0.01
233,0.01
234,0.01
235,0.03
236,0.03
237,0.05
238,0.03
239,0.01
240,0.03
241,0.05
242,0.05
243,0.03
244,0.05
245,0.03
246,0.01
247,0.03
248,0.01
249,0.05
250,0.07
251,
252,0.03
253,0.01
254,0.03
255,0.05
256,0.03
257,0.03
258,0.03
259,0.01
260,0.01
261,0.07
262,0.03
263,0.01
264,0.03
265,0.05
266,
267,0.07
268,
269,0.05
270,0.01
271,0.03
272,0.03
273,
274,0.07
275,0.05
276,0.03
277,0.03
278,0.01
279,0.01
280,0.01
281,0.01
282,0.03
283,0.01
284,0.01
285,0.03
286,0.01
287,0.01
288,0.03
289,0.07
290,
291,0.07
292,
293,0.05
294,0.01
295,0.01
296,0.01
297,0.03
298,0.07
299,0.05
300,0.01
301,0.01
302,0.03
303,0.03
304,0.01
305,0.01
306,0.03
307,0.03
308,0.01
309,0.03
310,0.03
311,0.05
312,0.07
313,0.07
314,0.07
315,0.07
316,0.07
317,0.01
318,0.01
319,0.03
320,0.01
321,0.05
322,
323,0.03
324,0.03
325,0.03
326,0.03
327,0.03
328,0.01
329,0.01
330,0.03
331,0.05
332,0.05
333,0.05
334,0.07
335,
336,0.07
337,0.03
338,0.03
339,0.01
340,0.03
341,0.01
342,0.03
343,0.01
344,0.03
345,0.05
346,0.01
347,0.03
348,0.03
349,0.03
350,0.03
351,0.03
352,0.01
353,0.03
354,0.01
355,0.03
356,0.03
357,0.03
358,0.01
359,0.01
360,0.01
361,0.03
362,0.05
363,0.01
364,0.03
365,0.01
366,0.05
367,0.03
368,0.03
369,0.07
370,0.01
371,0.03
372,0.01
373,0.03
374,0.07
375,0.01
376,0.03
377,0.03
378,0.01
379,0.05
380,0.03
381,0.05
382,0.03
383,0.01
384,0.03
385,0.03
386,0.01
387,0.03
388,0.03
389,0.01
390,0.07
391,0.03
392,0.03
393,0.07
394,0.07
395,0.05
396,0.03
397,0.01
398,0.01
399,0.03
400,0.03
401,0.03
402,0.01
403,0.01
404,0.01
405,0.07
406,0.05
407,0.01
408,0.03
409,0.03
410,0.03
411,0.03
412,0.05
413,0.03
414,0.03
415,0.03
416,0.03
417,0.07
418,0.05
419,0.05
420,0.05
421,0.03
422,0.03
423,0.03
424,0.01
425,0.03
426,0.01
427,0.01
428,0.01
429,0.07
430,0.05
431,0.03
432,0.01
433,0.03
434,0.05
435,0.05
436,0.05
437,0.03
438,0.03
439,0.03
440,0.01
441,0.05
442,0.03
443,0.05
444,0.01
445,0.01
446,0.01
447,0.03
448,0.01
449,0.03
450,0.03
451,0.05
452,0.05
453,0.01
454,0.01
455,0.03
456,0.01
457,0.05
458,0.03
459,0.03
460,0.03
461,0.01
462,0.01
463,0.03
464,0.01
465,0.05
466,0.05
467,0.01
468,0.01
469,0.03
470,0.01
471,0.03
472,0.03
473,0.01
474,0.01
475,0.03
476,0.05
477,0.03
478,0.03
479,0.03
480,0.03
481,0.05
482,0.07
483,0.07
484,0.03
485,0.01
486,0.01
487,0.03
488,0.03
489,0.07
490,0.03
491,0.05
492,0.03
493,0.03
494,0.05
495,0.01
496,0.01
497,0.03
498,0.01
499,0.05
500,0.05
501,0.05
502,0.07
503,
504,0.07
505,0.03
506,0.03
507,0.01
508,0.03
509,0.01
510,0.03
511,0.01
512,0.03
513,0.05
514,0.03
515,0.05
516,0.03
517,0.05
518,0.05
519,0.01
520,0.01
521,0.03
522,0.03
523,0.03
524,0.05
525,0.05
526,0.03
527,0.01
528,0.01
529,0.03
530,0.03
531,0.03
532,0.03
533,0.01
534,0.05
535,0.03
536,0.01
537,0.05
538,0.05
539,0.01
540,0.01
541,0.03
542,0.03
543,0.03
544,0.03
545,0.01
546,0.01
547,0.03
548,0.07
549,0.07
550,0.01
551,0.03
552,0.03
553,0.03
554,0.03
555,0.03
556,0.01
557,0.03
558,0.05
559,0.05
560,0.01
561,0.07
562,0.05
563,0.05
564,0.01
565,0.03
566,0.01
567,0.01
568,0.01
569,0.03
570,0.03
571,0.03
572,0.01
573,0.05
574,0.01
575,0.03
576,0.03
577,0.03
578,0.05
579,0.05
580,0.01
581,0.03
582,0.03
583,0.03
584,0.01
585,0.05
586,0.01
587,0.03
588,0.03
589,0.01
590,0.03
591,0.05
592,0.01
593,0.01
594,0.03
595,0.03
596,0.03
597,0.03
598,0.01
599,0.03
600,0.03
601,0.07
602,0.05
603,0.05
604,0.01
605,0.01
606,0.01
607,0.01
608,0.01
609,0.03
610,0.05
611,0.05
612,0.01
613,0.01
614,0.03
615,0.03
616,0.03
617,0.01
618,0.03
619,0.03
620,0.03
621,0.03
622,0.01
623,0.01
624,0.03
625,0.07
626,
627,0.07
628,0.07
629,0.03
630,0.03
631,0.03
632,0.01
633,0.05
634,0.07
635,0.07
636,0.01
637,0.05
638,0.03
639,0.03
640,0.01
641,0.03
642,0.01
643,0.01
644,0.01
645,0.03
646,0.03
647,0.03
648,0.01
649,0.05
650,0.05
651,0.07
652,0.05
653,0.05
654,0.03
655,0.03
656,0.03
657,0.05
658,
659,0.05
660,0.03
661,0.01
662,0.05
663,0.03
664,0.01
665,0.05
666,0.03
667,0.03
668,0.05
669,0.05
670,0.07
671,0.07
672,0.05
673,0.01
674,0.01
675,0.03
676,0.03
677,0.03
678,0.01
679,0.03
680,0.05
681,0.07
682,0.05
683,0.01
684,0.01
685,0.01
686,0.01
687,0.03
688,0.03
689,0.01
690,0.01
