,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.15218285,0.33519554,0.878891,0.23164216,0.91480446,0.54501617,0.5785223,0.39224803,0.561421,0.4561578,0.7370267,0.70369333,0.5792282,0.8740844,0.0,0.020514963,1.0,0.08519554,0.08519554,0.19012734,0.9403897,0.08519554,0.559818,0.30528057,0.08519554,0.08519554,0.45176667,0.11549859,0.11549859,0.0,0.11549859
1,0.23935509,0.07763221,0.8429085,0.8429085,0.9936078,0.61876464,0.5557577,0.5294419,0.65726143,0.5294419,0.77731156,0.77731156,0.66713285,0.86620045,0.010644913,0.20828503,0.9392076,0.0,0.0,0.45525226,0.77319556,0.0,0.42185917,0.1639117,0.0,0.0,0.5040717,0.019658132,0.04094796,0.040904492,0.019658132
2,0.2595003,0.057486884,0.8630535,0.86305267,0.92351294,0.7405,0.5205748,0.57320714,0.61456,0.5092968,0.74626744,0.70950043,0.7095004,0.84605503,4.9987284e-07,0.40347934,0.6810833,0.00950039,9.1768285e-08,0.6306966,0.31485125,0.009500169,0.40739232,0.16877462,0.009500434,0.009499892,0.48521146,0.039802764,0.020802882,0.039803464,0.03980331
3,0.2566719,0.062092252,0.8602253,0.8468815,0.8602253,0.8468815,0.50836563,0.63073206,0.6532884,0.5254689,0.74888366,0.67110586,0.67110586,0.882217,0.0,0.5380675,0.5199462,0.0066719055,0.0066719055,0.5085432,0.16721755,0.0,0.37439203,0.2159902,0.0,0.0,0.5167259,0.023631139,0.023631139,0.03697495,0.03697495
4,0.2878561,0.1048434,0.8914095,0.8914095,0.7878561,0.8951566,0.46214387,0.5674071,0.58620405,0.46214387,0.71769947,0.6621439,0.71563387,0.8510328,5.5198943e-06,0.727139,0.4744343,1.6846407e-06,5.822903e-07,0.73234326,0.22043742,0.037856102,0.34734663,0.41453427,0.037856102,0.037856102,0.60114425,0.06815915,8.5428286e-07,0.9999986,0.06815915
5,0.22701368,0.044128668,0.8305671,0.87653977,0.6064243,0.9999996,0.5004299,0.6010763,0.55972034,0.50042987,0.8118752,0.7007642,0.7563197,0.94520855,0.02298636,0.91089195,0.36246103,7.0247154e-08,0.02298384,0.8739832,0.39254352,0.022986311,0.43783885,0.16183697,0.022986392,0.022986362,0.45810413,0.007316671,0.053289387,0.97701377,0.007316678
6,0.26011243,0.07710003,0.8636656,0.8434409,0.51011187,0.98988736,0.467331,0.65663165,0.5740224,0.4898873,0.77877635,0.6343317,0.745443,0.87877643,0.014469552,0.9377735,0.23725119,0.024861995,0.0948191,0.8450816,0.34589443,0.004578259,0.42295608,0.115994856,0.026736759,2.0902884e-07,0.4801893,0.04041562,0.020190455,0.99999946,0.04041561
7,0.23093896,0.047926236,0.87261444,0.83449244,0.38965145,0.9639019,0.53785807,0.66567755,0.5829708,0.5604144,0.7476057,0.6968388,0.68093896,0.8364945,0.21670115,0.9307915,0.0075245188,0.133122,0.48495826,0.7647794,0.16911355,0.025010413,0.46351314,0.11728613,0.18840821,1.0789163e-07,0.4239759,0.011241989,0.049364105,0.9999999,0.04936412
8,0.27205083,0.044936456,0.8756038,0.87560403,0.27205053,0.9109623,0.6047576,0.6020094,0.563404,0.51930255,0.67794913,0.72205085,0.7112828,0.8335049,0.43503022,0.6495326,0.022050425,0.2698382,0.64324695,0.2833007,0.022050481,0.055633582,0.5925696,0.28294304,0.3826494,0.022050569,0.44392917,0.008252311,0.05235383,0.99999976,0.00825232
9,0.27500337,0.091990724,0.87855685,0.82855,0.17144917,0.82855,0.5990568,0.6716199,0.5889132,0.5663568,0.65277433,0.65277433,0.6416633,0.79721886,0.56974286,0.48827088,0.025003368,0.31212237,0.49021167,0.18554905,0.025003403,0.011722797,0.6518134,0.51617265,0.5481535,0.087378584,0.5651268,0.0052996255,0.055306476,0.055306464,0.055306464
10,0.30184937,0.11883666,0.86995196,0.9054028,0.11883666,0.69815063,0.5534138,0.5722108,0.5120604,0.5534138,0.75184935,0.6259284,0.6481506,0.681484,0.81684446,0.48842755,0.051849365,0.48056126,0.71835,0.23443069,0.051849365,0.04783584,0.7258315,0.5013219,0.648792,0.0979933,0.56396514,0.08215241,0.94815063,0.08215241,0.08215241
11,0.23971087,0.05669814,0.8638424,0.8638426,0.027326265,0.6191205,0.61377096,0.57241756,0.5290861,0.594974,0.6880669,0.7230442,0.79917365,0.68971086,0.8981948,0.3751584,0.010289018,0.6041928,0.861286,0.40524077,0.010289119,0.2295966,0.74499696,0.58598405,0.7807671,0.17701416,0.4970955,0.020013878,0.9897109,0.040592186,0.020013932
12,0.26048428,0.07747186,0.84306914,0.8639854,5.896245e-08,0.51048416,0.6361318,0.5743944,0.5308688,0.61357546,0.6339599,0.76604,0.7993735,0.68826234,0.9374014,0.23762262,5.006148e-07,0.56867003,0.84470975,0.34626633,1.6330651e-07,0.14061713,0.76631147,0.4111599,0.7730384,0.62179995,0.5962316,0.0407875,0.9999997,0.019818457,0.040787406
13,0.2990017,0.11598899,0.8045517,0.81194365,0.06603878,0.41959217,0.5976148,0.5149081,0.4697953,0.5299457,0.6603351,0.7490017,0.9045572,0.7065539,0.90085083,0.07555036,0.0,0.49573773,0.7348388,0.10105078,0.0,0.09055759,0.7668306,0.6020822,0.6910026,0.92442626,0.63439924,0.07930474,0.9509983,0.0,0.07930474
14,0.25186345,0.06512385,0.8554169,0.85541683,0.06512402,0.25186324,0.62592363,0.54321676,0.5206604,0.5808108,0.69813675,0.7351968,0.8536921,0.75369215,0.6697198,0.001863274,2.0669171e-07,0.8899754,0.30348825,0.0018633822,0.0018634294,0.7169636,0.8110295,0.41628233,0.6430109,0.9147486,0.47668344,0.028439585,0.9999997,0.028439756,0.032166272
15,0.2620184,0.07900716,0.8655734,0.8415333,0.15846613,0.15846673,0.6345965,0.5518897,0.506777,0.6345966,0.68979776,0.6786868,0.87686884,0.6324244,0.5252677,0.012020062,0.0120199565,0.78783125,0.17256555,0.012019979,1.5837284e-06,0.82734007,0.802959,0.018763645,0.4880722,0.98022604,0.39450195,0.042323112,0.018283546,0.04232291,0.01828315
16,0.2605761,0.07756346,0.8641295,0.8429773,0.26057586,0.0564113,0.61348397,0.5533336,0.48942375,0.63604045,0.68835396,0.68942374,0.8994586,0.6439096,0.42600203,1.0893018e-07,0.010576059,0.6310285,0.19315742,2.064061e-07,8.029572e-08,0.7270945,0.81655616,0.14118205,0.3119192,0.9999998,0.4408488,0.9999999,0.019727197,0.04087904,0.9894239
17,0.27702615,0.09401346,0.8265273,0.8265273,0.39761654,1.9272722e-08,0.60973173,0.54582316,0.50446975,0.6510313,0.7063072,0.81591505,0.895196,0.67147064,0.41247353,0.02702614,3.393014e-08,0.46262106,0.38850504,1.21073205e-08,1.5904025e-08,0.5868249,0.85840076,3.290746e-08,0.12125679,0.9729071,0.4391838,0.9729738,0.057329215,0.057329193,1.0
18,0.23396975,0.050957035,0.8695835,0.86958355,0.48397064,0.016030107,0.54787946,0.5253232,0.48396978,0.64938325,0.7715858,0.8049192,0.90491915,0.7826969,0.24316894,1.3101157e-07,0.03077955,0.22487432,0.35181192,0.016030263,8.6923784e-08,0.36965033,0.8223506,0.29967663,0.053973112,0.84422815,0.46393946,0.9999999,0.014272766,0.046333287,0.98396975
19,0.2557516,0.0727389,0.859305,0.8478018,0.63516116,0.011285491,0.5696614,0.5130454,0.54710495,0.6408649,0.6942484,0.86130714,0.8498039,0.63869286,0.03230028,0.0057516065,0.10830935,0.03230028,0.15580407,8.6323917e-07,0.038319748,0.14849813,0.80368924,0.31036523,0.008833048,0.87141013,0.5609497,0.9942484,0.024551442,0.03605465,0.9942484
20,0.29289475,0.109881856,0.89644825,0.8964482,0.79289436,0.024092631,0.49845886,0.47590214,0.5386806,0.60372174,0.77622795,0.81266105,0.8126612,0.5237722,0.042894404,3.072242e-09,0.29068232,0.042894557,0.042894755,1.943395e-08,0.120543934,0.04289456,0.77638286,0.20935193,0.042894363,0.68288684,0.4962009,0.95710546,3.0667668e-08,0.0731976,0.95710534
21,0.2737701,0.090757556,0.8773237,0.8297831,0.8773236,0.17021695,0.5401395,0.49502668,0.517583,0.5175831,0.6428964,0.9126591,0.79845196,0.7984519,8.771959e-08,0.02377031,0.26334867,1.733056e-08,3.4316393e-08,0.0005401001,0.060496405,2.8088913e-08,0.7820272,0.21289909,1.3767266e-08,0.43809554,0.4716925,0.054073352,0.05407334,0.054073203,0.054073315
22,0.26089373,0.07788111,0.86444724,0.84265965,0.9439065,0.2608937,0.55301595,0.51089376,0.61615694,0.5748036,0.6891063,0.89978266,0.7224396,0.7664494,5.3775935e-08,0.010893802,0.41781813,5.4818223e-08,1.1921631e-07,1.976291e-08,0.11057901,1.13174394e-07,0.74065536,0.20705357,1.13720455e-08,0.26803154,0.47847778,0.041196838,0.04119671,0.041196767,0.041196734
23,0.25451374,0.062473558,0.85806715,0.8490397,0.98747665,0.36607674,0.5233107,0.48195732,0.6097769,0.5684235,0.78437513,0.91770846,0.69548625,0.7510418,0.0019643363,6.1551044e-09,0.5984174,0.004513736,1.6705954e-09,0.004513736,0.22382118,0.004513738,0.68092954,0.20804164,1.3115111e-09,0.0052536833,0.42517495,0.02578931,0.025789313,0.03481678,0.025789306
24,0.25642768,0.0606858,0.8599808,0.8471262,0.9999994,0.49357238,0.54778105,0.5064275,0.6304876,0.5252246,0.7824612,0.88246155,0.67135024,0.7602393,0.006427634,0.008321853,0.5855817,0.006427423,0.0064275474,0.021117983,0.15752916,0.0064276624,0.5668379,0.17236343,4.7067317e-08,9.0856375e-08,0.48379964,0.02387557,0.02387555,0.03673056,0.023875473
25,0.24304104,0.060028337,0.50695896,1.0,0.97600394,0.6363685,0.511838,0.5343944,0.5859063,0.5483123,0.8485966,0.8485966,0.7485966,0.7485966,0.0,0.107102,0.5516984,5.411107e-05,0.0,0.051030315,0.14651825,0.0069589615,0.49099055,0.17661667,0.0069589615,0.0069589615,0.48477453,0.023344083,0.037262008,0.023344083,0.037262008
26,0.2359333,0.081053995,0.4859333,0.9859333,0.94707876,0.7359333,0.5328637,0.55542004,0.5925776,0.5328637,0.86962223,0.86962223,0.7414889,0.80815554,0.014066696,0.2618543,0.87777203,0.014066696,0.014066696,0.09171622,0.7047161,6.3926404e-07,0.4420749,0.16252854,6.674995e-07,9.907292e-07,0.49847403,0.016236348,0.016236348,0.016236348,0.016236348
27,0.36058885,0.17757629,0.5761995,0.99999994,0.74296445,0.9641423,0.408208,0.43076444,0.5360276,0.40820798,0.77829987,0.8624572,0.5495681,0.71163327,1.3892331e-08,0.397708,0.88640016,0.110589005,0.11058896,0.14731516,0.70473105,3.5479673e-08,0.32999662,0.35299385,8.7749745e-09,0.035920314,0.6274669,0.14089201,0.14089201,1.2597644e-07,0.14089204
28,0.26790047,0.084887765,0.48209953,0.9820996,0.7679004,0.91511226,0.51790047,0.62316364,0.62871605,0.5008965,0.90678936,0.7512338,0.6512338,0.8401227,2.1490513e-07,0.44660252,0.6025518,1.6118749e-07,0.017900467,0.08178474,0.7197701,3.718861e-07,0.41796774,0.18860458,1.1278784e-07,0.017900467,0.5223699,0.048203513,0.012402577,0.9999995,0.048203513
