,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5413534,0.4774436,0.6466165,0.5413534,0.82222223,0.7888889,0.64444447,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.47462255,0.22008502,0.0,0.0,0.98977435,0.030303031,0.030303031,0.030303031,0.030303031,1
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5896421,0.439353,0.7195098,0.5848874,0.797882,0.653405,0.52274215,0.753775,0.16255279,0.04986239,0.7926623,0.15205732,0.22317398,0.47334564,0.5830274,0.2156228,0.49255055,0.0,0.0,0.14634612,0.9882991,0.0,0.0,0.0,0.0,2
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.48694327,0.53364193,0.6687278,0.51961046,0.75561774,0.53656304,0.68958414,0.75975376,0.15577123,0.4312823,0.5646361,0.0,0.2229785,0.5239907,0.2428704,0.0,0.479137,0.3307696,0.0,0.0028603303,0.98904395,0.12954982,0.0,0.0,0.19031352,3
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5659136,0.5897682,0.6368646,0.5432342,0.5890767,0.52113396,0.8254338,0.79644465,0.037978817,0.62209445,0.3596054,0.0,0.2048267,0.49722067,0.31539208,0.0,0.46410653,0.38846093,0.00046776017,0.0,0.99032575,0.0,0.0,0.0,0.16873962,3
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.44617403,0.63957334,0.66543597,0.43438396,0.9329437,0.8075469,0.78705585,1.0,0.11518139,0.67770886,0.3551177,0.16272293,0.20478109,0.9937744,0.18447208,0.0,0.31335855,0.33454168,0.0,0.14786483,0.98936874,0.21423936,0.26707175,0.740029,0.09097014,3
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.3980255,0.60555065,0.6576416,0.40612248,0.9133087,0.5116106,0.9004267,1.0,0.115382366,0.9239793,0.22505784,0.15630914,0.2177141,1.0,0.54157364,0.17925282,0.49123174,0.0,0.0,0.04148749,0.9897247,0.0,0.0,0.76658255,0.047719125,8
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.40976635,0.6537896,0.63936317,0.44233385,0.90480775,0.4693937,0.9356701,1.0,0.16434322,1.0,0.06482353,0.16316429,0.29699743,0.88127804,0.24858627,0.18836284,0.50745624,0.0,0.0,0.068531424,0.9891275,0.0,0.0,0.7419626,0.0,10
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.44201106,0.66608983,0.64247465,0.47755373,0.8166656,0.49899593,0.8813881,1.0,0.07607662,0.8305071,0.0,0.2621587,0.43516925,1.0,0.28847426,0.0,0.4728979,0.30311254,0.0012552027,0.1890932,0.98745203,0.0,0.25845876,0.7408651,0.0,11
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.6470469,0.65216833,0.5754525,0.59325665,0.8179328,0.8246221,0.8386506,0.90510744,0.2540043,0.5096493,0.049946934,0.39801452,0.73375,0.51350504,0.22045188,0.0,0.53373605,0.47930652,0.0023440262,0.29515257,0.9883077,0.15539326,0.2905414,0.7427458,0.0,7
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.55870426,0.6699206,0.5391603,0.5969752,0.80329376,0.5358257,0.84342295,1.0,0.38445568,0.3786503,0.0,0.15246694,0.41601324,0.2719833,0.22328046,0.0,0.57019955,0.66291696,0.002910738,0.0,0.9872401,0.28794697,0.28035954,0.0,0.0,3
