,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,actions
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5413534,0.4774436,0.6466165,0.5413534,0.82222223,0.7888889,0.64444447,0.7888889,0.0,0.024582105,0.94788593,0.0,0.0,0.104931794,0.85519415,0.0,0.47462255,0.22008502,0.0,0.0,0.98977435,0.030303031,0.030303031,0.030303031,0.030303031,0.30486113
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.62468195,0.44489196,0.5746395,0.45373198,0.59522533,0.7108898,0.5326084,0.675176,0.0,0.12652263,0.787786,0.1550004,0.0,0.67532766,0.7497447,0.21900022,0.3517405,0.0005919955,0.0,0.0,0.98792416,0.28807548,0.28877127,0.0,0.29036325,0.40808684
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.6073045,0.5459011,0.6841626,0.5518375,0.60384715,0.55232096,0.56408,0.67498285,0.0,0.25579765,0.5263778,0.059905145,0.0,0.8438414,0.083200894,0.0,0.32751712,0.33180422,0.0,0.0,0.9879382,0.17979744,0.29051968,0.0,0.09209665,0.22662902
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5741964,0.56413096,0.7224358,0.55355835,0.5908886,0.5885827,0.502746,0.7094591,0.0,0.38828027,0.3504861,0.12234909,0.0,0.7368565,0.0,0.0,0.30791062,0.4004823,0.0,0.0,0.98831666,0.081143156,0.28861034,0.0,0.22000284,0.22556418
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.551263,0.5263628,0.61412346,0.5379847,0.57562244,0.704872,0.49759144,0.80266345,0.0,0.92205083,0.28849187,0.0,0.0,0.9891663,0.322235,0.0,0.4597743,0.29960304,0.0,0.033283863,0.9895924,0.20995282,0.28344333,1.0,0.2329791,0.9610702
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.4473579,0.5456048,0.50842386,0.43102238,0.6094048,0.6062043,0.5832646,1.0,0.0,1.0,0.2512047,0.0,0.0,1.0,0.54256964,0.0,0.49266315,0.31024617,0.0,0.6602422,0.993098,0.28973624,0.28855082,0.8305203,0.1816144,0.9381617
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.40278447,0.5720476,0.49226364,0.4788264,0.6140322,0.60133827,0.5946357,1.0,0.0,1.0,0.19610293,0.0,0.0,1.0,0.47921568,0.11121175,0.510386,0.2955373,0.0,1.0,0.9897747,0.2879868,0.2882853,0.9328724,0.0,0.8351829
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.43924537,0.5764832,0.4925379,0.5311038,0.59914464,0.5857127,0.8538861,0.94767123,0.13313332,1.0,0.018614974,0.0,0.2771027,1.0,0.3478995,0.009297131,0.5109816,0.31070814,0.00014442096,1.0,0.98693883,0.2092206,0.28809875,0.9008466,0.0,0.3422928
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5096922,0.5444773,0.47702107,0.5015258,0.83859503,0.68538666,0.9008485,0.7969435,0.5689494,0.51044,0.04455831,0.32185397,0.6911908,0.52848804,0.1868994,0.0,0.62733215,0.3813805,0.00091228134,0.68680745,0.9860718,0.0,0.20394278,1.0,0.0,0.54960805
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5474492,0.6640103,0.63935506,0.4806253,0.6717581,0.5269114,0.847579,0.64113337,0.51595294,0.36883608,0.14042011,0.35750636,0.6279009,0.38170028,0.0,0.107221894,0.6525944,0.30937484,0.0016062058,1.0,0.9884996,0.035626948,0.286072,0.28747204,0.07082645,0.502498
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.56778085,0.60644585,0.643525,0.59356564,0.54817957,0.573939,0.82998765,0.74161553,0.92129594,0.27479357,0.10016018,0.40336952,0.9010569,0.38315964,0.17670058,0.31150255,0.61364126,0.38362455,0.0030692967,0.75653315,0.9879884,0.0,1.0,0.2862725,0.0,0.71174026
