,MMD,p_value
toggle_binary_myPGD_03_mask_time,0.0001678466796875,0.9983999729156494
untargeted_binary_myPGD_03_mask_time,0.0001689195632934,0.998699963092804
untargeted_binary_myPGD_05_mask_time,0.0003796815872192,0.0047999997623264
untargeted_binary_myPGD_05,0.0005440711975097,9.999999747378752e-05
untargeted_binary_myPGD_03_mask_time_scale_solar_and_consumption_eps,0.0001572370529174,1.0
bifurcated_uACG_DLloss_03_mask_time_solar_and_consumption,0.0003101825714111,0.0364999994635582
untargeted_binary_myPGD_03_mask_solar_and_time_scale_consumption_eps_clipped_adv_obs,0.0002293586730957,0.3925999999046325
toggle_binary_myPGD_03_mask_time_and_solar_scale_consumption_eps_clipped,0.0002146959304809,0.5674999952316284
untargeted_binary_myPGD_03_mask_time_scale_solar_and_consumption_eps,0.0001572370529174,1.0
baseline_alternated_MMD,0.0036718845367431,0.0
MMD_baseline_random_daily_samples,0.000496506690979,0.2352999895811081
MMD_baseline_random_daily_samples_1,0.0004416704177856,0.4857999980449676
MMD_baseline_random_daily_samples_2,0.0003371238708496,0.9971999526023864
MMD_baseline_random_daily_samples_0,0.0003761053085327,0.9039999842643738
MMD_baseline_random_daily_samples_1,0.0004607439041137,0.3826999962329864
MMD_baseline_random_daily_samples_2,0.0003981590270996,0.7755999565124512
MMD_baseline_random_daily_samples_3,0.0004411935806274,0.4834999740123749
MMD_baseline_random_daily_samples_4,0.0003669261932373,0.9400999546051024
MMD_baseline_random_daily_samples_5,0.0003516674041748,0.9840999841690063
MMD_baseline_random_daily_samples_6,0.0003547668457031,0.97599995136261
MMD_baseline_random_daily_samples_7,0.000342845916748,0.993399977684021
MMD_baseline_random_daily_samples_8,0.0003448724746704,0.993299961090088
MMD_baseline_random_daily_samples_9,0.0003571510314941,0.9740999937057496
MMD_baseline_random_daily_samples_10,0.000468373298645,0.34579998254776
MMD_baseline_random_daily_samples_11,0.0003315210342407,0.9995999932289124
MMD_baseline_random_daily_samples_12,0.0003387928009033,0.996999979019165
MMD_baseline_random_daily_samples_13,0.0003583431243896,0.9708999991416932
MMD_baseline_random_daily_samples_14,0.0005321502685546,0.1430999934673309
MMD_baseline_random_daily_samples_15,0.0003544092178344,0.9788999557495116
MMD_baseline_random_daily_samples_16,0.0003834962844848,0.8661999702453613
MMD_baseline_random_daily_samples_17,0.0003765821456909,0.8938999772071838
MMD_baseline_random_daily_samples_18,0.0003951787948608,0.7922999858856201
