,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.09681006,0.2334782,0.8835534,0.15357095,0.97,0.47,0.52010936,0.48460543,0.6234951,0.5713534,0.79998684,0.8075673,0.63960403,0.79104614,0.0,0.014714658,0.91788596,0.0,0.03,0.076305,0.8851941,0.03,0.48103514,0.25008503,0.015393767,0.027775612,0.9597744,0.018662585,0.012165107,0.032907784,0.052901052,0.14886782
1,0.23000047,0.07182339,0.88086843,0.8641085,0.99148595,0.6594095,0.57511276,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.70777774,0.8491089,0.03,0.17289093,0.9798525,0.0,0.03,0.49589717,0.81384045,0.0,0.44121426,0.1606064,0.0,0.03,0.95942926,0.025495425,0.00030303188,0.0023007747,0.058527227,0.50034565
2,0.24466574,0.057827897,0.8775434,0.82486284,0.9428401,0.77780366,0.56007516,0.5527068,0.5940602,0.5294165,0.7255556,0.72999996,0.72999996,0.8373965,0.03,0.44297937,0.64158314,0.0,0.03,0.59119624,0.29584032,0.010942161,0.42789203,0.14827497,0.0,0.030492034,0.9931347,0.00030303188,0.00030303188,0.00030303188,0.008190263,0.5090709
3,0.2240601,0.0794574,0.8561657,0.82845694,0.85105145,0.8526352,0.54503757,0.5940602,0.6766165,0.48879698,0.7255556,0.70777774,0.6477778,0.91888887,0.03,0.5747394,0.5432743,0.03,0.0,0.4852151,0.13054565,0.0,0.35106397,0.2526621,0.0154050905,0.043404497,0.972188,0.060303032,0.060303032,0.00030303188,0.060303032,0.51783174
4,0.22,0.05820535,0.86868936,0.8835534,0.7584734,0.9261629,0.47,0.6098891,0.60654986,0.49777716,0.78555554,0.6781479,0.7077329,0.91888887,0.0042756284,0.7349951,0.45212543,0.017863937,0.021693423,0.7401994,0.15598841,0.03,0.38870507,0.35137266,0.010365877,0.052018307,0.9611603,0.060303032,0.008733232,0.97,0.0110762715,0.03726116
5,0.27224013,0.08454299,0.8611932,0.8685694,0.6085325,0.9804623,0.5074436,0.5940602,0.5968214,0.4474436,0.7588889,0.6477778,0.7033334,0.95222217,0.03,0.91790557,0.35544738,0.0,0.0,0.8809968,0.4455299,0.0,0.38485247,0.11928544,0.0,0.0017475642,0.9691711,0.060303032,0.060303032,1.0,0.060303032,0.5254147
6,0.25690776,0.09162364,0.85414463,0.85362995,0.4730146,0.9720947,0.49668702,0.61690044,0.5339098,0.47,0.81888884,0.6144445,0.78215426,0.91888887,0.0,0.9778859,0.19713864,0.0,0.13493179,0.8851941,0.36578175,0.0,0.46306863,0.09610753,0.016513683,0.0096284095,0.99984443,0.060303032,0.014770657,0.9807312,0.03800611,0.55607074
7,0.22683822,0.08215879,0.8835534,0.82355344,0.36461505,0.9975444,0.48884177,0.6766165,0.5921304,0.5387894,0.7366667,0.6666909,0.6738327,0.8855555,0.16764012,0.91985255,0.05654867,0.10503247,0.49589717,0.81384045,0.18005247,0.056384668,0.4568278,0.16634713,0.0,0.13062075,0.97552353,0.060303032,0.060303032,1.0,0.00030303188,0.4963179
8,0.2316982,0.07954817,0.8835534,0.86980635,0.2367242,0.9342683,0.58938336,0.6175021,0.5621709,0.55027324,0.698578,0.70013595,0.7633333,0.86823314,0.38297936,0.6822945,0.011294,0.21778761,0.621748,0.32100248,0.0,0.058840584,0.5749454,0.27499363,0.0316188,0.12907004,1.0,0.00030303188,0.030620847,0.9920788,0.023381852,0.6463227
9,0.26308084,0.05930991,0.8291004,0.8510274,0.14011538,0.87557703,0.5940602,0.61661655,0.54987895,0.51135343,0.6477778,0.70777774,0.6366667,0.8522222,0.51473945,0.4832743,0.03,0.25711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0017538135,0.3514215,0.9727451,0.00030303188,0.025853442,0.060303032,0.00030303188,0.46508127
