,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.1969873,0.120000005,0.9835534,0.01644662,1.0,0.37,0.6713534,0.6074436,0.5166165,0.6713534,0.69222224,0.91888887,0.77444446,0.91888887,0.0,0.0,0.81788594,0.13,0.0,0.0,0.98519415,0.0,0.34462255,0.09008503,0.13,0.13,1.0,0.16030303,0.16030303,0.16030303,0.0
1,0.120000005,0.1969873,0.7235534,0.7235534,1.0,0.49940956,0.4151128,0.388797,0.5166165,0.388797,0.89666665,0.89666665,0.80777776,0.9855555,0.0,0.067640126,1.0,0.0,0.13,0.5958972,0.6538405,0.13,0.28121427,0.3045566,0.0,0.00568752,0.8604932,0.0,0.16030303,0.16030303,0.0
2,0.120000005,0.0,0.9835534,0.9835534,0.8030127,0.88,0.6600752,0.71270674,0.75406015,0.648797,0.6255556,0.57,0.57,0.9855555,0.0,0.54297936,0.5415831,0.13,0.0,0.49119622,0.43535152,0.0,0.527892,0.04827498,0.13,0.1420703,1.0,0.16030303,0.0,0.0,0.16030303
3,0.120000005,0.0,0.9835534,0.7235534,0.9835534,0.7235534,0.3850376,0.75406015,0.7766165,0.388797,0.6255556,0.80777776,0.5477778,1.0,0.0,0.41473943,0.38327432,0.0,0.0,0.6452151,0.29054564,0.13,0.25106397,0.3526621,0.0,0.6930987,0.8639431,0.16030303,0.0,0.16030303,0.0
4,0.120000005,0.1969873,0.9835534,0.9835534,0.62,1.0,0.37,0.47526318,0.75406015,0.63,0.88555557,0.57,0.80777776,0.7588889,0.13,0.8949951,0.56657815,0.13,0.0,0.90019935,0.052581325,0.13,0.2552027,0.24667817,0.0,0.0,1.0,0.0,0.0,0.87,0.16030303
5,0.38,0.0,0.7235534,0.7235534,0.75940955,0.8529629,0.6074436,0.75406015,0.45270675,0.6074436,0.6588889,0.80777776,0.60333335,0.7922222,0.0,0.7579056,0.2554474,0.0,0.13,0.72099686,0.5455299,0.0,0.5448525,0.26885056,0.13,0.0,1.0,0.16030303,0.16030303,1.0,0.16030303
6,0.120000005,0.1969873,0.9835534,0.9835534,0.37,0.87,0.3474436,0.5166165,0.43390977,0.63,0.91888887,0.5144445,0.88555557,1.0,0.1545821,0.81788594,0.35713863,0.14474925,0.2349318,0.98519415,0.20578176,0.14469045,0.30306864,0.0,0.1301474,0.20711818,1.0,0.0,0.0,0.87,0.0
7,0.120000005,0.0,0.7235534,0.7235534,0.50059044,0.8529629,0.388797,0.7766165,0.69390976,0.4113534,0.63666666,0.80777776,0.57,0.72555554,0.067640126,1.0,0.0,0.0,0.33589718,0.6538405,0.28005248,0.0,0.31445205,0.2663471,0.13082987,1.0,1.0,0.16030303,0.0,1.0,0.16030303
8,0.120000005,0.1969873,0.9835534,0.9835534,0.120000005,1.0,0.71270674,0.49406016,0.4113534,0.6713534,0.83,0.57,0.86333334,0.72555554,0.54297936,0.5415831,0.0,0.3777876,0.49119622,0.43535152,0.0,0.20764953,0.7005188,0.17499363,0.1316188,0.86658436,1.0,0.0,0.16030303,0.87,0.0
9,0.38,0.0,0.9835534,0.7235534,0.2764466,0.7235534,0.75406015,0.7766165,0.69390976,0.4113534,0.5477778,0.80777776,0.5366667,0.9522222,0.41473943,0.6432743,0.13,0.15711898,0.6452151,0.030545652,0.13,0.16672613,0.75680995,0.6211692,0.13229263,0.86968505,0.8596007,0.16030303,0.0,0.16030303,0.16030303
