,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.0,0.42000002,0.6835534,0.3164466,0.83,0.67,0.3713534,0.30744362,0.81661654,0.3713534,0.99222225,0.61888885,0.47444445,0.61888885,0.17,0.1945821,1.0,0.0,0.17,0.2749318,0.68519413,0.17,0.64462256,0.39008504,0.0,0.0,0.8197743,0.0,0.0,0.0,0.20030303
1,0.08,0.2369873,0.6835534,0.6835534,1.0,0.79940957,0.37511277,0.34879696,0.4766165,0.34879696,0.93666667,0.93666667,0.8477778,1.0,0.0,0.02764012,1.0,0.17,0.17,0.63589716,0.61384046,0.17,0.24121426,0.34455663,0.0,0.0,0.8194292,0.0,0.20030303,0.20030303,0.0
2,0.42000002,0.2369873,0.6835534,0.6835534,1.0,0.58,0.36007518,0.41270673,0.45406014,0.34879696,0.9255556,0.87,0.87,0.6855555,0.17,0.24297936,0.84158313,0.0,0.17,0.7911962,0.13535152,0.17,0.22789203,0.34827498,0.0,0.0,0.8194574,0.0,0.20030303,0.20030303,0.20030303
3,0.08,0.2369873,1.0,1.0,1.0,0.6835534,0.34503758,0.7940602,0.81661654,0.34879696,0.58555555,0.8477778,0.50777775,1.0,0.0,0.3747394,0.6832743,0.17,0.0,0.6852151,0.0,0.17,0.21106397,0.3926621,0.17,0.0,0.8197938,0.0,0.0,0.20030303,0.20030303
4,0.42000002,0.0,0.6835534,0.6835534,0.92,0.7630127,0.67,0.7752632,0.45406014,0.32999998,0.58555555,0.87,0.50777775,1.0,0.0,0.5949951,0.2665782,0.0,0.17,0.60019934,0.35258132,0.0,0.5552027,0.5466782,0.17,0.25504813,0.8216281,0.0,0.20030303,1.0,0.0
5,0.42000002,0.0,0.6835534,0.6835534,0.79940957,0.8129629,0.6474436,0.7940602,0.75270677,0.30744362,0.61888885,0.8477778,0.56333333,0.7522222,0.0,0.7179056,0.21544738,0.0,0.0,0.68099684,0.2455299,0.0,0.24485247,0.3088506,0.0,0.665441,1.0,0.20030303,0.0,1.0,0.20030303
6,0.42000002,0.0,0.6835534,0.6835534,0.67,0.83,0.6474436,0.81661654,0.7339098,0.32999998,0.61888885,0.47444445,0.58555555,0.7188889,0.0,1.0,0.057138637,0.0,0.0,0.68519413,0.50578177,0.0,0.26306862,0.29610753,0.1701474,0.0,0.8166256,0.20030303,0.0,1.0,0.20030303
7,0.08,0.0,0.6835534,0.6835534,0.54059047,0.8129629,0.34879696,0.81661654,0.7339098,0.3713534,0.93666667,0.8477778,0.53,1.0,0.02764012,1.0,0.0,0.0,0.2958972,0.61384046,0.32005247,0.0,0.27445203,0.30634713,0.0,0.87578315,0.8225291,0.20030303,0.20030303,1.0,0.20030303
8,0.08,0.0,1.0,0.6835534,0.42000002,0.7630127,0.75270677,0.45406014,0.7113534,0.3713534,0.53,0.53,0.56333333,1.0,0.24297936,0.84158313,0.17,0.07778761,0.7911962,0.13535152,0.17,0.24764952,0.7405188,0.47499365,0.0,0.7940287,0.81829524,0.20030303,0.0,1.0,0.20030303
9,0.42000002,0.0,1.0,1.0,0.3164466,0.6835534,0.45406014,0.4766165,0.7339098,0.7113534,0.50777775,0.50777775,0.49666667,0.99222225,0.3747394,0.6832743,0.0,0.11711897,0.6852151,0.0,0.17,0.20672613,0.79681,0.66116923,0.0,0.13862057,1.0,0.20030303,0.0,0.0,0.20030303
