,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5701034,0.5068186,0.61661655,0.5713534,0.8522222,0.81888884,0.67444444,0.7588889,-0.00125,0.054582104,0.9778859,-0.03,-0.026249997,0.07493179,0.8851941,-0.03,0.50399756,0.25008503,0.011250001,0.03,0.9597744,0.00030303188,0.00030303188,0.00030303188,0.026553035,0.013937801122665405
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5313628,0.49004698,0.6178665,0.49504697,0.73791665,0.7366667,0.6815278,0.82555556,0.028749999,0.22764012,0.96360254,-0.028749999,0.03,0.49464718,0.81384045,-0.028749999,0.43496427,0.16080661,-0.01875,0.028749999,0.95942926,0.060303032,0.00030303188,0.0065530315,0.060303032,0.5844418406486511
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.5000752,0.5527068,0.5940602,0.48879698,0.7280556,0.67,0.67,0.8855555,0.03,0.38297936,0.7015831,0.03,0.0025,0.6499462,0.27535152,0.005,0.42789203,0.20827498,-0.024999999,0.09020339,1.0203999,0.00030303188,0.060303032,0.060303032,0.00030303188,0.014353126287460327
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.65281016,0.6766165,0.54879695,0.7255556,0.68777776,0.6815278,0.8926389,0.029999997,0.5547394,0.4832743,0.02,-0.010000001,0.4852151,0.13054565,0.0,0.35231397,0.2026621,-0.03,0.04069289,0.9590812,0.00030303188,0.00030303188,0.00030303188,0.05905303,0.5755336880683899
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.47375,0.6065132,0.61156017,0.47,0.7255556,0.72999996,0.64840275,0.91888887,0.0025,0.7349951,0.4665782,0.0,-0.02875,0.74144936,0.16008133,-0.0075,0.4152027,0.34667817,-0.03,0.14821547,1.0005543,0.015303034,0.060303032,1.03,0.05655303,0.0005378127098083496
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.5940602,0.57020676,0.4474436,0.7588889,0.70777774,0.7033334,0.95222217,0.0049999976,0.91790557,0.35544738,-0.03,-0.03,0.8809968,0.3855299,-0.03,0.38485247,0.12510057,0.0112499995,-0.011358956,0.9584577,0.060303032,0.060303032,1.03,0.060303032,0.5665015578269958
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.4474436,0.6766165,0.53453475,0.47,0.81888884,0.6631945,0.72680557,0.9026389,-0.004167894,0.91788596,0.25713864,-0.014000736,0.103681795,0.8851941,0.31828177,0.044690453,0.46306863,0.15610753,0.0063973973,0.07518134,1.0184095,0.00030303374,0.060303032,0.97625,0.00030303188,0.3414943218231201
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.540047,0.6466165,0.5339098,0.51135343,0.76666665,0.67777777,0.7025,0.85555553,0.22764012,0.9798525,-0.0034513269,0.11406096,0.4833972,0.7538405,0.12005247,0.014071355,0.47445205,0.10634713,0.030829877,-0.02064342,0.9577006,0.00030303188,0.00030303188,0.98,0.00030303188,0.6968435049057007
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5864568,0.6540601,0.5713534,0.5701034,0.67,0.72625,0.7633333,0.8855555,0.38297936,0.68533313,0.03,0.22153762,0.6511962,0.27535152,0.03,0.09889953,0.5405188,0.33499363,-0.028381199,0.3223183,0.9610245,0.006553035,0.05655303,0.97,0.060303032,0.4217422604560852
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.6534352,0.61661655,0.55515975,0.51135343,0.70777774,0.6502778,0.69666666,0.79222226,0.5747394,0.4832743,-0.03,0.28836897,0.4852151,0.14929564,-0.028749999,0.024226129,0.59743494,0.4611692,0.032292627,0.18810105,1.0187029,0.060303032,0.00030303188,0.00030303188,0.060303032,0.7235031127929688
