,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5663534,0.5074436,0.61661655,0.5713534,0.8522222,0.81888884,0.67444444,0.7588889,0.0,0.0,0.9778859,0.0,0.005,0.07493179,0.8851941,0.0,0.44962254,0.25008503,0.0,0.03,0.98929435,0.00030303188,0.00030303188,0.00030303188,0.060303032,0.031066298484802246
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5151128,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.70277774,0.82555556,0.017499998,0.20014012,0.9798525,0.0,0.03,0.49589717,0.81134045,0.0,0.43371427,0.1495566,0.0,0.03,0.98957425,0.05655303,0.00030303374,0.060303032,0.060303032,0.472417950630188
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.5000752,0.5527068,0.5940602,0.48879698,0.73930556,0.67625,0.67,0.8855555,0.03,0.38297936,0.7015831,0.0037499997,0.0,0.6374462,0.27535152,0.0037499997,0.414142,0.20827498,0.0,0.0,0.9899374,0.00030303188,0.060303032,0.060303032,0.00030303188,0.027536749839782715
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.6540601,0.6766165,0.54879695,0.7255556,0.6477778,0.6477778,0.8588889,0.0,0.5747394,0.4832743,0.0,0.0225,0.4877151,0.15304565,0.0,0.35106397,0.2176621,0.0,0.03,0.99027383,0.030303031,0.00030303374,0.00030303188,0.060303032,0.526810348033905
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.470625,0.5752632,0.6540601,0.4975,0.7255556,0.72249997,0.6477778,0.91888887,0.03,0.7349951,0.4665782,0.0,0.03,0.79894936,0.15320632,0.0,0.3552027,0.35417816,0.0,0.008164661,0.9907805,0.00030303188,0.060303032,1.0,0.00030303188,0.0009501278400421143
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.5940602,0.6127067,0.5074436,0.7588889,0.70777774,0.7033334,0.95222217,0.03,0.91790557,0.35544738,0.0050000027,0.0,0.86849684,0.3855299,0.0,0.38735247,0.10885057,0.0,0.0,0.9894123,0.060303032,0.06030303,1.0,0.060303032,0.5131803750991821
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.4474436,0.6766165,0.5339098,0.47,0.81888884,0.6606945,0.77055556,0.9101389,0.0020821076,0.91788596,0.25713864,0.0022492632,0.103681795,0.83894414,0.30703175,0.044690453,0.46306863,0.15610753,0.00014739782,0.0,0.9895443,0.0065530315,0.060303032,0.97,0.00030303188,0.3529326915740967
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.54879695,0.61661655,0.5339098,0.5713534,0.7366667,0.70777774,0.72999996,0.82555556,0.22764012,0.9798525,0.0,0.08406096,0.43589717,0.81384045,0.12005247,0.014071355,0.47445205,0.10634713,0.00082987716,0.0,0.98771286,0.060303032,0.00030303188,0.97,0.060303032,0.6097040176391602
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.6540601,0.5713534,0.5713534,0.67,0.72999996,0.7633333,0.8680555,0.38297936,0.64158314,0.012499998,0.21778761,0.6511962,0.30785152,0.03,0.10764953,0.60051876,0.33499363,0.001618801,0.1881353,0.98957187,0.00030303188,0.060303032,1.0,0.032803033,0.5266212821006775
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.6540601,0.61661655,0.5339098,0.5238534,0.70777774,0.6477778,0.65791667,0.79222226,0.5747394,0.5407743,0.0,0.31711897,0.4852151,0.13804565,0.0,0.006726129,0.59681,0.4611692,0.0022926277,0.17228083,0.9903536,0.060303032,0.00030303188,0.00030303188,0.060303032,0.6029106974601746
