,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.016987298,0.295,0.8035534,0.09644662,0.95,0.52,0.5913534,0.43369362,0.5991165,0.5913534,0.87222224,0.8388889,0.6944445,0.73888886,0.0012500014,0.07458211,0.99788594,-0.05,-0.05,0.054931793,0.90519416,-0.05,0.47337255,0.27008504,0.022499997,0.05,0.93977433,-0.01969697,-0.01969697,-0.01969697,0.07655303,0.0005311071872711182
1,0.2,0.016987298,0.9035534,0.8398034,1.0329629,0.6069096,0.5951128,0.46879697,0.5966165,0.50004697,0.71666664,0.8016666,0.62777776,0.8055555,0.018749997,0.24764012,0.99985254,-0.03749999,0.032500003,0.51589715,0.76759046,-0.042499993,0.46121427,0.16705662,-0.021250002,0.05,0.9394292,0.027803035,-0.01969697,-0.01969697,0.08030303,0.8544061183929443
2,0.2,0.016987298,0.9010534,0.9035534,0.98301274,0.7875,0.48007518,0.53270674,0.61656016,0.46879697,0.70555556,0.6825,0.65,0.90555555,0.05,0.36297935,0.7215831,0.05,0.05,0.6686962,0.2553515,-0.012499998,0.34789202,0.22577497,-0.012499998,0.47534245,0.94591326,-0.01969697,0.08030303,0.08030303,-0.01969697,0.0023975372314453125
3,0.2,0.016987298,0.9035534,0.9035534,0.9035534,0.9035534,0.5362876,0.57406014,0.60286653,0.46879697,0.70555556,0.62777776,0.7277778,0.8951389,0.05,0.5934894,0.5120243,-0.05,0.05,0.4652151,0.17054565,0.01125,0.43106398,0.1726621,-0.05,0.07230064,0.93641627,0.006553013,-0.013446953,-0.01969697,0.012803029,0.821333646774292
4,0.3,0.115737304,0.8460534,0.8035534,0.799375,0.8830127,0.46625,0.6552632,0.67406017,0.4725,0.70555556,0.75,0.62777776,0.9388889,0.0049999994,0.7149951,0.4865782,0.029999997,-0.05,0.72019935,0.13258132,-0.0125,0.43520272,0.32667816,-0.05,0.5459567,1.0445479,0.05405303,0.06280303,1.05,0.06655303,1.055002212524414e-05
5,0.23375,0.0507373,0.8035534,0.9035534,0.57940954,1.0092129,0.5274436,0.57406014,0.53270674,0.4274436,0.73888886,0.62777776,0.68333334,0.8722222,-0.05,0.9379056,0.40169737,-0.05,-0.05,0.90099686,0.3942799,-0.05,0.36485246,0.17510056,0.03625,0.073215336,0.93600553,0.08030303,0.08030303,1.05,0.07905303,0.9959511756896973
6,0.3,0.016987298,0.9035534,0.8035534,0.51875,1.04125,0.4274436,0.5966165,0.58140975,0.55,0.73888886,0.66694444,0.72305554,0.9388889,-0.025417896,0.9441359,0.17713864,-0.03525074,0.1286818,0.90519416,0.38578176,-0.03530955,0.45681864,0.17610753,-0.049852602,0.78975993,0.96445286,0.06280303,0.08030303,1.05,0.08030303,0.00047916173934936523
7,0.2,0.0269873,0.9035534,0.9035534,0.32059047,1.0323379,0.568172,0.6203665,0.51390976,0.4913534,0.81291664,0.62777776,0.65,0.90555555,0.24764012,0.99985254,-0.023451328,0.16031095,0.51589715,0.80384046,0.100052476,-0.005928647,0.43320206,0.08634713,0.050829876,0.024746094,0.9338217,-0.01969697,-0.01969697,1.04,-0.01969697,0.8265538811683655
8,0.3,0.05698729,0.9035534,0.8685534,0.299375,0.8830127,0.53270674,0.57406014,0.4913534,0.4913534,0.675,0.75,0.71333337,0.8105556,0.36297935,0.71158314,0.05,0.2077876,0.6711962,0.2553515,0.05,0.027649537,0.6205188,0.35436863,-0.0483812,0.58159083,0.9424723,0.07780303,-0.01969697,1.05,0.025303032,0.07994875311851501
9,0.3,0.1169873,0.9035534,0.8923034,0.09644662,0.9035534,0.67406017,0.5966165,0.6139098,0.4919784,0.7277778,0.62777776,0.6166667,0.77347225,0.59473944,0.5632743,-0.046249997,0.23711897,0.4652151,0.17429565,-0.0275,-0.013273872,0.62806,0.4411692,0.05229263,-0.01994321,0.9485306,0.08030303,-0.01969697,-0.01969697,0.08030303,0.8453924059867859
