,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.084368326,0.25929266,0.8658132,0.13601336,1.0,0.4879257,0.52683944,0.4931429,0.62275714,0.51135343,0.8456525,0.7799577,0.6510625,0.81888884,0.0,0.013301065,0.9437859,0.0,0.022685315,0.09059679,0.8251942,0.006825839,0.4780518,0.25008503,0.0011549201,0.02524808,0.9597744,0.011933032,0.00030303188,0.017263608,0.00030303188,0.22356015
1,0.22,0.075947285,0.8690198,0.82355344,1.0,0.5994096,0.57136834,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.70777774,0.8430285,0.03,0.17344885,0.9798525,0.0,0.03,0.49589717,0.81384045,0.0,0.43413693,0.17200863,0.0,0.03,0.95942926,0.046029363,0.00030303188,0.00030303188,0.060303032,0.50856197
2,0.2449396,0.06933247,0.86243796,0.8359972,0.94541836,0.7642379,0.56007516,0.5527068,0.5940602,0.54879695,0.7255556,0.67,0.72999996,0.82555556,0.03,0.44297937,0.65692526,0.0,0.03,0.6511962,0.33535153,0.0,0.42789203,0.14827497,0.0,0.042188015,0.959553,0.060303032,0.00030303188,0.00030303188,0.060303032,0.51337075
3,0.2558298,0.0831818,0.8319845,0.8252645,0.8587136,0.84728897,0.5401267,0.5941353,0.6762192,0.5087759,0.7255556,0.70777774,0.6516838,0.88299763,0.02756132,0.57459104,0.5432743,0.02970462,0.0017080733,0.4852151,0.14856422,0.029996596,0.35106397,0.25247705,0.0,0.06122134,0.9599431,0.032272838,0.004585743,0.0007187389,0.060303032,0.52296007
4,0.28,0.07499526,0.8774405,0.8835534,0.72,0.955458,0.50406927,0.63526314,0.64677095,0.47,0.78555554,0.689956,0.70777774,0.8695528,0.013508314,0.75949913,0.40755054,0.0,0.03,0.742008,0.21258132,0.0,0.36034817,0.34667817,0.03,0.07153946,0.9612175,0.00030303188,0.060303032,0.97,0.060303032,0.12124354
5,0.27589765,0.064839125,0.8723287,0.86508733,0.61906767,0.99454045,0.5074436,0.5940602,0.5725338,0.4474436,0.7588889,0.6477778,0.7033334,0.95222217,0.03,0.91790557,0.3556813,0.029286189,0.0,0.8809968,0.4455299,0.0,0.38485247,0.11953816,0.0,0.0,0.9587797,0.060303032,0.060303032,1.0,0.060303032,0.52179027
6,0.27914727,0.095886126,0.82399374,0.8750694,0.50307596,0.9903654,0.5074436,0.61661655,0.5339098,0.47,0.81888884,0.6144445,0.78555554,0.91888887,0.054582104,0.9778859,0.19713864,0.0,0.13493179,0.8851941,0.36578175,0.0,0.40306863,0.09610753,0.030147398,0.016386777,0.95916045,0.060303032,0.00030303188,1.0,0.060303032,0.5725805
7,0.272075,0.09171035,0.82788557,0.85972697,0.36836264,1.0,0.48879698,0.6766165,0.59390974,0.51135343,0.7366667,0.6477778,0.67,0.8855555,0.16764012,0.91985255,0.05654867,0.08406096,0.4932591,0.81384045,0.18005247,0.053112462,0.45602295,0.16634713,0.0,0.13879648,1.0,0.060303032,0.060303032,1.0,0.001386024,0.4959918
8,0.23597525,0.074872896,0.82751226,0.8835534,0.25953335,0.90301275,0.5704902,0.5940602,0.54025394,0.5713534,0.72999996,0.71383226,0.7633333,0.85891944,0.44297937,0.7015831,0.0,0.2777876,0.6511962,0.33535153,0.0,0.081598446,0.5470312,0.27912906,0.011780579,0.12930009,0.9897553,0.047527187,0.033014216,0.9808118,0.00030303188,0.60726553
9,0.2485521,0.07129995,0.8267408,0.8445337,0.16507557,0.86574143,0.5940602,0.61661655,0.5339098,0.51135343,0.6477778,0.70777774,0.64162344,0.8522222,0.51473945,0.4853244,0.03,0.25711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0,0.31584084,0.9607737,0.00030303188,0.028527468,0.060303032,0.00030303188,0.4596756
10,0.22,0.036987297,0.84894824,0.83520204,0.0969873,0.7585225,0.5789004,0.6096828,0.56168187,0.6312981,0.6738589,0.6860058,0.67,0.7048147,0.7349951,0.40657818,0.03,0.40581968,0.7858432,0.16679741,0.015409144,0.12047944,0.69652563,0.58317125,0.0,0.19031407,0.99095243,0.00030303188,0.97,0.027117128,0.00064365566,0.4974139
11,0.28,0.036987297,0.8300008,0.85862744,0.023877319,0.65200144,0.5940602,0.5591309,0.508323,0.63526314,0.6477778,0.7090728,0.76743895,0.67,0.8642223,0.41544738,0.0034412388,0.58185744,0.85966206,0.39993143,0.0,0.18930745,0.70470786,0.60569495,0.006662179,0.20813188,0.98089623,0.03541912,0.9835442,0.060303032,0.042039372,0.82450485
12,0.24678725,0.08468038,0.8835534,0.83634126,0.0,0.5002729,0.6316742,0.59390974,0.56152606,0.63293463,0.6397234,0.7682599,0.77561367,0.6618289,0.942584,0.25537315,0.0,0.5973103,0.8851941,0.31643265,0.013580896,0.18110178,0.7841718,0.40161854,0.0036146734,0.6888133,0.96309936,0.008134156,1.0,0.050995,0.060093775,0.900999
13,0.22967453,0.04657831,0.8677667,0.8681828,0.047037087,0.34839496,0.6666106,0.55556303,0.54879695,0.60324055,0.70750725,0.6948042,0.87928766,0.745397,0.95794636,0.05654867,0.0,0.5747394,0.7538405,0.12698063,0.0,0.14250672,0.8108016,0.5456056,0.032960016,0.94532293,1.0,0.031538427,1.0,0.00030303188,0.02014069,0.9282811
14,0.25713772,0.07269923,0.85126853,0.83807766,0.049355593,0.27190313,0.5940602,0.51135343,0.48879698,0.60894734,0.67,0.7633333,0.8855555,0.7255556,0.64158314,0.0,0.0,0.86183876,0.27535152,0.002366205,0.0,0.74878275,0.84289277,0.44441888,0.0,0.96779877,0.95890373,0.00030303188,0.97,0.00030303188,0.060303032,0.4779895
15,0.24697188,0.036987297,0.8690452,0.86071426,0.17644662,0.120045684,0.61661655,0.5339098,0.54879695,0.6766165,0.70777774,0.69666666,0.91888887,0.6144445,0.49507788,0.0,0.0,0.76161456,0.18767571,0.0,0.011801008,0.78532004,0.8103339,0.0007826127,0.0,0.9300493,0.9971445,0.00030303188,0.060303032,0.00030303188,0.00030303188,0.15586215
16,0.22,0.06384639,0.8835534,0.87720376,0.25403237,0.09465845,0.60521233,0.59390974,0.48906642,0.65254617,0.6522777,0.72999996,0.8793791,0.6499543,0.4306395,0.0048795165,0.0,0.63099027,0.17384242,0.03,0.0,0.76052654,0.8441517,0.18175806,0.010609956,0.6636101,0.97588664,0.98139715,0.00030303188,0.01489195,1.0,0.9348805
17,0.25135508,0.08392324,0.8462247,0.86771685,0.38654757,0.037675295,0.6127067,0.54879695,0.4474436,0.6540601,0.7633333,0.81888884,0.95222217,0.6144445,0.41544738,0.03,0.00010616127,0.4655949,0.4455299,0.013376171,0.03,0.58385104,0.80137646,0.0,0.03059313,0.9978591,0.9601178,0.97065455,0.03275911,0.032946263,1.0,0.6203011
18,0.22016129,0.07410556,0.8825946,0.86225045,0.50296175,0.0,0.5339098,0.5256175,0.51359755,0.667331,0.7761238,0.7828681,0.86257094,0.7672816,0.21488069,0.018310623,0.04474926,0.2709046,0.36578175,0.0,0.0,0.36121756,0.82572645,0.30764422,0.0002912935,0.97479826,1.0,1.0,0.016868714,0.00030303188,0.980714,0.36088312
19,0.22991648,0.05075591,0.82355344,0.82355344,0.60244894,0.0038228482,0.59390974,0.5199172,0.51135343,0.6766165,0.70156527,0.8829521,0.8622673,0.67444444,0.03733948,0.03,0.08406096,0.0,0.161164,0.018624853,0.053703688,0.15774694,0.7794409,0.2861168,0.030012324,0.8351213,0.97019964,0.9808364,0.00030303188,0.060303032,0.97,0.34890622
20,0.27696374,0.0954252,0.82355344,0.8835534,0.7581727,0.0969873,0.5713534,0.48879698,0.5713534,0.6766165,0.72843426,0.8855555,0.8322724,0.5366667,0.03,0.018279694,0.21778761,0.03,0.0,0.03,0.047649525,0.012559518,0.7892776,0.22224697,0.03,0.5290935,1.0,0.97,0.060303032,0.060303032,0.97,0.5020907
21,0.24049808,0.06085841,0.87965995,0.85781443,0.83916366,0.16403727,0.5339098,0.53646487,0.54154444,0.5517782,0.6495787,0.90804255,0.79222226,0.82933223,0.00493153,0.03,0.25711897,0.03,0.024925958,0.0,0.05532118,0.0,0.8019459,0.23381197,0.0,0.59206957,0.9919392,0.010651128,0.016567484,0.00030303188,0.05724036,0.18030658
22,0.26891205,0.07609913,0.8835534,0.8811974,0.9226245,0.2372365,0.55163234,0.51134646,0.6014151,0.5339098,0.6910355,0.8588889,0.7484064,0.78555554,0.026651112,0.03,0.45031738,0.019304171,0.03,0.0,0.085980974,0.0,0.7294956,0.18970847,0.019968582,0.07249517,0.95642555,0.052349165,0.0036404002,0.03547605,0.04808998,0.14741713
23,0.28,0.056895226,0.87557393,0.8835534,0.9643244,0.34178406,0.53533494,0.4552611,0.63526314,0.57361346,0.7588889,0.95222217,0.67,0.78555554,0.03,0.0022156225,0.5639037,0.03,0.028744994,0.03,0.225269,0.0080745015,0.6962836,0.2220216,0.03,0.032082483,0.9592373,0.052986383,0.011244787,0.0026494153,0.02409337,0.26674134
24,0.2791776,0.093608975,0.83239895,0.839197,0.9775958,0.5185218,0.518517,0.5053672,0.6011492,0.5471382,0.78001446,0.87385863,0.70777774,0.7366667,0.03,0.04474926,0.5494271,0.0,0.029780757,0.0,0.16149214,0.026240015,0.5432656,0.16815269,0.024427593,0.0,0.98814094,0.010469349,0.060303032,0.044254776,0.00030303188,0.22184777
25,0.22114313,0.0466806,0.48663047,0.9877046,0.9654226,0.6566461,0.48879698,0.51135343,0.5489474,0.5713534,0.8855555,0.8855555,0.78555554,0.77676094,0.03,0.14406095,0.51473945,0.03,0.0,0.036516894,0.1402663,0.0,0.4540316,0.18010393,0.03,0.030016478,1.0,0.060303032,0.060303032,0.00030303188,0.060303032,0.50247854
26,0.22097376,0.09606996,0.4924615,0.9820518,0.9236961,0.7626399,0.54879695,0.51135343,0.5489474,0.48879698,0.8855555,0.8855555,0.78555554,0.79222226,0.0,0.2777876,0.8651053,0.0,0.0,0.07979525,0.69150823,0.03,0.4861416,0.11846185,0.03,0.03354467,0.95925915,0.04300873,0.00030303188,0.00030303188,0.03903822,0.6284367
27,0.2424642,0.08068446,0.52963203,0.9903251,0.83087105,0.82729876,0.54879695,0.53456163,0.6766165,0.48879698,0.8588889,0.8522222,0.6144445,0.7963761,0.03,0.31711897,0.8011411,0.03,0.0,0.066726126,0.8387527,0.0,0.47058555,0.21240498,0.03,0.216375,0.96137714,0.00086398236,0.00030303188,0.00030303188,0.00030303188,0.635383
28,0.25623587,0.037622605,0.48671022,1.0,0.7738548,0.936192,0.53,0.63526314,0.6766165,0.54879695,0.88452077,0.7633333,0.60333335,0.8522222,0.0,0.4587119,0.65045226,0.0,0.03,0.069685206,0.70767057,0.0,0.4058682,0.23650505,0.0,0.40909338,0.96118253,0.00030303188,0.060303032,1.0,0.00030303188,0.64488673
29,0.26932317,0.064605154,0.5157151,1.0,0.6114863,0.99056333,0.4474436,0.5752632,0.5940602,0.47,0.95222217,0.72999996,0.67444444,0.82555556,0.03,0.62390363,0.4655949,0.03,0.0,0.24930745,0.643851,0.03,0.42870268,0.15106803,0.03,0.61534035,0.9610958,0.00030303188,0.00030303188,0.97,0.060303032,0.56379396
30,0.27102882,0.060069535,0.49005944,1.0,0.48373434,1.0,0.47,0.5940602,0.6857617,0.48879698,0.8588889,0.65535545,0.7366667,0.8522222,0.0,0.5491544,0.26776356,0.0,0.0,0.18110178,0.32689217,0.18110178,0.50479794,0.16151449,0.0,0.6461514,1.0,0.00030303188,0.060303032,0.97,0.00030303188,0.39362833
31,0.24780707,0.051353183,0.47715846,1.0,0.37970206,0.9857235,0.51135343,0.5489474,0.61661655,0.5527068,0.82555556,0.78555554,0.6144445,0.7033334,0.08406096,0.51473945,0.05654867,0.15879056,0.025965335,0.16955929,0.18424974,0.42053774,0.50689435,0.19378197,0.0,0.46371686,1.0,0.060303032,0.060303032,1.0,0.060303032,0.48199812
32,0.24612887,0.036987297,0.51785815,0.9848806,0.27449143,0.90301275,0.5152851,0.5961643,0.6395887,0.6330942,0.85335904,0.7558377,0.59666663,0.6048016,0.21778761,0.91189945,0.015073614,0.3672468,0.10764953,0.74878275,0.021308485,0.6571698,0.6016247,0.2898532,0.02673341,0.44223633,1.0,0.043451708,0.049887754,0.9902568,0.015230498,0.60268754
