,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0969873,0.28,0.880888,0.116446614,0.9816867,0.53,0.53571844,0.4618675,0.65851533,0.52009696,0.7928565,0.7588889,0.6144445,0.8060971,0.03,0.0,0.9755883,0.019729357,0.03,0.12565106,0.8712884,0.03,0.46641538,0.2453413,0.0,0.012302455,0.97515696,0.05998298,0.045441918,0.060303032,0.00030303188,0.38330173
1,0.22,0.036987297,0.85918355,0.84156364,0.98610413,0.6594095,0.57511276,0.49839318,0.6480043,0.51116604,0.7857957,0.7690477,0.6903848,0.82555556,0.028207013,0.16764012,0.9528969,0.019230355,0.017832845,0.44253784,0.7538405,0.03,0.38978267,0.20102331,0.02656609,0.03,0.95942926,0.00030303188,0.022310168,0.012055565,0.00030303188,0.04704258
2,0.28,0.08221863,0.88225883,0.84904236,0.94091594,0.78,0.5046396,0.5884743,0.60532904,0.54691935,0.73962134,0.6879398,0.679745,0.8377857,0.03,0.40955123,0.66126084,0.024876988,0.0,0.6431421,0.30002284,0.026672414,0.36789203,0.20827498,0.0,0.002043205,0.9654233,0.016151095,0.058196627,0.048461452,0.03242834,0.3005802
3,0.22,0.07236206,0.82569367,0.8835534,0.8764194,0.8553005,0.4850376,0.6063704,0.6506189,0.5128477,0.74230576,0.6821116,0.6845426,0.89026046,0.0,0.5566335,0.5337513,0.026290063,0.03,0.4852151,0.17383571,0.0015407121,0.37614152,0.1981677,0.022502813,0.03,1.0,0.022846054,0.032632105,0.026908718,0.00030303188,0.46336916
4,0.27578473,0.04305717,0.8361585,0.8595428,0.7554381,0.9431601,0.49438846,0.584448,0.6540601,0.4911102,0.7774993,0.67,0.6477778,0.9106924,0.0,0.79499507,0.46424088,0.0044972096,0.023395862,0.78965354,0.20524395,0.03,0.37425065,0.40667817,0.0,0.0077287834,1.0,0.033154823,0.052284375,1.0,0.00030303188,0.030018002
5,0.28,0.036987297,0.8773499,0.82919693,0.626542,1.0,0.47294566,0.62789553,0.565588,0.5074436,0.7980855,0.6477778,0.7453555,0.9135631,0.014534431,0.87794304,0.39778516,0.015342595,0.027080161,0.8809968,0.3855299,0.03,0.42778516,0.16865146,0.03,0.022661643,0.98468083,0.0093660075,0.035848252,0.9721316,0.00030303188,0.4215626
6,0.2590876,0.064249374,0.82355344,0.86834097,0.477869,0.9993387,0.48854032,0.6489525,0.545514,0.5272586,0.81888884,0.6302942,0.7492093,0.8931007,0.03593514,0.9778859,0.2020234,0.010744146,0.1160454,0.8251942,0.351545,0.0,0.44979888,0.09610753,0.0,0.014323728,0.987698,0.00030303188,0.055134308,1.0,0.049744397,0.518123
7,0.28,0.036987297,0.8835534,0.83037585,0.37476096,0.98228383,0.48879698,0.6766165,0.59390974,0.56634164,0.75139695,0.6861177,0.70561653,0.83352304,0.22733936,0.976195,0.01890444,0.14406095,0.46164653,0.77312577,0.14205307,0.07398653,0.41445205,0.1465283,0.017409094,0.0,1.0,0.04153612,0.0190489,0.97,0.060303032,0.59186494
8,0.27958187,0.08411476,0.8325181,0.87996465,0.23923874,0.9286192,0.5633436,0.6417456,0.54279906,0.5713534,0.7007496,0.670979,0.73974085,0.87428844,0.44297937,0.64935654,0.03,0.2541007,0.59119624,0.30399075,0.03,0.097115554,0.60051876,0.31790975,0.0316188,0.12656836,0.98140335,0.060303032,0.044772126,0.97157097,0.017623568,0.62819993
9,0.25292802,0.04060284,0.8312403,0.84739,0.1309108,0.8631671,0.6540601,0.6766165,0.5339098,0.54572624,0.65799385,0.6477778,0.69666666,0.79222226,0.5747394,0.49893475,0.002886856,0.31711897,0.49715418,0.19054565,0.003694741,0.013381079,0.6081619,0.46364424,0.017619899,0.36546263,0.99371785,0.033820808,0.03099641,0.0593577,0.04706028,0.6175156
