,a
0,0.027617007
1,0.001770258
2,0.044335067
3,0.11889371
4,0.43553814
5,0.46565
6,0.47148997
7,0.6375295
8,0.63175
9,0.49719393
10,0.625409
11,0.87632
12,0.9211757
13,0.86103755
14,0.8712505
15,0.7396444
16,0.9517578
17,0.4950543
18,0.12166613
19,0.26821345
20,0.10132247
21,0.2947481
22,0.31279913
23,0.35559297
24,0.31980407
25,0.52584106
26,0.19820178
27,0.17236161
28,0.02664423
29,0.06619948
30,0.26318246
31,0.52144194
32,0.5866878
33,0.5783306
34,0.5872825
35,0.5979946
36,0.70452845
37,0.62787306
38,0.91023594
39,0.9668551
40,0.39490575
41,0.5740348
42,0.48929867
43,0.4434042
44,0.4285765
45,0.20761725
46,0.42317265
47,0.40552714
48,0.0152795315
49,0.22077999
50,0.39863575
51,0.53651005
52,0.18834093
53,0.502497
54,0.23288015
55,0.2647151
56,0.64459413
57,0.72600126
58,0.62803084
59,0.6492739
60,0.82055366
61,0.8973998
62,0.8558688
63,0.6770353
64,0.5606606
65,0.4658516
66,0.45967326
67,0.47086883
68,0.21015143
69,0.13720521
70,0.21575138
71,0.18150538
72,0.49769014
73,0.43653995
74,0.4986618
75,0.5435101
76,0.4401364
77,0.019900173
78,0.210096
79,0.18501431
80,0.61406565
81,0.72208536
82,0.72655463
83,0.6804436
84,0.699638
85,0.63207775
86,0.6027576
87,0.5999158
88,0.4741078
89,0.16342604
90,0.24782956
91,0.37677315
92,0.36226946
93,0.15717429
94,0.16278666
95,0.36084726
96,0.27887344
97,0.43105897
98,0.48656708
99,0.24656305
100,0.44337898
101,0.5601727
102,0.6352676
103,0.18087423
104,0.6514359
105,0.6544087
106,0.6604526
107,0.7318074
108,0.6463071
109,0.70088637
110,0.52102286
111,0.6835537
112,0.3444811
113,0.43573362
114,0.3793971
115,0.21798676
116,0.3810404
117,0.45424145
118,0.11093688
119,0.008513421
120,0.366517
121,0.095190495
122,0.10753602
123,0.3486274
124,0.40183434
125,0.4821744
126,0.072463095
127,0.5285648
128,0.62231976
129,0.6620819
130,0.7367874
131,0.9004063
132,0.9901645
133,0.72833484
134,0.9457183
135,0.50700414
136,0.46176568
137,0.42612898
138,0.36815125
139,0.3698358
140,0.38697326
141,0.19988233
142,0.3772295
143,0.035688102
144,0.056130767
145,0.34176368
146,0.12766144
