,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5126034,0.4474436,0.65036654,0.51135343,0.79222226,0.7588889,0.6144445,0.81888884,0.0,0.005832104,0.91788596,0.028749999,0.03,0.13493179,0.8251942,0.028749999,0.5046225,0.20883502,0.0,0.0112499995,0.98929435,0.03905303,0.02905303,0.060303032,0.00030303188,0.4259549379348755
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5151128,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.70277774,0.82555556,0.017499998,0.20014012,0.9798525,0.0,0.03,0.49589717,0.81134045,0.0,0.43371427,0.1495566,0.0,0.03,0.98957425,0.05655303,0.00030303374,0.060303032,0.060303032,0.472417950630188
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.5789567,0.5940602,0.54879695,0.7255556,0.68,0.72999996,0.82555556,0.0,0.44297937,0.64158314,0.0,0.03,0.6511962,0.33535153,0.0,0.42789203,0.17077497,0.0,0.03,0.98897743,0.060303032,0.00030303188,0.00030303188,0.044053033,0.495067298412323
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.6540601,0.6766165,0.54879695,0.7255556,0.6477778,0.6477778,0.8588889,0.0,0.5747394,0.4832743,0.0,0.0225,0.4877151,0.15304565,0.0,0.35106397,0.2176621,0.0,0.03,0.99027383,0.030303031,0.00030303374,0.00030303188,0.060303032,0.526810348033905
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6540601,0.53,0.7668056,0.67375,0.70777774,0.8901389,0.03,0.76374507,0.40657818,0.03,0.00125,0.75894934,0.15258132,0.0,0.3864527,0.36542818,0.0,0.008164661,0.99174047,0.05655303,0.03155303,0.97,0.060303032,0.4092708230018616
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.5940602,0.6127067,0.5074436,0.7588889,0.70777774,0.7033334,0.95222217,0.03,0.91790557,0.35544738,0.0050000027,0.0,0.86849684,0.3855299,0.0,0.38735247,0.10885057,0.0,0.0,0.9894123,0.060303032,0.06030303,1.0,0.060303032,0.5131803750991821
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.61661655,0.59390974,0.53,0.7713889,0.67444444,0.78555554,0.8813889,0.0,0.96663594,0.19713864,0.0,0.07493179,0.8251942,0.36328176,0.0,0.46306863,0.09610753,0.00014739782,0.0,0.9885843,0.06030303,0.01905303,1.0,0.060303032,0.5486832857131958
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.67599154,0.5876598,0.5288534,0.73791665,0.6602778,0.67125,0.8855555,0.16764012,0.9204775,0.05654867,0.10906096,0.46089718,0.81384045,0.17942747,0.060321353,0.44195205,0.16634713,0.00082987716,0.09270826,0.98934764,0.060303032,0.05530303,1.0,0.0009280313,0.49727916717529297
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.6540601,0.5713534,0.5713534,0.67,0.72999996,0.7633333,0.85930556,0.38297936,0.64158314,0.0037499997,0.21778761,0.6511962,0.30910152,0.03,0.10764953,0.60051876,0.33499363,0.001618801,0.11679185,0.98831695,0.00030303188,0.060303032,1.0,0.03405303,0.5272038578987122
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.5339098,0.51135343,0.6577778,0.68777776,0.6366667,0.8522222,0.51473945,0.5032743,0.03,0.25711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0022926277,0.1555167,0.9894001,0.00030303188,0.060303032,0.060303032,0.00030303188,0.475574791431427
10,0.25,0.0669873,0.8535534,0.8535534,0.0669873,0.75,0.59901315,0.64781016,0.55765975,0.6340132,0.69624996,0.6477778,0.67,0.70708334,0.7349951,0.40782818,0.03,0.3987119,0.7401994,0.15258132,0.03,0.069685206,0.7039821,0.58317125,0.0028025655,0.053625844,0.9897527,0.00030303188,0.97,0.05405303,0.00030303188,0.4824320673942566
11,0.25,0.0669873,0.8535534,0.8535534,0.017037086,0.62940955,0.5940602,0.57145673,0.50754696,0.61276317,0.7015278,0.7033334,0.7588889,0.67,0.8641556,0.39669737,0.03,0.5639037,0.8209969,0.4455299,0.03,0.20805745,0.72720784,0.60569495,0.0030819112,0.023495665,0.9897255,0.00030303188,0.97,0.01905303,0.00030303188,0.6417524814605713
