,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5126034,0.4474436,0.65036654,0.51135343,0.79222226,0.7588889,0.6144445,0.81888884,0.0,0.005832104,0.91788596,0.028749999,0.03,0.13493179,0.8251942,0.028749999,0.5046225,0.20883502,0.0,0.0112499995,0.98929435,0.03905303,0.02905303,0.060303032,0.00030303188,0.4259549379348755
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5151128,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.6865278,0.82555556,0.011250001,0.19889012,0.9798525,0.0,0.03,0.49589717,0.8132155,0.0,0.43246427,0.14580661,0.0,0.03,0.98894924,0.051553033,0.0009280313,0.06030303,0.059678033,0.4706110656261444
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.56895673,0.5940602,0.54879695,0.7255556,0.670625,0.72999996,0.82555556,0.0,0.44297937,0.64158314,0.0,0.03,0.6511962,0.33535153,0.0,0.42789203,0.17077498,0.0,0.03,0.98897743,0.060303032,0.00030303188,0.00030303188,0.04405303,0.4956178367137909
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.6540601,0.6766165,0.54879695,0.7255556,0.6477778,0.6477778,0.8595139,0.0,0.5747394,0.4832743,0.0,0.024999999,0.4864651,0.15179564,0.0,0.35106397,0.2176621,0.0,0.03,0.98931384,0.030303031,0.0009280313,0.00030303188,0.060303032,0.5277464985847473
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6540601,0.53,0.7668056,0.67375,0.70777774,0.8901389,0.03,0.76374507,0.40657818,0.03,0.00125,0.75894934,0.15258132,0.0,0.3864527,0.36542818,0.00012,0.009497298,0.99175096,0.05655303,0.03155303,0.97,0.060303032,0.40932419896125793
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.5940602,0.6127067,0.5074436,0.7588889,0.70777774,0.7033334,0.95222217,0.03,0.91790557,0.35544738,0.0062499996,0.0,0.86474687,0.3855299,0.0,0.38610247,0.10885057,0.00012,0.0,0.9894044,0.060303032,0.060303032,1.0,0.060303032,0.5129483342170715
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.6178665,0.59390974,0.53,0.77013886,0.67444444,0.78555554,0.8801389,0.0,0.96663594,0.19713864,0.0,0.07493179,0.8251942,0.36453176,0.0,0.46306863,0.09610753,2.7397822e-05,0.0,0.9885817,0.05905303,0.01905303,1.0,0.060303032,0.5488482117652893
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.6716165,0.5932848,0.5238534,0.7391667,0.6552778,0.67,0.8855555,0.16764012,0.91985255,0.05654867,0.112810954,0.46214718,0.81384045,0.18005247,0.056571353,0.43820205,0.16634713,0.0007098772,0.06773129,0.9893495,0.060303032,0.05155303,1.0,0.00030303188,0.49674922227859497
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.6540601,0.5713534,0.5713534,0.67,0.72999996,0.7633333,0.85930556,0.38297936,0.64158314,0.0037499997,0.21778761,0.6511962,0.30910152,0.03,0.10764953,0.60051876,0.33499363,0.001498801,0.115906,0.98831105,0.00030303188,0.060303032,1.0,0.03405303,0.526868462562561
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.5339098,0.51135343,0.6577778,0.68777776,0.6366667,0.8522222,0.51473945,0.5032743,0.03,0.25711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0021726277,0.15415342,0.98939633,0.00030303188,0.060303032,0.060303032,0.00030303188,0.47525936365127563
