,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.5401034,0.4474436,0.6766165,0.51135343,0.8522222,0.81888884,0.6144445,0.8001389,-0.013749999,0.025832105,0.9466359,0.00125,0.0112499995,0.13493179,0.83644414,-0.03,0.5046225,0.19133502,-0.028749999,0.03,0.96102434,0.03155303,0.00030303188,0.049053032,0.01155303,0.4311687648296356
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5313628,0.49004698,0.6178665,0.49504697,0.73791665,0.7366667,0.6815278,0.82555556,0.028749999,0.22764012,0.96360254,-0.028749999,0.03,0.49464718,0.81384045,-0.028749999,0.43496427,0.16080661,-0.01875,0.028749999,0.95942926,0.060303032,0.00030303188,0.0065530315,0.060303032,0.5844418406486511
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.5527068,0.6515601,0.54879695,0.7255556,0.72499996,0.72999996,0.82555556,0.0037499997,0.44297937,0.64158314,-0.03,0.0075,0.6511962,0.33535153,-0.03,0.42789203,0.15014997,-0.00875,0.15020339,0.9604,0.060303032,0.00030303188,0.00030303188,0.02905303,0.593549907207489
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5437876,0.5940602,0.6766165,0.48879698,0.7255556,0.65902776,0.7040278,0.9176389,0.028750002,0.5747394,0.5120243,0.02375,0.03,0.4864651,0.17179565,-0.016249998,0.36731398,0.20641209,-0.03,0.2833722,0.9608381,0.00030303188,0.00030303188,0.00030303188,0.01155303,0.6305938363075256
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.65281016,0.53,0.78555554,0.72999996,0.6990278,0.8926389,0.028749999,0.7712451,0.40657818,0.028749999,-0.0062499996,0.7401994,0.17883132,0.013749999,0.3564527,0.34667817,0.03,0.4455232,0.9986689,0.060303032,0.00030303188,0.99375,0.060303032,0.4435880482196808
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5061936,0.5940602,0.5527068,0.4474436,0.7588889,0.6865278,0.7033334,0.9434722,0.012500002,0.91790557,0.41544738,-0.03,-0.03,0.8809968,0.4455299,-0.03,0.38485247,0.11135057,-0.014999997,0.37252298,0.95852894,0.060303032,0.03780303,1.0125,0.060303032,0.598289966583252
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.61911654,0.58640975,0.5025,0.81888884,0.6144445,0.78555554,0.91888887,-0.0054178946,0.9778859,0.19713864,-0.015250737,0.1174318,0.8851941,0.36578175,-0.015309548,0.40306863,0.09610753,0.030147398,0.45243925,0.9600143,0.060303032,0.00030303188,1.0275,0.060303032,0.5819425582885742
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.48879698,0.61661655,0.5339098,0.51135343,0.7941666,0.70777774,0.72999996,0.8855555,0.22514012,0.91985255,0.05654867,0.14406095,0.49589717,0.7875905,0.12005247,0.07407135,0.43695205,0.16634713,-0.02917012,0.6290849,1.0129888,0.04030303,0.0009280313,1.03,0.05030303,0.3067028820514679
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5789567,0.6540601,0.5713534,0.5676034,0.67,0.72499996,0.7633333,0.8855555,0.38297936,0.6765831,0.03,0.21841261,0.6511962,0.27535152,0.03,0.09264953,0.5405188,0.33499363,-0.028381199,0.29992804,0.9566698,0.0065530315,0.059678033,0.985,0.060303032,0.4222545325756073
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.6391165,0.5339098,0.51135343,0.6652778,0.6477778,0.6666667,0.8522222,0.51473945,0.4907743,0.03,0.25711897,0.5452151,0.14554565,-0.0225,0.066726126,0.59681,0.5211692,-0.027707372,0.16721438,0.9912086,0.0153030325,0.060303032,0.03530303,0.0153030325,0.4039820432662964
