,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.51135343,0.4474436,0.6678665,0.51135343,0.7959722,0.81888884,0.6144445,0.81888884,0.00875,0.023332104,0.9291359,0.03,0.028749999,0.13493179,0.8251942,0.021249998,0.5046225,0.20133503,-0.0012,-0.00125,0.98929435,0.03155303,0.05405303,0.060303032,0.00030303188,0.4383850693702698
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5151128,0.48879698,0.61661655,0.48879698,0.7366667,0.7366667,0.6915278,0.82555556,0.016249998,0.20264012,0.9798525,-0.03,0.03,0.49589717,0.81384045,-0.03,0.43621427,0.14455661,-0.0012,0.03,0.98894924,0.04530303,0.00030303188,0.05530303,0.06030303,0.5330044031143188
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.56007516,0.5552068,0.5940602,0.54879695,0.7255556,0.67,0.72999996,0.82555556,-0.0062499996,0.44297937,0.64158314,-0.026249997,0.03,0.6499462,0.33535153,-0.03,0.42789203,0.17202498,0.0012,0.07698196,0.9893458,0.060303032,0.00030303188,0.00030303188,0.03405303,0.5393775701522827
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.54503757,0.60281014,0.6766165,0.54879695,0.7255556,0.7071528,0.6477778,0.8801389,0.00875,0.5747394,0.5107743,0.0025,0.017499998,0.4852151,0.13054565,-0.0074999994,0.35106397,0.2051621,-0.0012,0.13303612,0.98975337,0.026553031,0.0015530307,0.00030303188,0.05905303,0.5374042391777039
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.53,0.63526314,0.6540601,0.53,0.78555554,0.71,0.7071528,0.8738889,0.017500002,0.7356201,0.40657818,0.03,0.02375,0.7401994,0.15258132,0.026250001,0.3677027,0.34667817,0.0012,0.12690626,0.9908987,0.060303032,0.0153030325,0.97,0.060303032,0.4206753075122833
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5074436,0.5940602,0.61145675,0.49369362,0.76013887,0.6677778,0.7033334,0.9509722,0.03,0.91790557,0.35544738,0.018749999,-0.03,0.87974685,0.3855299,-0.028749999,0.38610247,0.11010057,0.0012,-0.008515846,0.9887532,0.05905303,0.05905303,1.02875,0.060303032,0.5460017323493958
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5074436,0.61661655,0.59390974,0.53,0.7638889,0.67444444,0.78555554,0.8888889,-0.0054178927,0.9528859,0.19713864,-0.015250735,0.07493179,0.8251942,0.35578176,-0.015309548,0.46306863,0.09610753,-0.0010526022,0.05571787,0.98895067,0.06030303,0.015303034,1.03,0.060303032,0.5664842128753662
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.49004698,0.6766165,0.5926598,0.5413534,0.7416667,0.65902776,0.6725,0.8855555,0.16764012,0.91985255,0.05654867,0.12906095,0.46589717,0.81384045,0.18005247,0.056571353,0.46695206,0.16634713,-0.0003701229,0.20285851,0.9895463,0.060303032,0.05655303,1.01875,0.00030303188,0.49414074420928955
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.5527068,0.6540601,0.5713534,0.5713534,0.67,0.72999996,0.7633333,0.8680555,0.38297936,0.64158314,0.012499998,0.21778761,0.6511962,0.30785152,0.03,0.10764953,0.60051876,0.33499363,0.00041880098,0.20030949,0.98828197,0.00030303188,0.060303032,1.03,0.032803033,0.5212002396583557
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.5940602,0.61661655,0.5339098,0.51135343,0.64902776,0.6865278,0.6366667,0.8522222,0.51473945,0.52202433,0.03,0.25711897,0.5452151,0.13054565,0.03,0.066726126,0.6568099,0.5211692,0.0010926276,0.23048817,0.98933303,0.00030303188,0.060303032,0.060303032,0.00030303188,0.4683264493942261
