,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.1019873,0.2,0.9035534,0.09644662,1.05,0.52125,0.5813534,0.4274436,0.69661653,0.4913534,0.83847225,0.8388889,0.59444445,0.7813889,-0.029999997,0.009582105,0.9528859,0.0125,0.0325,0.1549318,0.83644414,-0.0037500001,0.52462256,0.21133502,-0.024999999,0.05,0.93977433,0.04280303,-0.01969697,0.07530303,0.022803029,0.48058125376701355
1,0.2,0.016987298,0.9035534,0.8398034,1.0329629,0.6069096,0.5951128,0.46879697,0.5966165,0.50004697,0.71666664,0.8016666,0.62777776,0.8055555,0.018749997,0.24764012,0.99985254,-0.03749999,0.032500003,0.51589715,0.76759046,-0.042499993,0.46121427,0.16705662,-0.021250002,0.05,0.9394292,0.027803035,-0.01969697,-0.01969697,0.08030303,0.8544061183929443
2,0.201875,0.016987298,0.9035534,0.9035534,0.98301274,0.8,0.48007518,0.53270674,0.67093515,0.54629695,0.70555556,0.65,0.65,0.8055555,-0.05,0.39297935,0.7215831,-0.05,0.04874999,0.6711962,0.2553515,-0.05,0.44789204,0.17577498,-0.047499996,0.5753425,0.94341326,-0.01969697,-0.01969697,-0.01969697,-0.018446956,0.9991705417633057
3,0.3,0.016987298,0.8035534,0.8035534,0.8798034,0.82855344,0.5650376,0.67406017,0.5966165,0.568797,0.7068056,0.72402775,0.7277778,0.8626389,-0.05,0.4947394,0.5095243,0.05,-0.05,0.5652151,0.21054564,0.05,0.41731396,0.2726621,0.02375,0.9228242,0.94318455,-0.01969697,-0.0034469701,0.08030303,-0.01969697,0.3395271301269531
4,0.2025,0.016987298,0.8885534,0.9035534,0.7,0.98301274,0.45374998,0.5558882,0.5753102,0.55,0.8055556,0.72375,0.7277778,0.8388889,-0.02,0.7512451,0.4865782,0.048750002,0.013749999,0.7239494,0.23258132,0.05,0.4345777,0.42542818,0.05,0.7529509,0.9392105,-0.01969697,0.07780303,1.0375,0.014053032,0.6529554724693298
5,0.2,0.016987298,0.80480343,0.9035534,0.57940954,1.0129629,0.5274436,0.57468516,0.53333175,0.4274436,0.73888886,0.62777776,0.68333334,0.9434722,-0.05,0.9379056,0.4354474,-0.05,-0.05,0.90099686,0.46552992,-0.05,0.36485246,0.08885057,0.0,0.9708194,0.9408659,0.08030303,0.08030303,1.05,0.05405303,0.9999440908432007
6,0.2,0.0769873,0.9035534,0.9035534,0.45,1.05,0.5274436,0.59786654,0.5151598,0.45,0.8388889,0.59444445,0.70555556,0.9388889,0.07458211,0.99788594,0.17713864,0.06474926,0.069931805,0.80519414,0.28640676,0.005940444,0.38306862,0.07610753,0.0501474,1.0429494,0.93948275,-0.01907197,-0.01969697,1.01375,0.030303031,0.7259958982467651
7,0.3,0.017612297,0.8035534,0.8035534,0.4205905,1.0004629,0.46879697,0.5966165,0.51390976,0.4919784,0.81666666,0.7277778,0.75,0.83305556,0.23389012,0.91360253,0.07654867,0.10281095,0.51589715,0.8075905,0.100677475,0.052821357,0.49445206,0.18634713,-0.040420126,0.97061557,0.9908745,0.0040530395,0.031553026,1.05,0.025303042,0.08628451824188232
8,0.3,0.0544873,0.9035534,0.83605343,0.29875,0.89551276,0.53270674,0.57406014,0.4913534,0.4913534,0.65125,0.75,0.68833333,0.8055555,0.39547935,0.70658314,0.05,0.19778761,0.6711962,0.2553515,0.05,0.02764953,0.6205188,0.35249364,-0.0483812,0.8006827,0.937697,0.08030303,-0.01969697,1.05,0.017803032,0.07959747314453125
9,0.29875,0.1169873,0.8035534,0.9035534,0.19644661,0.9035534,0.57468516,0.65036654,0.6139098,0.4913534,0.62777776,0.62777776,0.6329167,0.87222224,0.4947394,0.4632743,0.05,0.32336897,0.4902151,0.11054565,0.02375,0.08672613,0.57680994,0.5411692,-0.04770737,0.09806366,1.034884,0.05405303,-0.01969697,0.08030303,0.07905303,0.0657491683959961
10,0.2725,0.1169873,0.8035534,0.9035534,0.1169873,0.74,0.55526316,0.57406014,0.51390976,0.55526316,0.75,0.7277778,0.65,0.78333336,0.8149951,0.38657817,0.05,0.4512119,0.72019935,0.17008132,0.037499998,0.08218521,0.7227321,0.6031713,-0.04469743,0.053015467,0.9462234,-0.01969697,1.05,0.08030303,-0.01969697,0.0003539919853210449
11,0.25,0.1169873,0.9035534,0.82105345,0.05703708,0.60815954,0.57406014,0.53270674,0.46879697,0.55526316,0.7277778,0.78333336,0.73888886,0.75,0.8379056,0.4354474,0.05,0.6126537,0.8159968,0.3930299,0.05,0.16930746,0.78470784,0.625695,-0.04691809,0.050268248,0.9394237,-0.01969697,0.95,0.021553028,-0.01969697,0.29310351610183716
