,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h,a
0,0.0669873,0.25,0.8535534,0.14644662,1.0,0.5,0.4913534,0.4274436,0.69661653,0.4913534,0.87159723,0.8388889,0.59444445,0.8388889,-0.0225,0.015832104,0.95663595,0.00125,0.028750002,0.1549318,0.83144414,0.0012499981,0.52399755,0.17883503,-0.0325,0.05,0.93977433,0.06155303,-0.01969697,0.054053035,0.01780303,0.4674397110939026
1,0.25,0.0669873,0.8535534,0.8535534,0.9829629,0.62940955,0.5551128,0.471297,0.5972415,0.55379695,0.71666664,0.72229165,0.6627778,0.8055555,0.04625,0.24764012,0.9723525,-0.03375,0.0025000027,0.51589715,0.8338405,-0.03375,0.46058926,0.14705661,-0.046875004,0.04749999,0.97442925,0.08030303,-0.01969697,-0.007196963,0.07655303,0.6926194429397583
2,0.25,0.0669873,0.8535534,0.8535534,0.9330127,0.75,0.48007518,0.53270674,0.57406014,0.46879697,0.70555556,0.65,0.75,0.8055555,0.036250006,0.4454794,0.7203331,-0.05,0.05,0.6711962,0.2553515,-0.0037499974,0.44789204,0.16202497,-0.05,0.3266478,0.9416074,0.011553016,-0.01969697,-0.01969697,-0.01719695,0.9141260385513306
3,0.25,0.0669873,0.8535534,0.8535534,0.8535534,0.8535534,0.5650376,0.67406017,0.5966165,0.568797,0.7505556,0.6627778,0.7277778,0.8388889,-0.05,0.50348943,0.5182743,0.05,-0.05,0.5652151,0.21054564,0.042500004,0.36606398,0.2726621,0.021249998,0.8481006,0.9444163,-0.01969697,-0.01969697,0.07905303,-0.01969697,0.3931824862957001
4,0.25,0.0669873,0.8535534,0.8535534,0.75,0.9330127,0.55,0.6552632,0.67406017,0.46625,0.8055556,0.72999996,0.62777776,0.9388889,0.05,0.8149951,0.38657817,0.05,-0.048750002,0.72019935,0.21008132,0.037499998,0.3352027,0.32667816,0.05,0.6924015,0.93976897,0.08030303,0.04405303,1.0425,0.08030303,0.5435460805892944
5,0.25,0.0669873,0.8535534,0.8535534,0.62940955,0.9829629,0.5274436,0.57406014,0.53270674,0.4274436,0.73888886,0.62777776,0.68333334,0.9122222,-0.05,0.9379056,0.43482238,-0.05,-0.05,0.8884969,0.46552992,-0.05,0.36485246,0.09260057,0.009999999,0.8168896,0.93964463,0.08030303,0.08030303,1.05,0.08030303,0.9981387853622437
6,0.25,0.0669873,0.8535534,0.8535534,0.5,1.0,0.5274436,0.60036653,0.51390976,0.45,0.8388889,0.59444445,0.70555556,0.9388889,0.07458211,0.99788594,0.17838864,0.06474926,0.066181794,0.81644416,0.32953176,0.005940444,0.38306862,0.07610753,0.0501474,1.0292579,0.9405824,-0.01969697,-0.01969697,1.03375,-0.01969697,0.695314347743988
7,0.25,0.0669873,0.8535534,0.8535534,0.37059048,0.9829629,0.46879697,0.5966165,0.51390976,0.4913534,0.81666666,0.72152776,0.75,0.8493055,0.24764012,0.9048525,0.074048676,0.16031095,0.51589715,0.78009045,0.100052476,-0.004678633,0.48820204,0.18634713,-0.049170125,1.0481484,0.93847233,0.022803042,0.04155304,1.05,0.08030303,0.129996657371521
8,0.25,0.0669873,0.8535534,0.8535534,0.25,0.9330127,0.53270674,0.57406014,0.4913534,0.4913534,0.65,0.75,0.6983334,0.8055555,0.36360437,0.6765831,0.05,0.19778761,0.6711962,0.25535154,0.049375,0.02764953,0.6198938,0.34624362,-0.0483812,0.7702905,1.0064198,0.08030303,-0.01969697,1.049375,0.03905303,0.11578863859176636
9,0.25,0.0669873,0.8535534,0.8535534,0.14644662,0.8535534,0.57406014,0.5966165,0.5826598,0.4913534,0.62777776,0.62777776,0.6166667,0.8634722,0.49598944,0.5420243,-0.05,0.25086898,0.4764651,0.11179565,0.05,0.08672613,0.57680994,0.5411692,-0.04770737,0.13748689,1.0352879,0.08030303,-0.01969697,0.08030303,0.08030303,0.17347827553749084
