,month_cos,month_sin,day_type_cos,day_type_sin,hour_cos,hour_sin,outdoor_dry_bulb_temperature,outdoor_dry_bulb_temperature_predicted_6h,outdoor_dry_bulb_temperature_predicted_12h,outdoor_dry_bulb_temperature_predicted_24h,outdoor_relative_humidity,outdoor_relative_humidity_predicted_6h,outdoor_relative_humidity_predicted_12h,outdoor_relative_humidity_predicted_24h,diffuse_solar_irradiance,diffuse_solar_irradiance_predicted_6h,diffuse_solar_irradiance_predicted_12h,diffuse_solar_irradiance_predicted_24h,direct_solar_irradiance,direct_solar_irradiance_predicted_6h,direct_solar_irradiance_predicted_12h,direct_solar_irradiance_predicted_24h,carbon_intensity,non_shiftable_load,solar_generation,electrical_storage_soc,net_electricity_consumption,electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0,0.016987298,0.295,0.8035534,0.09644662,0.95,0.52,0.5913534,0.43369362,0.5991165,0.5913534,0.87222224,0.8388889,0.6944445,0.73888886,0.0012500014,0.07458211,0.99788594,-0.05,-0.05,0.054931793,0.90519416,-0.05,0.47337255,0.27008504,0.022499997,0.05,0.93977433,-0.01969697,-0.01969697,-0.01969697,0.07655303
1,0.2,0.016987298,0.9035534,0.9035534,1.0329629,0.60315955,0.49511278,0.46879697,0.6953665,0.46879697,0.71666664,0.71666664,0.62777776,0.90555555,0.05,0.16889012,0.99985254,0.05,-0.038749997,0.51589715,0.73384047,0.041249994,0.38246426,0.2183066,-0.028749999,-0.05,0.9394292,-0.01969697,0.08030303,0.08030303,-0.01969697
2,0.2,0.024487294,0.9035534,0.9035534,0.98301274,0.7325,0.48007518,0.53270674,0.61656016,0.46879697,0.70555556,0.65,0.65,0.90555555,0.05,0.36297935,0.7215831,0.049999993,0.0074999994,0.6711962,0.2553515,0.0025,0.44789204,0.19077498,-0.0275,-0.05,0.9919574,-0.01969697,0.08030303,0.08030303,-0.01969697
3,0.3,0.016987298,0.8035534,0.8035534,0.9029284,0.9023034,0.46503758,0.67406017,0.69661653,0.568797,0.8055556,0.6627778,0.7277778,0.9382639,0.00125,0.4947394,0.5007743,0.0175,0.047500003,0.5639651,0.20179565,0.017499994,0.36481398,0.1726621,0.0275,-0.05,1.0247939,-0.01969697,0.07155304,0.08030303,-0.01969697
4,0.3,0.1169873,0.8735534,0.8035534,0.785,0.8830127,0.53499997,0.6552632,0.67406017,0.47,0.70555556,0.75,0.62777776,0.9388889,0.017499998,0.7149951,0.4865782,0.022499999,-0.05,0.72019935,0.15133132,-0.00875,0.4189527,0.32667816,-0.05,0.05,1.0409613,-0.018446967,0.052803025,1.05,0.03155303
5,0.3,0.016987298,0.8035534,0.8560534,0.67940956,1.0329629,0.4274436,0.57406014,0.53270674,0.4274436,0.8388889,0.70277774,0.78208333,0.8922222,-0.05,0.8379056,0.4354474,0.05,-0.05,0.8859968,0.4642799,0.037499998,0.46485248,0.18885057,0.0062499996,0.05,0.93915856,-0.0059469603,-0.01907197,1.049375,-0.01969697
6,0.3,0.016987298,0.8035534,0.8848034,0.55,1.05,0.4274436,0.6959915,0.5151598,0.45,0.8388889,0.6556945,0.8055556,0.9388889,0.0033321064,0.8978859,0.27713865,-0.031500738,0.0924318,0.8539441,0.36578175,0.064690456,0.48306865,0.14860752,0.0026473978,-0.05,0.93891716,-0.01907197,0.07905303,1.00875,-0.01969697
7,0.3,0.0432373,0.80480343,0.8035534,0.4205905,0.9492129,0.46879697,0.66286653,0.5201598,0.4913534,0.78291667,0.6865278,0.75,0.90555555,0.24764012,0.8998525,0.07654867,0.16406097,0.51589715,0.77759045,0.16880247,0.057821352,0.49070206,0.18634713,-0.032920122,0.05,1.0170742,0.06155303,-0.01969697,1.05,0.0065530334
8,0.3,0.016987298,0.9035534,0.9035534,0.3,0.9267627,0.53270674,0.57906014,0.4913534,0.4913534,0.71,0.735,0.7683333,0.90555555,0.36297935,0.6815831,0.018749999,0.19778761,0.6711962,0.2553515,0.05,0.12764953,0.5205188,0.25499362,-0.0483812,0.034999996,0.93882734,0.050303027,-0.01969697,1.02,0.06530303
9,0.2,0.1169873,0.8385534,0.9035534,0.17894661,0.9029284,0.5915601,0.5966165,0.5826598,0.5263534,0.62777776,0.6340278,0.6166667,0.81972224,0.4947394,0.5632743,-0.05,0.23711897,0.4652151,0.11054565,0.05,0.081726134,0.57680994,0.5399192,-0.04770737,0.046249982,1.0395764,0.08030303,0.029053042,0.08030303,0.08030303
