Wall time,Step,Value
1705005429.8372743,2641920,-6612.7646484375
1705005444.872914,2643968,-6612.7646484375
1705005504.9148967,2652160,-6682.23974609375
1705005519.8858938,2654208,-6682.23974609375
1705005549.9086294,2658304,-6748.68115234375
1705005564.9251332,2660352,-6748.68115234375
1705005579.9754517,2662400,-6748.68115234375
1705005610.0421815,2666496,-6812.43408203125
1705005625.0860283,2668544,-6812.43408203125
1705005640.10353,2670592,-6812.43408203125
1705005654.8022,2672640,-6812.43408203125
1705005715.0359433,2680832,-6872.37548828125
1705005850.1018167,2699264,-6981.921875
1705005865.14629,2701312,-7031.9169921875
1705005895.0340142,2705408,-7031.9169921875
1705005939.9818106,2711552,-7080.69873046875
1705005954.9247046,2713600,-7080.69873046875
1705005985.0039477,2717696,-7127.35107421875
1705006014.9918628,2721792,-7127.35107421875
1705006030.0083873,2723840,-7127.35107421875
1705006060.0179622,2727936,-7170.39013671875
1705006090.0804079,2732032,-7170.39013671875
1705006105.071304,2734080,-7170.39013671875
1705006150.1732855,2740224,-7212.43310546875
1705006165.192498,2742272,-7212.43310546875
1705006180.1096828,2744320,-7251.12255859375
1705006195.1503747,2746368,-7251.12255859375
1705006210.104502,2748416,-7251.12255859375
1705006255.0808043,2754560,-7285.998046875
1705006270.0731893,2756608,-7285.998046875
1705006300.135694,2760704,-7285.998046875
1705006330.2037425,2764800,-7319.599609375
1705006345.1815877,2766848,-7319.599609375
1705006360.1949866,2768896,-7319.599609375
1705006375.1623695,2770944,-7352.08056640625
1705006420.2997785,2777088,-7352.08056640625
1705006435.279231,2779136,-7384.3623046875
1705006450.3115528,2781184,-7384.3623046875
1705006465.3390965,2783232,-7384.3623046875
1705006495.3107271,2787328,-7416.55029296875
1705006540.3413124,2793472,-7416.55029296875
1705006615.3250258,2803712,-7448.0654296875
1705006630.2887144,2805760,-7479.04736328125
1705006645.2867575,2807808,-7479.04736328125
1705006660.259062,2809856,-7479.04736328125
1705006675.219986,2811904,-7479.04736328125
1705006690.2988794,2813952,-7508.849609375
1705006765.3155048,2824192,-7538.00048828125
1705006885.1836553,2840576,-7594.91162109375
1705006930.161285,2846720,-7594.91162109375
1705006945.1384847,2848768,-7622.00244140625
1705007050.0807772,2863104,-7647.7822265625
1705007095.0659049,2869248,-7672.9462890625
1705007125.040258,2873344,-7672.9462890625
1705007140.0774739,2875392,-7697.88623046875
1705007155.096029,2877440,-7697.88623046875
1705007215.2124913,2885632,-7721.0546875
1705007230.3035967,2887680,-7721.0546875
1705007245.3111155,2889728,-7721.0546875
