Wall time,Step,Value
1704854771.8367481,10240,-10513.4521484375
1704854785.1751513,12288,-10513.4521484375
1704854811.9826572,16384,-10513.4521484375
1704854825.2402425,18432,-9925.982421875
1704854838.6672409,20480,-9925.982421875
1704854851.9802055,22528,-9925.982421875
1704854865.404918,24576,-9925.982421875
1704854878.7116902,26624,-9369.52734375
1704854891.971543,28672,-9369.52734375
1704854905.3471653,30720,-9369.52734375
1704854918.669298,32768,-9369.52734375
1704854931.9774287,34816,-9369.52734375
1704854945.2829077,36864,-8949.66015625
1704854958.6170504,38912,-8949.66015625
1704854971.9742212,40960,-8949.66015625
1704854985.3560126,43008,-8949.66015625
1704854998.6681902,45056,-8671.2705078125
1704855012.029998,47104,-8671.2705078125
1704855025.3267124,49152,-8671.2705078125
1704855038.7341897,51200,-8671.2705078125
1704855052.1234286,53248,-8485.587890625
1704855065.5147588,55296,-8485.587890625
1704855078.8128095,57344,-8485.587890625
1704855092.0634716,59392,-8485.587890625
1704855105.4344497,61440,-8342.8642578125
1704855118.6933002,63488,-8342.8642578125
1704855132.0250168,65536,-8342.8642578125
1704855158.61046,69632,-8342.8642578125
1704855171.9335089,71680,-8226.888671875
1704855185.3208592,73728,-8226.888671875
1704855198.6896229,75776,-8226.888671875
1704855211.9401202,77824,-8226.888671875
1704855225.24207,79872,-8132.05615234375
1704855238.5939076,81920,-8132.05615234375
1704855251.9074764,83968,-8132.05615234375
1704855265.1367686,86016,-8132.05615234375
1704855278.4679713,88064,-8062.2294921875
1704855291.7634912,90112,-8062.2294921875
1704855305.049404,92160,-8062.2294921875
1704855331.6401656,96256,-8062.2294921875
1704855345.0357473,98304,-8012.23779296875
1704855358.3692217,100352,-8012.23779296875
1704855371.707836,102400,-8012.23779296875
1704855385.0078273,104448,-8012.23779296875
1704855398.2928443,106496,-7970.810546875
1704855411.6930397,108544,-7970.810546875
1704855425.1332772,110592,-7970.810546875
1704855438.5128438,112640,-7970.810546875
1704855451.773724,114688,-7929.46923828125
1704855465.1545348,116736,-7929.46923828125
1704855478.5508904,118784,-7929.46923828125
1704855491.9558396,120832,-7929.46923828125
1704855505.276183,122880,-7895.11181640625
1704855518.6101248,124928,-7895.11181640625
1704855531.9363904,126976,-7895.11181640625
1704855545.3701196,129024,-7895.11181640625
1704855558.7150528,131072,-7895.11181640625
1704855572.0927918,133120,-7863.36474609375
1704855585.4828193,135168,-7863.36474609375
1704855598.8703794,137216,-7863.36474609375
1704855612.1388025,139264,-7863.36474609375
1704855625.4529529,141312,-7835.34130859375
1704855638.789637,143360,-7835.34130859375
1704855652.1248946,145408,-7835.34130859375
1704855665.4273808,147456,-7835.34130859375
1704855678.7320929,149504,-7809.74365234375
1704855692.120688,151552,-7809.74365234375
1704855705.4918697,153600,-7809.74365234375
1704855718.8175132,155648,-7809.74365234375
1704855732.1251562,157696,-7785.9453125
1704855745.394382,159744,-7785.9453125
1704855758.7106967,161792,-7785.9453125
1704855772.0403044,163840,-7785.9453125
1704855785.4810708,165888,-7785.9453125
1704855798.7323246,167936,-7763.7626953125
1704855811.9837909,169984,-7763.7626953125
1704855825.3081741,172032,-7763.7626953125
1704855838.5412009,174080,-7763.7626953125
1704855851.976137,176128,-7740.052734375
1704855865.263463,178176,-7740.052734375
1704855878.538471,180224,-7740.052734375
1704855891.9189196,182272,-7740.052734375
1704855905.204595,184320,-7720.111328125
1704855918.520923,186368,-7720.111328125
1704855931.800443,188416,-7720.111328125
1704855945.0259,190464,-7720.111328125
1704855958.3916392,192512,-7720.111328125
1704855971.7519941,194560,-7700.2763671875
1704855984.9497955,196608,-7700.2763671875
1704855998.2801785,198656,-7700.2763671875
1704856011.5110357,200704,-7700.2763671875
1704856024.896067,202752,-7680.77001953125
1704856038.213568,204800,-7680.77001953125
1704856051.4891553,206848,-7680.77001953125
1704856064.750403,208896,-7680.77001953125
1704856078.095808,210944,-7662.03125
1704856091.4503498,212992,-7662.03125
1704856104.6657035,215040,-7662.03125
1704856117.9938483,217088,-7662.03125
1704856131.282512,219136,-7646.5380859375
1704856144.7008274,221184,-7646.5380859375
1704856157.9957469,223232,-7646.5380859375
1704856171.3715475,225280,-7646.5380859375
1704856184.5684936,227328,-7646.5380859375
1704856197.863705,229376,-7631.54150390625
1704856211.1309144,231424,-7631.54150390625
1704856224.4382157,233472,-7631.54150390625
1704856237.8594487,235520,-7631.54150390625
1704856251.2220716,237568,-7615.8662109375
1704856264.5429237,239616,-7615.8662109375
1704856277.840552,241664,-7615.8662109375
1704856291.1191895,243712,-7615.8662109375
1704856304.4236171,245760,-7599.80615234375
1704856317.8434231,247808,-7599.80615234375
1704856331.1406357,249856,-7599.80615234375
1704856344.3911698,251904,-7599.80615234375
1704856357.6643534,253952,-7599.80615234375
1704856371.0217555,256000,-7583.94775390625
1704856384.414252,258048,-7583.94775390625
1704856397.843664,260096,-7583.94775390625
1704856411.2359774,262144,-7583.94775390625
1704856424.609549,264192,-7567.89404296875
1704856437.9821904,266240,-7567.89404296875
1704856451.3533597,268288,-7567.89404296875
1704856464.7502167,270336,-7567.89404296875
1704856491.4564433,274432,-7551.8232421875
1704856504.7495546,276480,-7551.8232421875
1704856518.019723,278528,-7551.8232421875
1704856544.5805395,282624,-7536.419921875
1704856558.007423,284672,-7536.419921875
1704856571.3271725,286720,-7536.419921875
1704856584.6300685,288768,-7536.419921875
1704856597.9871106,290816,-7522.95751953125
1704856611.3306096,292864,-7522.95751953125
1704856624.6889417,294912,-7522.95751953125
1704856638.0178502,296960,-7522.95751953125
1704856651.3209026,299008,-7509.62255859375
1704856664.6988022,301056,-7509.62255859375
1704856678.0976474,303104,-7509.62255859375
1704856691.4483335,305152,-7509.62255859375
1704856704.7156532,307200,-7496.337890625
1704856718.1349812,309248,-7496.337890625
1704856731.4471822,311296,-7496.337890625
1704856744.664165,313344,-7496.337890625
1704856758.03157,315392,-7485.24169921875
1704856771.3458853,317440,-7485.24169921875
1704856784.7137046,319488,-7485.24169921875
1704856811.3670099,323584,-7485.24169921875
1704856824.674027,325632,-7477.541015625
1704856838.090253,327680,-7477.541015625
1704856851.4291317,329728,-7477.541015625
1704856864.8907807,331776,-7477.541015625
1704856878.3422906,333824,-7468.8515625
1704856891.763337,335872,-7468.8515625
1704856905.1645863,337920,-7468.8515625
1704856918.5987902,339968,-7468.8515625
1704856931.9025867,342016,-7459.95458984375
1704856945.2741532,344064,-7459.95458984375
