Wall time,Step,Value
1705266014.8749743,4382720,-6402.67333984375
1705266030.7549815,4384768,-6402.67333984375
1705266046.7780344,4386816,-6402.67333984375
1705266062.7005804,4388864,-6402.67333984375
1705266078.7454913,4390912,-6404.5478515625
1705266094.6824307,4392960,-6404.5478515625
1705266110.6695786,4395008,-6404.5478515625
1705266126.676794,4397056,-6404.5478515625
1705266142.6041358,4399104,-6406.2763671875
1705266158.5075216,4401152,-6406.2763671875
1705266174.4376342,4403200,-6406.2763671875
1705266190.3866246,4405248,-6406.2763671875
1705266206.3328588,4407296,-6407.89501953125
1705266222.270308,4409344,-6407.89501953125
1705266238.1822348,4411392,-6407.89501953125
1705266254.1977797,4413440,-6407.89501953125
1705266270.2646043,4415488,-6407.89501953125
1705266286.208763,4417536,-6409.55126953125
1705266302.2407815,4419584,-6409.55126953125
1705266318.2022684,4421632,-6409.55126953125
1705266334.2363763,4423680,-6409.55126953125
1705266350.1992173,4425728,-6411.07421875
1705266366.191663,4427776,-6411.07421875
1705266382.1011782,4429824,-6411.07421875
1705266398.1038532,4431872,-6411.07421875
1705266414.1606061,4433920,-6412.8017578125
1705266430.1486044,4435968,-6412.8017578125
1705266446.1608765,4438016,-6412.8017578125
1705266462.2268717,4440064,-6412.8017578125
1705266478.2720847,4442112,-6414.5185546875
1705266494.1859472,4444160,-6414.5185546875
1705266510.2029665,4446208,-6414.5185546875
1705266526.148241,4448256,-6414.5185546875
1705266542.1624355,4450304,-6414.5185546875
1705266558.1328878,4452352,-6416.107421875
1705266574.0767589,4454400,-6416.107421875
1705266590.0632231,4456448,-6416.107421875
1705266606.0695853,4458496,-6416.107421875
1705266622.0649695,4460544,-6417.9755859375
1705266638.0730774,4462592,-6417.9755859375
1705266654.0630398,4464640,-6417.9755859375
1705266670.0835874,4466688,-6417.9755859375
1705266686.129903,4468736,-6419.78173828125
1705266702.071577,4470784,-6419.78173828125
1705266718.0322642,4472832,-6419.78173828125
1705266733.9713528,4474880,-6419.78173828125
1705266749.967148,4476928,-6419.78173828125
1705266765.9599876,4478976,-6421.224609375
1705266781.9293668,4481024,-6421.224609375
1705266797.901214,4483072,-6421.224609375
1705266813.8724532,4485120,-6421.224609375
1705266829.8517475,4487168,-6422.759765625
1705266845.769216,4489216,-6422.759765625
1705266861.7040377,4491264,-6422.759765625
