Wall time,Step,Value
1705548276.8074706,4392960,-6414.64306640625
1705548292.1297696,4395008,-6414.64306640625
1705548353.3525429,4403200,-6426.53076171875
1705548368.5860329,4405248,-6426.53076171875
1705548399.256259,4409344,-6437.9013671875
1705548414.571259,4411392,-6437.9013671875
1705548429.8838274,4413440,-6437.9013671875
1705548475.8489091,4419584,-6449.392578125
1705548491.1790197,4421632,-6449.392578125
1705548506.5169053,4423680,-6449.392578125
1705548567.7276378,4431872,-6460.51171875
1705548705.6116445,4450304,-6482.35986328125
1705548720.8434753,4452352,-6492.59521484375
1705548751.4364247,4456448,-6492.59521484375
1705548812.5955942,4464640,-6502.97607421875
1705548843.2654982,4468736,-6513.4951171875
1705548873.8696923,4472832,-6513.4951171875
1705548889.183808,4474880,-6513.4951171875
1705548919.8025024,4478976,-6523.6279296875
1705548950.347883,4483072,-6523.6279296875
1705548965.6294312,4485120,-6523.6279296875
1705549011.6439188,4491264,-6533.57177734375
1705549026.9763489,4493312,-6533.57177734375
1705549042.2870514,4495360,-6543.6005859375
1705549057.5285535,4497408,-6543.6005859375
1705549072.8143933,4499456,-6543.6005859375
1705549133.9655495,4507648,-6553.431640625
1705549164.5712798,4511744,-6553.431640625
1705549195.1343017,4515840,-6562.78271484375
1705549210.4360442,4517888,-6562.78271484375
1705549225.7611802,4519936,-6562.78271484375
1705549241.0679512,4521984,-6572.3720703125
1705549286.8737223,4528128,-6572.3720703125
1705549302.2179525,4530176,-6582.21533203125
1705549317.4669876,4532224,-6582.21533203125
1705549332.736432,4534272,-6582.21533203125
1705549409.26862,4544512,-6591.87158203125
1705549485.8151703,4554752,-6601.705078125
1705549501.1053994,4556800,-6611.34912109375
1705549516.3835928,4558848,-6611.34912109375
1705549531.6951702,4560896,-6611.34912109375
1705549546.9571474,4562944,-6611.34912109375
1705549562.2676528,4564992,-6620.798828125
1705549638.8908086,4575232,-6629.978515625
1705549761.318083,4591616,-6648.24072265625
1705549807.3060775,4597760,-6648.24072265625
1705549822.6415842,4599808,-6657.49609375
1705549929.740895,4614144,-6666.7958984375
1705549975.5741217,4620288,-6676.0576171875
1705550006.2390523,4624384,-6676.0576171875
1705550021.5302372,4626432,-6684.96142578125
1705550036.8601296,4628480,-6684.96142578125
1705550097.9697883,4636672,-6693.57666015625
1705550113.269896,4638720,-6693.57666015625
1705550128.5471222,4640768,-6693.57666015625
1705550174.4136353,4646912,-6702.5859375
1705550189.6825624,4648960,-6702.5859375
1705550296.6540406,4663296,-6720.01171875
1705550327.2106996,4667392,-6720.01171875
1705550357.7853658,4671488,-6728.5341796875
1705550373.1519256,4673536,-6728.5341796875
1705550388.440777,4675584,-6728.5341796875
1705550403.7161713,4677632,-6728.5341796875
1705550464.8522327,4685824,-6737.1689453125
1705550495.3619375,4689920,-6745.4248046875
1705550541.3082588,4696064,-6753.58203125
1705550571.9701993,4700160,-6753.58203125
1705550602.5982084,4704256,-6753.58203125
1705550617.8151917,4706304,-6761.87939453125
1705550633.0774221,4708352,-6761.87939453125
1705550678.8837428,4714496,-6770.38671875
1705550709.554457,4718592,-6770.38671875
1705550724.8708498,4720640,-6770.38671875
1705550755.5827374,4724736,-6778.72314453125
1705550770.8534408,4726784,-6778.72314453125
1705550816.79232,4732928,-6787.236328125
1705550893.203534,4743168,-6795.00732421875
1705550908.5256493,4745216,-6795.00732421875
1705550923.8254812,4747264,-6795.00732421875
1705550954.4018648,4751360,-6802.66064453125
1705551000.221478,4757504,-6810.24609375
1705551030.7443435,4761600,-6810.24609375
1705551046.055053,4763648,-6810.24609375
1705551076.6802068,4767744,-6817.427734375
1705551107.3701797,4771840,-6817.427734375
1705551122.6422074,4773888,-6817.427734375
1705551229.7679975,4788224,-6831.94482421875
1705551352.0940185,4804608,-6846.4599609375
1705551367.3639176,4806656,-6846.4599609375
1705551382.6635685,4808704,-6846.4599609375
1705551443.823232,4816896,-6854.08447265625
1705551489.7073348,4823040,-6861.57958984375
1705551535.622916,4829184,-6868.94775390625
1705551550.939565,4831232,-6868.94775390625
1705551596.7355907,4837376,-6876.056640625
1705551611.9416738,4839424,-6876.056640625
1705551642.53156,4843520,-6876.056640625
1705551657.8608618,4845568,-6882.90283203125
1705551673.1102154,4847616,-6882.90283203125
1705551703.774832,4851712,-6882.90283203125
1705551749.6325145,4857856,-6890.08740234375
1705551764.879808,4859904,-6890.08740234375
1705551780.186188,4861952,-6890.08740234375
1705551825.9913943,4868096,-6896.97216796875
1705551871.8603787,4874240,-6903.62255859375
1705551948.198469,4884480,-6910.65625
1705551978.8626091,4888576,-6910.65625
1705552009.4586813,4892672,-6917.24072265625
1705552024.8176725,4894720,-6917.24072265625
1705552101.358918,4904960,-6923.87353515625
1705552147.2381055,4911104,-6930.94970703125
1705552162.5147521,4913152,-6930.94970703125
1705552177.7987795,4915200,-6938.02197265625
1705552193.0868366,4917248,-6938.02197265625
1705552223.663376,4921344,-6938.02197265625
1705552284.9750395,4929536,-6944.37109375
1705552315.6870928,4933632,-6950.8212890625
1705552346.2144344,4937728,-6950.8212890625
1705552376.8605096,4941824,-6957.30810546875
1705552453.4997203,4952064,-6963.81298828125
1705552484.0959508,4956160,-6963.81298828125
1705552545.2672417,4964352,-6970.41015625
1705552621.7425685,4974592,-6976.61083984375
1705552652.432946,4978688,-6983.15966796875
1705552667.778009,4980736,-6983.15966796875
1705552744.122381,4990976,-6989.505859375
1705552759.4199007,4993024,-6989.505859375
1705552774.7216065,4995072,-6995.86181640625
1705552805.277471,4999168,-6995.86181640625
1705552820.6090176,5001216,-6995.86181640625
1705552835.900806,5003264,-7001.58740234375
1705552897.0908659,5011456,-7007.65234375
1705552912.410339,5013504,-7007.65234375
1705552943.0413818,5017600,-7007.65234375
1705552988.8436968,5023744,-7013.79638671875
1705553050.0288181,5031936,-7019.970703125
1705553065.3558433,5033984,-7019.970703125
1705553080.583229,5036032,-7019.970703125
1705553095.8918045,5038080,-7026.00439453125
1705553126.460337,5042176,-7026.00439453125
1705553172.342271,5048320,-7032.3232421875
1705553187.6821496,5050368,-7032.3232421875
1705553202.964265,5052416,-7032.3232421875
1705553248.7952552,5058560,-7038.68603515625
1705553264.1097946,5060608,-7038.68603515625
1705553294.78314,5064704,-7044.7705078125
1705553386.5977986,5076992,-7050.462890625
1705553417.1599464,5081088,-7050.462890625
