Wall time,Step,Value
1706645503.9196358,4392960,-6402.19970703125
1706645519.2717195,4395008,-6402.19970703125
1706645580.601749,4403200,-6401.51611328125
1706645595.9205284,4405248,-6401.51611328125
1706645626.5411863,4409344,-6400.8525390625
1706645641.8923085,4411392,-6400.8525390625
1706645656.8487403,4413440,-6400.8525390625
1706645702.1694913,4419584,-6400.2548828125
1706645717.8397527,4421632,-6400.2548828125
1706645733.8541837,4423680,-6400.2548828125
1706645797.408465,4431872,-6399.51611328125
1706645936.2205927,4450304,-6398.48828125
1706645951.5576081,4452352,-6397.9658203125
1706645982.2198713,4456448,-6397.9658203125
1706646043.7056487,4464640,-6397.58349609375
1706646074.607836,4468736,-6397.16796875
1706646105.322134,4472832,-6397.16796875
1706646120.66895,4474880,-6397.16796875
1706646151.1875463,4478976,-6396.49755859375
1706646181.3244338,4483072,-6396.49755859375
1706646196.7582865,4485120,-6396.49755859375
1706646242.8521936,4491264,-6395.94482421875
1706646258.2122989,4493312,-6395.94482421875
1706646273.6151261,4495360,-6395.62255859375
1706646288.964013,4497408,-6395.62255859375
1706646304.298406,4499456,-6395.62255859375
1706646364.4386072,4507648,-6395.6337890625
1706646395.1686215,4511744,-6395.6337890625
1706646425.8803363,4515840,-6395.31591796875
1706646441.2295294,4517888,-6395.31591796875
1706646456.64119,4519936,-6395.31591796875
1706646472.0507536,4521984,-6394.97998046875
1706646518.103041,4528128,-6394.97998046875
1706646533.4713008,4530176,-6394.84814453125
1706646548.8062074,4532224,-6394.84814453125
1706646564.148222,4534272,-6394.84814453125
1706646640.8520758,4544512,-6394.78515625
1706646717.5407104,4554752,-6394.40673828125
1706646732.9048781,4556800,-6393.98828125
1706646748.2654185,4558848,-6393.98828125
1706646763.5927126,4560896,-6393.98828125
1706646778.9515615,4562944,-6393.98828125
1706646794.331306,4564992,-6393.5712890625
1706646871.4073114,4575232,-6393.40283203125
1706646993.546067,4591616,-6393.0234375
1706647039.6661437,4597760,-6393.0234375
1706647055.0103528,4599808,-6392.6904296875
1706647162.459095,4614144,-6392.5361328125
1706647208.5161483,4620288,-6392.38720703125
1706647239.1960227,4624384,-6392.38720703125
1706647254.5560176,4626432,-6392.40087890625
1706647269.8875942,4628480,-6392.40087890625
1706647331.343851,4636672,-6392.25830078125
1706647346.7354014,4638720,-6392.25830078125
1706647362.0857594,4640768,-6392.25830078125
1706647408.1362135,4646912,-6392.23095703125
1706647423.4555082,4648960,-6392.23095703125
1706647531.073946,4663296,-6391.68798828125
1706647561.7483652,4667392,-6391.68798828125
1706647592.4581046,4671488,-6391.203125
1706647607.8151693,4673536,-6391.203125
1706647623.216509,4675584,-6391.203125
1706647638.5839438,4677632,-6391.203125
1706647700.1328194,4685824,-6390.9765625
1706647730.8105514,4689920,-6390.5390625
1706647776.9207523,4696064,-6390.115234375
1706647807.622408,4700160,-6390.115234375
1706647838.4174855,4704256,-6390.115234375
1706647853.7842743,4706304,-6389.80029296875
1706647869.1516685,4708352,-6389.80029296875
1706647915.1998181,4714496,-6389.64599609375
1706647945.9656398,4718592,-6389.64599609375
1706647961.3173633,4720640,-6389.64599609375
1706647992.0443473,4724736,-6389.40673828125
1706648007.4166503,4726784,-6389.40673828125
1706648053.6177213,4732928,-6389.16064453125
1706648130.4875252,4743168,-6388.6337890625
1706648145.854473,4745216,-6388.6337890625
1706648161.2311757,4747264,-6388.6337890625
1706648191.9976852,4751360,-6388.220703125
1706648238.1682286,4757504,-6387.77490234375
1706648268.9117806,4761600,-6387.77490234375
1706648284.2881925,4763648,-6387.77490234375
1706648315.0227618,4767744,-6387.2470703125
1706648345.8315008,4771840,-6387.2470703125
1706648361.2255583,4773888,-6387.2470703125
1706648468.838151,4788224,-6386.25048828125
1706648591.7927806,4804608,-6385.55517578125
1706648607.1744914,4806656,-6385.55517578125
1706648622.5091467,4808704,-6385.55517578125
1706648683.9272957,4816896,-6385.263671875
1706648729.988558,4823040,-6384.88623046875
1706648776.2516346,4829184,-6384.5234375
1706648791.6034043,4831232,-6384.5234375
1706648837.748533,4837376,-6384.177734375
1706648853.0799563,4839424,-6384.177734375
1706648883.881526,4843520,-6384.177734375
1706648899.290532,4845568,-6383.7587890625
1706648914.6420622,4847616,-6383.7587890625
1706648945.4365153,4851712,-6383.7587890625
1706648991.684924,4857856,-6383.73095703125
1706649007.088354,4859904,-6383.73095703125
1706649022.4474373,4861952,-6383.73095703125
1706649068.7341135,4868096,-6383.51611328125
1706649114.904217,4874240,-6383.1474609375
1706649191.7772636,4884480,-6382.72998046875
1706649222.5769544,4888576,-6382.72998046875
1706649253.257123,4892672,-6382.4140625
1706649268.6955922,4894720,-6382.4140625
1706649345.56407,4904960,-6381.9716796875
1706649391.6972566,4911104,-6381.59326171875
1706649407.0570006,4913152,-6381.59326171875
1706649422.445859,4915200,-6381.24658203125
1706649437.7810292,4917248,-6381.24658203125
1706649468.6513002,4921344,-6381.24658203125
1706649530.119305,4929536,-6380.86328125
1706649560.8599117,4933632,-6380.80322265625
1706649591.5860143,4937728,-6380.80322265625
1706649622.411452,4941824,-6380.625
1706649699.3181581,4952064,-6380.25390625
1706649730.0455744,4956160,-6380.25390625
1706649791.55926,4964352,-6380.06201171875
1706649868.4037855,4974592,-6379.73828125
1706649899.047883,4978688,-6379.53662109375
1706649914.4216788,4980736,-6379.53662109375
1706649991.3442514,4990976,-6379.3896484375
1706650006.720265,4993024,-6379.3896484375
1706650022.1029625,4995072,-6379.25244140625
1706650052.9617076,4999168,-6379.25244140625
1706650068.330286,5001216,-6379.25244140625
1706650083.697737,5003264,-6378.9208984375
1706650145.227585,5011456,-6378.86279296875
1706650160.6084669,5013504,-6378.86279296875
1706650191.3538508,5017600,-6378.86279296875
1706650237.520215,5023744,-6378.66015625
1706650299.0118198,5031936,-6378.5107421875
1706650314.327344,5033984,-6378.5107421875
1706650329.7023535,5036032,-6378.5107421875
1706650345.1200068,5038080,-6378.23193359375
1706650375.8713195,5042176,-6378.23193359375
1706650421.9363823,5048320,-6377.90478515625
1706650437.311002,5050368,-6377.90478515625
1706650452.6471274,5052416,-6377.90478515625
1706650498.7216225,5058560,-6377.9248046875
1706650514.1304512,5060608,-6377.9248046875
1706650544.9128833,5064704,-6377.833984375
1706650637.0207415,5076992,-6377.78369140625
1706650667.7819006,5081088,-6377.78369140625
1706650713.8394465,5087232,-6377.7041015625
1706650729.2200537,5089280,-6377.7041015625
1706650759.9795117,5093376,-6377.875
1706650775.3480494,5095424,-6377.875
