Wall time,Step,Value
1707014230.4507327,8762220,-6708.96337890625
1707014244.1577868,8764268,-6708.96337890625
1707014257.9905295,8766316,-6708.96337890625
1707014271.7532036,8768364,-6708.96337890625
1707014285.1053493,8770412,-6709.34521484375
1707014299.0427608,8772460,-6709.34521484375
1707014312.944897,8774508,-6709.34521484375
1707014327.2888658,8776556,-6709.34521484375
1707014340.7759542,8778604,-6708.0927734375
1707014354.5428016,8780652,-6708.0927734375
1707014367.9433799,8782700,-6708.0927734375
1707014382.0120256,8784748,-6708.0927734375
1707014396.0557008,8786796,-6706.759765625
1707014410.3249278,8788844,-6706.759765625
1707014423.978913,8790892,-6706.759765625
1707014437.6521611,8792940,-6706.759765625
1707014451.1247697,8794988,-6706.759765625
1707014464.7207909,8797036,-6705.0107421875
1707014478.3583283,8799084,-6705.0107421875
1707014492.0425348,8801132,-6705.0107421875
1707014505.5716102,8803180,-6705.0107421875
1707014519.1112206,8805228,-6703.47119140625
1707014532.787459,8807276,-6703.47119140625
1707014546.3465421,8809324,-6703.47119140625
1707014560.054928,8811372,-6703.47119140625
1707014573.7479937,8813420,-6701.8330078125
1707014587.4287221,8815468,-6701.8330078125
1707014600.8496408,8817516,-6701.8330078125
1707014614.4186018,8819564,-6701.8330078125
1707014628.056462,8821612,-6700.275390625
1707014641.5466077,8823660,-6700.275390625
1707014654.9615474,8825708,-6700.275390625
1707014668.5073988,8827756,-6700.275390625
1707014682.1112196,8829804,-6700.275390625
1707014695.612529,8831852,-6698.76611328125
1707014709.3053753,8833900,-6698.76611328125
1707014722.8355017,8835948,-6698.76611328125
1707014736.4735959,8837996,-6698.76611328125
1707014750.5419233,8840044,-6696.88916015625
1707014764.8076656,8842092,-6696.88916015625
1707014778.5468495,8844140,-6696.88916015625
1707014792.5368245,8846188,-6696.88916015625
1707014806.4327424,8848236,-6695.3779296875
1707014820.32246,8850284,-6695.3779296875
1707014834.1956298,8852332,-6695.3779296875
1707014847.966652,8854380,-6695.3779296875
1707014861.7279415,8856428,-6695.3779296875
1707014875.5578506,8858476,-6693.916015625
1707014889.4471354,8860524,-6693.916015625
1707014903.206879,8862572,-6693.916015625
1707014917.030674,8864620,-6693.916015625
1707014930.7796,8866668,-6692.20849609375
1707014944.5649564,8868716,-6692.20849609375
1707014958.2844348,8870764,-6692.20849609375
1707014972.4232783,8872812,-6692.20849609375
1707014986.7083364,8874860,-6690.59228515625
1707015003.2868698,8876908,-6690.59228515625
1707015016.976185,8878956,-6690.59228515625
1707015030.5429137,8881004,-6690.59228515625
1707015044.3655093,8883052,-6689.0498046875
1707015058.1151597,8885100,-6689.0498046875
1707015071.60058,8887148,-6689.0498046875
1707015085.2395973,8889196,-6689.0498046875
1707015098.922317,8891244,-6689.0498046875
1707015112.506848,8893292,-6687.673828125
1707015126.0728827,8895340,-6687.673828125
1707015139.7020106,8897388,-6687.673828125
1707015153.2288945,8899436,-6687.673828125
1707015166.846594,8901484,-6685.98095703125
1707015180.7210112,8903532,-6685.98095703125
1707015194.549528,8905580,-6685.98095703125
1707015208.1568015,8907628,-6685.98095703125
1707015222.137036,8909676,-6684.10986328125
1707015236.0009756,8911724,-6684.10986328125
1707015250.6099563,8913772,-6684.10986328125
1707015264.5952604,8915820,-6684.10986328125
1707015278.3568525,8917868,-6682.32568359375
1707015292.189579,8919916,-6682.32568359375
1707015306.304051,8921964,-6682.32568359375
1707015320.0704734,8924012,-6682.32568359375
